CHILDCODE	HHDCIDR4	EVMDDCR5	MADDECR5	WHOPRVR5
38001	5	1	1	1
38001	6	1	1	1
38001	7	1	1	1
38001	8	0	1	1
38001	9	0	1	1
38002	1	0	1	3
38002	2	1	1	3
38002	3	1	1	1
38002	4	1	1	1
38002	5	1	1	1
38002	6	1	1	1
38002	7	1	1	1
38002	8	0	1	2
38002	9	0	1	2
38003	1	0	1	6
38003	2	1	1	6
38003	3	1	1	6
38003	4	1	1	6
38003	5	1	1	6
38003	6	0	1	6
38003	7	1	1	6
38003	8	1	1	1
38003	9	1	1	6
38004	1	0	1	4
38004	2	1	1	4
38004	3	1	1	1
38004	4	1	1	1
38004	5	1	1	1
38004	6	0	1	1
38004	7	1	1	1
38004	8	0	0	1
38004	9	0	0	1
38005	1	0	1	6
38005	2	1	1	6
38005	3	1	1	6
38005	4	0	1	1
38005	5	0	1	6
38005	6	0	1	6
38005	7	0	1	6
38005	8	1	1	6
38005	9	1	1	6
38006	1	1	1	3
38006	2	1	0	1
38006	3	0	1	1
38006	4	1	1	1
38006	5	1	1	1
38006	6	0	1	1
38006	7	0	0	1
38006	8	0	1	1
38006	9	0	1	1
38008	1	1	1	2
38008	2	1	1	1
38008	3	1	1	1
38008	4	1	1	6
38008	5	1	1	1
38008	6	0	1	6
38008	7	0	1	6
38008	8	0	1	6
38008	9	1	1	6
38010	1	0	1	6
38010	2	1	1	6
38010	3	0	1	1
38010	4	1	1	1
38010	5	1	1	1
38010	6	1	1	1
38010	7	1	1	1
38010	8	1	1	6
38010	9	1	1	6
38011	1	1	1	3
38011	2	1	1	3
38011	3	1	1	1
38011	4	1	1	1
38011	5	1	1	1
38011	6	1	1	1
38011	7	1	1	1
38011	8	1	1	1
38011	9	1	1	1
38014	1	1	1	1
38014	2	1	1	1
38014	3	1	1	1
38014	4	1	1	1
38014	5	1	1	1
38014	6	1	1	1
38014	7	1	1	1
38014	8	1	1	1
38014	9	1	1	1
38015	1	1	0	3
38015	2	1	0	3
38015	3	1	1	1
38015	4	1	1	1
38015	5	1	1	1
38015	6	1	1	1
38015	7	1	1	1
38015	8	0	1	1
38015	9	0	1	2
38016	1	1	1	3
38016	2	1	1	3
38016	3	1	1	1
38016	4	1	1	1
38016	5	1	1	1
38016	6	1	1	1
38016	7	1	1	1
38016	8	1	1	1
38016	9	1	1	1
38017	1	1	1	6
38017	2	1	1	1
38017	3	1	1	6
38017	4	1	1	6
38017	5	1	1	6
38017	6	0	1	6
38017	7	1	1	6
38017	8	0	1	6
38017	9	1	1	6
38019	1	0	1	6
38019	2	1	1	1
38019	3	1	1	1
38019	4	1	1	1
38019	5	1	1	6
38019	6	0	1	6
38019	7	1	1	6
38019	8	0	1	6
38019	9	0	1	6
38020	1	1	1	8
38020	2	1	1	1
38020	3	1	1	1
38020	4	1	1	1
38020	5	0	1	1
38020	6	0	1	1
38020	7	0	1	1
38020	8	0	1	1
38020	9	0	1	1
38021	1	0	1	1
38021	2	1	1	1
38021	3	1	1	1
38021	4	1	1	1
38021	5	1	1	1
38021	6	1	1	1
38021	7	1	1	1
38021	8	0	1	1
38021	9	0	1	1
38022	1	1	1	3
38022	2	1	1	3
38022	3	1	1	1
38022	4	1	1	1
38022	5	1	1	1
38022	6	1	1	1
38022	7	0	1	1
38022	8	0	1	1
38022	9	0	1	1
38023	1	1	1	3
38023	2	1	0	3
38023	3	1	1	3
38023	4	1	1	1
38023	5	1	1	3
38023	6	1	1	1
38023	7	1	1	3
38023	8	1	1	1
38023	9	1	1	1
38024	1	0	1	1
38024	2	1	1	1
38024	3	1	1	1
38024	4	1	1	1
38024	5	1	1	1
38024	6	0	1	1
38024	7	1	1	1
38024	8	0	1	1
38024	9	0	1	1
38025	1	1	1	4
38025	2	1	1	1
38025	3	0	1	1
38025	4	1	1	1
38025	5	1	1	1
38025	6	1	1	1
38025	7	0	1	1
38025	8	0	1	1
38025	9	0	1	1
48001	1	0	0	2
48001	2	1	1	1
48001	3	1	1	1
48001	4	1	1	1
48001	5	1	1	2
48001	6	0	1	1
48001	7	1	1	2
48001	8	0	1	2
48001	9	1	1	2
48002	1	1	1	6
48002	2	1	1	6
48002	3	0	1	1
48002	4	1	1	6
48002	5	1	1	6
48002	6	0	1	1
48002	7	0	1	6
48002	8	0	1	6
48002	9	0	1	6
48003	1	1	1	3
48003	2	1	1	3
48003	3	1	1	1
48003	4	1	1	1
48003	5	1	1	1
48003	6	0	1	1
48003	7	0	1	1
48003	8	0	1	1
48003	9	0	1	1
48004	1	0	1	1
48004	2	1	1	1
48004	3	1	1	1
48004	4	1	1	1
48004	5	1	1	1
48004	6	0	1	1
48004	7	1	1	1
48004	8	0	1	1
48004	9	0	1	1
48005	1	1	1	1
48005	2	1	1	1
48005	3	0	1	1
48005	4	1	1	1
48005	5	1	1	1
48005	6	1	1	1
48005	7	1	1	1
48005	8	1	1	1
48005	9	0	1	1
48006	1	0	1	3
48006	2	1	1	3
48006	3	1	1	1
48006	4	1	1	1
48006	5	0	1	1
48006	6	0	1	1
48006	7	0	1	1
48006	8	0	1	1
48006	9	0	1	1
48007	1	1	0	3
48007	2	1	0	3
48007	3	0	0	1
48007	4	0	0	1
