CHILDCODE	LANGIDR5	LNCNSPR5	LNSPKR5	LNREADR5	LNWRTER5
138011	1	1	2	2	2
138012	1	1	2	2	2
138013	1	1	1	1	1
138013	2	8	4	4	4
138014	1	1	2	2	2
138015	1	1	1	1	1
138015	2	8	4	2	2
138016	1	1	2	2	2
138017	1	1	1	1	1
138018	1	1	2	2	2
138018	2	8	3	3	3
138020	1	1	1	1	1
138021	1	1	2	2	2
138022	1	1	2	2	2
138023	1	1	2	2	2
138024	1	1	2	3	2
138024	2	8	4	4	3
138025	1	1	2	2	2
138027	1	1	1	1	1
138028	1	1	2	2	2
138029	1	1	1	1	1
138029	2	8	3	3	3
138030	1	1	2	1	1
138031	1	1	1	1	1
138033	1	1	2	2	2
138033	2	8	4	3	4
138035	1	1	1	1	1
138035	2	8	3	2	2
138036	1	1	1	1	1
138036	2	1	3	2	3
138037	1	1	1	1	2
138039	1	1	2	2	2
138039	2	2	4	4	4
138039	3	8	4	4	4
138040	1	1	1	2	1
138040	2	8	4	4	4
138041	1	1	1	1	1
138042	1	1	2	2	2
138044	1	1	1	1	1
138044	2	8	3	2	3
138045	1	1	2	2	2
138046	1	1	1	1	1
138046	2	2	4	5	5
138047	1	1	2	2	2
138048	1	1	2	2	2
138048	2	8	3	3	3
138049	1	1	2	2	2
138050	1	1	2	1	2
138051	1	1	2	2	2
138053	1	1	2	2	2
148001	1	1	2	2	2
148002	1	1	2	1	1
148003	1	1	1	1	1
148003	2	8	2	2	2
148003	3	20	4	4	4
148004	1	1	2	2	2
148005	1	1	2	2	3
148006	1	1	1	1	2
148007	1	1	2	2	2
148007	2	8	4	4	4
148008	1	1	1	1	1
148011	1	1	1	1	1
148012	1	1	1	1	1
148012	2	8	3	3	3
148013	1	1	2	2	2
148013	2	8	3	3	2
148014	2	1	1	1	1
148015	1	1	1	1	1
148016	1	1	1	1	1
148016	2	8	4	3	4
148018	1	1	2	1	1
148018	2	8	4	4	4
148019	1	8	4	3	5
148019	2	1	1	1	1
148020	1	1	1	1	1
148020	2	8	4	4	4
148021	1	8	4	4	3
148022	1	1	1	1	1
148023	1	1	1	1	1
148024	1	1	2	2	2
148025	1	2	3	3	3
148025	2	1	1	1	1
148026	1	1	1	1	1
148027	1	1	1	1	1
148028	1	1	2	2	2
148028	2	8	3	3	3
148029	1	1	1	1	1
148030	1	1	1	1	1
148031	1	1	2	2	2
148033	1	1	2	2	2
148033	2	8	4	4	4
148034	1	1	1	1	2
148034	2	8	4	4	4
148035	1	1	2	2	2
148035	2	8	4	4	4
148036	1	1	1	2	1
148038	1	1	1	1	1
148039	1	1	2	2	1
148039	2	8	4	4	4
148040	1	1	2	4	4
148041	1	1	1	1	1
148042	1	1	1	1	1
148043	1	1	1	1	1
148044	1	1	1	1	1
148044	2	8	4	4	4
148044	3	2	4	5	5
148046	1	1	1	1	1
148046	2	8	2	3	3
148047	1	1	1	1	1
148048	1	1	1	1	1
148048	2	8	4	4	4
148049	1	1	2	2	2
158001	1	1	2	2	3
158002	1	1	2	2	2
158003	1	1	1	1	1
158005	1	1	2	2	2
158006	1	1	2	2	1
158007	1	1	2	2	2
158007	2	8	2	2	3
158008	1	1	1	2	2
158008	2	14	4	4	4
158009	1	1	2	2	2
158010	1	1	1	1	1
158010	2	8	5	5	5
158011	1	1	1	1	1
158013	1	1	2	2	2
158013	2	14	2	2	2
158015	1	1	1	2	2
158015	2	8	4	3	4
158015	3	5	4	5	5
158016	1	1	1	1	1
158017	1	1	2	2	2
158018	1	1	1	1	1
158019	1	5	4	4	3
158019	2	1	1	1	2
158021	1	1	2	2	2
158021	2	8	4	4	4
158021	3	14	3	3	3
158022	1	1	2	2	2
158022	2	14	2	2	2
158023	1	14	2	2	2
158023	2	1	2	2	2
158024	1	1	2	2	2
158024	2	8	4	5	5
158025	1	1	1	1	1
158026	1	1	1	2	2
158026	2	8	4	4	3
158031	1	1	2	2	2
158032	1	1	2	2	2
158032	2	8	3	2	2
158033	1	1	2	2	2
158034	1	1	1	2	1
158035	1	1	2	2	2
158035	2	8	4	3	3
