CHILDID	PASSID	ASSETR3	NUMOWNR3	VALASTR3	ASTACTR3
VN041021	2	40	1	5000	30
VN041021	3	40	5	5000	11
VN041021	4	40	1	3000	23
VN041022	1	25	1	6000	23
VN041022	2	40	4	800	11
VN041023	1	9	10	1500	2
VN041023	2	24	1	2000	23
VN041024	1	24	-77	26000	12
VN041024	2	25	2	20000	24
VN041024	3	15	-77	10000	12
VN041024	4	40	2	4000	12
VN041025	1	40	7	7000	40
VN041025	2	40	1	1500	40
VN041025	3	40	1	200	40
VN041025	4	25	1	50	23
VN041025	5	23	1	13	23
VN041026	1	9	-77	5000	2
VN041026	2	23	-77	1000	23
VN041027	1	30	1	10000	30
VN041027	2	40	3	3000	30
VN041027	3	40	1	2000	30
VN041030	1	30	1	200000	30
VN041030	2	40	1	5000	30
VN041030	3	40	6	2000	30
VN041030	4	40	1	200	30
VN041030	5	40	4	100	30
VN041031	1	30	1	40000	30
VN041031	2	40	1	5000	30
VN041031	3	40	2	1000	30
VN041032	1	30	1	30000	30
VN041032	2	40	1	10000	30
VN041032	3	40	1	3000	30
VN041032	4	40	1	350	30
VN041032	5	40	2	1000	30
VN041032	6	26	1	1000	21
VN041034	1	30	1	50000	30
VN041034	2	40	1	20000	30
VN041036	1	40	2	400000	23
VN041036	2	40	1000	20000	23
VN041037	1	30	1	100000	23
VN041037	2	40	2	2000	12
VN041037	3	40	700	3500	12
VN041038	1	30	1	3500	30
VN041038	2	40	1	2000	30
VN041038	3	40	1	2000	30
VN041038	4	40	1	500	30
VN041038	5	40	4	500	30
VN041039	1	30	1	7000	30
VN041039	2	40	1	1000	30
VN041039	3	40	4	200	30
VN041039	4	40	1	500	30
VN041040	1	30	1	30000	30
VN041040	2	40	1	4000	30
VN041040	3	40	1	1500	30
VN041040	4	40	4	400	30
VN041041	1	30	1	20000	30
VN041041	2	40	1	4000	30
VN041041	3	40	4	500	30
VN041041	4	40	1	400	30
VN041042	1	13	4	3000	14
VN041043	1	40	1	2000	12
VN041043	2	40	1	1000	12
VN041043	3	40	4	200	12
VN041046	1	30	1	5000	30
VN041046	2	40	2	1000	30
VN041047	1	8	2	4000	11
VN041047	2	8	1	1000	11
VN041047	3	40	1	2500	11
VN041049	1	40	1	-88	30
VN041049	2	40	1	-88	30
VN041049	3	40	1	-88	30
VN041050	1	30	1	15000	30
VN041050	2	40	20	20000	30
VN041050	3	40	4	800	30
VN041059	1	1	8	1340	11
VN041092	1	30	1	30000	30
VN041092	2	40	1	8000	30
VN041092	3	40	2	1500	30
VN041092	4	40	1	1500	23
VN041106	1	40	1	6000	30
VN041106	2	40	1	1000	30
VN041109	1	30	1	10000	30
VN041109	2	40	1	2000	30
VN041109	3	40	1	500	30
VN041110	1	40	6	20000	30
VN041114	1	30	1	15000	30
VN041114	2	40	1	4000	30
VN041130	1	24	1	60000	23
VN051001	1	1	2	10	40
VN051001	2	40	1	6	40
VN051002	1	22	10	200	22
VN051004	1	40	2	3000	40
VN051004	2	40	15	1000	40
VN051005	1	40	4	2800	11
VN051006	1	1	1	10	11
VN051008	1	40	2	1000	11
VN051008	2	40	1	500	11
VN051009	1	40	4	10000	11
VN051011	1	40	26	8000	40
VN051012	1	40	4	6000	40
VN051013	1	40	1	1000	11
VN051013	2	40	1	500	11
VN051015	1	24	1	15000	23
VN051015	2	25	1	5000	40
VN051017	1	40	4	12000	40
VN051017	2	24	1	13000	23
VN051018	1	24	1	5000	23
VN051018	2	40	6	3000	40
VN051019	1	1	2	50	11
VN051020	1	13	10	500	40
VN051020	2	40	3	50	40
VN051020	3	1	2	50	11
VN051021	1	40	2	500	40
VN051021	2	40	24	1000	40
VN051022	1	40	4	25000	11
VN051023	1	25	1	2000	24
VN051024	1	40	3	5000	40
VN051024	2	40	45	2000	40
VN051024	3	1	3	60	11
VN051024	4	40	2	20	40
VN051024	5	25	1	4000	40
VN051025	2	1	3	60	11
VN051026	1	1	10	120	11
VN051026	2	3	1	300	11
VN051027	1	1	3	50	10
VN051027	2	13	7	200	7
VN051028	1	8	1	200	11
VN051028	2	1	2	50	11
VN051029	1	24	1	10000	23
VN051031	1	1	3	50	11
VN051031	2	40	3	350	40
VN051031	3	40	4	500	40
VN051034	1	24	1	20000	23
VN051035	1	1	5	100	11
VN051035	2	24	1	40000	23
VN051037	1	7	1	2000	11
VN051037	2	1	10	130	11
VN051037	3	3	2	1200	11
VN051038	1	8	1	350	11
VN051038	2	8	4	40	11
VN051041	1	1	7	20	11
VN051044	1	8	1	400	11
VN051044	2	1	3	50	11
VN051045	1	8	1	500	11
VN051045	2	1	2	50	11
VN051046	1	1	3	10	11
VN051047	1	1	5	15	11
VN051047	2	3	1	20	11
VN051048	1	1	4	15	11
VN051048	2	3	1	30	11
VN051050	1	1	4	30	11
