COMMID	CLUSTID	DISTRID	suprdate	area	unit	arable	irigland	pop	popchg	land1	land2	land3	land4	land5	land6	land7	land8	land9	land10	city	szcit	twndis	subzone	waste	airpol	watpol	contsoil	pestmen	specpol	shanty	semi	perm	story	bigmult	smalmult	shansc	shanst	shanbc	shanoc	semisc	semist	semibc	semioc	permsc	permst	permbc	permoc	storsc	storst	storbc	storoc	bigmsc	bigmst	bigmbc	bigmoc	smalsc	smalst	smalbc	smaloc	lang1	lang2	lang3	lang4	lang5	lang6	lang7	szlang1	szlang2	szlang3	eth1	eth2	eth3	eth4	szeth1	szeth2	szeth3	rel1	rel2	rel3	rel4	rel5	rel6	szrel1	szrel2	szrel3	legal	council	elechow	conclive	concvist	grievpol	chief	chiefsc	chiefst	chiefbc	chiefoc	chfhowsc	chfhowst	chfhowbc	chfhowoc	chflivsc	chflivst	chflivbc	chflivoc	chfvissc	chfvisst	chfvisbc	chfvisoc	thfcrm	violcrm	yuthcrm	proscrm	comcrm	speccrm	toil1	toil2	toil3	toil4	water1	water2	water3	water4	garb1	garb2	garb3	garb4	cansel	shop1	shop2	shop3	shop4	shop5	road1	road2	road3	road4	road5	frqpass	pubtran1	pubtran2	pubtran3	pubtran4	pubtran5	pubtran6	pubtran7	pubtran8	pubtran9	outtran	dispub	frqpub	prog	comgrp1	comgrp2	comgrp3	comgrp4	comgrp5	comgrp6	comgrp7	comgrp8	income1	income2	income3	income4	income5	income6	income7	income8	income9	inc1	inc2	inc3	whown	aqu1	aqu2	aqu3	aqu4	aqu5	aqu6	irigsrc	fert	insect	frmhlp1	frmhlp2	frmhlp3	frmhlp4	frmhlp5	frmhlp6	frmhlp7	plant	factoty	putout	schpay	nurpay	munpay	helcost	midwife	batten	tradhe	villhel	menthel	sochel	adultlit	currency
IN085	15	4	10/6/2002	1738.15002441406	 	696	 	1131	99	1	0	1	0	0	0	0	0	0	0	2	 	82	3	3	3	3	3	2	88	1	1	1	2	2	2	5	5	20	0	25	20	133	15	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	1	2	 	1	1	1	0	3	1	2	0	1	0	1	0	0	4	2	 	1	1	1	1	 	 	1	1	1	1	2	4	4	4	8	1	1	1	8	 	 	 	8	2	2	2	2	2	 	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	 	0	1	0	0	0	0	0	0	0	1	 	1	 	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	1	8	2	2	0	0	1	0	1	0	1	1	1	1	0	1	0	0	1	0	2	 	2	130	75	33	20	2	1	2	2	2	2	1	RUPEE
IN086	14	4	10/25/2002	5681	ACRES	 	 	6827	1	1	0	0	0	0	0	0	0	1	0	1	21578	 	3	3	3	3	3	3	88	2	1	1	2	2	2	0	0	0	0	80	15	125	150	70	5	125	100	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	1	2	1	7	1	0	1	1	3	1	4	1	1	0	1	0	0	2	4	1	1	1	1	2	1	1	1	1	9	9	9	3	 	 	 	1	 	 	 	 	 	 	 	2	2	2	2	2	 	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	0	0	0	 	0	1	0	0	1	1	0	0	0	1	 	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	6	8	7	2	1	0	1	0	1	0	6	1	1	0	0	0	0	0	0	1	2	2	2	130	75	33	50	1	1	2	2	2	2	1	RUPEE
IN087	14	4	11/12/2002	5681	 	 	 	6626	99	1	0	0	0	0	0	0	0	1	0	1	21578	 	3	3	3	3	3	3	88	2	1	1	2	2	2	0	 	 	 	15	 	100	65	 	 	70	100	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	1	2	1	7	1	0	1	1	3	4	1	0	1	0	1	0	0	2	4	 	1	1	1	1	 	 	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	 	1	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	1	1	1	0	0	0	0	 	0	1	0	1	1	1	0	0	0	1	 	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	7	10	6	2	0	0	1	0	1	0	 	2	2	0	0	0	0	0	0	1	2	2	2	130	75	33	50	1	1	2	2	2	2	1	RUPEE
IN088	14	4	11/14/2002	5681	ACRES	 	 	7948	1	1	0	0	0	0	0	0	0	1	0	1	21578	 	3	3	3	3	3	3	88	1	1	1	2	2	2	15	30	0	0	75	70	300	300	60	50	300	200	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	2	7	1	1	1	1	3	4	2	0	1	0	1	0	0	4	2	 	1	1	1	1	 	 	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	 	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	 	0	1	0	1	1	1	0	0	0	1	 	1	 	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	10	7	6	2	0	0	1	0	1	0	 	2	2	0	0	0	0	0	0	1	 	2	2	130	75	33	50	1	2	2	1	2	2	1	RUPE
IN089	20	20	2/10/2002	11.5	Acres	 	 	4800	1	1	1	0	0	0	0	0	0	1	0	1	 	 	3	3	3	2	1	3	3	2	2	1	2	2	2	0	0	0	0	0	0	0	0	128	10	856	80	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	8	1	0	1	1	3	1	4	0	0	0	1	0	0	4	 	 	1	1	1	2	1	1	1	2	2	1	2	8	8	3	8	8	8	1	8	8	8	 	8	2	2	2	2	2	2	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	0	0	 	0	1	0	0	1	1	1	0	0	1	1	1	2	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	6	8	7	2	0	0	0	0	1	1	 	 	 	0	0	0	0	0	0	0	 	2	2	117	148	84	30	2	2	2	2	2	1	1	Rupee
IN090	20	20	10/30/2002	6.5	ACRES	 	 	2600	1	1	1	0	0	0	0	1	0	1	0	1	 	 	4	3	3	1	3	3	3	2	2	1	2	2	2	 	 	 	 	 	 	 	 	50	 	292	10	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	1	1	1	1	2	7	1	0	1	1	3	1	4	1	1	0	1	0	0	4	1	2	1	1	1	2	1	1	1	2	9	1	2	8	3	 	8	8	1	9	8	8	9	1	8	2	2	2	2	2	2	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	0	0	 	0	1	0	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	6	10	8	 	1	0	0	0	1	1	 	 	 	0	0	0	0	0	0	0	 	2	2	116	148	84	40	2	2	2	2	2	1	1	RUPEE
IN091	20	20	11/14/2002	9.5	ACRES	 	 	5500	1	1	1	0	0	0	0	1	0	0	0	1	 	 	3	3	3	1	3	3	3	2	2	1	2	2	2	 	 	 	 	 	 	 	 	 	 	 	500	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0	0	0	1	7	 	 	0	0	0	1	4	 	 	0	1	0	0	0	0	2	 	 	1	1	2	2	1	1	1	9	9	9	1	 	 	 	3	9	9	9	2	9	9	9	1	2	2	2	2	1	2	1	0	0	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	 	0	1	0	0	1	0	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0	5	7	6	 	1	0	0	0	1	1	 	 	 	0	0	0	0	0	0	0	 	2	2	116	148	84	40	1	1	2	2	2	1	1	RUPEE
IN092	6	1	 	1243	ACRES	351	216	2266	3	1	0	1	0	1	0	0	0	0	0	2	 	40	3	3	3	99	1	2	2	1	1	1	2	2	2	120	0	100	4	10	0	0	0	30	0	50	20	0	 	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	2	3	0	1	1	1	3	2	4	1	1	0	1	0	0	4	2	1	1	1	1	2	1	1	1	1	 	1	 	1	 	1	 	1	 	1	 	 	 	 	 	2	2	2	2	1	2	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	 	0	1	1	0	0	1	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	1	8	7	2	0	0	1	0	1	0	4	1	1	1	1	1	1	1	1	0	1	1	2	130	75	35	100	2	1	2	1	2	2	1	RUPEE
IN093	2	6	 	800	ACRES	 	 	1822	99	0	1	0	0	0	0	0	0	1	0	2	 	100	4	99	99	99	99	 	88	 	 	 	 	 	 	15	30	40	15	45	50	60	75	130	145	42	120	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	1	7	1	 	1	1	1	0	2	3	1	1	0	0	1	0	0	4	1	 	1	1	1	1	 	 	1	2	1	2	2	8	4	8	8	8	 	8	8	8	 	8	8	2	2	2	2	2	 	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	12	0	1	0	0	1	0	1	0	0	1	1	1	 	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	1	2	6	2	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	2	2	2	153	150	113	30	1	1	1	1	2	1	1	RUPEE
IN096	15	4	10/10/2002	1933.80004882813	 	983	27.9799995422363	2627	1	1	0	1	0	0	0	0	0	0	1	2	 	86	3	3	3	3	3	1	88	1	1	1	2	2	2	20	5	56	0	280	30	286	15	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	1	2	 	1	1	1	0	1	3	2	0	1	0	1	0	0	4	2	 	1	1	1	1	 	 	1	1	1	1	1	4	4	4	4	1	1	1	1	 	 	 	 	2	2	2	2	2	 	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	 	0	1	0	0	0	0	0	0	0	1	 	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	1	2	8	2	1	0	1	0	1	0	2	1	1	1	0	1	0	0	1	0	2	2	2	130	75	33	20	2	1	2	2	2	2	 	RUPEE
IN097	7	1	11/6/2002	620.099975585938	 	522.900024414063	397.899993896484	792	1	1	0	1	0	0	0	0	0	0	0	2	 	100	3	3	3	3	3	1	3	1	1	1	2	2	2	15	 	15	30	20	 	20	15	135	 	25	30	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	0	0	0	0	1	3	 	1	0	1	1	4	1	3	1	0	0	1	0	0	4	1	 	1	1	1	2	1	1	1	1	9	1	1	9	 	9	9	 	 	 	 	 	 	 	 	2	2	2	2	2	2	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	 	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	2	3	2	1	1	1	0	1	0	3	1	2	0	1	1	0	0	0	0	2	2	2	 	 	 	120	2	1	2	1	2	2	2	RUPEE
IN099	5	1	 	366	 	366	216	1505	1	1	0	1	0	0	0	0	0	0	0	2	 	35	3	3	3	3	3	3	3	1	1	1	2	2	2	0	0	120	10	20	0	50	15	0	0	30	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	 	 	1	0	1	1	3	4	1	1	0	0	1	0	0	4	1	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	1	1	0	0	0	1	0	0	 	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	6	7	 	0	1	1	0	1	0	2	1	1	0	1	1	0	0	1	0	2	2	2	133	150	35	150	2	2	2	1	2	2	1	RUPEE
IN098	3	1	11/10/2002	33	KM	 	 	5000	1	1	0	0	0	0	0	1	0	1	0	1	1972	 	2	2	2	2	2	 	88	1	1	1	 	 	 	30	15	20	 	150	 	350	500	150	 	 	 	 	 	4	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	1	1	7	 	1	0	1	1	4	3	1	1	1	0	1	0	0	4	2	1	1	1	1	1	 	 	1	 	 	1	 	 	 	1	 	 	 	 	 	 	 	 	 	1	2	1	2	2	 	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	0	0	0	0	 	0	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	1	6	7	9	2	1	0	0	0	1	1	3	1	1	1	1	0	0	0	1	0	 	1	1	133	150	35	500	1	1	 	1	 	1	1	 
IN101	3	1	 	45.9000015258789	ACRES	 	 	2682	1	1	0	0	0	0	0	0	0	1	0	1	 	 	3	3	3	3	3	3	3	1	1	1	2	2	2	6	0	45	20	74	0	30	10	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	 	 	1	0	1	1	3	4	1	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	1	1	9	1	1	4	 	4	4	1	 	1	1	 	 	 	 	2	2	2	2	2	2	0	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	 	0	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	7	8	5	2	0	1	1	0	1	0	 	2	2	0	0	0	0	0	0	0	2	2	2	 	 	 	100	2	2	2	2	2	 	2	RUPEE
IN102	3	1	12/25/2002	356.899993896484	ACRES	 	 	4035	1	1	0	0	0	0	0	0	0	1	0	1	 	 	3	3	3	3	2	3	3	1	1	1	2	2	2	150	1	200	0	0	0	100	0	30	19	300	150	0	0	0	0	0	0	0	0	0	0	0	 	1	1	0	0	0	0	1	1	7	2	1	0	1	1	3	1	4	1	1	0	1	0	0	4	1	2	1	1	1	1	 	 	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	1	1	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	 	0	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	10	7	1	2	1	1	1	0	1	1	4	1	1	0	0	1	0	0	0	0	2	2	 	 	 	 	100	2	2	2	1	2	2	1	RUPEE
