PLACEID	LCPRIDR5	ITEMPRC1	ITEMVND1	ITEMINF1
505	39	.25	1	6
505	40	.800000011920929	1	6
505	41	1.5	1	6
505	42	5	16	6
505	43	1.20000004768372	16	6
505	44	2	16	6
505	45	6	16	6
505	46	34	16	6
505	61	4	1	6
505	70	6	1	6
506	1	1.5	1	2
506	2	50	16	2
506	3	25	16	2
506	4	25	16	2
506	5	40	16	2
506	6	40	16	2
506	7	.529999971389771	10	1
506	8	.0299999993294477	10	1
506	9	.150000005960464	10	1
506	10	.0900000035762787	10	1
506	11	2	1	2
506	12	2.5	1	1
506	13	0	16	2
506	15	.699999988079071	1	2
506	16	3.5	1	2
506	17	2.70000004768372	1	2
506	18	0	16	2
506	19	1.20000004768372	1	2
506	20	11	16	2
506	21	1	1	2
506	23	.300000011920929	1	2
506	24	4	1	2
506	25	1	1	2
506	27	10	1	2
506	28	10	16	2
506	29	12	16	2
506	30	5	1	2
506	32	14	16	2
506	33	5	1	2
506	34	1	1	2
506	35	2	1	2
506	36	5	1	2
506	37	1	1	2
506	38	0	16	2
506	39	.25	1	2
506	40	1.5	1	2
506	41	2.5	16	2
506	42	5	16	2
506	43	1	1	2
506	44	2	1	2
506	45	5	16	2
506	46	40	1	2
506	61	5	1	2
506	70	6	1	2
507	1	1.5	16	3
507	2	35	16	3
507	3	15	16	3
507	4	15	16	3
507	5	30	16	3
507	6	25	16	3
507	7	1.5	16	5
507	8	.300000011920929	16	5
507	9	.5	16	5
507	10	.5	16	5
507	11	1.79999995231628	16	6
507	12	2.5	16	6
507	13	0	16	6
507	15	1	16	6
507	16	3.5	16	6
507	17	2.59999990463257	16	6
507	18	0	16	6
507	19	1.20000004768372	16	6
507	20	5	16	4
507	21	1	16	4
507	23	.300000011920929	16	4
507	24	4	16	6
507	25	1	16	6
507	27	10	16	6
507	28	9	16	6
507	29	8	16	6
507	30	3	16	6
507	32	12	16	6
507	33	4	16	6
507	34	1	16	4
507	35	2	16	4
507	36	5	16	4
507	37	1	16	4
507	38	0	16	4
507	39	.300000011920929	16	4
507	40	1.20000004768372	16	4
507	41	1.79999995231628	16	4
507	42	4	16	4
507	43	1	16	4
507	44	2	16	4
507	45	4	16	4
507	46	38	16	4
507	61	4	16	6
507	70	6	16	6
601	1	2	1	5
601	2	60	16	5
601	3	18	16	4
601	4	18	16	5
601	5	30	16	5
601	6	30	16	5
601	7	.519999980926514	10	1
601	8	.200000002980232	10	1
601	9	.129999995231628	10	1
601	10	.0900000035762787	10	1
601	11	2.5	1	4
601	12	3	1	4
601	13	0	16	4
601	15	1	1	4
