CHILDCODE	EDCHSTR4	EDAGR4	GRDER4	TYSCR4	REGNR4	ZONER4	NMSCR4
41029	13	16	5	4	3	303	498
41029	14	15	4	4	3	303	164
41030	10	18	0	 	 	 	 
41030	11	17	10	4	3	305	796
41030	12	16	9	4	3	303	796
41030	13	15	8	4	3	305	164
41030	14	14	7	4	3	303	164
41031	10	19	21	4	3	303	797
41031	11	18	10	4	3	303	177
41031	12	17	9	4	3	303	154
41031	13	16	9	4	3	303	177
41031	14	15	8	4	3	303	164
41032	10	18	8	4	3	303	164
41032	11	17	7	4	3	303	164
41032	12	16	7	4	3	303	164
41032	13	15	6	4	3	303	164
41032	14	14	5	4	3	303	164
41034	10	19	0	 	 	 	 
41034	11	18	10	4	3	303	177
41034	12	17	9	4	3	303	177
41034	13	16	9	4	3	303	177
41034	14	15	8	4	3	303	164
41035	10	18	9	4	3	303	177
41035	11	17	0	 	 	 	 
41035	12	16	8	4	3	303	498
41035	13	15	8	4	3	303	498
41035	14	14	7	4	3	303	164
41036	10	18	9	4	3	303	177
41036	11	17	8	4	3	303	498
41036	12	16	8	4	3	303	164
41036	13	15	7	4	3	303	164
41036	14	14	6	4	3	303	164
41037	10	18	9	4	3	303	177
41037	11	17	8	4	3	303	160
41037	12	16	7	4	3	303	160
41037	13	15	7	4	3	303	160
41037	14	14	6	4	3	303	160
41038	10	18	0	 	 	 	 
41038	11	17	0	 	 	 	 
41038	12	16	12	4	3	303	796
41038	13	15	11	4	3	303	796
41038	14	14	10	4	3	303	177
41039	10	19	0	 	 	 	 
41039	11	18	0	 	 	 	 
41039	12	17	0	 	 	 	 
41039	13	16	9	4	3	303	177
41039	14	15	9	4	3	303	177
41040	10	19	0	 	 	 	 
41040	11	18	11	4	3	303	796
41040	12	17	10	4	3	303	177
41040	13	16	9	4	3	303	177
41040	14	15	8	4	3	303	164
41041	10	17	10	4	3	303	796
41041	11	16	9	4	3	303	796
41041	12	15	8	4	3	303	164
41041	13	14	7	4	3	303	164
41041	14	13	6	4	3	303	164
41042	10	19	10	4	14	1409	555
41042	11	18	9	4	3	304	164
41042	12	17	8	4	3	304	164
41042	13	16	8	4	3	304	164
41042	14	15	7	4	3	304	164
41043	10	17	10	4	3	303	796
41043	11	16	9	4	3	303	796
41043	12	15	8	4	3	303	164
41043	13	14	7	4	3	303	164
41043	14	13	6	4	3	303	164
41044	10	18	22	4	3	303	797
41044	11	17	21	4	3	303	797
41044	12	16	3	4	3	303	177
41044	13	15	9	4	3	303	177
41044	14	14	8	4	3	303	164
41045	10	17	12	4	3	303	796
41045	11	16	11	4	3	303	796
41045	12	15	10	4	3	303	177
41045	13	14	9	4	3	303	177
41045	14	13	8	4	3	303	164
41046	10	19	6	4	3	303	164
41046	11	18	0	 	 	 	 
41046	12	17	0	 	 	 	 
41046	13	16	0	 	 	 	 
41046	14	15	0	 	 	 	 
41047	10	18	12	4	3	303	796
41047	11	17	11	4	3	303	796
41047	12	16	10	4	3	303	790
41047	13	15	9	4	3	303	790
41047	14	14	8	4	3	303	164
41048	10	18	9	4	3	303	177
41048	11	17	8	4	3	303	164
41048	12	16	7	4	3	303	164
41048	13	15	6	4	3	303	164
41048	14	14	5	4	3	303	164
41049	10	19	32	1	14	1406	560
41049	11	18	32	4	4	406	910
41049	12	17	12	4	3	303	177
41049	13	16	11	4	3	303	177
41049	14	15	10	4	3	303	164
41050	10	18	11	4	3	303	796
41050	11	17	11	4	3	303	796
41050	12	16	10	4	3	303	796
41050	13	15	9	4	3	303	796
41050	14	14	8	4	3	303	164
51001	10	18	8	4	3	302	154
51001	11	17	7	4	3	303	154
51001	12	16	7	4	3	303	154
51001	13	15	6	4	3	303	154
51001	14	14	5	4	3	303	154
51002	10	20	0	 	 	 	 
51002	11	19	0	 	 	 	 
51002	12	18	0	 	 	 	 
51002	13	17	0	 	 	 	 
51002	14	16	0	 	 	 	 
51003	10	18	10	4	14	1410	588
51003	11	17	9	4	3	303	790
51003	12	16	8	4	3	303	154
51003	13	15	7	4	3	303	154
51003	14	14	6	4	3	303	154
51004	10	18	41	5	3	303	802
51004	11	17	41	5	3	303	915
51004	12	16	0	 	 	 	 
51004	13	15	0	 	 	 	 
51004	14	14	0	 	 	 	 
51005	10	19	0	 	 	 	 
51005	11	18	0	 	 	 	 
51005	12	17	0	 	 	 	 
51005	13	16	0	 	 	 	 
51005	14	15	0	 	 	 	 
51006	10	18	10	4	3	303	790
51006	11	17	9	4	3	303	790
51006	12	16	0	 	 	 	 
51006	13	15	8	4	3	303	154
51006	14	14	0	 	 	 	 
51007	10	18	0	 	 	 	 
51007	11	17	0	 	 	 	 
51007	12	16	0	 	 	 	 
51007	13	15	9	4	3	303	790
51007	14	14	8	4	3	303	154
51008	10	18	9	4	3	303	790
51008	11	17	0	 	 	 	 
51008	12	16	9	4	3	303	790
51008	13	15	8	4	3	303	154
51008	14	14	8	4	3	303	154
51009	10	19	6	4	3	303	154
51009	11	18	5	4	3	303	154
51009	12	17	4	4	3	303	154
51009	13	16	3	4	3	303	154
51009	14	15	4	4	3	303	5555
51010	10	18	0	 	 	 	 
51010	11	17	8	4	3	303	154
51010	12	16	7	4	3	303	154
51010	13	15	6	4	3	303	154
51010	14	14	0	 	 	 	 
51012	10	19	0	 	 	 	 
51012	11	18	0	 	 	 	 
51012	12	17	0	 	 	 	 
51012	13	16	10	4	3	303	177
51012	14	15	9	4	3	303	177
51013	10	18	0	 	 	 	 
51013	11	17	0	 	 	 	 
51013	12	16	0	 	 	 	 
51013	13	15	7	4	3	304	154
51013	14	14	7	4	3	303	154
51014	10	18	8	4	3	303	154
51014	11	17	7	4	3	303	154
51014	12	16	0	 	 	 	 
51014	13	15	7	4	3	303	154
51014	14	14	0	 	 	 	 
51015	10	19	10	4	3	303	790
51015	11	18	9	4	3	303	790
51015	12	17	9	4	3	303	790
51015	13	16	8	4	3	303	154
51015	14	15	7	4	3	303	154
51016	10	18	5	4	3	303	914
51016	11	17	4	4	3	303	914
51016	12	16	3	4	3	303	154
51016	13	15	2	4	3	303	154
51016	14	14	1	4	3	303	154
51017	10	19	0	 	 	 	 
51017	11	18	8	4	3	303	154
51017	12	17	7	4	3	303	154
51017	13	16	6	4	3	303	154
51017	14	15	5	4	3	303	154
51018	10	18	0	 	 	 	 
51018	11	17	0	 	 	 	 
51018	12	16	0	 	 	 	 
51018	13	15	4	4	3	303	154
51018	14	14	3	4	3	303	154
51019	10	19	0	 	 	 	 
51019	11	18	0	 	 	 	 
51019	12	17	11	4	3	304	802
51019	13	16	10	4	3	304	839
51019	14	15	9	4	3	304	839
51021	10	18	0	 	 	 	 
51021	11	17	0	 	 	 	 
51021	12	16	0	 	 	 	 
51021	13	15	0	 	 	 	 
51021	14	14	0	 	 	 	 
51022	10	19	12	4	3	303	796
51022	11	18	11	4	3	303	796
51022	12	17	10	4	3	303	790
51022	13	16	9	4	3	303	790
51022	14	15	8	4	3	303	154
51023	10	19	0	 	 	 	 
51023	11	18	0	 	 	 	 
51023	12	17	9	4	3	303	154
51023	13	16	8	4	3	303	154
51023	14	15	7	4	3	303	154
51024	10	18	10	4	3	303	790
51024	11	17	9	4	3	303	790
51024	12	16	8	4	3	303	154
51024	13	15	8	4	3	303	154
51024	14	14	7	4	3	303	154
51025	10	18	12	4	3	303	796
51025	11	17	11	4	3	303	796
51025	12	16	10	4	3	303	790
51025	13	15	9	4	3	303	790
51025	14	14	8	4	3	303	154
51026	10	19	10	4	3	303	790
51026	11	18	0	 	 	 	 
51026	12	17	9	4	3	303	160
51026	13	16	9	4	3	303	160
51026	14	15	8	4	3	303	154
51027	10	18	12	4	3	303	796
51027	11	17	11	4	3	303	796
51027	12	16	10	4	3	303	790
51027	13	15	9	4	3	303	790
51027	14	14	9	4	3	303	177
51028	10	18	10	4	3	303	790
51028	11	17	9	4	3	303	790
51028	12	16	8	4	3	303	154
51028	13	15	8	4	3	303	154
51028	14	14	7	4	3	303	154
51029	10	19	0	 	 	 	 
51029	11	18	0	 	 	 	 
51029	12	17	21	4	3	303	797
51029	13	16	10	4	3	303	177
51029	14	15	9	4	3	303	177
51030	10	19	0	 	 	 	 
51030	11	18	0	 	 	 	 
51030	12	17	0	 	 	 	 
51030	13	16	10	4	3	303	790
51030	14	15	9	4	3	303	790
51031	10	18	0	 	 	 	 
51031	11	17	0	 	 	 	 
51031	12	16	0	 	 	 	 
51031	13	15	7	4	3	303	164
51031	14	14	7	4	3	303	164
51032	10	19	0	 	 	 	 
51032	11	18	0	 	 	 	 
51032	12	17	0	 	 	 	 
51032	13	16	0	 	 	 	 
51032	14	15	0	 	 	 	 
51033	10	19	0	 	 	 	 
51033	11	18	0	 	 	 	 
51033	12	17	8	4	3	303	154
51033	13	16	7	4	3	303	154
51033	14	15	6	4	3	303	154
51034	10	19	9	4	3	303	790
51034	11	18	8	4	3	303	154
51034	12	17	7	4	3	303	154
51034	13	16	6	4	3	303	154
51034	14	15	5	4	3	303	154
51035	10	18	0	 	 	 	 
51035	11	17	9	4	3	303	790
51035	12	16	8	4	3	303	153
51035	13	15	7	4	3	303	154
51035	14	14	6	4	3	303	154
51036	10	18	0	 	 	 	 
51036	11	17	8	4	3	303	154
51036	12	16	7	4	3	303	154
51036	13	15	6	4	3	303	154
51036	14	14	5	4	3	303	154
51038	10	18	32	4	5	502	1163
51038	11	17	12	4	3	303	796
51038	12	16	11	4	3	303	796
51038	13	15	10	4	3	303	793
51038	14	14	9	4	3	303	793
51039	10	19	10	4	3	303	790
51039	11	18	9	4	3	303	790
51039	12	17	8	4	3	303	154
51039	13	16	7	4	3	303	154
51039	14	15	7	4	3	303	154
51040	10	18	26	4	3	303	797
51040	11	17	21	4	3	303	797
51040	12	16	21	4	3	303	797
51040	13	15	0	 	 	 	 
51040	14	14	10	4	3	303	177
51041	10	18	9	4	3	303	790
51041	11	17	0	 	 	 	 
51041	12	16	8	4	3	303	154
51041	13	15	7	4	3	303	154
51041	14	14	6	4	3	303	154
51042	10	19	12	4	3	303	796
51042	11	18	11	4	3	303	796
51042	12	17	10	4	3	303	790
51042	13	16	9	4	3	303	790
51042	14	15	8	4	3	303	154
51043	10	18	12	4	3	303	833
51043	11	17	11	4	3	303	833
51043	12	16	10	4	3	303	790
51043	13	15	9	4	3	303	790
51043	14	14	8	4	3	303	154
51044	10	19	11	4	3	303	160
51044	11	18	10	4	3	303	790
51044	12	17	9	4	3	303	790
51044	13	16	9	4	3	303	154
51044	14	15	8	4	3	303	154
51045	10	19	0	 	 	 	 
51045	11	18	0	 	 	 	 
51045	12	17	10	4	3	303	790
51045	13	16	10	4	3	303	796
51045	14	15	9	4	3	303	796
51046	10	19	8	4	3	303	154
51046	11	18	7	4	3	303	154
51046	12	17	6	4	3	303	154
51046	13	16	5	4	3	303	154
51046	14	15	0	 	 	 	 
51047	10	19	0	 	 	 	 
51047	11	18	6	4	3	303	154
51047	12	17	5	4	3	303	154
51047	13	16	4	4	3	303	154
51047	14	15	0	 	 	 	 
51048	10	19	0	 	 	 	 
51048	11	18	0	 	 	 	 
51048	12	17	0	 	 	 	 
51048	13	16	0	 	 	 	 
51048	14	15	0	 	 	 	 
51049	10	18	0	 	 	 	 
51049	11	17	0	 	 	 	 
51049	12	16	0	 	 	 	 
51049	13	15	0	 	 	 	 
51049	14	14	10	4	3	303	177
51050	10	19	8	4	3	303	154
51050	11	18	9	4	3	303	154
51050	12	17	10	4	3	303	154
51050	13	16	11	4	3	303	796
51050	14	15	12	4	3	303	796
61002	10	18	0	 	 	 	 
61002	11	17	0	 	 	 	 
61002	12	16	0	 	 	 	 
61002	13	15	0	 	 	 	 
61002	14	14	7	4	3	302	138
61003	10	18	10	4	3	302	139
61003	11	17	9	4	3	302	139
61003	12	16	8	4	3	302	138
61003	13	15	7	4	3	302	138
61003	14	14	6	4	3	302	138
61004	10	19	9	4	3	302	139
61004	11	18	8	4	3	302	138
61004	12	17	7	4	3	302	138
61004	13	16	6	4	3	302	138
61004	14	15	5	4	3	302	138
61005	10	18	8	4	3	302	138
61005	11	17	7	4	3	302	138
61005	12	16	6	4	3	302	138
61005	13	15	5	4	3	302	138
61005	14	14	5	4	3	302	138
61007	10	19	0	 	 	 	 
61007	11	18	0	 	 	 	 
61007	12	17	0	 	 	 	 
61007	13	16	0	 	 	 	 
61007	14	15	0	 	 	 	 
61008	10	19	9	4	3	302	139
61008	11	18	8	4	3	302	138
61008	12	17	7	4	3	302	138
61008	13	16	0	 	 	 	 
61008	14	15	6	4	3	302	138
61009	10	19	9	4	3	302	139
61009	11	18	8	4	3	302	257
61009	12	17	8	4	3	302	257
61009	13	16	7	4	3	302	257
61009	14	15	6	4	3	302	138
61010	10	20	32	4	3	306	791
61010	11	19	12	4	3	302	139
61010	12	18	11	4	3	302	139
61010	13	17	10	4	3	302	139
61010	14	16	9	4	3	302	139
61011	10	18	0	 	 	 	 
61011	11	17	0	 	 	 	 
61011	12	16	3	4	3	302	174
61011	13	15	0	 	 	 	 
61011	14	14	0	 	 	 	 
61012	10	19	0	 	 	 	 
61012	11	18	4	4	3	302	138
61012	12	17	3	4	3	302	138
61012	13	16	2	4	3	302	138
61012	14	15	1	4	3	302	138
61014	10	19	0	 	 	 	 
61014	11	18	0	 	 	 	 
61014	12	17	0	 	 	 	 
61014	13	16	0	 	 	 	 
61014	14	15	0	 	 	 	 
61015	10	19	0	 	 	 	 
61015	11	18	0	 	 	 	 
61015	12	17	0	 	 	 	 
61015	13	16	0	 	 	 	 
61015	14	15	0	 	 	 	 
61016	10	19	0	 	 	 	 
61016	11	18	0	 	 	 	 
61016	12	17	0	 	 	 	 
61016	13	16	0	 	 	 	 
61016	14	15	0	 	 	 	 
61018	10	18	0	 	 	 	 
61018	11	17	0	 	 	 	 
61018	12	16	0	 	 	 	 
61018	13	15	0	 	 	 	 
61018	14	14	0	 	 	 	 
61019	10	19	0	 	 	 	 
61019	11	18	0	 	 	 	 
61019	12	17	0	 	 	 	 
61019	13	16	0	 	 	 	 
61019	14	15	0	 	 	 	 
61020	10	19	0	 	 	 	 
61020	11	18	0	 	 	 	 
61020	12	17	10	4	3	302	139
61020	13	16	9	4	3	302	139
61020	14	15	8	4	3	302	138
61021	10	18	0	 	 	 	 
61021	11	17	0	 	 	 	 
61021	12	16	6	4	3	302	138
61021	13	15	5	4	3	302	138
61021	14	14	4	4	3	302	138
61022	10	19	9	4	3	302	139
61022	11	18	8	4	3	302	138
61022	12	17	7	4	3	302	138
61022	13	16	0	 	 	 	 
61022	14	15	0	 	 	 	 
61023	10	19	0	 	 	 	 
61023	11	18	0	 	 	 	 
61023	12	17	0	 	 	 	 
61023	13	16	0	 	 	 	 
61023	14	15	0	 	 	 	 
61024	10	19	0	 	 	 	 
61024	11	18	0	 	 	 	 
61024	12	17	0	 	 	 	 
61024	13	16	0	 	 	 	 
61024	14	15	0	 	 	 	 
61025	10	19	12	4	3	302	139
61025	11	18	11	4	3	302	139
61025	12	17	10	4	3	302	139
61025	13	16	9	4	3	302	139
61025	14	15	8	4	3	302	138
61026	10	19	0	 	 	 	 
61026	11	18	0	 	 	 	 
61026	12	17	0	 	 	 	 
61026	13	16	0	 	 	 	 
61026	14	15	0	 	 	 	 
61027	10	19	0	 	 	 	 
61027	11	18	0	 	 	 	 
61027	12	17	0	 	 	 	 
61027	13	16	0	 	 	 	 
61027	14	15	0	 	 	 	 
61029	10	18	0	 	 	 	 
61029	11	17	0	 	 	 	 
61029	12	16	0	 	 	 	 
61029	13	15	0	 	 	 	 
61029	14	14	0	 	 	 	 
61031	10	19	12	4	3	302	139
61031	11	18	11	4	3	302	139
61031	12	17	10	4	3	302	139
61031	13	16	9	4	3	302	139
61031	14	15	8	4	3	302	138
61033	10	18	8	4	3	302	138
61033	11	17	7	4	3	302	138
61033	12	16	6	4	3	302	138
61033	13	15	5	4	3	302	138
61033	14	14	4	4	3	302	138
61034	10	19	9	4	3	302	139
61034	11	18	8	4	3	302	138
61034	12	17	7	4	3	302	138
61034	13	16	6	4	3	302	138
61034	14	15	5	4	3	302	138
61036	10	19	10	4	3	302	139
61036	11	18	9	4	3	302	139
61036	12	17	9	4	3	302	139
61036	13	16	0	 	 	 	 
61036	14	15	9	4	3	302	139
61037	10	19	0	 	 	 	 
61037	11	18	0	 	 	 	 
61037	12	17	0	 	 	 	 
61037	13	16	0	 	 	 	 
61037	14	15	0	 	 	 	 
61038	10	19	0	 	 	 	 
61038	11	18	0	 	 	 	 
61038	12	17	0	 	 	 	 
61038	13	16	0	 	 	 	 
61038	14	15	0	 	 	 	 
61039	10	18	7	4	3	302	138
61039	11	17	6	4	3	302	138
61039	12	16	6	4	3	302	138
61039	13	15	5	4	3	302	138
61039	14	14	4	4	3	302	138
61041	10	19	0	 	 	 	 
61041	11	18	10	4	3	302	139
61041	12	17	9	4	3	302	139
61041	13	16	8	4	3	302	138
61041	14	15	7	4	3	302	138
61044	10	19	11	4	3	302	139
61044	11	18	10	4	3	302	139
61044	12	17	9	4	3	302	139
61044	13	16	8	4	3	302	138
61044	14	15	7	4	3	302	138
61046	10	19	0	 	 	 	 
61046	11	18	10	4	3	302	139
61046	12	17	9	4	3	302	139
61046	13	16	8	4	3	302	138
61046	14	15	7	4	3	302	138
61047	10	19	0	 	 	 	 
61047	11	18	0	 	 	 	 
61047	12	17	7	4	3	302	138
61047	13	16	6	4	3	302	138
61047	14	15	5	4	3	302	138
61049	10	18	8	4	3	302	142
61049	11	17	7	4	3	302	142
61049	12	16	6	4	3	302	142
61049	13	15	5	4	3	302	142
61049	14	14	4	4	3	302	142
61050	10	19	0	 	 	 	 
61050	11	18	10	4	3	302	139
61050	12	17	9	4	3	302	139
61050	13	16	8	4	3	302	136
61050	14	15	8	4	3	302	136
61051	10	19	0	 	 	 	 
61051	11	18	0	 	 	 	 
61051	12	17	0	 	 	 	 
61051	13	16	0	 	 	 	 
61051	14	15	0	 	 	 	 
61052	10	19	0	 	 	 	 
61052	11	18	10	4	3	302	139
61052	12	17	9	4	3	302	139
61052	13	16	8	4	3	302	136
61052	14	15	7	4	3	302	136
61054	10	18	10	4	3	302	139
61054	11	17	9	4	3	302	139
61054	12	16	8	4	3	302	136
61054	13	15	8	4	3	302	136
61054	14	14	7	4	3	302	136
61056	10	19	10	4	3	302	139
61056	11	18	9	4	3	302	139
61056	12	17	8	4	3	302	542
61056	13	16	8	4	3	302	142
61056	14	15	7	4	3	302	142
61057	10	18	7	4	3	302	257
61057	11	17	6	4	3	302	257
61057	12	16	5	4	3	302	142
61057	13	15	4	4	3	302	142
61057	14	14	3	4	3	302	142
61058	10	19	0	 	 	 	 
61058	11	18	3	4	3	302	142
61058	12	17	2	4	3	302	168
61058	13	16	2	4	3	302	168
61058	14	15	1	4	3	302	168
61059	10	19	7	4	3	302	142
61059	11	18	6	4	3	302	142
61059	12	17	5	4	3	302	142
61059	13	16	5	4	3	302	142
61059	14	15	4	4	3	302	142
71001	10	19	8	4	3	302	189
71001	11	18	8	4	3	302	189
71001	12	17	7	4	3	302	189
71001	13	16	6	4	3	302	189
71001	14	15	5	4	3	302	189
71002	10	18	9	4	3	302	801
71002	11	17	0	 	 	 	 
71002	12	16	8	4	3	301	189
71002	13	15	7	4	3	302	189
71002	14	14	6	4	3	302	189
71003	10	18	0	 	 	 	 
71003	11	17	8	4	3	302	189
71003	12	16	8	4	3	302	189
71003	13	15	7	4	3	302	189
71003	14	14	6	4	3	302	189
71004	10	19	9	4	3	302	172
71004	11	18	9	4	3	302	172
71004	12	17	8	4	3	302	189
71004	13	16	7	4	3	302	189
71004	14	15	6	4	3	302	189
71005	10	18	21	4	3	302	493
71005	11	17	10	4	3	302	493
71005	12	16	9	4	3	302	172
71005	13	15	8	4	3	302	172
71005	14	14	7	4	3	302	1204
71006	10	18	0	 	 	 	 
71006	11	17	9	4	3	302	172
71006	12	16	8	4	3	302	493
71006	13	15	7	4	3	302	493
71006	14	14	6	4	3	302	493
71007	10	18	0	 	 	 	 
71007	11	17	0	 	 	 	 
71007	12	16	8	4	3	302	189
71007	13	15	7	4	3	302	189
71007	14	14	6	4	3	302	189
71008	10	18	9	4	3	302	172
71008	11	17	0	 	 	 	 
71008	12	16	8	4	3	302	189
71008	13	15	7	4	3	302	189
71008	14	14	6	4	3	302	189
71009	10	18	8	4	3	302	189
71009	11	17	7	4	3	302	189
71009	12	16	6	4	3	302	189
71009	13	15	5	4	3	302	189
71009	14	14	4	4	3	302	189
71010	10	18	9	4	3	302	172
71010	11	17	8	4	3	302	493
71010	12	16	7	4	3	302	493
71010	13	15	6	4	3	302	493
71010	14	14	6	4	3	302	493
71011	10	18	8	4	3	302	493
71011	11	17	7	4	3	302	493
71011	12	16	7	4	3	302	493
71011	13	15	6	4	3	302	493
71011	14	14	5	4	3	302	493
71012	10	18	8	4	3	302	189
71012	11	17	8	4	3	302	189
71012	12	16	0	 	 	 	 
71012	13	15	7	4	3	302	189
71012	14	14	6	4	3	302	189
71013	10	18	9	4	3	302	172
71013	11	17	8	4	3	302	493
71013	12	16	7	4	3	302	493
71013	13	15	6	4	3	302	493
71013	14	14	5	4	3	302	493
71014	10	18	8	4	3	302	493
71014	11	17	0	 	 	 	 
71014	12	16	8	4	3	302	493
71014	13	15	8	4	3	302	493
71014	14	14	7	4	3	302	493
71015	10	18	6	4	3	302	493
71015	11	17	5	4	3	302	493
71015	12	16	4	4	3	302	493
71015	13	15	4	4	3	302	493
71015	14	14	3	4	3	302	493
71016	10	19	9	4	3	302	172
71016	11	18	8	4	3	302	493
71016	12	17	7	4	3	302	493
71016	13	16	6	4	3	302	493
71016	14	15	5	4	3	302	493
71017	10	18	11	4	3	302	172
71017	11	17	10	4	3	302	172
71017	12	16	9	4	3	302	172
71017	13	15	8	4	3	302	189
71017	14	14	7	4	3	302	189
71018	10	18	0	 	 	 	 
71018	11	17	0	 	 	 	 
71018	12	16	8	4	3	302	189
71018	13	15	7	4	3	302	189
71018	14	14	6	4	3	302	189
71019	10	18	0	 	 	 	 
71019	11	17	21	4	3	302	1204
71019	12	16	10	4	3	302	172
71019	13	15	9	4	3	302	172
71019	14	14	8	4	3	302	493
71020	10	19	21	1	3	302	800
71020	11	18	10	4	3	302	172
71020	12	17	9	4	3	302	172
71020	13	16	8	4	3	302	189
71020	14	15	7	4	3	302	189
71021	10	19	7	4	3	302	189
71021	11	18	6	4	3	302	189
71021	12	17	5	4	3	302	189
71021	13	16	4	4	3	302	189
71021	14	15	0	 	 	 	 
71022	10	18	9	4	3	302	172
71022	11	17	8	4	3	302	493
71022	12	16	7	4	3	302	493
71022	13	15	6	4	3	302	493
71022	14	14	5	4	3	302	493
71024	10	19	0	 	 	 	 
71024	11	18	12	4	3	302	172
71024	12	17	11	4	3	302	172
71024	13	16	10	4	3	302	172
71024	14	15	9	4	3	302	172
71025	10	19	12	4	3	302	172
71025	11	18	11	4	3	302	172
71025	12	17	10	4	3	302	172
71025	13	16	9	4	3	302	172
71025	14	15	8	4	3	302	493
71026	10	18	9	4	3	301	172
71026	11	17	8	4	3	302	189
71026	12	16	7	4	3	302	189
71026	13	15	6	4	3	302	189
71026	14	14	5	4	3	302	189
71027	10	18	8	4	3	302	189
71027	11	17	8	4	3	302	189
71027	12	16	8	4	3	302	189
71027	13	15	7	4	3	302	189
71027	14	14	6	4	3	302	189
71028	10	19	0	 	 	 	 
71028	11	18	0	 	 	 	 
71028	12	17	0	 	 	 	 
71028	13	16	0	 	 	 	 
71028	14	15	7	4	3	302	189
71029	10	19	8	4	3	302	189
71029	11	18	8	4	3	302	189
71029	12	17	7	4	3	302	189
71029	13	16	6	4	3	302	189
71029	14	15	5	4	3	302	189
71030	10	19	12	4	3	302	172
71030	11	18	11	4	3	302	172
71030	12	17	10	4	3	302	172
71030	13	16	9	4	3	302	172
71030	14	15	8	4	3	302	493
71031	10	18	8	4	3	302	493
71031	11	17	7	4	3	302	493
71031	12	16	6	4	3	302	493
71031	13	15	5	4	3	302	493
71031	14	14	4	4	3	302	493
71032	10	19	9	4	14	1403	558
71032	11	18	9	4	3	302	172
71032	12	17	9	4	3	302	172
71032	13	16	8	4	3	302	189
71032	14	15	7	4	3	302	189
71033	10	18	9	4	3	302	172
71033	11	17	8	4	3	302	189
71033	12	16	8	4	3	302	189
71033	13	15	7	4	3	302	189
71033	14	14	6	4	3	302	189
71034	10	18	8	4	3	302	189
71034	11	17	7	4	3	302	189
71034	12	16	6	4	3	302	189
71034	13	15	5	4	3	302	189
71034	14	14	4	4	3	302	189
71035	10	18	0	 	 	 	 
71035	11	17	3	4	3	302	498
71035	12	16	2	4	3	302	498
71035	13	15	1	4	3	302	498
71035	14	14	0	 	 	 	 
71036	10	19	41	1	14	1407	554
71036	11	18	41	1	14	1407	554
71036	12	17	41	1	14	1407	554
71036	13	16	10	4	3	302	172
71036	14	15	9	4	3	302	172
71037	10	19	10	4	3	302	172
71037	11	18	9	4	3	302	172
71037	12	17	8	4	3	302	189
71037	13	16	7	4	3	302	189
71037	14	15	6	4	3	302	189
71038	10	19	0	 	 	 	 
71038	11	18	0	 	 	 	 
71038	12	17	0	 	 	 	 
71038	13	16	4	4	3	302	493
71038	14	15	3	4	3	302	493
71039	10	18	9	4	3	302	172
71039	11	17	0	 	 	 	 
71039	12	16	9	4	3	302	172
71039	13	15	8	4	3	302	493
71039	14	14	7	4	3	302	493
71040	10	18	0	 	 	 	 
71040	11	17	0	 	 	 	 
71040	12	16	0	 	 	 	 
71040	13	15	0	 	 	 	 
71040	14	14	6	4	3	302	493
71041	10	18	0	 	 	 	 
71041	11	17	0	 	 	 	 
71041	12	16	0	 	 	 	 
71041	13	15	0	 	 	 	 
71041	14	14	9	4	3	302	172
71042	10	18	9	4	3	302	172
71042	11	17	8	4	3	302	493
71042	12	16	7	4	3	302	493
71042	13	15	6	4	3	302	493
71042	14	14	5	4	3	302	493
71043	10	18	8	4	3	302	493
71043	11	17	8	4	3	302	493
71043	12	16	7	4	3	302	493
71043	13	15	6	4	3	302	493
71043	14	14	5	4	3	302	493
71044	10	18	9	4	3	302	172
71044	11	17	8	4	3	302	493
71044	12	16	8	4	3	302	493
71044	13	15	7	4	3	302	493
71044	14	14	6	4	3	302	493
71045	10	18	0	 	 	 	 
71045	11	17	0	 	 	 	 
71045	12	16	0	 	 	 	 
71045	13	15	10	4	3	302	172
71045	14	14	9	4	3	302	172
71046	10	18	10	4	3	302	172
71046	11	17	9	4	3	302	172
71046	12	16	9	4	3	302	172
71046	13	15	8	4	3	302	493
71046	14	14	7	4	3	302	493
71047	10	18	9	4	3	302	172
71047	11	17	9	4	3	302	172
71047	12	16	8	4	3	302	493
71047	13	15	7	4	3	302	493
71047	14	14	7	4	3	302	493
71048	10	19	38	4	2	202	788
71048	11	18	33	4	2	202	788
71048	12	17	36	4	2	202	788
71048	13	16	12	4	3	302	172
71048	14	15	11	4	3	302	172
71049	10	19	10	4	3	302	172
71049	11	18	9	4	3	302	172
71049	12	17	8	4	3	302	493
71049	13	16	7	3	3	302	493
71049	14	15	6	4	3	302	493
81001	10	19	10	4	4	407	877
81001	11	18	9	4	4	407	877
81001	12	17	8	4	4	407	201
81001	13	16	7	4	4	407	201
81001	14	15	6	4	4	407	201
81002	10	19	0	 	 	 	 
81002	11	18	0	 	 	 	 
81002	12	17	0	 	 	 	 
81002	13	16	5	4	4	407	209
81002	14	15	4	4	4	407	209
81003	10	19	9	4	4	407	877
81003	11	18	9	4	4	407	877
81003	12	17	8	4	4	407	209
81003	13	16	7	4	4	407	209
81003	14	15	6	4	4	407	209
81004	10	19	8	4	4	407	209
81004	11	18	7	4	4	407	209
81004	12	17	6	4	4	408	209
81004	13	16	5	4	4	407	209
81004	14	15	4	4	4	407	209
81005	10	19	0	 	 	 	 
81005	11	18	0	 	 	 	 
