PLACEID	STRTDINT	DISTRID	CLUSTID	MAPLOC	CHRINF1	CHRINF2	CHRINF3	POPSIZE	PAVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	RAILN	OTTRANN	MAINRTR4	FACTORY	KNDFACE1	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10
823	27/12/2013 06:43:29	RAICHOOR,      STATE; (KARNATAKA).	99	0	1	2	3	9500	0	0	1	1	0	0	0	3	2	11	0	1	2	3	1	2	3	1	17	16	4	5	6	7	8	9	10	11	12	13
824	26/12/2013 06:23:29	MAHABOOBNAGAR	99	1	1	2	8	1580	1	0	1	1	0	0	0	3	2	11	1	1	4	8	1	4	8	4	5	8	9	10	11	12	13	14	15	16	17	18
825	10/01/2014 07:17:51	MAHABUBNAGAR	99	1	1	2	3	3600	1	1	0	1	0	0	0	2	0	 	1	7	1	2	1	2	3	4	5	7	8	10	11	12	13	14	15	16	17	1
826	10/01/2014 09:35:52	MAHABUBNAGAR	19	1	1	2	3	1550	0	0	1	1	0	0	0	3	0	 	1	1	3	4	1	3	6	1	4	5	7	8	9	10	12	13	14	11	1	4
827	09/01/2014 08:57:51	MAHABOOBNAGAR	99	0	2	3	4	1250	1	1	1	1	0	0	0	1	2	11	1	1	3	5	3	5	6	4	5	7	9	10	11	12	13	14	15	16	17	18
828	11/01/2014 07:03:04	MAHABOOBNAGAR	99	1	1	2	3	1650	0	0	1	1	0	0	0	3	1	18	0	3	4	5	1	2	3	3	4	5	7	8	9	10	11	12	13	14	17	18
829	23/01/2014 09:10:58	RANGAREDDY	99	0	1	2	3	4700	1	1	1	1	0	0	0	3	2	10	1	1	2	4	1	2	4	3	7	8	9	10	11	12	13	14	15	16	17	18
830	24/01/2014 10:55:24	RANGAREDDY	99	0	1	2	3	3075	1	1	1	1	0	0	0	1	2	18	1	1	2	4	2	4	5	6	7	8	10	11	12	13	14	15	16	17	18	19
831	24/01/2014 16:15:34	MAHABOOBNAGAR	99	0	1	2	3	1900	1	1	1	1	0	1	0	2	1	1	0	1	2	3	1	2	3	3	4	5	7	8	9	10	11	12	13	14	15	16
832	24/01/2014 06:27:25	RANGAREDDY	99	0	1	3	4	14000	1	1	1	1	0	0	0	3	2	2	1	1	2	3	1	3	4	4	5	6	8	9	10	11	12	13	14	15	16	17
951	23/11/2013 16:29:20	RANGAREDDY	99	0	1	2	5	20000	1	1	1	1	0	0	0	3	2	16	1	1	4	5	1	3	8	2	4	5	9	10	12	14	16	18	20	22	24	26
952	03/12/2013 12:24:03	EAST GODAVARI	99	0	1	2	3	5035	0	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
953	16/01/2014 10:53:48	MEDAK	99	0	1	2	21	100000	0	0	1	1	0	0	0	3	2	11	0	1	2	3	1	3	4	1	2	3	1	5	7	9	11	13	15	17	19	21
954	03/03/2014 12:16:59	PRAKASHM	99	0	1	2	3	1600	1	0	1	0	0	0	0	3	0	 	1	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
955	21/01/2014 19:57:34	WARANGAL	99	0	3	4	8	2652	0	0	1	0	0	0	0	3	0	 	1	3	4	8	3	4	8	3	4	8	1	2	3	4	5	6	7	8	1	2
956	21/01/2014 09:55:32	KARIMNAGAR	99	0	1	7	8	2800	0	0	1	0	0	0	0	3	0	 	1	1	7	8	1	7	8	1	7	8	1	2	3	4	5	6	7	8	1	2
233	21/01/2014 17:55:47	MEDAK	99	0	1	7	8	1956	0	0	1	0	0	0	0	3	0	 	0	1	7	8	1	7	8	1	7	8	1	2	3	4	5	6	7	8	1	2
958	06/03/2014 12:34:43	RAYAGADA	99	0	1	2	3	3000	0	0	1	0	0	1	0	3	0	 	0	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13
959	28/01/2014 19:07:13	MEDAK	99	0	2	7	8	500	0	0	1	0	0	0	0	3	0	 	0	2	7	8	2	7	8	2	7	8	1	2	3	4	5	6	7	8	1	2
