childid	foodid	foodcode	foodnum	foodamt	foodcost
PE148048	1	1	48	2	1.5
PE148048	2	3	48	1	2
PE148049	1	1	24	2	2
PE148049	2	8	24	290	.699999988079071
PE148049	3	10	20	1	.5
PE148049	4	9	20	1	.100000001490116
PE148051	1	3	48	250	1
PE148051	2	1	48	1	1.79999995231628
PE158003	1	10	200	1	1
PE158008	1	1	12	6	2.20000004768372
PE158009	1	1	144	12	1.20000004768372
PE158009	2	10	200	1	1
PE158009	3	10	160	1	1
PE158010	1	10	240	2	2
PE158011	1	10	180	1	2
PE158012	1	10	180	1	1.5
PE158013	1	10	120	1	2
PE158014	1	10	220	1	2
PE158016	1	10	140	1	2
PE158017	1	10	120	1	1
PE158018	1	1	12	7	2.20000004768372
PE158019	1	10	120	1	1
PE158020	1	10	163	1	1
PE158022	1	10	200	1	2.5
PE158023	1	10	180	1	2
PE158025	1	10	140	1	2
PE158026	1	10	120	2	1
PE158031	1	1	48	4	2
PE158031	2	3	72	6	1
PE158031	3	10	360	3	2
PE158032	1	10	240	2	2.5
PE158034	1	1	12	3	1.89999997615814
PE158034	2	10	144	1	3
PE158037	1	10	136	1	2
PE158039	1	10	72	1	1.5
PE158040	1	1	12	4	2.20000004768372
PE158040	2	10	160	1	2
PE158042	1	10	20	1	2
PE158045	1	1	12	4	2
PE158045	2	3	6	3	1
PE158046	1	10	170	1	1
PE158047	1	10	12	1	1
PE158048	1	10	104	1	1
PE158054	1	10	360	3	2
PE158056	1	10	180	1	2.5
PE158057	1	1	36	3	2
PE158057	2	10	180	1	1
PE168001	1	4	9	3	3
PE168001	2	1	5	3	1.5
PE168001	3	3	5	1	2
PE168001	4	10	180	1	1
PE168001	5	10	360	2	.5
PE168001	6	9	360	2	.300000011920929
PE168002	1	8	4	25	2
PE168002	2	6	4	8	2.5
PE168002	3	5	4	3	4
PE168002	4	1	6	9	1.20000004768372
PE168002	5	3	6	2	2.5
PE168002	6	10	240	5	1
PE168003	1	1	6	3	2
PE168003	2	3	6	1	3
PE168003	3	2	1	8	1
PE168003	4	5	1	5	5
PE168003	5	6	1	8	2
PE168003	6	8	4	25	1.5
PE168003	7	5	4	3	5
PE168004	1	10	20	4	3
PE168004	2	8	4	1	3
PE168004	3	1	4	3	1
PE168005	1	5	3	2	80
PE168005	2	2	3	25	.5
PE168005	3	6	3	5	4
PE168005	4	1	6	1	1
PE168005	5	1	6	6	1
PE168006	1	1	4	6	1
PE168006	2	3	4	1	2
PE168006	3	6	3	2	1
PE168006	4	8	3	6	1.5
PE168006	5	5	3	3	3.5
PE168007	1	3	12	1	3
PE168007	2	1	12	6	1.29999995231628
PE168007	3	10	9	2	.5
