CHILDCODE	ASSTIDR5	ASSETR5	NUMASSR5	ASACTR5	NMOWNR5	VLASTR5
51010	1	15	18	12	0	 
51010	2	88	 	 	 	 
51010	3	88	 	 	 	 
51012	1	 	 	 	 	 
51012	2	 	 	 	 	 
51012	3	 	 	 	 	 
51013	1	 	 	 	 	 
51013	2	 	 	 	 	 
51013	3	 	 	 	 	 
51014	1	 	 	 	 	 
51014	2	 	 	 	 	 
51014	3	 	 	 	 	 
51015	1	 	 	 	 	 
51015	2	 	 	 	 	 
51015	3	 	 	 	 	 
51016	1	1	3	11	3	500
51016	2	88	 	 	 	 
51016	3	88	 	 	 	 
51017	1	15	9	12	9	1080
51017	2	88	 	 	 	 
51017	3	88	 	 	 	 
51018	1	1	1	11	1	400
51018	2	88	 	 	 	 
51018	3	88	 	 	 	 
51021	1	 	 	 	 	 
51021	2	 	 	 	 	 
51021	3	 	 	 	 	 
51022	1	 	 	 	 	 
51022	2	 	 	 	 	 
51022	3	 	 	 	 	 
51024	1	30	8	26	8	700
51024	2	88	 	 	 	 
51024	3	88	 	 	 	 
51025	1	15	15	26	15	1400
51025	2	8	3	11	3	180
51025	3	88	 	 	 	 
51026	1	 	 	 	 	 
51026	2	 	 	 	 	 
51026	3	 	 	 	 	 
51027	1	30	16	26	16	531
51027	2	88	 	 	 	 
51027	3	88	 	 	 	 
51028	1	18	13	18	10	4460
51028	2	15	25	12	25	1000
51028	3	8	4	11	1	10
51029	1	25	1	24	1	70000
51029	2	88	 	 	 	 
51029	3	88	 	 	 	 
51030	1	9	20	2	20	7000
51030	2	88	 	 	 	 
51030	3	88	 	 	 	 
51031	1	 	 	 	 	 
51031	2	 	 	 	 	 
51031	3	 	 	 	 	 
51032	1	1	9	11	9	360
51032	2	88	 	 	 	 
51032	3	88	 	 	 	 
51033	1	1	4	11	4	400
51033	2	88	 	 	 	 
51033	3	88	 	 	 	 
51034	1	30	2	27	2	24
51034	2	88	 	 	 	 
51034	3	88	 	 	 	 
51035	1	 	 	 	 	 
51035	2	 	 	 	 	 
51035	3	 	 	 	 	 
51036	1	1	6	11	6	145
51036	2	88	 	 	 	 
51036	3	88	 	 	 	 
51037	1	 	 	 	 	 
51037	2	 	 	 	 	 
51037	3	 	 	 	 	 
51038	1	 	 	 	 	 
51038	2	 	 	 	 	 
51038	3	 	 	 	 	 
51039	1	1	9	11	8	195
51039	2	88	 	 	 	 
51039	3	88	 	 	 	 
51041	1	8	2	29	2	100
51041	2	88	 	 	 	 
51041	3	88	 	 	 	 
51042	1	15	25	12	25	1850
51042	2	8	3	11	2	80
51042	3	88	 	 	 	 
51043	1	1	2	29	2	140
51043	2	88	 	 	 	 
51043	3	88	 	 	 	 
51044	1	1	11	11	11	1050
51044	2	88	 	 	 	 
51044	3	88	 	 	 	 
51046	1	 	 	 	 	 
51046	2	 	 	 	 	 
51046	3	 	 	 	 	 
51047	1	 	 	 	 	 
51047	2	 	 	 	 	 
51047	3	 	 	 	 	 
51048	1	 	 	 	 	 
51048	2	 	 	 	 	 
51048	3	 	 	 	 	 
51050	1	15	20	26	20	1000
51050	2	88	 	 	 	 
51050	3	88	 	 	 	 
61002	1	4	1	11	1	250
61002	2	1	6	11	6	150
61002	3	5	1	11	0	 
61003	1	13	4	7	0	 
61003	2	88	 	 	 	 
61003	3	88	 	 	 	 
61004	1	13	4	4	4	300
61004	2	30	4	23	4	1400
61004	3	30	1	23	1	1900
61005	1	4	1	11	0	 
61005	2	1	6	11	0	 
61005	3	88	 	 	 	 
61007	1	2	1	24	1	6000
61007	2	88	 	 	 	 
61007	3	88	 	 	 	 
61008	1	1	14	11	13	900
61008	2	4	8	11	8	500
61008	3	88	 	 	 	 
61009	1	1	7	11	7	250
61009	2	4	1	11	1	150
61009	3	5	1	11	0	 
61010	1	1	4	11	4	200
61010	2	4	1	11	1	80
61010	3	88	 	 	 	 
61011	1	1	5	11	5	200
61011	2	4	2	11	2	150
61011	3	88	 	 	 	 
61012	1	1	9	11	9	500
61012	2	4	8	11	8	330
61012	3	88	 	 	 	 
61014	1	 	 	 	 	 
61014	2	 	 	 	 	 
61014	3	 	 	 	 	 
61015	1	4	17	11	17	1400
61015	2	1	10	16	10	700
61015	3	88	 	 	 	 
61016	1	5	1	11	1	5000
61016	2	1	1	11	1	530
61016	3	3	1	11	1	500
61018	1	30	2	23	1	180
61018	2	88	 	 	 	 
61018	3	88	 	 	 	 
61019	1	1	6	11	6	240
61019	2	4	1	11	1	90
61019	3	88	 	 	 	 
61020	1	1	9	11	9	320
61020	2	4	3	11	3	450
61020	3	5	1	11	1	9000
61021	1	 	 	 	 	 
