CHILDCODE	SPPGIDR5	SUPKNDR5	SUPWHOR5	SUPSRTR5	SUPENDR5	SUPFRQR5	SUPRIDR5
81046	1	27	36	2007	2008	7	70
81046	2	7	59	2007	2007	2	70
81047	1	1	5	2005	9999	1	70
81047	2	20	33	2008	9999	5	70
81047	3	5	13	2006	9999	1	19
81048	1	1	5	1996	9999	5	70
81048	2	20	33	2008	9999	7	70
81048	3	17	6	1998	9999	5	70
81049	1	1	5	1999	9999	1	70
81049	2	17	6	2005	9999	5	70
81049	3	20	33	2008	9999	7	70
91002	1	17	6	2006	9999	4	70
91002	2	1	5	2005	9999	5	80
91002	3	11	6	2006	9999	5	0
91002	4	20	33	2008	9999	6	70
91006	1	5	13	2008	9999	1	80
91007	1	1	5	1994	9999	5	70
91007	2	20	33	2008	9999	7	70
91007	3	8	6	1992	9999	9	2
91007	4	17	6	1999	9999	5	70
91007	5	5	13	1984	9999	1	2
91008	1	1	5	2007	9999	1	70
91008	2	5	13	2007	9999	1	80
91008	3	3	39	2007	9999	6	70
91010	1	1	5	1996	9999	6	70
91010	2	20	33	2008	9999	7	70
91010	3	8	6	2001	9999	9	2
91010	4	17	6	2003	9999	6	70
91011	1	17	6	2007	9999	5	70
91011	2	8	6	2006	9999	6	0
91012	1	1	5	1996	9999	6	70
91012	2	20	33	2008	9999	7	80
91012	3	8	6	1989	9999	5	7
91012	4	17	6	1999	9999	6	70
91012	5	5	13	2000	9999	1	6
91013	1	1	5	1996	9999	6	70
91013	2	20	33	2008	9999	7	80
91013	3	8	6	2002	9999	8	2
91013	4	5	13	2002	9999	1	2
91013	5	17	6	2002	9999	6	70
91014	1	20	33	2009	9999	7	0
91015	1	1	5	1998	9999	1	70
91015	2	17	6	2003	9999	3	70
91015	3	5	13	2008	9999	1	0
91015	4	20	33	2008	9999	7	70
91016	1	1	5	1986	9999	4	70
91016	2	8	6	1999	9999	5	2
91016	3	5	13	2002	9999	7	2
91016	4	17	6	1999	9999	5	70
91016	5	20	33	2008	9999	7	70
91017	1	8	6	2008	9999	5	0
91018	1	1	5	1986	9999	4	70
91018	2	17	6	1998	9999	5	70
91018	3	5	13	1997	9999	7	2
91018	4	20	33	2008	9999	7	70
91019	1	5	36	2009	9999	1	0
91021	1	1	5	1999	9999	1	70
91021	2	17	6	1996	9999	6	70
91021	3	5	13	2004	9999	1	1
91021	4	20	33	2008	9999	7	70
91021	5	4	39	2008	9999	7	70
91022	1	1	5	2000	9999	1	70
91022	2	20	33	2008	9999	7	70
91022	3	8	6	2000	9999	5	70
91023	1	8	6	2007	9999	5	0
91024	1	1	5	1996	9999	6	70
91024	2	20	33	2008	9999	7	70
