CHILDCODE	LANDIDR5	LNDTYPR5	TOTLNDR5	UNTLNDR5	PRIRRR5	TOTLIVR5	UNTLIVR5
101006	1	Y	1	4	5	1000	17
101006	2	N	 	 	 	 	 
101009	1	Y	2	4	5	650	17
101009	2	N	 	 	 	 	 
101011	1	Y	0	 	 	400	17
101011	2	N	 	 	 	 	 
101012	1	Y	0	 	 	320	17
101012	2	N	 	 	 	 	 
101013	1	Y	0	 	 	250	17
101013	2	N	 	 	 	 	 
101014	1	Y	0	 	 	20000	17
101014	2	N	 	 	 	 	 
101016	1	Y	0	 	 	500	17
101016	2	N	 	 	 	 	 
101017	1	Y	0	 	 	400	17
101017	2	N	 	 	 	 	 
101018	1	Y	0	 	 	400	17
101018	2	N	 	 	 	 	 
101019	1	N	 	 	 	 	 
101019	2	N	 	 	 	 	 
101020	1	Y	0	 	 	120	17
101020	2	N	 	 	 	 	 
101021	1	Y	0	 	 	750	17
101021	2	N	 	 	 	 	 
101022	1	Y	0	 	 	485	17
101022	2	N	 	 	 	 	 
101024	1	Y	4	2	5	250	17
101024	2	N	 	 	 	 	 
101025	1	Y	0	 	 	400	17
101025	2	N	 	 	 	 	 
101027	1	Y	0	 	 	300	17
101027	2	N	 	 	 	 	 
101028	1	N	 	 	 	 	 
101028	2	N	 	 	 	 	 
101029	1	Y	3	4	5	300	17
101029	2	N	 	 	 	 	 
101030	1	N	 	 	 	 	 
101030	2	Y	0	 	 	16	17
101031	1	Y	8	4	5	150	17
101031	2	N	 	 	 	 	 
101032	1	Y	0	 	 	400	17
101032	2	N	 	 	 	 	 
101035	1	Y	0	 	 	1000	17
101035	2	N	 	 	 	 	 
101036	1	N	 	 	 	 	 
101036	2	Y	0	 	 	24	17
101037	1	Y	2	2	5	620	17
101037	2	N	 	 	 	 	 
101040	1	N	 	 	 	 	 
101040	2	Y	0	 	 	16	17
101041	1	Y	0	 	 	660	17
101041	2	N	 	 	 	 	 
101044	1	Y	0	 	 	640	17
101044	2	N	 	 	 	 	 
101045	1	Y	0	 	 	200	17
101045	2	N	 	 	 	 	 
101046	1	Y	2	2	5	500	17
101046	2	N	 	 	 	 	 
101048	1	Y	0	 	 	200	17
101048	2	N	 	 	 	 	 
111002	1	N	 	 	 	 	 
111002	2	N	 	 	 	 	 
111003	1	Y	7	5	5	2.5	5
111003	2	N	 	 	 	 	 
111004	1	Y	2.25	2	5	.25	2
111004	2	Y	.75	2	5	-88	 
111005	1	Y	5	5	5	1000	17
111005	2	N	 	 	 	 	 
111006	1	Y	.25	2	5	.119999997317791	2
111006	2	Y	.25	2	5	-88	 
111008	1	Y	2	5	5	1	5
111008	2	Y	4	5	5	0	 
111009	1	Y	2	5	5	1000	5
111009	2	Y	6	5	5	0	 
111011	1	N	 	 	 	 	 
111011	2	Y	0	 	 	24	17
111012	1	Y	5	5	5	1000	5
111012	2	Y	4	5	5	0	 
111013	1	Y	7	5	5	1000	5
111013	2	N	 	 	 	 	 
111015	1	N	 	 	 	 	 
111015	2	Y	0	 	 	9	17
111016	1	Y	1.75	2	5	.25	2
111016	2	Y	.25	2	5	-88	 
111017	1	Y	1	5	5	1000	17
111017	2	Y	6	5	5	0	 
111018	1	Y	5	5	5	10000	17
111018	2	N	 	 	 	 	 
111019	1	Y	4	5	5	300	17
111019	2	N	 	 	 	 	 
111020	1	Y	2	2	5	1.5	5
111020	2	N	 	 	 	 	 
111021	1	Y	1.5	2	5	.119999997317791	2
111021	2	N	 	 	 	 	 
111022	1	Y	0	 	 	200	17
111022	2	N	 	 	 	 	 
111023	1	N	 	 	 	 	 
111023	2	Y	0	 	 	25	17
111024	1	Y	0	 	 	110	17
111024	2	N	 	 	 	 	 
111025	1	Y	5	5	5	300	17
111025	2	N	 	 	 	 	 
111027	1	N	 	 	 	 	 
111027	2	N	 	 	 	 	 
111028	1	Y	8	5	5	1.5	5
111028	2	Y	6	5	5	0	 
111030	1	Y	.75	2	5	.119999997317791	2
111030	2	Y	.349999994039536	2	5	-88	 
111031	1	Y	2	2	5	.25	2
111031	2	Y	1	2	5	-88	 
111032	1	Y	10	5	1	2	5
111032	2	Y	20	5	5	0	 
111034	1	Y	6.5	5	5	1000	17
111034	2	Y	6	5	5	-88	 
111035	1	N	 	 	 	 	 
111035	2	Y	12	17	5	12	17
111036	1	Y	5	5	5	1	5
111036	2	N	 	 	 	 	 
111037	1	Y	3	2	5	2000	17
111037	2	Y	2	2	5	-88	 
111040	1	Y	1	5	5	200	17
111040	2	N	 	 	 	 	 
111041	1	Y	3	5	5	0	 
111041	2	N	 	 	 	 	 
111042	1	Y	3	5	5	1000	17
111042	2	N	 	 	 	 	 
111043	1	Y	4	2	5	1000	17
111043	2	N	 	 	 	 	 
111044	1	N	 	 	 	 	 
111044	2	N	 	 	 	 	 
111045	1	Y	.25	2	5	.119999997317791	2
111045	2	Y	.25	2	5	-88	 
111047	1	Y	4	5	5	1000	17
111047	2	N	 	 	 	 	 
111048	1	Y	6	5	5	2000	17
111048	2	N	 	 	 	 	 
121002	1	Y	8	4	1	300	17
121002	2	N	 	 	 	 	 
121003	1	Y	1.75	4	5	.25	4
121003	2	N	 	 	 	 	 
121005	1	Y	0	 	 	60	17
121005	2	N	 	 	 	 	 
121007	1	N	 	 	 	 	 
121007	2	Y	0	 	 	30	17
121008	1	N	 	 	 	 	 
121008	2	Y	0	 	 	12	17
121009	1	Y	4	4	1	250	17
121009	2	N	 	 	 	 	 
121010	1	N	 	 	 	 	 
121010	2	N	 	 	 	 	 
121011	1	Y	2	4	5	150	17
121011	2	N	 	 	 	 	 
121012	1	Y	1	4	1	56	17
121012	2	N	 	 	 	 	 
121013	1	N	 	 	 	 	 
121013	2	Y	0	 	 	20	17
121014	1	Y	.5	2	1	0	 
121014	2	Y	0	 	 	130	17
121015	1	Y	1.5	4	5	28	17
121015	2	N	 	 	 	 	 
121018	1	Y	3	4	1	52	17
121018	2	N	 	 	 	 	 
121020	1	N	 	 	 	 	 
121020	2	Y	0	 	 	150	17
121021	1	Y	.5	4	5	100	17
121021	2	N	 	 	 	 	 
121022	1	Y	.25	4	5	150	17
121022	2	N	 	 	 	 	 
121023	1	Y	2	4	5	25	17
121023	2	N	 	 	 	 	 
121024	1	N	 	 	 	 	 
121024	2	Y	0	 	 	200	17
121026	1	N	 	 	 	 	 
121026	2	Y	0	 	 	12	17
121027	1	N	 	 	 	 	 
121027	2	Y	0	 	 	24	17
121028	1	Y	3	4	5	.25	4
121028	2	Y	3	4	5	0	 
121030	1	N	 	 	 	 	 
121030	2	Y	0	 	 	6	17
121031	1	N	 	 	 	 	 
121031	2	Y	0	 	 	40	17
121034	1	N	 	 	 	 	 
121034	2	Y	0	 	 	20	17
121037	1	Y	4	4	1	20	17
121037	2	Y	0	 	 	40	17
121038	1	N	 	 	 	 	 
121038	2	Y	0	 	 	20	17
121039	1	Y	1.75	4	5	150	17
121039	2	N	 	 	 	 	 
121040	1	N	 	 	 	 	 
121040	2	Y	0	 	 	40	17
121043	1	Y	2	4	4	250	17
121043	2	N	 	 	 	 	 
121046	1	Y	0	 	 	250	17
121046	2	N	 	 	 	 	 
121047	1	N	 	 	 	 	 
121047	2	Y	0	 	 	12	17
121050	1	Y	1	4	5	0	 
121050	2	Y	0	 	 	20	17
121053	1	N	 	 	 	 	 
121053	2	Y	0	 	 	32	17
121054	1	N	 	 	 	 	 
121054	2	Y	0	 	 	20	17
121055	1	Y	1	4	4	200	17
121055	2	N	 	 	 	 	 
121057	1	Y	1	4	5	400	17
121057	2	N	 	 	 	 	 
131001	1	Y	0	 	 	200	17
131001	2	N	 	 	 	 	 
131002	1	N	 	 	 	 	 
131002	2	Y	0	 	 	160	17
131004	1	N	 	 	 	 	 
131004	2	Y	0	 	 	12	17
131005	1	Y	0	 	 	175	17
131005	2	N	 	 	 	 	 
131006	1	N	 	 	 	 	 
131006	2	Y	0	 	 	32	17
131007	1	N	 	 	 	 	 
131007	2	Y	0	 	 	34	17
131008	1	N	 	 	 	 	 
131008	2	Y	0	 	 	200	17
131009	1	Y	3	4	5	0	 
131009	2	Y	0	 	 	150	17
131010	1	N	 	 	 	 	 
131010	2	Y	0	 	 	200	7
131011	1	Y	1	4	5	0	 
131011	2	Y	0	 	 	60	17
131012	1	Y	1	4	5	475	17
131012	2	N	 	 	 	 	 
131013	1	N	 	 	 	 	 
131013	2	Y	0	 	 	36	17
131015	1	Y	1	4	5	600	17
131015	2	N	 	 	 	 	 
131016	1	Y	2	4	5	0	 
131016	2	Y	0	 	 	25	17
131017	1	Y	0	 	 	800	17
131017	2	N	 	 	 	 	 
131018	1	Y	0	 	 	200	17
131018	2	N	 	 	 	 	 
131020	1	Y	1.5	4	5	350	17
131020	2	N	 	 	 	 	 
131021	1	Y	0	 	 	350	17
131021	2	N	 	 	 	 	 
131022	1	N	 	 	 	 	 
131022	2	Y	0	 	 	350	17
131023	1	Y	0	 	 	355	17
131023	2	Y	0	 	 	100	17
131024	1	Y	0	 	 	300	17
131024	2	N	 	 	 	 	 
131025	1	Y	0	 	 	300	17
131025	2	Y	0	 	 	150	17
131026	1	N	 	 	 	 	 
131026	2	Y	0	 	 	125	17
131027	1	N	 	 	 	 	 
131027	2	Y	0	 	 	12	17
131028	1	Y	4	4	5	500	20
131028	2	N	 	 	 	 	 
131029	1	Y	1	4	5	350	17
131029	2	N	 	 	 	 	 
131030	1	Y	4	4	5	500	4
131030	2	N	 	 	 	 	 
131031	1	Y	2	4	5	1	4
131031	2	N	 	 	 	 	 
131032	1	N	 	 	 	 	 
131032	2	Y	0	 	 	200	17
131033	1	Y	2	4	5	120	15
131033	2	Y	0	 	 	150	17
131034	1	N	 	 	 	 	 
131034	2	Y	0	 	 	200	17
131035	1	N	 	 	 	 	 
131035	2	Y	0	 	 	150	17
131036	1	Y	4	4	5	1000	17
131036	2	N	 	 	 	 	 
131037	1	N	 	 	 	 	 
131037	2	Y	0	 	 	200	17
131038	1	Y	2	4	5	200	17
131038	2	N	 	 	 	 	 
131039	1	Y	2	4	5	1	4
131039	2	N	 	 	 	 	 
131041	1	Y	2	4	5	600	17
131041	2	N	 	 	 	 	 
131042	1	N	 	 	 	 	 
131042	2	Y	0	 	 	70	17
131043	1	Y	1.5	2	5	1200	17
131043	2	N	 	 	 	 	 
131044	1	Y	0	 	 	300	17
131044	2	N	 	 	 	 	 
131045	1	Y	0	 	 	350	17
131045	2	N	 	 	 	 	 
131046	1	N	 	 	 	 	 
131046	2	Y	0	 	 	30	17
131047	1	N	 	 	 	 	 
131047	2	Y	0	 	 	32	17
131048	1	Y	0	 	 	656	17
131048	2	N	 	 	 	 	 
131049	1	Y	0	 	 	200	17
131049	2	N	 	 	 	 	 
131050	1	Y	0	 	 	912	17
131050	2	N	 	 	 	 	 
141001	1	N	 	 	 	 	 
141001	2	Y	0	 	 	16	17
141004	1	Y	0	 	 	370	17
141004	2	N	 	 	 	 	 
141005	1	Y	2	4	5	0	 
141005	2	Y	0	 	 	24	17
141006	1	Y	0	 	 	550	17
141006	2	N	 	 	 	 	 
141007	1	Y	3	4	5	140	17
141007	2	N	 	 	 	 	 
141008	1	Y	0	 	 	181	17
141008	2	N	 	 	 	 	 
141009	1	Y	2	4	77	300	17
141009	2	N	 	 	 	 	 
141010	1	N	 	 	 	 	 
141010	2	Y	0	 	 	220	17
141011	1	N	 	 	 	 	 
141011	2	Y	0	 	 	-77	 
141012	1	N	 	 	 	 	 
141012	2	Y	0	 	 	36	17
141013	1	Y	1	4	5	180	17
141013	2	N	 	 	 	 	 
141014	1	Y	0	 	 	200	17
141014	2	N	 	 	 	 	 
141015	1	N	 	 	 	 	 
141015	2	Y	0	 	 	20	17
141016	1	Y	0	 	 	196	17
141016	2	N	 	 	 	 	 
141017	1	Y	.75	2	1	300	17
141017	2	N	 	 	 	 	 
141018	1	N	 	 	 	 	 
141018	2	Y	0	 	 	15	17
141019	1	Y	0	 	 	300	17
141019	2	N	 	 	 	 	 
141020	1	N	 	 	 	 	 
141020	2	Y	0	 	 	12	17
141022	1	Y	0	 	 	540	17
141022	2	N	 	 	 	 	 
141023	1	N	 	 	 	 	 
141023	2	Y	0	 	 	520	17
141024	1	Y	0	 	 	32	17
141024	2	N	 	 	 	 	 
141025	1	N	 	 	 	 	 
141025	2	Y	0	 	 	150	17
141026	1	Y	0	 	 	150	17
141026	2	N	 	 	 	 	 
141028	1	Y	0	 	 	210	17
141028	2	N	 	 	 	 	 
141029	1	N	 	 	 	 	 
141029	2	Y	0	 	 	80	17
141030	1	N	 	 	 	 	 
141030	2	Y	0	 	 	-77	 
141031	1	N	 	 	 	 	 
141031	2	Y	0	 	 	24	17
141032	1	Y	0	 	 	250	17
141032	2	N	 	 	 	 	 
141033	1	Y	0	 	 	600	17
141033	2	N	 	 	 	 	 
141034	1	N	 	 	 	 	 
141034	2	Y	0	 	 	50	17
141035	1	N	 	 	 	 	 
141035	2	Y	0	 	 	35	17
141036	1	Y	0	 	 	500	17
141036	2	N	 	 	 	 	 
141038	1	Y	0	 	 	500	17
141038	2	N	 	 	 	 	 
141039	1	Y	0	 	 	600	17
141039	2	N	 	 	 	 	 
141040	1	N	 	 	 	 	 
141040	2	Y	0	 	 	12	17
141041	1	Y	0	 	 	120	17
141041	2	N	 	 	 	 	 
141042	1	Y	0	 	 	225	17
141042	2	N	 	 	 	 	 
141044	1	Y	4	4	4	144	17
141044	2	N	 	 	 	 	 
141045	1	Y	3	4	5	0	 
141045	2	Y	0	 	 	40	17
141046	1	N	 	 	 	 	 
141046	2	Y	0	 	 	400	17
141047	1	N	 	 	 	 	 
141047	2	Y	0	 	 	36	17
141048	1	Y	15	16	4	200	17
141048	2	N	 	 	 	 	 
141049	1	Y	0	 	 	250	17
141049	2	N	 	 	 	 	 
141050	1	N	 	 	 	 	 
141050	2	Y	0	 	 	20	17
151001	1	Y	2	2	5	500	17
151001	2	N	 	 	 	 	 
151002	1	N	 	 	 	 	 
151002	2	Y	0	 	 	16	17
151004	1	Y	1	2	5	200	17
151004	2	N	 	 	 	 	 
151005	1	N	 	 	 	 	 
151005	2	Y	0	 	 	12	17
151008	1	Y	1	2	5	189	17
151008	2	N	 	 	 	 	 
151009	1	Y	1	2	5	110	17
151009	2	N	 	 	 	 	 
151010	1	Y	1	2	5	92	17
151010	2	N	 	 	 	 	 
151011	1	Y	1	2	5	.5	2
151011	2	N	 	 	 	 	 
151012	1	Y	.5	2	5	350	17
151012	2	Y	.370000004768372	2	5	0	 
151014	1	Y	.5	2	5	200	17
151014	2	N	 	 	 	 	 
151015	1	Y	1	2	5	4500	17
151015	2	N	 	 	 	 	 
151016	1	N	 	 	 	 	 
151016	2	Y	3	4	5	50	17
151018	1	Y	2	2	5	300	17
151018	2	N	 	 	 	 	 
151019	1	Y	1.5	2	5	.25	2
151019	2	N	 	 	 	 	 
151020	1	Y	.5	2	5	80	17
151020	2	N	 	 	 	 	 
151021	1	Y	2	2	5	1000	17
151021	2	N	 	 	 	 	 
151023	1	Y	.5	2	5	60	17
151023	2	N	 	 	 	 	 
151024	1	Y	2	2	5	325	17
151024	2	N	 	 	 	 	 
151025	1	Y	.25	2	5	270	17
151025	2	N	 	 	 	 	 
151026	1	Y	1.45000004768372	2	5	600	17
151026	2	N	 	 	 	 	 
151027	1	Y	2	2	5	350	17
151027	2	N	 	 	 	 	 
151028	1	Y	1	2	1	800	17
151028	2	N	 	 	 	 	 
151029	1	Y	.5	2	5	140	17
151029	2	N	 	 	 	 	 
151030	1	N	 	 	 	 	 
151030	2	Y	5	4	5	.119999997317791	4
151031	1	Y	1	2	5	.119999997317791	4
151031	2	N	 	 	 	 	 
151032	1	Y	1	2	5	90	17
151032	2	N	 	 	 	 	 
151033	1	Y	.75	2	5	450	17
151033	2	N	 	 	 	 	 
151034	1	N	 	 	 	 	 
151034	2	Y	0	 	 	500	17
151035	1	Y	1.75	2	5	200	17
151035	2	N	 	 	 	 	 
151039	1	Y	.5	2	5	96	17
151039	2	N	 	 	 	 	 
151041	1	Y	3	2	1	120	17
151041	2	N	 	 	 	 	 
151042	1	Y	1	2	5	360	17
151042	2	Y	0	 	 	24	17
151043	1	Y	2	2	5	250	17
151043	2	N	 	 	 	 	 
151044	1	Y	2	2	5	104	17
151044	2	N	 	 	 	 	 
151045	1	N	 	 	 	 	 
151045	2	Y	0	 	 	7.5	17
151049	1	Y	0	 	 	300	17
151049	2	Y	1	4	5	0	 
151051	1	Y	3	2	5	1	2
151051	2	N	 	 	 	 	 
151052	1	Y	1.75	2	5	.25	2
151052	2	N	 	 	 	 	 
151053	1	Y	.25	2	5	250	17
151053	2	N	 	 	 	 	 
151054	1	Y	1	2	5	130	17
151054	2	N	 	 	 	 	 
151056	1	Y	.5	2	5	64	17
151056	2	N	 	 	 	 	 
151057	1	Y	.5	2	4	360	17
151057	2	N	 	 	 	 	 
151058	1	Y	.25	2	5	.25	2
151058	2	N	 	 	 	 	 
151059	1	Y	.5	2	5	168	17
151059	2	N	 	 	 	 	 
151064	1	Y	0	 	 	800	17
151064	2	N	 	 	 	 	 
151066	1	Y	.25	2	4	80	17
151066	2	N	 	 	 	 	 
151067	1	Y	600	17	4	200	17
151067	2	N	 	 	 	 	 
151068	1	Y	.5	2	5	125	17
151068	2	N	 	 	 	 	 
151069	1	Y	.25	2	5	35	17
151069	2	N	 	 	 	 	 
151070	1	Y	.5	2	5	200	17
151070	2	N	 	 	 	 	 
161003	1	Y	1	4	5	0	 
161003	2	Y	0	 	 	15	17
161006	1	Y	4	4	5	480	17
161006	2	N	 	 	 	 	 
161007	1	Y	4	4	5	400	17
161007	2	N	 	 	 	 	 
161008	1	Y	4	4	5	1000	15
161008	2	N	 	 	 	 	 
161009	1	Y	3	4	5	400	17
161009	2	N	 	 	 	 	 
161010	1	Y	3	4	5	300	17
161010	2	N	 	 	 	 	 
161011	1	Y	4	4	5	1000	17
161011	2	Y	1	4	5	0	 
161013	1	Y	5	4	5	1	4
161013	2	N	 	 	 	 	 
161016	1	Y	3	4	5	2	4
161016	2	N	 	 	 	 	 
161017	1	Y	1	4	5	950	17
161017	2	N	 	 	 	 	 
161018	1	Y	2	4	5	284	17
161018	2	Y	2	4	5	0	 
161019	1	Y	6	4	5	700	17
161019	2	N	 	 	 	 	 
161020	1	Y	3	4	5	500	4
161020	2	N	 	 	 	 	 
161021	1	Y	1.75	4	5	250	17
161021	2	N	 	 	 	 	 
161022	1	Y	3	4	5	200	17
161022	2	N	 	 	 	 	 
161023	1	Y	7	4	5	1	4
161023	2	N	 	 	 	 	 
161024	1	Y	5	4	5	1000	17
161024	2	Y	4	4	5	0	 
161025	1	Y	2	4	5	.5	4
161025	2	N	 	 	 	 	 
161026	1	Y	2	4	5	.5	4
161026	2	N	 	 	 	 	 
161029	1	Y	1.5	4	5	525	17
161029	2	N	 	 	 	 	 
161030	1	Y	12	4	5	3	4
161030	2	N	 	 	 	 	 
161031	1	Y	5.25	4	5	250	17
161031	2	N	 	 	 	 	 
161032	1	Y	3	4	5	680	17
161032	2	N	 	 	 	 	 
161033	1	Y	.5	4	5	184	17
161033	2	N	 	 	 	 	 
161034	1	Y	3	4	5	.25	4
161034	2	N	 	 	 	 	 
161035	1	Y	3	4	5	340	17
161035	2	N	 	 	 	 	 
161037	1	Y	3	4	5	1	4
161037	2	N	 	 	 	 	 
161038	1	Y	300	17	5	700	17
161038	2	Y	0	 	 	1000	17
161039	1	Y	4.75	4	5	250	17
161039	2	Y	3	4	5	0	 
161041	1	Y	1.5	4	5	240	17
161041	2	N	 	 	 	 	 
161042	1	Y	3	4	5	1	4
161042	2	N	 	 	 	 	 
161043	1	Y	2	4	5	125	17
161043	2	N	 	 	 	 	 
161044	1	Y	3	4	5	750	17
161044	2	Y	2	4	5	0	 
161045	1	Y	3	4	5	1	4
161045	2	N	 	 	 	 	 
161046	1	Y	2	4	5	250	17
161046	2	N	 	 	 	 	 
161047	1	Y	3	4	5	760	17
161047	2	N	 	 	 	 	 
161048	1	Y	4	4	5	650	17
161048	2	N	 	 	 	 	 
161049	1	Y	4	4	5	280	17
161049	2	N	 	 	 	 	 
161050	1	Y	2	4	5	200	15
161050	2	N	 	 	 	 	 
171001	1	Y	0	 	 	400	17
171001	2	Y	3	4	5	0	 
171002	1	Y	4	4	5	400	17
171002	2	N	 	 	 	 	 
171003	1	N	 	 	 	 	 
171003	2	N	 	 	 	 	 
171005	1	N	 	 	 	 	 
171005	2	Y	0	 	 	12	17
171006	1	N	 	 	 	 	 
171006	2	Y	0	 	 	12	17
171007	1	Y	1.5	4	5	0	 
171007	2	Y	0	 	 	16	17
171008	1	Y	6	4	5	900	17
171008	2	N	 	 	 	 	 
171009	1	N	 	 	 	 	 
171009	2	Y	0	 	 	16	17
171010	1	Y	4	4	5	400	17
171010	2	N	 	 	 	 	 
171012	1	Y	3	4	5	400	17
171012	2	N	 	 	 	 	 
171013	1	Y	0	 	 	140	17
171013	2	N	 	 	 	 	 
171014	1	N	 	 	 	 	 
171014	2	Y	0	 	 	16	17
171016	1	Y	4	4	5	400	17
171016	2	Y	5	4	5	0	 
171017	1	Y	6.5	4	1	400	17
171017	2	Y	3	4	5	0	 
171019	1	Y	2	4	5	400	17
171019	2	N	 	 	 	 	 
171020	1	N	 	 	 	 	 
171020	2	Y	0	 	 	25	17
171021	1	Y	6	4	5	1200	17
171021	2	N	 	 	 	 	 
171022	1	Y	6	4	5	400	17
171022	2	N	 	 	 	 	 
171023	1	Y	6	4	5	500	17
171023	2	Y	.5	4	4	0	 
171025	1	Y	6	4	5	400	17
171025	2	N	 	 	 	 	 
171026	1	Y	9.5	4	1	500	17
171026	2	N	 	 	 	 	 
171028	1	Y	5	4	5	800	17
171028	2	N	 	 	 	 	 
171029	1	Y	7	4	1	900	17
171029	2	N	 	 	 	 	 
171030	1	Y	6	4	1	500	17
171030	2	N	 	 	 	 	 
171031	1	N	 	 	 	 	 
171031	2	N	 	 	 	 	 
171032	1	Y	7	4	5	400	17
171032	2	N	 	 	 	 	 
171033	1	Y	5	4	5	800	17
171033	2	N	 	 	 	 	 
171034	1	Y	2	4	5	400	17
171034	2	N	 	 	 	 	 
171035	1	Y	5	4	5	400	17
171035	2	N	 	 	 	 	 
171038	1	Y	6	4	5	400	17
171038	2	N	 	 	 	 	 
171039	1	Y	6	4	5	800	17
171039	2	N	 	 	 	 	 
171040	1	Y	4	4	5	500	17
171040	2	Y	2	4	4	0	 
171042	1	N	 	 	 	 	 
171042	2	Y	0	 	 	25	17
171043	1	N	 	 	 	 	 
171043	2	N	 	 	 	 	 
171044	1	Y	6	4	1	500	17
171044	2	N	 	 	 	 	 
171045	1	N	 	 	 	 	 
171045	2	Y	0	 	 	25	17
171046	1	Y	3	4	5	400	17
171046	2	N	 	 	 	 	 
171047	1	Y	4.5	4	5	400	17
171047	2	Y	2	4	4	0	 
171048	1	Y	6.11999988555908	4	1	400	17
171048	2	Y	1	4	5	0	 
171049	1	Y	3	4	5	400	17
171049	2	Y	4	4	1	0	 
171050	1	Y	0	 	 	400	17
171050	2	Y	2	4	5	0	 
181001	1	Y	2	4	1	400	17
181001	2	N	 	 	 	 	 
181002	1	Y	2	4	5	500	17
181002	2	N	 	 	 	 	 
181003	1	Y	3	4	5	450	17
181003	2	N	 	 	 	 	 
181004	1	Y	1.5	4	5	2500	17
181004	2	Y	1	4	5	0	 
181005	1	N	 	 	 	 	 
181005	2	Y	0	 	 	47	17
181006	1	N	 	 	 	 	 
181006	2	Y	0	 	 	30	17
181007	1	N	 	 	 	 	 
181007	2	Y	0	 	 	25	17
181008	1	N	 	 	 	 	 
181008	2	Y	0	 	 	12	17
181009	1	Y	3	4	5	600	17
181009	2	N	 	 	 	 	 
181010	1	Y	2	4	1	600	17
181010	2	N	 	 	 	 	 
181012	1	Y	5	4	1	2500	17
181012	2	Y	2	4	5	0	 
181013	1	Y	4	17	1	450	17
181013	2	N	 	 	 	 	 
181014	1	N	 	 	 	 	 
181014	2	Y	0	 	 	45	17
181016	1	Y	3	4	1	1100	15
181016	2	N	 	 	 	 	 
181017	1	Y	3	4	5	550	17
181017	2	N	 	 	 	 	 
181018	1	Y	6	4	5	1600	17
181018	2	N	 	 	 	 	 
181019	1	N	 	 	 	 	 
181019	2	Y	0	 	 	28	17
181020	1	Y	.5	4	5	0	 
181020	2	Y	0	 	 	25	17
181021	1	Y	2	4	5	2500	17
181021	2	N	 	 	 	 	 
181022	1	Y	2	4	5	500	17
181022	2	N	 	 	 	 	 
181023	1	Y	1	4	2	400	17
181023	2	N	 	 	 	 	 
181024	1	N	 	 	 	 	 
181024	2	Y	0	 	 	30	17
181025	1	Y	4	4	1	1600	17
181025	2	Y	.5	4	4	0	 
181026	1	Y	4	4	5	400	17
181026	2	N	 	 	 	 	 
181027	1	Y	2	4	5	400	17
181027	2	N	 	 	 	 	 
181028	1	Y	.25	4	5	1600	17
181028	2	Y	1	4	5	0	 
181029	1	N	 	 	 	 	 
181029	2	Y	0	 	 	20	17
181031	1	Y	6.5	4	1	2800	17
181031	2	N	 	 	 	 	 
181032	1	N	 	 	 	 	 
181032	2	N	 	 	 	 	 
181033	1	Y	2	4	5	400	17
181033	2	Y	.5	4	5	0	 
181034	1	Y	4	4	5	2000	17
181034	2	N	 	 	 	 	 
181036	1	N	 	 	 	 	 
181036	2	Y	0	 	 	12	17
181037	1	Y	3	4	5	500	17
181037	2	N	 	 	 	 	 
181038	1	N	 	 	 	 	 
181038	2	Y	0	 	 	9	17
181039	1	N	 	 	 	 	 
181039	2	N	 	 	 	 	 
181040	1	Y	1.5	4	5	1600	17
181040	2	N	 	 	 	 	 
181041	1	Y	3.5	4	5	1600	17
181041	2	N	 	 	 	 	 
181043	1	N	 	 	 	 	 
181043	2	Y	0	 	 	30	17
181045	1	Y	.5	4	5	400	17
181045	2	N	 	 	 	 	 
181046	1	Y	2	4	5	650	17
181046	2	N	 	 	 	 	 
181047	1	Y	4	4	5	500	17
181047	2	N	 	 	 	 	 
181048	1	Y	3	4	5	900	17
181048	2	N	 	 	 	 	 
181049	1	N	 	 	 	 	 
181049	2	Y	0	 	 	16	17
181050	1	Y	0	 	 	175	17
181050	2	Y	0	 	 	15	17
191001	1	Y	2	4	5	280	17
191001	2	N	 	 	 	 	 
191002	1	N	 	 	 	 	 
191002	2	Y	0	 	 	9	17
191003	1	Y	0	 	 	140	17
191003	2	Y	0	 	 	140	17
191004	1	N	 	 	 	 	 
191004	2	Y	0	 	 	40	17
191005	1	Y	0	 	 	424	17
191005	2	N	 	 	 	 	 
191006	1	Y	0	 	 	300	17
191006	2	N	 	 	 	 	 
191007	1	Y	0	 	 	250	17
191007	2	N	 	 	 	 	 
191009	1	N	 	 	 	 	 
191009	2	Y	0	 	 	35	17
191010	1	Y	2	4	5	225	17
191010	2	N	 	 	 	 	 
191011	1	N	 	 	 	 	 
191011	2	Y	0	 	 	24	17
191012	1	Y	2	4	5	250	17
191012	2	N	 	 	 	 	 
191013	1	N	 	 	 	 	 
191013	2	Y	0	 	 	6	15
191014	1	Y	2	4	5	0	 
191014	2	Y	0	 	 	20	17
191015	1	Y	0	 	 	625	17
191015	2	N	 	 	 	 	 
191016	1	Y	0	 	 	250	17
191016	2	N	 	 	 	 	 
191017	1	Y	2	4	5	0	 
191017	2	Y	0	 	 	75	17
191018	1	Y	4	4	5	168	17
191018	2	N	 	 	 	 	 
191021	1	N	 	 	 	 	 
191021	2	Y	0	 	 	15	17
191022	1	Y	0	 	 	180	17
191022	2	Y	0	 	 	160	17
191023	1	N	 	 	 	 	 
191023	2	Y	0	 	 	49	17
191024	1	Y	2	4	5	260	17
191024	2	N	 	 	 	 	 
191025	1	Y	0	 	 	175	17
191025	2	N	 	 	 	 	 
191026	1	Y	0	 	 	12	17
