placeid	rsid	module	section	ageres	sexres	capac	livres
PE03C07	7	1	1	19	2	8	1
PE03C07	8	1	1	55	1	3	55
PE03C07	9	1	1	48	1	1	48
PE03C07	10	1	1	30	1	1	30
PE03C07	11	1	1	30	1	8	30
PE03C07	12	1	1	54	2	8	54
PE03C07	13	1	1	37	1	8	37
PE03C07	14	2	1	42	2	4	8
PE03C07	15	2	3	47	2	4	25
PE03C07	16	2	3	50	2	4	2
PE03C07	17	1	5	22	1	7	22
PE03C07	18	1	5	63	1	7	63
PE03C07	19	1	5	28	2	7	28
PE03C07	20	1	5	34	2	7	34
PE03C07	21	1	5	44	2	3	44
PE03C07	22	1	5	26	2	7	26
PE03C07	23	1	5	23	2	7	23
PE03C07	24	2	5	38	2	2	15
PE03C07	88	 	 	 	 	 	 
PE03C08	1	1	1	40	1	1	48
PE03C08	2	1	1	38	1	1	38
PE03C08	3	1	1	42	1	1	42
PE03C08	4	1	1	33	2	1	33
PE03C08	5	1	1	46	1	1	35
PE03C08	6	1	1	50	1	2	25
PE03C08	7	1	1	43	1	2	1
PE03C08	8	2	3	41	2	4	41
PE03C08	9	2	3	60	2	4	17
PE03C08	10	2	1	48	1	4	48
PE03C08	11	2	4	44	2	3	44
PE03C08	12	2	4	32	2	3	2
PE03C08	13	2	4	28	1	3	28
PE03C08	14	2	5	38	2	2	15
PE03C08	15	2	5	68	1	1	35
PE03C08	16	1	5	28	2	7	28
PE03C08	17	1	5	34	2	7	34
PE03C08	18	1	5	26	2	7	26
PE03C08	19	1	5	23	2	7	23
PE03C08	20	1	3	48	2	1	48
PE03C08	21	1	3	36	2	1	36
PE03C08	22	1	2	50	1	8	50
PE03C08	23	1	2	45	2	8	45
PE03C08	24	1	2	53	1	8	53
PE03C09	1	1	1	56	1	1	56
PE03C09	2	1	1	39	1	2	39
PE03C09	3	1	1	31	1	2	31
PE03C09	4	1	1	46	1	4	17
PE03C09	5	1	1	42	1	1	42
PE03C09	6	1	1	33	2	1	33
PE03C09	7	1	1	46	1	8	46
PE03C09	8	1	1	27	1	8	2
PE03C09	9	1	1	36	1	8	36
