formno	childid	id	age	memsex	relate	livhse	grade	still	chgrade	chstill	whynot	agegrade	agestsch	hhschtyp	perf	schoolen	disab	act1	months1	days1	hours1	act2	months2	days2	hours2	act3	months3	days3	hours3	sleep	chcare	hhchore	npaywork	paywork	school	study	play	inegsday	inegwage	inegchld	inegvill	inegcomp
R2INDX	IN010026	0	5	2	0	1	 	 	0	0	30	 	 	 	 	 	1	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	7	2	5	 	 	 	 	 
R2INDX	IN010026	1	56	2	6	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010026	2	31	1	1	1	14	0	 	 	 	 	 	 	 	 	1	10	12	6	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010026	3	27	1	13	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010026	4	24	2	1	1	12	0	 	 	 	 	 	 	 	 	1	15	12	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010026	5	3	2	7	1	 	 	 	 	 	 	 	 	 	 	1	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010027	0	5	2	0	1	 	 	0	0	30	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	9	0	5	 	 	 	 	 
R2INDX	IN010027	1	33	1	1	1	14	0	 	 	 	 	 	 	 	 	0	9	12	6	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010027	2	28	2	1	1	10	0	 	 	 	 	 	 	 	 	0	15	12	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010027	3	9	2	7	1	 	 	3	1	 	 	4	1	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	7	2	5	 	 	 	 	 
R2INDX	IN010028	0	5	1	0	1	 	 	0	0	30	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	7	2	5	 	 	 	 	 
R2INDX	IN010028	1	67	1	6	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010028	2	65	2	6	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010028	3	37	1	1	1	11	0	 	 	 	 	 	 	 	 	0	13	12	6	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010028	4	35	2	1	1	10	0	 	 	 	 	 	 	 	 	0	15	12	7	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010028	5	10	2	13	1	 	 	4	1	 	 	4	1	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	0	0	0	7	2	6	 	 	 	 	 
R2INDX	IN010028	28	8	2	7	1	 	 	1	1	 	 	4	1	1	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	0	0	0	7	2	6	 	 	 	 	 
R2INDX	IN010029	0	4	2	0	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010029	1	33	1	1	1	6	0	 	 	 	 	 	 	 	 	0	13	12	6	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010029	2	29	2	1	1	5	0	 	 	 	 	 	 	 	 	0	15	12	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010029	3	2	1	7	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010029	4	61	2	6	1	8	0	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R2INDX	IN010030	0	5	1	0	1	 	 	0	0	30	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	10	0	0	0	0	7	2	5	 	 	 	 	 
