CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	PYMRECR4	KEEPMYR4	SPTIMR4
70040	1	7	1	0	 	1
70041	1	7	1	0	 	1
70042	1	7	1	0	 	2
70043	1	7	1	0	 	1
70044	1	7	1	0	 	1
70044	2	24	1	0	 	2
70045	1	7	1	0	 	1
70045	2	24	1	0	 	2
70045	3	7	1	0	 	2
70046	1	7	1	0	 	1
70046	2	24	1	0	 	2
70047	1	7	1	0	 	1
70047	2	24	1	0	 	2
70048	1	7	1	0	 	1
70048	2	7	1	0	 	2
70048	3	20	2	0	 	2
70049	1	7	1	0	 	1
70050	1	7	1	0	 	1
70050	2	7	1	0	 	2
70050	3	20	1	0	 	2
70051	1	7	1	0	 	1
70051	2	24	1	0	 	2
70052	1	24	1	0	 	1
70052	2	5	2	1	2	2
70053	1	7	1	0	 	1
70053	2	24	1	0	 	2
70054	1	24	1	0	 	1
70054	2	20	1	0	 	2
70054	3	7	1	0	 	2
70055	1	7	1	0	 	1
70055	2	7	1	0	 	2
70055	3	20	1	0	 	2
70056	1	7	3	0	 	1
70056	2	20	1	0	 	2
70056	3	7	1	0	 	2
70057	1	24	1	0	 	1
70057	2	7	1	0	 	2
70058	1	7	1	0	 	1
70058	2	24	1	0	 	2
70059	1	7	1	0	 	1
70060	1	7	3	0	 	1
70060	2	24	3	0	 	2
70061	1	7	1	0	 	1
70061	2	7	1	0	 	2
70061	3	20	1	0	 	2
70062	1	7	1	0	 	1
70063	1	24	1	0	 	1
70063	2	5	2	1	0	2
70064	1	7	1	0	 	1
70064	2	7	1	0	 	2
70065	1	7	1	0	 	1
70065	2	24	1	0	 	2
70066	1	7	1	0	 	1
70066	2	24	1	0	 	2
70067	1	7	1	0	 	1
70067	2	20	1	0	 	2
70067	3	5	2	1	0	2
70068	1	7	1	0	 	1
70068	2	20	1	0	 	2
70069	1	24	1	0	 	1
70070	1	7	3	0	 	1
70070	2	7	3	0	 	2
70070	3	20	1	0	 	2
70071	1	7	1	0	 	1
70071	2	24	1	0	 	2
70072	1	7	1	0	 	1
70072	2	7	1	0	 	2
70072	3	20	1	0	 	2
70073	1	24	1	0	 	1
70073	2	20	2	0	 	2
70074	1	7	1	0	 	1
70074	2	24	1	0	 	2
70075	1	7	1	0	 	1
70075	2	7	1	0	 	2
70076	1	7	1	0	 	1
70076	2	7	1	0	 	2
70077	1	7	1	0	 	1
70077	2	20	1	0	 	2
70078	1	20	1	0	 	1
70079	1	24	1	0	 	1
70080	1	7	1	0	 	1
70080	2	20	1	0	 	2
70081	1	7	1	0	 	1
70082	1	7	1	0	 	1
70082	2	7	1	0	 	2
70082	3	7	1	0	 	2
70083	1	7	1	0	 	1
70084	1	7	1	0	 	1
70085	1	5	2	1	0	1
70085	2	20	1	0	 	2
70085	3	24	1	0	 	2
70086	1	7	1	0	 	1
70086	2	7	1	0	 	2
70087	1	24	1	0	 	1
70088	1	7	1	0	 	1
70089	1	5	2	1	2	1
70089	2	24	1	0	 	2
70089	3	20	1	0	 	2
70090	1	7	1	0	 	1
70090	2	20	1	0	 	2
70091	1	7	1	0	 	1
70092	1	5	2	1	0	1
70092	2	7	1	0	 	2
70092	3	20	1	0	 	2
70094	1	7	1	0	 	1
70094	2	24	1	0	 	2
70096	1	7	1	0	 	1
70097	1	7	1	0	 	1
70097	2	7	1	0	 	2
70097	3	7	1	0	 	2
70098	1	5	2	1	0	1
70098	2	24	1	0	 	2
70099	1	7	1	0	 	1
70099	2	7	1	0	 	2
70099	3	24	1	0	 	2
70100	1	7	3	0	 	1
70100	2	20	3	0	 	2
70100	3	7	1	0	 	2
80007	1	1	2	1	2	1
80019	1	1	3	1	2	2
80020	1	1	1	1	1	2
80022	1	5	1	1	1	2
80023	1	1	2	1	0	2
80027	1	1	2	1	2	2
80029	1	1	2	1	2	2
80032	1	1	2	1	1	2
80035	1	26	1	2	1	2
80047	1	1	1	1	2	2
80048	1	1	2	1	2	2
80050	1	1	2	1	2	2
80052	1	25	2	1	2	2
80059	1	1	2	1	2	2
80060	1	1	1	1	1	2
80068	1	1	2	1	2	2
80069	1	1	1	1	2	2
80074	1	1	1	1	1	2
80076	1	1	2	1	2	2
80081	1	1	1	1	2	2
80083	1	25	2	1	2	2
80086	1	 	 	 	 	 
80089	1	1	2	1	2	2
80091	1	1	2	1	1	1
80096	1	1	2	1	2	1
80099	1	 	 	 	 	 
80100	1	1	3	2	0	2
90001	1	1	2	1	2	2
90015	1	5	1	0	 	1
90048	1	1	2	1	1	2
90055	1	1	2	1	1	2
90061	1	 	 	 	 	 
90073	1	1	2	1	1	2
90074	1	23	2	1	1	2
100004	1	22	1	0	 	1
100005	1	4	1	1	2	2
100010	1	4	1	0	 	2
100012	1	24	1	0	 	2
100014	1	22	1	0	 	1
100015	1	1	1	2	2	2
100017	1	24	1	0	 	2
100022	1	4	1	0	 	1
100027	1	4	1	0	 	2
100029	1	4	1	3	0	2
100030	1	23	1	1	2	1
100030	2	22	1	1	2	1
100031	1	2	2	0	 	2
100034	1	4	1	0	 	1
100038	1	4	1	0	 	2
100040	1	22	1	1	0	2
100044	1	24	1	0	 	2
100062	1	4	1	0	 	88
100064	1	24	1	0	 	1
100067	1	4	1	0	 	1
100068	1	4	1	0	 	1
100073	1	 	 	 	 	 
100076	1	3	1	0	 	1
100090	1	25	1	0	 	1
100092	1	20	1	0	 	1
110001	1	 	 	 	 	 
110002	1	 	 	 	 	 
110003	1	23	1	1	2	1
110004	1	 	 	 	 	 
110005	1	7	2	2	0	1
110006	1	26	1	2	0	1
110007	1	1	3	2	0	1
110008	1	22	1	0	 	1
110009	1	26	1	2	0	1
110011	1	 	 	 	 	 
110012	1	 	 	 	 	 
110013	1	 	 	 	 	 
110014	1	 	 	 	 	 
110014	2	 	 	 	 	 
110015	1	 	 	 	 	 
110016	1	 	 	 	 	 
110016	2	 	 	 	 	 
110017	1	 	 	 	 	 
110017	2	 	 	 	 	 
110019	1	7	1	2	0	1
110020	1	23	1	1	0	1
110021	1	 	 	 	 	 
110021	2	 	 	 	 	 
110022	1	7	1	0	 	2
110023	1	 	 	 	 	 
110024	1	 	 	 	 	 
110025	1	7	1	2	1	1
110026	1	 	 	 	 	 
110026	2	 	 	 	 	 
110027	1	1	2	1	2	2
110028	1	 	 	 	 	 
110030	1	23	1	3	2	1
110031	1	 	 	 	 	 
110033	1	 	 	 	 	 
110034	1	 	 	 	 	 
110035	1	 	 	 	 	 
110036	1	 	 	 	 	 
110037	1	23	2	3	0	1
110038	1	 	 	 	 	 
110038	2	 	 	 	 	 
110039	1	 	 	 	 	 
110041	1	 	 	 	 	 
110042	1	4	1	1	0	1
110043	1	 	 	 	 	 
110046	1	 	 	 	 	 
110047	1	4	1	1	0	2
110047	2	4	2	0	 	2
110047	3	7	1	0	 	2
110047	4	7	1	0	 	2
110048	1	 	 	 	 	 
110049	1	 	 	 	 	 
110050	1	 	 	 	 	 
110051	1	23	1	0	 	2
110052	1	 	 	 	 	 
110053	1	 	 	 	 	 
110055	1	 	 	 	 	 
110055	2	 	 	 	 	 
110056	1	 	 	 	 	 
110057	1	 	 	 	 	 
110059	1	 	 	 	 	 
110060	1	 	 	 	 	 
110062	1	 	 	 	 	 
110063	1	 	 	 	 	 
110063	2	 	 	 	 	 
110064	1	 	 	 	 	 
110065	1	 	 	 	 	 
110066	1	 	 	 	 	 
110066	2	 	 	 	 	 
110067	1	 	 	 	 	 
110067	2	 	 	 	 	 
110068	1	 	 	 	 	 
110069	1	 	 	 	 	 
110069	2	 	 	 	 	 
110070	1	 	 	 	 	 
110070	2	 	 	 	 	 
110071	1	 	 	 	 	 
110072	1	 	 	 	 	 
110072	2	 	 	 	 	 
110073	1	 	 	 	 	 
110073	2	 	 	 	 	 
110074	1	 	 	 	 	 
110074	2	 	 	 	 	 
110075	1	2	2	2	1	1
110077	1	 	 	 	 	 
110077	2	 	 	 	 	 
110078	1	 	 	 	 	 
110079	1	 	 	 	 	 
110083	1	 	 	 	 	 
110083	2	 	 	 	 	 
110084	1	 	 	 	 	 
110084	2	 	 	 	 	 
110085	1	 	 	 	 	 
110085	2	 	 	 	 	 
110086	1	7	1	0	 	2
110089	1	7	1	0	 	2
110091	1	 	 	 	 	 
110091	2	 	 	 	 	 
110092	1	7	1	0	 	2
110094	1	 	 	 	 	 
110094	2	 	 	 	 	 
110096	1	7	1	0	 	2
110098	1	 	 	 	 	 
110098	2	 	 	 	 	 
110099	1	1	2	1	0	2
110100	1	 	 	 	 	 
120002	1	2	2	1	2	1
120004	1	1	2	1	1	2
120005	1	24	1	0	 	2
