CHILDCODE	ACTIDR5	ACTR5	ACTMTHR5	ACTDYMTR5	ACTWEKR5	ACTDAYHR5	ACTHRSR5	PYMRECR5	ERNCSHR5	HWPAIDR5	PDPCPRR5	ERNKNDR5	HWKINDR5	PDPCKNR5	PRFACTR5	MTHPRFR5	ACTOWNR5
21016	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21017	1	5	10	25	 	 	8	1	300	2	 	 	 	 	1	1	3
21017	2	1	2	20	 	 	8	0	 	 	 	 	 	 	1	4	2
21017	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21018	1	1	1	5	 	 	3	0	 	 	 	 	 	 	0	2	2
21018	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21018	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21019	1	13	12	26	 	 	8	1	6000	4	 	 	 	 	1	12	7
21019	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21019	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21020	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21020	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21020	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21021	1	1	2	15	 	 	2	0	 	 	 	 	 	 	0	2	2
21021	2	2	1	10	 	 	2	0	 	 	 	 	 	 	0	1	6
21021	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21022	1	5	6	28	 	 	8	1	130	2	 	 	 	 	1	6	3
21022	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21022	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21023	1	10	12	25	 	 	10	1	7500	4	 	 	 	 	1	12	6
21023	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21023	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21024	1	9	4	20	 	 	5	0	 	 	 	 	 	 	1	4	2
21024	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21024	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21025	1	13	10	30	 	 	8	1	7500	4	 	 	 	 	1	10	3
21025	2	12	2	20	 	 	8	1	200	2	 	 	 	 	0	 	3
21025	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21026	1	1	1	24	 	 	2	0	 	 	 	 	 	 	0	1	6
21026	2	2	1	20	 	 	3	0	 	 	 	 	 	 	0	1	6
21026	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21027	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21027	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21027	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21028	1	13	6	25	 	 	7	1	18000	4	 	 	 	 	1	12	4
21028	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21028	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21029	1	5	1	12	 	 	8	1	130	2	 	 	 	 	1	1	3
21029	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21029	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21030	1	12	8	25	 	 	9	1	300	3	 	 	 	 	1	8	3
21030	2	1	4	21	 	 	5	0	 	 	 	 	 	 	1	4	2
21030	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21031	1	1	8	20	 	 	9	0	 	 	 	 	 	 	1	9	6
21031	2	5	1	30	 	 	8	1	120	2	 	 	 	 	0	3	3
21031	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21032	1	13	5	25	 	 	8	1	5500	4	 	 	 	 	1	5	3
21032	2	1	5	20	 	 	3	0	 	 	 	 	 	 	1	7	2
21032	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21033	1	5	8	26	 	 	8	1	120	2	 	 	 	 	1	12	6
21033	2	21	12	30	 	 	3	0	 	 	 	 	 	 	1	12	2
21033	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21034	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21034	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21034	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21035	1	1	10	20	 	 	5	0	 	 	 	 	 	 	1	10	2
21035	2	12	2	20	 	 	8	1	130	2	 	 	 	 	0	2	3
21035	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21036	1	1	9	24	 	 	8	0	 	 	 	 	 	 	1	9	2
21036	2	12	3	25	 	 	8	1	350	2	 	 	 	 	1	3	3
21036	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21037	1	12	10	25	 	 	8	1	300	2	 	 	 	 	1	10	1
21037	2	2	2	25	 	 	8	0	 	 	 	 	 	 	0	2	2
21037	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21038	1	1	3	20	 	 	3	0	 	 	 	 	 	 	1	3	2
21038	2	12	9	25	 	 	8	1	300	2	 	 	 	 	1	9	3
21038	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21039	1	5	1	20	 	 	8	1	120	2	 	 	 	 	0	1	3
21039	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21039	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21040	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21040	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21040	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21042	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21042	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21042	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21043	1	12	4	15	 	 	6	1	70	2	 	 	 	 	1	10	5
21043	2	9	2	20	 	 	8	0	 	 	 	 	 	 	1	2	2
