CHILDCODE	SCHCSTIDR5	FEESR5
61042	2	 
61042	3	 
61042	4	 
61043	1	1200
61043	2	550
61043	3	0
61043	4	0
61044	1	 
61044	2	 
61044	3	 
61044	4	 
61045	1	 
61045	2	 
61045	3	 
61045	4	 
61046	1	 
61046	2	 
61046	3	 
61046	4	 
61047	1	 
61047	2	 
61047	3	 
61047	4	 
61048	1	1000
61048	2	1100
61048	3	0
61048	4	0
61049	1	450
61049	2	4500
61049	3	0
61049	4	0
61050	1	1000
61050	2	750
61050	3	3000
61050	4	0
71001	1	300
71001	2	550
71001	3	8000
71001	4	0
71002	1	4000
71002	2	1000
71002	3	0
71002	4	1200
71003	1	 
71003	2	 
71003	3	 
71003	4	 
71004	1	 
71004	2	 
71004	3	 
71004	4	 
71005	1	1800
71005	2	400
71005	3	0
71005	4	0
71006	1	5000
71006	2	710
71006	3	0
71006	4	300
71007	1	550
71007	2	1650
71007	3	0
71007	4	0
71008	1	0
71008	2	0
71008	3	0
71008	4	0
71009	1	 
71009	2	 
71009	3	 
71009	4	 
71010	1	25000
71010	2	1300
71010	3	60000
71010	4	0
71011	1	 
71011	2	 
71011	3	 
71011	4	 
71012	1	 
71012	2	 
71012	3	 
71012	4	 
71013	1	0
71013	2	1540
71013	3	0
71013	4	0
71014	1	1000
71014	2	1750
71014	3	0
71014	4	0
71015	1	 
71015	2	 
71015	3	 
71015	4	 
71016	1	 
71016	2	 
71016	3	 
71016	4	 
71017	1	400
71017	2	600
71017	3	0
71017	4	200
71018	1	 
71018	2	 
71018	3	 
71018	4	 
71019	1	 
71019	2	 
71019	3	 
71019	4	 
71020	1	1500
71020	2	800
71020	3	0
71020	4	0
71021	1	-77
71021	2	-77
71021	3	-77
71021	4	-77
71022	1	 
71022	2	 
71022	3	 
71022	4	 
71023	1	0
71023	2	2000
71023	3	0
71023	4	0
71024	1	 
71024	2	 
71024	3	 
71024	4	 
71025	1	750
71025	2	775
71025	3	3500
71025	4	200
71026	1	500
71026	2	0
71026	3	0
71026	4	0
71027	1	9300
71027	2	1500
71027	3	0
71027	4	0
71028	1	 
71028	2	 
71028	3	 
71028	4	 
71030	1	0
71030	2	0
71030	3	0
71030	4	0
71031	1	-77
71031	2	-77
71031	3	-77
71031	4	-77
71032	1	0
71032	2	1200
71032	3	0
71032	4	0
71033	1	 
71033	2	 
71033	3	 
71033	4	 
71034	1	-77
71034	2	-77
71034	3	-77
71034	4	-77
71035	1	 
71035	2	 
71035	3	 
71035	4	 
71036	1	 
71036	2	 
71036	3	 
71036	4	 
71039	1	 
71039	2	 
71039	3	 
71039	4	 
71040	1	5000
71040	2	2000
71040	3	0
71040	4	0
71041	1	 
71041	2	 
71041	3	 
71041	4	 
71042	1	-77
71042	2	-77
71042	3	-77
71042	4	-77
71044	1	500
71044	2	2000
71044	3	7500
71044	4	0
71045	1	 
71045	2	 
71045	3	 
71045	4	 
71046	1	2500
71046	2	700
71046	3	5000
71046	4	0
71047	1	-77
71047	2	600
71047	3	-77
71047	4	-77
71048	1	1000
71048	2	1800
71048	3	0
71048	4	0
71049	1	0
71049	2	0
71049	3	0
71049	4	0
71050	1	2500
71050	2	800
71050	3	0
71050	4	500
81001	1	 
81001	2	 
81001	3	 
81001	4	 
81002	1	2500
81002	2	2000
81002	3	0
81002	4	0
81003	1	 
81003	2	 
81003	3	 
81003	4	 
81004	1	 
81004	2	 
81004	3	 
81004	4	 
81006	1	0
81006	2	800
81006	3	0
81006	4	0
81008	1	0
81008	2	700
81008	3	8000
81008	4	0
81009	1	0
81009	2	1500
81009	3	0
81009	4	0
81010	1	 
81010	2	 
81010	3	 
81010	4	 
81012	1	0
81012	2	6000
81012	3	40000
81012	4	0
81015	1	 
81015	2	 
81015	3	 
81015	4	 
81016	1	 
81016	2	 
81016	3	 
81016	4	 
81017	1	 
81017	2	 
81017	3	 
81017	4	 
81018	1	 
81018	2	 
81018	3	 
81018	4	 
81019	1	 
81019	2	 
81019	3	 
81019	4	 
81020	1	 
81020	2	 
81020	3	 
81020	4	 
81021	1	1500
81021	2	1500
81021	3	5000
81021	4	0
81022	1	 
81022	2	 
81022	3	 
81022	4	 
81023	1	 
81023	2	 
81023	3	 
81023	4	 
81025	1	 
81025	2	 
81025	3	 
81025	4	 
81027	1	0
81027	2	2000
81027	3	70000
81027	4	0
81028	1	 
81028	2	 
81028	3	 
81028	4	 
81029	1	 
81029	2	 
81029	3	 
81029	4	 
81030	1	 
81030	2	 
81030	3	 
81030	4	 
81032	1	 
81032	2	 
81032	3	 
81032	4	 
81033	1	35000
81033	2	2000
81033	3	0
81033	4	0
81034	1	 
81034	2	 
81034	3	 
81034	4	 
81036	1	350
81036	2	2000
81036	3	0
81036	4	0
81037	1	 
81037	2	 
81037	3	 
81037	4	 
81038	1	0
81038	2	2000
81038	3	0
81038	4	8000
81039	1	 
81039	2	 
81039	3	 
81039	4	 
81040	1	0
81040	2	800
81040	3	0
81040	4	0
81042	1	 
81042	2	 
81042	3	 
81042	4	 
81043	1	0
81043	2	1500
81043	3	0
81043	4	0
81044	1	13000
81044	2	4000
81044	3	0
81044	4	0
81045	1	 
81045	2	 
81045	3	 
81045	4	 
81046	1	3500
81046	2	1200
81046	3	0
81046	4	0
81047	1	 
81047	2	 
81047	3	 
81047	4	 
81048	1	 
81048	2	 
81048	3	 
81048	4	 
81049	1	0
81049	2	2500
81049	3	0
81049	4	0
81050	1	4000
81050	2	2000
81050	3	0
81050	4	0
91001	1	 
91001	2	 
91001	3	 
91001	4	 
91002	1	2500
91002	2	1000
91002	3	0
91002	4	0
91003	1	1000
91003	2	1000
91003	3	0
91003	4	0
91005	1	5500
91005	2	900
91005	3	0
91005	4	0
91006	1	5000
91006	2	1800
91006	3	0
91006	4	0
91007	1	 
91007	2	 
91007	3	 
91007	4	 
91008	1	 
91008	2	 
91008	3	 
91008	4	 
91009	1	 
91009	2	 
91009	3	 
91009	4	 
91010	1	500
91010	2	760
91010	3	0
91010	4	0
91012	1	 
91012	2	 
91012	3	 
91012	4	 
91013	1	 
91013	2	 
91013	3	 
91013	4	 
91014	1	 
91014	2	 
91014	3	 
91014	4	 
91015	1	 
91015	2	 
91015	3	 
91015	4	 
91016	1	 
91016	2	 
91016	3	 
91016	4	 
91017	1	 
91017	2	 
91017	3	 
91017	4	 
91018	1	 
91018	2	 
91018	3	 
91018	4	 
91019	1	 
91019	2	 
91019	3	 
91019	4	 
91021	1	 
91021	2	 
91021	3	 
91021	4	 
91022	1	 
91022	2	 
91022	3	 
91022	4	 
91023	1	2500
91023	2	1550
91023	3	0
91023	4	0
91025	1	 
91025	2	 
91025	3	 
91025	4	 
91026	1	 
91026	2	 
91026	3	 
91026	4	 
91027	1	 
91027	2	 
91027	3	 
91027	4	 
91030	1	35000
91030	2	1700
91030	3	0
91030	4	0
91033	1	0
91033	2	1500
91033	3	0
91033	4	0
91034	1	0
91034	2	3000
91034	3	0
91034	4	0
91037	1	6000
91037	2	2060
91037	3	5000
91037	4	0
91039	1	 
91039	2	 
91039	3	 
91039	4	 
91040	1	 
91040	2	 
91040	3	 
91040	4	 
91041	1	 
91041	2	 
91041	3	 
91041	4	 
91042	1	 
91042	2	 
91042	3	 
91042	4	 
91044	1	0
91044	2	1400
91044	3	0
91044	4	5000
91045	1	500
91045	2	1500
91045	3	0
91045	4	0
91046	1	 
91046	2	 
91046	3	 
91046	4	 
91047	1	400
91047	2	1500
91047	3	0
91047	4	0
91049	1	 
91049	2	 
91049	3	 
91049	4	 
101001	1	45000
101001	2	430
101001	3	0
101001	4	0
101003	1	35000
101003	2	3250
101003	3	0
101003	4	0
101004	1	10250
101004	2	1170
101004	3	0
101004	4	0
101005	1	15000
101005	2	500
101005	3	0
101005	4	0
101006	1	35000
101006	2	2500
101006	3	0
101006	4	0
101008	1	35000
101008	2	1750
101008	3	0
101008	4	4000
101009	1	0
101009	2	500
101009	3	10000
101009	4	0
101011	1	 
101011	2	 
101011	3	 
101011	4	 
101012	1	3000
101012	2	1300
101012	3	0
101012	4	0
101013	1	0
101013	2	600
101013	3	12000
101013	4	0
101014	1	670
101014	2	300
101014	3	0
101014	4	0
101017	1	1000
101017	2	600
101017	3	12000
101017	4	0
101018	1	0
101018	2	3500
101018	3	0
101018	4	0
101019	1	 
101019	2	 
101019	3	 
101019	4	 
101020	1	 
101020	2	 
101020	3	 
101020	4	 
101021	1	150
101021	2	350
101021	3	0
101021	4	0
101023	1	7000
101023	2	600
101023	3	85000
101023	4	0
101024	1	10000
101024	2	650
101024	3	0
101024	4	0
101025	1	12000
101025	2	800
101025	3	0
101025	4	0
101026	1	 
101026	2	 
101026	3	 
101026	4	 
101027	1	1100
101027	2	900
101027	3	0
101027	4	0
101028	1	1500
101028	2	600
101028	3	0
101028	4	0
101030	1	0
101030	2	500
101030	3	20000
101030	4	0
101031	1	 
101031	2	 
101031	3	 
101031	4	 
101032	1	 
101032	2	 
101032	3	 
101032	4	 
101033	1	 
101033	2	 
101033	3	 
101033	4	 
101034	1	6000
101034	2	3000
101034	3	0
101034	4	0
101035	1	 
101035	2	 
101035	3	 
101035	4	 
101038	1	5000
101038	2	1000
101038	3	0
101038	4	0
101039	1	 
101039	2	 
101039	3	 
101039	4	 
101040	1	 
101040	2	 
101040	3	 
101040	4	 
101041	1	0
101041	2	1200
101041	3	9100
101041	4	0
101042	1	0
101042	2	650
101042	3	0
101042	4	0
101043	1	 
101043	2	 
101043	3	 
101043	4	 
101044	1	 
101044	2	 
101044	3	 
101044	4	 
101045	1	 
101045	2	 
101045	3	 
101045	4	 
101047	1	 
101047	2	 
101047	3	 
101047	4	 
101048	1	 
101048	2	 
101048	3	 
101048	4	 
101049	1	 
101049	2	 
101049	3	 
101049	4	 
101050	1	0
101050	2	0
101050	3	0
101050	4	0
111001	1	0
111001	2	1000
111001	3	0
111001	4	0
111002	1	 
111002	2	 
111002	3	 
111002	4	 
111003	1	 
111003	2	 
111003	3	 
111003	4	 
111004	1	 
111004	2	 
111004	3	 
111004	4	 
111005	1	 
111005	2	 
111005	3	 
111005	4	 
111006	1	 
111006	2	 
111006	3	 
111006	4	 
111007	1	 
111007	2	 
111007	3	 
111007	4	 
111008	1	 
111008	2	 
111008	3	 
111008	4	 
111009	1	8000
111009	2	1500
111009	3	85000
111009	4	5000
111010	1	 
111010	2	 
111010	3	 
111010	4	 
111011	1	 
111011	2	 
111011	3	 
111011	4	 
111012	1	500
111012	2	0
111012	3	0
111012	4	2000
111013	1	500
111013	2	500
111013	3	4000
111013	4	0
111014	1	450
111014	2	900
111014	3	1250
111014	4	0
111015	1	 
111015	2	 
111015	3	 
111015	4	 
111016	1	 
111016	2	 
111016	3	 
111016	4	 
111017	1	 
111017	2	 
111017	3	 
111017	4	 
111018	1	1800
111018	2	700
111018	3	20000
111018	4	500
111019	1	 
111019	2	 
111019	3	 
111019	4	 
111020	1	 
111020	2	 
111020	3	 
111020	4	 
111021	1	 
111021	2	 
111021	3	 
111021	4	 
111022	1	 
111022	2	 
111022	3	 
111022	4	 
111023	1	750
111023	2	700
111023	3	0
111023	4	0
111024	1	 
111024	2	 
111024	3	 
111024	4	 
111025	1	 
111025	2	 
111025	3	 
111025	4	 
111026	1	 
111026	2	 
111026	3	 
111026	4	 
111027	1	 
111027	2	 
111027	3	 
111027	4	 
111028	1	 
111028	2	 
111028	3	 
111028	4	 
111029	1	400
111029	2	550
111029	3	10000
111029	4	0
111030	1	200
111030	2	500
111030	3	0
111030	4	200
111031	1	 
111031	2	 
111031	3	 
111031	4	 
111032	1	 
111032	2	 
111032	3	 
111032	4	 
111033	1	 
111033	2	 
111033	3	 
111033	4	 
