CHILDCODE	LANGIDR5	LNCNSPR5	LNSPKR5	LNREADR5	LNWRTER5
51025	1	1	1	2	2
51025	2	7	5	4	4
51026	1	1	1	1	1
51026	2	7	3	1	1
51027	1	1	1	1	1
51027	2	7	4	1	1
51027	3	5	5	4	4
51028	1	1	1	2	3
51029	1	1	1	1	1
51029	2	7	3	2	2
51029	3	5	5	3	3
51030	1	1	1	1	1
51030	2	7	4	2	2
51031	1	1	1	1	1
51031	2	7	3	2	2
51031	3	5	4	4	4
51032	1	1	2	2	2
51032	2	7	3	3	3
51033	1	1	2	2	2
51033	2	7	3	2	2
51034	1	1	1	1	1
51036	1	1	1	1	1
51036	2	7	3	1	1
51036	3	5	3	1	1
51037	1	1	1	1	1
51037	2	7	5	4	3
51038	1	1	2	2	2
51038	2	7	5	3	3
51039	1	1	1	1	1
51039	2	7	5	2	2
51040	1	1	1	1	1
51040	2	7	3	2	2
51040	3	5	5	2	2
51041	1	1	2	2	2
51041	2	7	4	3	4
51042	1	1	1	1	1
51042	2	7	4	2	1
51043	1	1	2	2	2
51043	2	7	4	3	3
51044	1	1	1	1	1
51044	2	7	2	1	1
51045	1	1	1	1	1
51045	2	7	5	3	3
51046	1	1	1	4	4
51047	1	1	2	5	5
51048	1	7	4	1	1
51048	2	1	1	1	1
51049	1	1	1	1	1
51049	2	7	3	1	1
51049	3	5	4	3	4
51050	1	1	1	5	4
61001	1	1	1	1	1
61001	2	7	3	1	1
61002	1	1	1	1	2
61002	2	7	4	2	2
61003	1	1	1	1	1
61003	2	7	4	4	4
61004	1	1	1	1	1
61004	2	7	4	3	3
61005	1	1	2	2	2
61005	2	7	5	4	3
61006	1	1	1	1	1
61006	2	7	5	3	4
61007	1	1	1	1	1
61007	2	7	2	1	1
61007	3	5	4	2	2
61008	1	1	1	1	1
61008	2	7	2	2	2
61009	1	1	1	1	1
61009	2	7	4	1	1
61010	1	1	1	1	1
61010	2	7	4	2	2
61010	3	5	5	4	4
61011	1	1	1	1	1
61012	1	1	1	2	2
61013	1	1	1	1	2
