childid	planid	plan	nplan
PE071038	1	1	2
PE071038	2	88	88
PE071039	1	1	4
PE071039	2	88	88
PE071040	1	1	1
PE071040	2	88	88
PE071102	1	1	1
PE071102	2	88	88
PE071054	1	1	2
PE071054	2	88	88
PE071075	1	1	1
PE071075	2	88	88
PE071079	1	1	1
PE071079	2	88	88
PE071078	1	1	1
PE071078	2	88	88
PE071071	1	1	1
PE071071	2	88	88
PE071010	1	1	4
PE071010	2	88	88
PE071003	1	4	88
PE071003	2	88	88
PE071012	1	10	88
PE071012	2	4	88
PE071024	1	1	99
PE071024	2	88	88
PE071015	1	10	88
PE071015	2	88	88
PE071025	1	1	3
PE071025	2	88	88
PE071058	1	1	1
PE071058	2	88	88
PE071034	1	1	1
PE071034	2	88	88
PE071109	1	4	88
PE071109	2	88	88
PE071046	1	1	4
PE071046	2	88	88
PE071053	1	1	99
PE071053	2	88	88
PE071062	1	1	1
PE071062	2	88	88
PE071092	1	1	3
PE071092	2	88	88
PE071090	1	1	1
PE071090	2	88	88
PE071089	1	1	4
PE071089	2	88	88
PE071083	1	1	4
PE071083	2	88	88
PE071085	1	1	4
PE071085	2	88	88
PE071081	1	1	2
PE071081	2	88	88
PE071105	1	1	3
PE071105	2	88	88
PE071001	1	1	10
PE071001	2	88	88
PE071002	1	1	1
PE071002	2	88	88
PE071011	1	1	1
PE071011	2	88	88
PE071007	1	4	88
PE071007	2	88	88
PE071013	1	1	2
PE071013	2	88	88
PE071017	1	1	1
PE071017	2	88	88
PE071029	1	10	88
PE071029	2	10	88
PE071016	1	1	1
PE071016	2	88	2
PE071026	1	1	2
PE071026	2	88	3
PE071030	1	10	88
PE071030	2	88	88
PE071096	1	6	88
PE071096	2	88	88
PE071059	1	1	4
PE071059	2	88	88
PE071103	1	1	1
PE071103	2	88	88
PE071037	1	1	1
PE071037	2	88	88
PE071035	1	1	1
PE071035	2	88	88
PE071067	1	1	4
PE071067	2	88	88
PE071065	1	1	4
PE071065	2	88	88
PE071066	1	1	4
PE071066	2	88	88
PE071072	1	5	88
PE071072	2	88	88
PE071100	1	1	1
PE071100	2	88	88
PE071008	1	1	1
PE071008	2	88	88
PE071033	1	10	88
PE071033	2	88	88
PE071028	1	10	88
PE071028	2	88	88
PE071073	1	1	1
PE071073	2	88	88
PE071019	1	1	4
PE071019	2	88	88
PE071023	1	5	88
PE071023	2	88	88
PE071022	1	1	9
PE071022	2	88	88
PE071021	1	10	88
PE071021	2	88	88
PE071045	1	1	1
PE071045	2	88	88
PE071044	1	1	1
PE071044	2	88	88
PE071056	1	1	4
PE071056	2	88	88
PE071042	1	4	88
PE071042	2	88	88
PE071043	1	1	1
PE071043	2	88	88
PE071060	1	88	1
PE071060	2	88	88
PE071032	1	1	1
PE071032	2	88	88
PE071036	1	1	4
PE071036	2	88	10
PE071047	1	1	4
PE071047	2	88	88
PE071031	1	1	1
PE071031	2	88	88
PE071050	1	1	2
PE071050	2	88	88
PE071051	1	1	1
PE071051	2	88	88
PE071052	1	10	88
PE071052	2	88	88
PE071064	1	10	88
PE071064	2	88	88
PE071094	1	1	1
PE071094	2	88	88
PE071087	1	10	88
PE071087	2	88	88
PE071095	1	10	88
PE071095	2	88	88
PE071086	1	10	88
PE071086	2	88	88
PE071004	1	1	1
PE071004	2	88	88
PE071006	1	1	1
PE071006	2	88	88
PE071005	1	1	1
PE071005	2	88	88
PE081010	1	1	1
PE081010	2	88	88
PE081007	1	1	4
PE081007	2	88	88
PE081014	1	4	88
PE081014	2	88	88
PE081012	1	1	1
PE081012	2	88	88
PE081016	1	1	4
PE081016	2	88	88
PE081020	1	1	4
PE081020	2	88	88
PE081033	1	10	88
PE081033	2	88	88
PE081027	1	4	88
PE081027	2	88	88
PE081032	1	10	88
PE081032	2	88	88
PE081031	1	4	88
PE081031	2	88	88
PE081056	1	1	1
PE081056	2	88	88
PE081053	1	1	1
PE081053	2	88	88
PE081047	1	1	1
PE081047	2	88	88
PE081054	1	1	1
PE081054	2	88	88
PE081076	1	5	88
PE081076	2	4	88
PE081075	1	7	88
PE081075	2	88	88
PE081080	1	7	88
PE081080	2	88	88
PE081074	1	4	88
PE081074	2	88	88
PE081083	1	5	88
PE081083	2	88	88
PE081073	1	1	10
PE081073	2	88	88
PE081091	1	1	1
PE081091	2	88	88
PE081092	1	2	88
PE081092	2	88	88
PE081036	1	1	4
PE081036	2	88	88
PE081061	1	1	1
PE081061	2	88	88
PE081060	1	1	1
PE081060	2	88	88
PE081044	1	4	88
PE081044	2	88	88
PE081055	1	1	2
PE081055	2	88	88
PE081093	1	1	1
PE081093	2	88	88
PE081094	1	1	2
PE081094	2	88	88
PE081002	1	1	1
PE081002	2	88	88
PE081013	1	1	1
PE081013	2	88	88
PE081015	1	1	1
PE081015	2	88	88
PE081022	1	1	1
PE081022	2	88	88
PE081023	1	4	88
PE081023	2	88	88
PE081040	1	10	88
PE081040	2	88	88
PE081098	1	4	88
PE081098	2	88	88
PE081050	1	88	7
PE081050	2	88	88
PE081087	1	6	88
PE081087	2	88	88
PE081071	1	1	1
PE081071	2	88	88
PE081070	1	1	10
PE081070	2	88	88
PE081072	1	1	1
PE081072	2	88	88
PE081102	1	1	1
PE081102	2	88	88
PE081099	1	1	1
PE081099	2	88	88
PE081086	1	1	1
PE081086	2	88	88
PE081089	1	1	1
PE081089	2	88	88
PE081001	1	1	4
PE081001	2	88	88
PE081005	1	2	88
PE081005	2	88	88
PE081011	1	1	1
PE081011	2	88	88
PE081018	1	4	88
PE081018	2	88	88
PE081030	1	4	88
PE081030	2	88	88
PE081034	1	4	88
PE081034	2	88	88
PE081052	1	4	88
PE081052	2	88	88
PE081035	1	1	4
PE081035	2	88	88
PE081058	1	4	88
PE081058	2	88	88
PE081078	1	10	88
PE081078	2	88	88
PE081069	1	1	4
PE081069	2	88	88
PE081084	1	10	88
PE081084	2	88	88
PE081085	1	1	4
PE081085	2	88	10
PE081095	1	10	88
PE081095	2	4	88
PE081048	1	4	88
PE081048	2	88	88
PE081008	1	4	88
PE081008	2	88	88
PE081037	1	1	1
PE081037	2	88	88
PE081038	1	1	1
PE081038	2	88	88
PE081026	1	1	1
PE081026	2	88	88
PE081017	1	1	4
PE081017	2	88	88
PE081028	1	1	1
PE081028	2	88	88
PE081039	1	1	1
PE081039	2	88	88
PE081046	1	10	88
PE081046	2	10	88
PE081064	1	1	7
PE081064	2	88	88
PE081041	1	1	4
PE081041	2	88	88
PE081077	1	4	88
PE081077	2	2	88
PE081063	1	1	4
PE081063	2	88	88
PE081051	1	1	1
PE081051	2	88	88
PE081059	1	10	88
PE081059	2	88	88
PE081065	1	7	88
PE081065	2	88	88
PE081081	1	1	10
PE081081	2	88	88
PE081004	1	1	1
PE081004	2	88	88
PE081003	1	4	88
PE081003	2	88	88
PE081006	1	1	1
PE081006	2	88	88
PE081009	1	1	1
PE081009	2	88	88
PE081057	1	4	88
PE081057	2	88	88
PE081021	1	1	1
PE081021	2	88	88
PE081024	1	1	1
PE081024	2	88	88
PE081019	1	1	4
PE081019	2	88	88
PE081049	1	1	1
PE081049	2	88	88
PE081025	1	10	88
PE081025	2	88	88
PE081029	1	1	1
PE081029	2	88	88
PE081042	1	1	8
PE081042	2	88	88
PE081043	1	1	4
PE081043	2	88	88
PE081045	1	10	88
PE081045	2	88	88
PE081062	1	4	88
PE081062	2	88	88
PE081067	1	10	88
PE081067	2	88	88
PE081066	1	1	1
PE081066	2	88	88
PE081068	1	88	4
PE081068	2	88	88
PE081079	1	10	88
PE081079	2	88	88
PE081090	1	1	1
PE081090	2	88	88
PE081082	1	1	10
PE081082	2	88	88
PE081101	1	1	1
PE081101	2	88	88
PE081100	1	1	1
PE081100	2	88	88
PE081088	1	1	2
PE081088	2	88	88
PE081097	1	1	1
PE081097	2	88	88
PE081096	1	1	10
PE081096	2	88	88
PE091031	1	10	88
PE091031	2	88	88
PE091038	1	1	1
PE091038	2	88	88
PE091057	1	1	10
PE091057	2	88	88
PE091049	1	10	88
PE091049	2	88	88
PE091050	1	1	1
PE091050	2	88	88
PE091052	1	1	1
PE091052	2	88	88
PE091058	1	1	10
PE091058	2	88	88
PE091054	1	6	88
PE091054	2	88	88
PE091059	1	1	10
PE091059	2	88	88
PE091063	1	1	1
PE091063	2	88	88
PE091071	1	1	4
PE091071	2	88	88
PE091078	1	1	1
PE091078	2	88	88
PE091006	1	1	1
PE091006	2	88	88
PE091009	1	1	1
PE091009	2	88	88
PE091003	1	1	1
PE091003	2	88	88
PE091002	1	1	1
PE091002	2	88	88
PE091005	1	1	4
PE091005	2	88	88
PE091001	1	4	88
PE091001	2	9	88
PE091008	1	1	1
PE091008	2	88	88
PE091007	1	1	1
PE091007	2	88	88
PE091004	1	1	1
PE091004	2	88	88
PE091012	1	1	1
PE091012	2	88	88
PE091011	1	1	1
PE091011	2	88	88
PE091026	1	1	1
PE091026	2	88	88
PE091013	1	1	10
PE091013	2	88	88
PE091014	1	1	2
PE091014	2	88	88
PE091019	1	10	88
PE091019	2	88	88
PE091022	1	1	1
PE091022	2	88	88
PE091021	1	1	4
PE091021	2	88	88
PE091047	1	1	1
PE091047	2	88	88
PE091040	1	1	1
PE091040	2	88	88
PE091091	1	1	1
PE091091	2	88	88
PE091051	1	1	6
PE091051	2	88	88
PE091041	1	1	1
PE091041	2	88	88
PE091055	1	1	1
PE091055	2	88	88
PE091053	1	1	1
PE091053	2	88	88
PE091073	1	1	1
PE091073	2	88	88
PE091075	1	1	1
PE091075	2	88	88
PE091048	1	1	1
PE091048	2	88	88
PE091077	1	1	1
PE091077	2	88	88
PE091089	1	4	88
PE091089	2	88	88
PE091085	1	4	88
PE091085	2	88	88
PE091084	1	1	1
PE091084	2	88	88
PE091086	1	2	88
PE091086	2	4	88
PE091087	1	4	88
PE091087	2	88	88
PE091088	1	1	1
PE091088	2	88	88
PE091097	1	1	1
PE091097	2	88	88
PE091093	1	10	88
PE091093	2	4	88
PE091090	1	4	88
PE091090	2	88	88
PE091092	1	1	10
PE091092	2	88	88
PE091096	1	1	1
PE091096	2	88	88
PE091094	1	1	1
PE091094	2	88	88
PE091095	1	1	1
PE091095	2	88	88
PE091081	1	1	2
PE091081	2	88	6
PE091103	1	1	1
PE091103	2	88	88
PE091101	1	1	1
PE091101	2	88	88
PE091102	1	10	88
PE091102	2	88	88
PE091100	1	4	88
PE091100	2	88	88
PE091098	1	4	88
PE091098	2	88	88
PE091099	1	1	1
PE091099	2	88	88
PE091018	1	1	4
PE091018	2	88	88
PE091025	1	1	1
PE091025	2	88	88
PE091020	1	10	88
PE091020	2	88	88
PE091024	1	1	1
PE091024	2	88	88
PE091034	1	1	1
PE091034	2	88	88
PE091037	1	2	88
PE091037	2	88	88
PE091039	1	1	1
PE091039	2	88	88
PE091067	1	4	88
PE091067	2	88	88
PE091069	1	1	1
PE091069	2	88	88
PE091068	1	1	1
PE091068	2	88	88
PE091027	1	4	88
PE091027	2	88	88
PE091015	1	4	88
PE091015	2	10	88
PE091028	1	88	1
PE091028	2	88	88
PE091010	1	10	88
PE091010	2	88	88
PE091035	1	1	2
PE091035	2	88	4
PE091036	1	1	2
PE091036	2	88	88
PE091043	1	1	10
PE091043	2	88	4
PE091066	1	10	88
PE091066	2	4	88
PE091074	1	10	88
PE091074	2	2	88
PE091042	1	1	1
PE091042	2	88	88
PE091056	1	10	88
PE091056	2	88	88
PE091044	1	1	1
PE091044	2	88	88
PE091062	1	1	1
PE091062	2	88	88
PE091065	1	1	1
PE091065	2	88	88
PE091072	1	1	1
PE091072	2	88	88
PE091061	1	1	1
PE091061	2	88	88
PE091016	1	1	1
PE091016	2	88	88
PE091017	1	2	88
PE091017	2	88	88
PE091023	1	1	1
PE091023	2	88	88
PE091030	1	1	1
PE091030	2	88	88
PE091029	1	1	1
PE091029	2	88	88
PE091032	1	4	88
PE091032	2	88	88
PE091033	1	1	1
PE091033	2	88	88
PE091046	1	1	1
PE091046	2	88	88
PE091045	1	1	1
PE091045	2	88	88
PE091060	1	4	88
PE091060	2	88	88
PE091064	1	1	1
PE091064	2	88	88
PE091070	1	10	88
PE091070	2	88	88
PE091082	1	10	88
PE091082	2	88	88
PE091079	1	1	1
PE091079	2	88	88
PE091080	1	10	88
PE091080	2	88	88
PE091076	1	1	1
PE091076	2	88	88
PE091083	1	1	1
PE091083	2	88	88
PE101022	1	10	88
PE101022	2	88	88
PE101007	1	10	88
PE101007	2	88	88
PE101032	1	1	1
PE101032	2	88	88
PE101004	1	1	1
PE101004	2	88	88
PE101048	1	4	88
PE101048	2	88	88
PE101026	1	1	1
PE101026	2	88	88
PE101039	1	10	88
PE101039	2	88	88
PE101036	1	1	2
PE101036	2	88	88
PE101074	1	1	1
PE101074	2	88	88
PE101040	1	1	1
PE101040	2	88	88
PE101049	1	1	1
PE101049	2	88	88
PE101071	1	1	1
PE101071	2	88	88
PE101095	1	88	4
PE101095	2	88	88
PE101072	1	10	88
PE101072	2	88	88
PE101087	1	1	1
PE101087	2	88	88
PE101084	1	1	1
PE101084	2	88	88
PE101088	1	88	1
PE101088	2	88	88
PE101002	1	1	1
PE101002	2	88	88
PE101006	1	1	1
PE101006	2	88	88
PE101010	1	1	1
PE101010	2	88	88
PE101008	1	1	1
PE101008	2	88	88
PE101009	1	1	4
PE101009	2	88	88
PE101025	1	1	1
PE101025	2	88	88
PE101027	1	1	1
PE101027	2	88	88
PE101070	1	88	10
PE101070	2	88	88
PE101053	1	1	1
PE101053	2	88	88
PE101102	1	1	1
PE101102	2	88	88
PE101103	1	88	7
PE101103	2	88	88
PE101021	1	10	88
PE101021	2	4	88
PE101013	1	5	88
PE101013	2	10	88
PE101015	1	10	88
PE101015	2	4	88
PE101031	1	10	88
PE101031	2	88	88
PE101035	1	4	88
PE101035	2	10	88
PE101024	1	2	88
PE101024	2	5	88
PE101018	1	10	88
PE101018	2	2	88
PE101043	1	7	88
PE101043	2	10	88
PE101063	1	1	1
PE101063	2	88	88
PE101058	1	4	88
PE101058	2	7	88
PE101057	1	4	88
PE101057	2	10	88
PE101076	1	5	88
PE101076	2	10	88
PE101056	1	10	88
PE101056	2	4	88
PE101073	1	2	88
PE101073	2	10	88
PE101079	1	5	88
PE101079	2	4	88
PE101062	1	4	88
PE101062	2	88	88
PE101077	1	4	88
PE101077	2	10	88
PE101099	1	1	10
PE101099	2	88	88
PE101100	1	4	88
PE101100	2	7	88
PE101078	1	9	88
PE101078	2	10	88
PE101097	1	10	88
PE101097	2	5	88
PE101086	1	4	88
PE101086	2	88	88
PE101092	1	10	88
PE101092	2	4	88
PE101001	1	1	1
PE101001	2	88	88
PE101005	1	1	1
PE101005	2	88	88
PE101014	1	1	1
PE101014	2	88	88
PE101012	1	1	1
PE101012	2	88	88
PE101016	1	1	1
PE101016	2	88	88
PE101019	1	1	1
PE101019	2	88	88
PE101038	1	1	1
PE101038	2	88	88
PE101034	1	1	1
PE101034	2	88	88
PE101098	1	1	1
PE101098	2	88	88
PE101033	1	5	88
PE101033	2	88	88
PE101080	1	1	1
PE101080	2	88	88
PE101069	1	4	88
PE101069	2	88	88
PE101037	1	1	1
PE101037	2	88	88
PE101050	1	2	88
PE101050	2	88	88
PE101061	1	1	1
PE101061	2	88	88
PE101065	1	1	1
PE101065	2	88	88
PE101060	1	1	1
PE101060	2	88	88
PE101066	1	1	1
PE101066	2	88	88
PE101064	1	1	1
PE101064	2	88	88
PE101096	1	1	1
PE101096	2	88	88
PE101104	1	1	1
PE101104	2	88	88
PE101085	1	1	1
PE101085	2	88	88
PE101101	1	1	1
PE101101	2	88	88
PE101089	1	2	88
PE101089	2	88	88
PE101094	1	1	1
PE101094	2	88	88
PE101003	1	1	5
PE101003	2	88	88
PE101011	1	4	88
PE101011	2	88	88
PE101017	1	10	88
PE101017	2	88	88
PE101020	1	5	88
PE101020	2	88	88
PE101023	1	10	88
PE101023	2	10	88
PE101029	1	1	1
PE101029	2	88	88
PE101030	1	4	88
PE101030	2	88	88
PE101028	1	1	1
PE101028	2	88	88
PE101042	1	10	88
PE101042	2	88	88
PE101041	1	1	4
PE101041	2	88	88
PE101075	1	8	88
PE101075	2	88	88
PE101052	1	1	4
PE101052	2	88	88
PE101068	1	2	88
PE101068	2	88	88
PE101047	1	10	88
PE101047	2	10	88
PE101046	1	4	88
PE101046	2	88	88
PE101044	1	4	88
PE101044	2	88	88
PE101045	1	1	1
PE101045	2	88	88
PE101051	1	1	10
PE101051	2	88	88
PE101055	1	1	1
PE101055	2	88	88
PE101054	1	1	1
PE101054	2	88	88
PE101059	1	10	88
PE101059	2	88	88
PE101067	1	4	88
PE101067	2	10	88
PE101093	1	88	10
PE101093	2	88	88
PE101105	1	10	88
PE101105	2	8	88
PE101081	1	1	1
PE101081	2	88	88
PE101082	1	4	88
PE101082	2	8	88
PE101083	1	1	1
PE101083	2	88	88
PE101090	1	1	1
PE101090	2	88	88
PE101091	1	1	1
PE101091	2	88	88
PE111010	1	4	88
PE111010	2	10	88
PE111005	1	10	88
PE111005	2	88	88
PE111004	1	1	1
PE111004	2	88	88
PE111012	1	88	1
PE111012	2	88	88
PE111002	1	88	1
PE111002	2	88	88
PE111001	1	1	1
PE111001	2	88	88
PE111007	1	2	88
PE111007	2	88	88
PE111009	1	10	88
PE111009	2	88	88
PE111066	1	1	1
PE111066	2	88	88
PE111006	1	2	88
PE111006	2	88	88
PE111064	1	88	1
PE111064	2	88	88
PE111003	1	1	1
PE111003	2	88	88
PE111019	1	1	1
PE111019	2	88	88
PE111013	1	4	88
PE111013	2	10	88
PE111016	1	3	88
PE111016	2	10	88
PE111065	1	6	88
PE111065	2	88	88
PE111011	1	1	1
PE111011	2	88	88
PE111008	1	2	88
PE111008	2	10	88
PE111046	1	1	1
PE111046	2	88	88
PE111055	1	88	1
PE111055	2	88	88
PE111052	1	1	10
PE111052	2	88	88
PE111053	1	10	88
PE111053	2	88	88
PE111054	1	88	1
PE111054	2	88	88
PE111050	1	6	88
PE111050	2	88	88
PE111047	1	1	1
PE111047	2	88	88
PE111049	1	10	88
PE111049	2	10	88
PE111051	1	4	88
PE111051	2	88	88
PE111048	1	88	1
PE111048	2	88	88
PE111102	1	1	1
PE111102	2	88	88
PE111063	1	1	10
PE111063	2	88	88
PE111062	1	1	1
PE111062	2	88	88
PE111061	1	88	1
PE111061	2	88	88
PE111101	1	10	88
PE111101	2	88	88
PE111100	1	1	4
PE111100	2	88	88
PE111080	1	10	88
PE111080	2	10	88
PE111081	1	2	88
PE111081	2	88	88
PE111082	1	4	88
PE111082	2	10	88
PE111083	1	10	88
PE111083	2	4	88
PE111079	1	88	1
PE111079	2	88	88
PE111084	1	1	1
PE111084	2	88	88
PE111086	1	4	88
PE111086	2	88	88
PE111093	1	8	88
PE111093	2	88	88
PE111089	1	1	10
PE111089	2	88	88
PE111085	1	1	1
PE111085	2	88	88
PE111097	1	4	88
PE111097	2	10	88
PE111098	1	1	1
PE111098	2	88	88
PE111099	1	1	1
PE111099	2	88	88
PE111096	1	10	88
PE111096	2	88	88
PE111094	1	88	1
PE111094	2	88	88
PE111095	1	1	1
PE111095	2	88	88
PE111032	1	1	1
PE111032	2	88	88
PE111034	1	1	1
PE111034	2	88	88
PE111031	1	2	88
PE111031	2	88	88
PE111033	1	1	1
PE111033	2	88	88
PE111028	1	4	88
PE111028	2	88	88
PE111027	1	1	1
PE111027	2	88	88
PE111026	1	1	1
PE111026	2	88	88
PE111024	1	88	1
PE111024	2	88	88
PE111025	1	88	1
PE111025	2	88	88
PE111023	1	88	1
PE111023	2	88	88
PE111022	1	10	88
PE111022	2	88	88
PE111020	1	4	88
PE111020	2	2	88
PE111021	1	10	88
PE111021	2	10	88
PE111071	1	88	1
PE111071	2	88	88
PE111035	1	88	1
PE111035	2	88	88
PE111030	1	88	1
PE111030	2	88	88
PE111029	1	88	1
PE111029	2	88	88
PE111014	1	88	1
PE111014	2	88	88
PE111015	1	88	1
PE111015	2	88	88
PE111036	1	2	88
PE111036	2	10	88
PE111037	1	4	88
PE111037	2	88	88
PE111038	1	1	1
PE111038	2	88	88
PE111039	1	4	88
PE111039	2	88	88
PE111018	1	2	88
PE111018	2	88	88
PE111017	1	10	88
PE111017	2	10	88
PE111060	1	10	88
PE111060	2	4	88
PE111059	1	1	1
PE111059	2	1	1
PE111058	1	88	10
PE111058	2	88	88
PE111041	1	4	88
PE111041	2	88	88
PE111056	1	1	1
PE111056	2	88	88
PE111044	1	1	1
PE111044	2	88	88
PE111042	1	2	88
PE111042	2	88	88
PE111043	1	4	88
PE111043	2	6	88
PE111057	1	4	88
PE111057	2	88	88
PE111040	1	10	88
PE111040	2	88	88
PE111045	1	10	88
PE111045	2	6	88
PE111088	1	10	88
PE111088	2	88	88
PE111067	1	1	1
PE111067	2	88	88
PE111068	1	1	1
PE111068	2	88	88
PE111070	1	6	88
PE111070	2	10	88
PE111077	1	2	88
PE111077	2	4	88
PE111076	1	1	1
PE111076	2	88	88
PE111087	1	10	88
PE111087	2	88	88
PE111075	1	4	88
PE111075	2	88	88
PE111090	1	1	1
PE111090	2	88	88
PE111092	1	10	88
PE111092	2	88	88
PE111091	1	88	1
PE111091	2	88	88
PE111072	1	10	88
PE111072	2	88	88
PE111073	1	3	88
PE111073	2	88	88
PE111074	1	1	1
PE111074	2	88	88
PE111069	1	1	4
PE111069	2	88	88
PE121005	1	1	4
PE121005	2	88	88
PE121044	1	1	2
PE121044	2	88	88
PE121022	1	1	2
PE121022	2	88	88
PE121021	1	1	1
PE121021	2	88	88
PE121027	1	2	88
PE121027	2	88	88
PE121028	1	88	1
PE121028	2	88	88
PE121077	1	88	5
PE121077	2	88	88
PE121087	1	1	4
PE121087	2	88	88
PE121095	1	1	4
PE121095	2	88	88
PE121080	1	1	1
PE121080	2	88	88
PE121018	1	1	2
PE121018	2	88	88
PE121020	1	1	4
PE121020	2	88	88
PE121011	1	1	10
PE121011	2	88	88
PE121002	1	1	4
PE121002	2	88	88
PE121094	1	1	4
PE121094	2	88	88
PE121046	1	1	4
PE121046	2	88	88
PE121040	1	1	4
PE121040	2	88	10
PE121006	1	1	2
PE121006	2	88	88
PE121019	1	1	2
PE121019	2	88	4
PE121017	1	1	10
PE121017	2	88	88
PE121037	1	1	10
PE121037	2	88	2
PE121061	1	1	2
PE121061	2	88	88
PE121067	1	1	4
PE121067	2	88	88
PE121093	1	1	4
PE121093	2	88	88
PE121090	1	1	4
PE121090	2	88	88
PE121052	1	1	4
PE121052	2	88	88
PE121084	1	1	10
PE121084	2	88	88
PE121073	1	1	4
PE121073	2	88	88
PE121097	1	1	4
PE121097	2	88	88
PE121042	1	1	4
PE121042	2	88	88
PE121024	1	1	10
PE121024	2	88	88
PE121001	1	88	4
PE121001	2	88	88
PE121025	1	1	10
PE121025	2	88	88
PE121023	1	10	88
PE121023	2	88	88
PE121086	1	1	2
PE121086	2	88	88
PE121064	1	4	88
PE121064	2	88	88
PE121050	1	1	4
PE121050	2	88	88
PE121083	1	4	88
PE121083	2	88	88
PE121066	1	1	4
PE121066	2	88	88
PE121055	1	1	4
PE121055	2	88	88
PE121076	1	2	88
PE121076	2	88	88
PE121071	1	1	4
PE121071	2	88	88
PE121065	1	1	1
PE121065	2	88	88
PE121013	1	1	4
PE121013	2	88	88
PE121091	1	1	1
PE121091	2	88	88
PE121012	1	1	2
PE121012	2	88	88
PE121045	1	1	4
PE121045	2	88	88
PE121038	1	1	4
PE121038	2	88	88
PE121049	1	1	4
PE121049	2	88	1
PE121010	1	2	88
PE121010	2	88	88
PE121063	1	1	4
PE121063	2	88	88
PE121081	1	1	1
PE121081	2	88	88
PE121072	1	10	88
PE121072	2	88	88
PE121085	1	10	88
PE121085	2	88	88
PE121051	1	1	7
PE121051	2	88	88
PE121098	1	1	2
PE121098	2	88	88
PE121089	1	1	1
PE121089	2	88	88
PE121059	1	1	4
PE121059	2	88	7
PE121039	1	1	4
PE121039	2	88	88
PE121007	1	10	88
PE121007	2	88	88
PE121026	1	1	4
PE121026	2	88	7
PE121003	1	1	2
PE121003	2	88	88
PE121030	1	2	88
PE121030	2	4	88
PE121082	1	1	2
PE121082	2	88	88
PE121034	1	10	88
PE121034	2	10	88
PE121033	1	1	2
PE121033	2	88	88
PE121068	1	1	2
PE121068	2	88	88
PE121056	1	88	2
PE121056	2	88	4
PE121074	1	2	88
PE121074	2	4	88
PE121043	1	1	4
PE121043	2	88	88
PE121054	1	10	88
PE121054	2	88	88
PE121047	1	1	4
PE121047	2	88	88
PE121060	1	1	4
PE121060	2	88	88
PE121078	1	1	4
PE121078	2	88	88
PE121099	1	88	10
PE121099	2	88	88
PE121015	1	1	2
PE121015	2	88	1
PE121004	1	10	88
PE121004	2	88	88
PE121016	1	1	1
PE121016	2	88	88
PE121014	1	1	4
PE121014	2	88	1
PE121008	1	1	4
PE121008	2	88	10
PE121035	1	1	4
PE121035	2	88	1
PE121031	1	10	88
PE121031	2	88	88
PE121053	1	1	4
PE121053	2	88	1
PE121058	1	4	88
PE121058	2	88	88
PE121032	1	1	4
PE121032	2	88	2
PE121041	1	10	88
PE121041	2	10	88
PE121036	1	1	4
PE121036	2	88	1
PE121062	1	4	88
PE121062	2	88	88
PE121088	1	4	88
PE121088	2	2	88
PE121096	1	4	88
PE121096	2	2	88
PE121101	1	1	4
PE121101	2	88	10
PE121079	1	10	88
PE121079	2	4	88
PE121070	1	1	2
PE121070	2	88	1
PE121092	1	10	88
PE121092	2	10	88
PE121057	1	1	10
PE121057	2	88	7
PE121069	1	10	88
PE121069	2	88	88
PE121009	1	10	88
PE121009	2	88	88
PE121029	1	1	4
PE121029	2	88	88
PE121048	1	1	10
PE121048	2	88	88
PE121075	1	4	88
PE121075	2	88	88
PE131012	1	88	7
PE131012	2	88	88
PE131009	1	88	1
PE131009	2	88	88
PE131007	1	88	2
PE131007	2	88	88
PE131020	1	88	1
PE131020	2	88	88
PE131035	1	88	7
PE131035	2	88	88
PE131028	1	88	1
PE131028	2	88	88
PE131036	1	8	88
PE131036	2	88	88
PE131029	1	88	1
PE131029	2	88	88
PE131039	1	10	88
PE131039	2	88	88
PE131030	1	88	10
PE131030	2	88	88
PE131072	1	88	1
PE131072	2	88	88
PE131068	1	88	1
PE131068	2	88	88
PE131078	1	4	88
PE131078	2	88	88
PE131067	1	88	1
PE131067	2	88	88
PE131091	1	5	88
PE131091	2	88	88
PE131099	1	7	88
PE131099	2	88	88
PE131003	1	88	1
PE131003	2	88	88
PE131010	1	88	1
PE131010	2	88	88
PE131047	1	88	1
PE131047	2	88	88
PE131041	1	2	88
PE131041	2	4	88
PE131034	1	88	2
PE131034	2	88	88
PE131066	1	88	4
PE131066	2	88	88
PE131062	1	88	1
PE131062	2	88	88
PE131061	1	4	88
PE131061	2	88	88
PE131075	1	88	1
PE131075	2	88	88
PE131063	1	88	1
PE131063	2	88	88
PE131080	1	88	1
PE131080	2	88	88
PE131084	1	88	7
PE131084	2	88	88
PE131086	1	7	88
PE131086	2	88	88
PE131077	1	88	2
PE131077	2	88	88
PE131096	1	88	1
PE131096	2	88	88
PE131088	1	5	88
PE131088	2	88	88
PE131089	1	88	1
PE131089	2	88	88
PE131092	1	10	88
PE131092	2	88	88
PE131094	1	10	88
PE131094	2	88	88
PE131015	1	88	4
PE131015	2	88	88
PE131008	1	10	88
PE131008	2	10	88
PE131023	1	88	1
PE131023	2	88	88
PE131025	1	88	10
PE131025	2	88	88
PE131024	1	88	4
PE131024	2	88	88
PE131070	1	88	10
PE131070	2	88	88
PE131071	1	88	10
PE131071	2	88	88
PE131048	1	88	1
PE131048	2	88	88
PE131053	1	88	1
PE131053	2	88	88
PE131074	1	88	1
PE131074	2	88	88
PE131046	1	88	1
PE131046	2	88	88
PE131049	1	4	88
PE131049	2	88	88
PE131069	1	4	88
