childid	id	age	sex	relate	still	yrschool	disabled	care	support	edinicial	grado	anhos
PE061042	1	25	1	1	2	34	2	2	1	 	88	5
PE061042	2	20	2	1	2	34	2	1	2	 	88	5
PE061042	3	22	1	4	2	37	2	2	1	 	88	99
PE061043	1	24	1	1	2	34	2	2	1	 	88	5
PE061043	2	24	2	1	2	34	2	1	2	 	88	5
PE061043	3	42	1	13	2	34	2	2	1	 	88	5
PE061043	4	43	2	3	2	33	2	2	2	 	88	5
PE061043	5	7	1	4	1	32	2	2	2	 	88	88
PE061043	15	3	1	5	88	88	1	88	88	2	88	88
PE061043	16	2	1	5	88	88	2	88	88	2	88	88
PE061044	1	29	1	1	2	34	2	1	1	 	88	3
PE061044	2	22	2	1	2	34	2	1	2	 	88	3
PE061045	1	20	2	1	2	34	2	1	1	 	88	5
PE061045	2	54	2	3	2	33	2	1	1	 	88	4
PE061045	3	17	1	4	1	34	2	2	2	 	88	4
PE061045	4	23	1	4	2	34	2	2	1	 	88	5
PE061045	15	2	1	5	88	88	1	88	88	3	88	88
PE061046	1	41	1	1	2	38	1	1	1	 	88	5
PE061046	2	40	2	1	2	38	1	1	1	 	88	5
PE061046	3	6	2	5	1	32	2	2	2	 	88	88
PE061046	4	19	2	7	1	35	2	1	2	 	88	1
PE061046	15	3	2	5	88	88	1	88	88	2	88	88
PE061047	1	32	1	1	2	34	2	1	1	 	88	5
PE061047	2	20	2	1	2	33	2	1	2	 	6	88
PE061047	3	26	1	4	2	34	2	1	1	 	88	4
PE061048	1	35	1	1	2	34	2	2	1	 	88	2
PE061048	2	32	2	1	2	34	2	1	2	 	88	2
PE061048	3	8	2	5	1	33	2	2	2	 	2	88
PE061049	1	25	1	1	2	37	2	1	1	 	88	4
PE061049	2	21	2	1	2	37	2	1	2	 	88	4
PE061049	3	66	1	3	2	33	2	2	1	 	88	5
PE061049	4	53	2	3	2	33	1	1	2	 	88	5
PE061049	5	44	1	4	2	34	1	2	1	 	88	5
PE061049	6	38	1	4	2	34	2	2	1	 	88	5
PE061049	7	27	1	4	2	36	2	2	1	 	88	3
PE061049	8	29	2	4	2	34	2	2	2	 	88	5
PE061049	9	22	1	4	2	36	2	2	1	 	88	3
PE061049	10	10	2	6	1	33	2	2	2	 	3	88
PE061049	11	7	2	6	1	32	2	2	2	 	88	88
PE061049	12	5	2	6	2	0	2	2	2	 	88	88
PE061049	15	2	2	6	88	88	2	88	88	2	88	88
PE061049	16	2	2	6	88	88	2	88	88	2	88	88
PE061049	17	0	2	6	88	88	2	88	88	2	88	88
PE061050	1	18	2	1	2	34	2	1	2	 	88	2
PE061050	2	48	1	3	2	34	2	2	2	 	88	5
PE061050	3	47	2	3	2	33	2	2	1	 	88	5
PE061050	4	20	1	4	1	37	2	2	2	 	88	2
PE061050	5	18	1	4	1	35	2	2	2	 	88	2
PE061051	1	21	2	1	2	34	2	1	1	 	88	5
PE061051	2	48	2	3	2	33	2	1	1	 	88	5
PE061051	3	16	2	4	1	34	2	2	1	 	88	5
PE061052	1	29	2	1	2	36	2	1	1	 	88	5
PE061052	2	28	1	1	2	36	2	1	1	 	88	5
PE061052	3	6	1	5	1	32	2	2	2	 	88	88
PE061052	4	56	2	3	2	33	2	1	2	 	88	5
PE061052	5	23	2	4	1	35	2	1	2	 	88	1
PE061053	1	26	1	1	2	36	2	2	1	 	88	5
PE061053	2	20	2	1	2	34	2	1	2	 	88	5
PE061054	1	35	1	1	2	33	2	1	1	 	88	5
PE061054	2	25	2	1	2	33	2	1	1	 	5	88
PE061054	3	7	2	5	1	32	2	2	2	 	88	88
PE061054	4	5	1	5	2	0	2	2	2	 	88	88
PE061054	5	54	1	3	2	33	2	2	2	 	88	5
PE061054	6	50	2	3	2	33	2	1	2	 	88	5
PE061054	7	21	1	4	1	35	2	2	2	 	88	2
PE061054	8	25	1	4	1	34	2	2	2	 	88	2
PE061054	9	15	1	4	1	34	2	2	2	 	88	1
PE061055	1	29	1	1	2	33	2	1	1	 	6	88
PE061055	2	20	2	1	2	33	2	1	1	 	5	88
PE061055	15	4	2	5	88	88	2	88	88	2	88	88
PE061056	1	20	2	1	2	34	2	1	1	 	88	1
PE061056	2	24	2	13	1	34	2	2	2	 	88	4
PE061056	3	6	2	13	1	32	2	2	2	 	88	88
PE061056	4	13	1	13	1	33	2	2	2	 	6	88
PE061057	1	21	2	1	2	34	2	1	2	 	88	5
PE061058	1	38	1	1	2	34	1	2	1	 	88	4
PE061058	2	37	2	1	2	37	1	1	1	 	88	3
PE061058	3	8	2	5	1	33	1	2	2	 	3	88
PE061058	4	6	2	5	1	32	2	2	2	 	88	88
PE061059	1	27	1	1	2	34	2	1	1	 	88	5
PE061059	2	27	2	1	2	34	2	1	2	 	88	2
PE061059	3	6	2	5	2	0	2	1	2	 	88	88
PE061059	4	9	2	10	1	33	2	1	2	 	3	88
PE061059	15	2	1	5	88	88	1	88	88	2	88	88
PE061060	1	30	1	1	2	36	2	2	1	 	88	3
PE061060	2	25	2	1	2	36	2	1	2	 	88	3
PE061060	3	5	1	5	2	0	2	2	2	 	88	88
PE061060	4	63	1	3	2	36	2	2	2	 	88	5
PE061060	5	53	2	3	2	34	2	2	2	 	88	2
PE061060	6	31	1	4	2	36	2	2	2	 	88	3
PE061060	7	16	1	4	1	34	2	2	2	 	88	4
PE061060	8	81	1	13	2	33	2	2	2	 	88	5
PE061061	1	23	1	1	2	34	2	2	1	 	88	5
PE061061	2	21	2	1	2	34	2	1	2	 	88	5
PE061061	3	18	2	4	1	35	2	2	2	 	88	1
PE061062	1	35	1	1	2	34	2	1	2	 	88	5
PE061062	2	25	2	1	2	33	2	1	1	 	4	88
PE061062	3	6	1	10	2	0	2	1	2	 	88	88
PE061063	1	43	1	1	2	33	1	1	1	 	88	5
PE061063	2	36	2	1	2	34	2	1	1	 	88	2
PE061063	3	7	1	5	1	33	2	1	2	 	2	88
PE061064	1	50	1	1	2	36	2	1	1	 	88	6
PE061064	2	36	2	1	2	33	2	1	2	 	88	5
PE061064	3	13	2	10	1	33	2	1	2	 	6	88
PE061064	4	11	1	10	1	33	2	2	2	 	4	88
PE061064	5	90	1	3	2	0	1	1	2	 	88	88
PE061065	1	40	1	1	2	34	1	2	1	 	88	3
PE061065	2	41	2	1	2	33	1	1	2	 	88	4
PE061065	3	22	1	5	1	34	1	1	1	 	88	2
PE061065	4	19	1	5	2	33	1	1	1	 	6	88
PE061065	5	17	1	5	1	34	2	1	2	 	88	3
PE061065	6	15	2	5	1	34	1	1	2	 	88	2
PE061065	7	14	2	5	1	33	2	1	2	 	6	88
PE061065	8	11	2	5	1	33	2	1	2	 	5	88
PE061065	9	9	2	5	1	33	2	1	2	 	3	88
PE061065	10	7	2	5	1	33	2	2	2	 	2	88
PE061065	15	2	2	5	88	88	 	88	88	2	88	88
PE061066	1	30	2	1	2	34	1	1	1	 	88	5
PE061067	1	27	2	1	2	34	2	1	1	 	88	5
PE061067	2	 	1	4	2	99	2	2	1	 	88	88
PE061067	3	42	2	4	2	34	1	1	1	 	88	5
PE061067	4	64	2	3	2	33	1	1	2	 	88	3
PE061067	5	16	1	6	2	34	1	2	2	 	88	5
PE061067	6	13	2	6	1	34	2	1	2	 	88	1
PE061067	7	8	2	6	1	33	2	2	2	 	4	88
PE061068	1	34	1	1	2	34	1	1	1	 	88	5
PE061068	2	30	2	1	2	34	2	1	1	 	88	5
PE061069	1	44	1	1	2	34	2	2	1	 	88	3
PE061069	2	23	2	1	2	34	2	1	2	 	88	5
PE061069	3	20	1	13	2	37	2	2	2	 	88	3
PE061069	4	18	1	13	2	37	2	2	2	 	88	1
PE061069	15	4	1	10	88	88	2	88	88	1	88	88
PE061070	1	36	1	1	2	34	1	1	1	 	88	5
PE061070	2	29	2	1	2	34	2	1	2	 	88	5
PE061070	3	7	2	5	1	33	2	1	2	 	2	88
PE061070	4	7	2	5	1	33	1	2	2	 	2	88
PE061071	1	17	2	1	2	34	1	1	2	 	88	2
PE061071	2	20	1	2	2	34	2	2	1	 	88	2
PE061071	3	39	1	3	2	33	2	2	1	 	88	5
PE061071	4	36	2	3	2	33	2	1	1	 	88	5
PE061071	5	16	2	4	2	33	2	2	2	 	6	88
PE061071	6	14	2	4	1	33	2	2	2	 	4	88
PE061071	7	11	1	4	1	33	2	2	2	 	4	88
PE061071	8	10	1	4	1	33	2	2	2	 	4	88
PE061071	9	8	1	4	1	33	2	2	2	 	2	88
PE061072	1	27	1	1	2	33	2	2	1	 	6	88
PE061072	2	26	2	1	2	34	2	1	2	 	88	1
PE061072	3	7	1	5	1	32	2	2	2	 	88	88
PE061073	1	30	1	1	2	33	2	2	1	 	6	88
PE061073	2	35	2	1	2	0	2	1	2	 	88	88
PE061073	3	7	1	5	1	33	2	2	2	 	1	88
PE061073	4	6	1	5	1	32	2	2	2	 	88	88
PE061073	5	6	1	5	1	32	2	2	2	 	88	88
PE061073	15	2	1	5	88	88	2	88	88	2	88	88
PE061073	16	2	2	5	88	88	2	88	88	2	88	88
PE061074	1	21	1	1	2	33	1	2	1	 	3	88
PE061074	2	16	2	1	2	34	2	1	2	 	88	4
PE061074	3	44	1	3	2	33	2	2	2	 	88	3
PE061074	4	46	2	3	2	33	2	1	2	 	88	4
PE061074	5	14	2	4	2	33	2	2	2	 	1	88
PE061075	1	32	1	1	2	34	2	2	1	 	88	5
PE061075	2	30	2	1	2	34	2	1	2	 	88	5
PE061075	15	3	2	5	88	88	2	88	88	1	88	88
PE061076	1	31	1	1	2	34	2	1	1	 	88	5
PE061076	2	23	2	1	2	34	2	1	2	 	88	5
PE061076	3	6	1	5	1	32	1	2	2	 	88	88
PE061077	1	33	1	1	2	38	2	2	1	 	88	5
PE061077	2	23	2	1	2	34	1	1	2	 	88	1
PE061077	3	10	1	5	1	33	1	2	2	 	5	88
PE061078	1	27	1	1	2	33	2	2	1	 	1	88
PE061078	2	29	2	1	2	33	2	1	2	 	2	88
PE061078	3	7	2	10	1	32	2	2	2	 	88	88
PE061079	1	40	1	1	2	33	2	2	1	 	88	5
PE061079	2	34	2	1	2	33	2	1	2	 	88	5
PE061079	3	10	1	5	1	33	2	2	2	 	3	88
PE061079	4	9	2	5	1	33	2	2	2	 	2	88
PE061080	1	25	1	1	2	34	2	1	1	 	88	1
PE061080	2	17	2	1	2	33	1	1	2	 	6	88
PE061080	3	45	1	3	2	33	1	2	1	 	88	5
PE061080	4	35	2	3	2	0	2	1	1	 	88	88
PE061080	5	12	1	4	1	33	2	1	1	 	5	88
PE061080	6	10	1	4	1	33	2	1	1	 	5	88
PE061080	7	8	1	4	1	32	2	1	2	 	88	88
PE061081	1	23	1	1	2	34	1	2	1	 	88	3
PE061081	2	19	2	1	2	34	2	1	2	 	88	1
PE061082	1	40	1	1	2	33	1	2	1	 	88	4
PE061082	2	45	2	1	2	0	1	1	1	 	88	88
PE061082	3	5	1	5	2	0	2	2	2	 	88	88
PE061082	4	20	2	10	1	34	2	1	1	 	88	2
PE061082	5	18	2	10	2	33	2	2	1	 	5	88
PE061082	6	14	2	10	2	33	2	1	1	 	3	88
PE061082	7	7	1	10	2	0	2	1	1	 	88	88
PE061082	8	18	1	11	2	34	2	2	1	 	88	1
PE061082	15	1	2	9	88	88	2	88	88	2	88	88
PE061083	1	23	2	1	2	33	2	1	1	 	6	88
PE061083	2	33	1	4	2	33	1	2	1	 	88	3
PE061083	3	34	2	4	2	34	1	2	1	 	88	3
PE061083	4	14	1	6	1	34	2	2	2	 	88	3
PE061083	5	8	2	6	1	33	2	2	2	 	4	88
PE061084	1	19	1	1	2	33	1	1	1	 	6	88
PE061084	2	24	2	1	2	33	2	1	1	 	4	88
PE061084	3	5	1	10	2	0	2	1	2	 	88	88
PE061084	4	62	2	3	2	0	2	1	1	 	88	88
PE061085	1	30	1	1	2	34	1	1	1	 	88	5
PE061085	2	17	2	1	2	33	2	1	2	 	6	88
PE061086	1	32	2	1	2	37	2	1	2	 	88	2
PE061086	2	5	1	10	2	0	2	2	2	 	88	88
PE061086	3	62	2	3	2	33	1	1	1	 	88	5
PE061086	4	42	2	4	2	34	2	2	2	 	88	2
PE061086	5	20	1	4	2	34	2	2	2	 	88	5
PE061087	1	20	1	1	2	34	2	1	1	 	88	5
PE061087	2	17	2	1	2	34	2	1	2	 	88	5
PE061087	3	57	2	3	2	33	1	1	2	 	88	5
PE061087	4	29	1	4	2	34	2	1	2	 	88	2
PE061087	5	28	1	4	2	36	2	1	2	 	88	3
PE061087	6	26	1	4	1	35	2	1	2	 	88	1
PE061087	7	27	1	4	1	35	2	1	2	 	88	1
PE061088	1	19	2	1	1	35	2	1	2	 	88	1
PE061088	2	45	1	3	2	33	2	2	1	 	88	5
PE061088	3	43	2	3	2	33	2	2	1	 	88	5
PE061088	4	23	2	4	2	34	2	2	2	 	88	5
PE061088	5	21	2	4	1	35	2	1	2	 	88	1
PE061089	1	33	1	1	2	33	2	2	1	 	4	88
PE061089	2	30	2	1	2	33	2	1	2	 	6	88
PE061089	3	7	1	5	1	32	2	2	2	 	88	88
PE061090	1	23	1	1	2	34	2	2	1	 	88	3
PE061090	2	21	2	1	2	34	2	1	2	 	88	5
PE061091	1	26	1	1	2	34	1	2	1	 	88	5
PE061091	2	26	2	1	2	34	2	1	2	 	88	5
PE061091	3	6	1	5	1	32	2	2	2	 	88	88
PE061091	4	50	1	3	2	34	2	2	1	 	88	5
PE061091	5	45	2	3	2	34	1	2	1	 	88	2
PE061091	6	23	1	4	2	35	2	2	2	 	88	2
PE061091	7	20	2	4	2	35	2	2	2	 	88	1
PE061092	1	31	1	1	2	36	2	1	1	 	88	5
PE061092	2	31	2	1	2	36	2	1	1	 	88	5
PE061093	1	45	1	1	2	34	2	1	1	 	88	5
PE061093	2	32	2	1	2	33	2	1	2	 	88	5
PE061093	3	15	1	10	1	34	2	1	2	 	88	1
PE061093	4	78	2	3	2	0	2	2	2	 	88	88
PE061094	1	37	1	1	2	33	1	1	1	 	88	5
PE061094	2	35	2	1	2	33	1	1	1	 	88	5
PE061094	3	11	1	5	1	33	2	1	2	 	5	88
PE061094	4	9	2	5	1	33	1	1	2	 	4	88
PE061095	1	19	2	1	2	33	2	1	1	 	6	88
PE061095	2	47	2	3	2	33	1	1	2	 	88	3
PE061095	3	20	1	4	2	33	2	2	1	 	5	88
PE061095	4	68	2	13	2	0	1	2	2	 	88	88
PE061095	5	23	1	4	2	33	2	2	2	 	6	88
PE061095	6	12	1	4	1	33	2	1	2	 	5	88
PE061095	7	7	1	4	1	33	2	2	2	 	1	88
PE061095	8	5	1	4	2	0	2	2	2	 	88	88
PE061096	1	43	1	1	2	34	2	2	1	 	88	5
PE061096	2	38	2	1	2	34	2	1	2	 	88	2
PE061096	3	18	1	5	1	34	2	1	2	 	88	4
PE061096	4	15	1	5	1	34	1	2	2	 	88	2
PE061096	5	10	1	5	1	33	1	2	2	 	4	88
PE061097	1	22	1	1	2	33	2	2	1	 	5	88
PE061097	2	18	2	1	2	34	2	1	2	 	2	88
PE061097	3	56	1	3	2	33	2	2	1	 	88	5
PE061097	4	52	2	3	2	33	2	1	2	 	88	5
PE061097	5	29	1	4	2	33	2	2	2	 	5	88
PE061097	6	7	2	6	1	33	2	2	2	 	2	88
PE061097	7	7	1	6	1	33	2	2	2	 	1	88
PE061098	1	37	1	1	2	33	2	2	1	 	88	5
PE061098	2	20	2	1	2	34	2	1	2	 	88	5
PE061098	3	14	1	10	1	33	2	2	2	 	5	88
PE061098	4	11	1	10	1	33	2	2	2	 	4	88
PE061098	15	3	1	5	88	88	2	88	88	1	88	88
PE061099	1	31	1	1	2	33	2	1	1	 	3	88
PE061099	2	32	2	1	2	33	1	1	2	 	6	88
PE061099	3	12	2	5	1	33	2	1	2	 	6	88
PE061099	4	10	1	5	1	33	1	1	2	 	4	88
PE061099	5	7	2	5	1	32	2	2	2	 	88	88
PE061099	6	15	1	10	1	34	2	1	1	 	88	4
PE061100	1	24	1	1	2	34	2	1	1	 	88	5
PE061100	2	20	2	1	2	34	2	1	2	 	88	4
PE061101	1	23	2	1	2	34	1	1	1	 	88	3
PE061101	2	19	1	4	2	34	2	1	2	 	88	5
PE061102	1	26	1	1	2	34	2	2	1	 	88	5
PE061102	2	22	2	1	2	33	2	1	1	 	6	88
PE061102	3	5	2	5	2	0	2	2	2	 	88	88
PE061102	4	50	1	3	2	34	2	2	1	 	88	5
PE061102	5	45	2	3	2	34	2	1	1	 	88	3
PE061102	6	15	1	4	1	34	2	2	2	 	88	2
PE061103	1	27	1	1	2	34	1	1	1	 	88	1
PE061103	2	33	2	1	2	34	2	1	2	 	88	3
PE061103	3	12	2	10	1	33	2	1	2	 	5	88
PE071001	1	36	1	1	2	36	2	1	1	 	88	5
PE071001	2	30	2	1	2	36	2	1	1	 	88	5
PE071001	3	12	2	7	2	33	2	1	2	 	6	88
PE071002	1	28	2	1	2	35	2	1	2	 	88	3
PE071002	2	47	2	3	2	33	2	1	1	 	88	5
PE071002	3	66	2	13	2	33	2	1	2	 	88	5
PE071002	4	45	2	4	2	35	2	1	1	 	88	3
PE071002	5	37	1	4	2	38	2	2	1	 	88	99
PE071002	6	17	2	4	2	33	2	2	1	 	6	88
PE071003	1	37	1	1	2	34	2	2	1	 	88	1
PE071003	2	36	2	1	2	34	2	1	1	 	88	5
PE071003	3	65	1	3	2	33	1	2	2	 	88	3
PE071003	4	64	2	3	2	33	1	2	2	 	88	5
PE071003	5	32	2	4	2	34	2	2	1	 	88	3
PE071004	1	32	1	1	2	38	2	1	1	 	88	5
PE071004	2	29	2	1	2	36	2	1	1	 	88	4
PE071004	3	21	2	7	2	33	2	1	2	 	6	88
PE071005	1	39	1	1	2	38	2	2	1	 	88	6
PE071005	2	36	2	1	2	34	2	1	2	 	88	5
PE071005	3	8	1	5	1	33	2	1	2	 	2	88
PE071005	4	5	2	5	1	0	2	2	2	 	88	88
PE071005	5	66	1	3	2	35	2	2	2	 	88	5
PE071005	6	62	2	3	2	35	2	2	2	 	88	5
PE071005	7	40	2	4	2	34	2	2	2	 	88	5
PE071005	8	38	1	4	2	34	2	2	2	 	88	5
PE071006	1	23	2	1	2	36	2	1	2	 	88	5
PE071006	2	26	1	1	2	37	2	1	1	 	88	2
PE071006	3	72	1	3	2	34	2	1	1	 	88	5
PE071006	4	59	2	3	2	34	2	1	1	 	88	2
PE071006	5	49	1	13	2	36	2	1	2	 	88	5
PE071006	6	36	2	4	2	38	2	1	2	 	88	99
PE071007	1	21	2	1	1	37	2	1	2	 	88	4
PE071007	2	49	1	3	2	38	2	1	1	 	88	5
PE071007	3	48	2	3	2	38	2	1	1	 	88	5
PE071007	4	17	2	4	1	34	2	1	2	 	88	5
PE071007	5	14	1	4	1	34	2	1	2	 	88	2
PE071007	6	92	2	13	2	33	1	2	2	 	88	3
PE071008	1	30	1	1	2	37	2	1	1	 	88	3
PE071008	2	28	2	1	2	36	2	1	2	 	88	5
PE071008	3	8	2	5	1	33	2	2	2	 	2	88
PE071008	15	4	2	5	88	88	2	88	88	1	88	88
PE071009	1	30	1	1	2	34	2	1	1	 	88	5
PE071009	2	35	2	1	2	33	2	1	2	 	88	1
PE071009	3	6	2	5	1	32	2	2	2	 	88	88
PE071009	15	4	2	5	88	88	2	88	88	2	88	88
PE071010	1	33	1	1	2	37	2	2	1	 	88	3
PE071010	2	26	2	1	2	37	2	1	2	 	88	3
PE071010	3	7	1	5	1	33	2	2	2	 	1	88
PE071011	1	30	2	1	2	36	2	1	1	 	88	3
PE071011	2	7	2	5	1	33	2	1	2	 	2	88
PE071011	3	66	2	3	2	0	2	1	1	 	88	88
PE071012	1	32	1	1	2	37	2	1	1	 	88	2
PE071012	2	26	2	1	2	36	2	1	2	 	88	1
PE071012	3	7	2	5	1	33	2	2	2	 	1	88
PE071013	1	23	1	1	2	34	2	1	1	 	88	5
PE071013	2	25	2	1	2	35	2	1	1	 	88	2
PE071014	1	32	2	1	2	0	2	1	1	 	88	88
PE071014	2	10	2	5	1	33	2	2	2	 	1	88
PE071015	1	33	1	1	2	34	2	2	1	 	88	5
PE071015	2	31	2	1	2	38	2	1	1	 	88	5
PE071016	1	37	1	1	2	38	2	1	1	 	88	5
PE071016	2	31	2	1	2	38	2	1	1	 	88	5
PE071016	3	10	2	5	1	33	2	2	2	 	4	88
PE071017	1	35	1	1	2	36	2	1	1	 	88	3
PE071017	2	35	2	1	2	36	2	1	1	 	88	3
PE071017	3	7	1	5	1	32	2	2	2	 	88	88
PE071017	4	5	2	5	1	0	2	2	2	 	88	88
PE071018	1	23	2	1	2	34	2	1	1	 	88	3
PE071018	2	45	2	3	2	34	2	1	1	 	88	5
PE071018	3	45	1	3	2	34	2	2	2	 	88	5
PE071018	4	24	1	4	1	37	2	1	2	 	88	4
PE071018	5	21	2	4	2	34	2	1	2	 	88	5
PE071018	6	15	1	4	1	34	2	1	2	 	88	2
PE071018	7	21	2	4	1	37	2	2	2	 	88	2
PE071018	15	2	1	6	88	88	2	88	88	3	88	88
PE071019	1	36	1	1	2	34	2	1	1	 	88	5
PE071019	2	32	2	1	2	34	2	1	2	 	88	3
PE071019	3	7	1	5	1	33	2	1	2	 	2	88
PE071020	1	33	2	1	2	36	2	1	1	 	88	3
PE071020	2	33	1	1	2	36	2	1	1	 	88	3
PE071020	3	6	2	5	1	32	2	1	2	 	88	88
PE071021	1	27	1	1	2	36	2	1	1	 	88	3
PE071021	2	21	2	1	2	34	2	1	1	 	88	5
PE071021	3	45	1	3	2	33	2	1	1	 	88	5
PE071021	4	43	2	3	2	0	2	1	1	 	88	88
PE071021	5	19	2	4	2	34	2	1	1	 	88	5
PE071021	6	17	1	4	2	34	2	1	1	 	88	5
PE071021	7	15	1	6	1	33	2	2	2	 	6	88
PE071021	8	18	2	13	2	33	2	1	2	 	6	88
PE071021	15	2	1	5	88	88	2	88	88	3	88	88
PE071022	1	31	1	1	1	36	2	1	1	 	88	3
PE071022	2	29	2	1	1	36	2	1	1	 	88	3
PE071023	1	36	1	1	2	36	2	1	1	 	88	3
PE071023	2	39	2	1	2	36	2	1	1	 	88	3
PE071023	3	19	2	5	1	35	2	1	1	 	88	1
PE071023	4	14	2	5	1	34	2	1	2	 	88	2
PE071023	5	10	2	5	1	33	2	1	2	 	4	88
PE071023	6	72	2	3	2	0	1	1	1	 	88	88
PE071023	7	32	2	4	2	0	1	2	2	 	88	88
PE071023	15	3	2	5	88	88	2	88	88	1	88	88
PE071024	1	30	1	1	2	38	2	2	1	 	88	5
PE071024	2	20	2	1	2	34	2	1	2	 	88	4
PE071024	3	54	1	3	2	33	2	2	2	 	88	3
PE071024	4	53	2	3	2	33	2	2	2	 	88	3
PE071024	5	22	1	4	1	37	2	2	2	 	88	2
PE071024	6	16	2	4	1	34	2	2	2	 	88	4
PE071024	7	24	1	4	2	34	2	2	2	 	88	5
PE071025	1	19	2	1	2	34	2	1	1	 	88	5
PE071025	2	37	2	3	2	34	2	1	1	 	88	3
PE071025	3	11	1	4	1	33	2	1	2	 	2	88
PE071026	1	25	1	1	2	34	2	1	1	 	88	5
PE071026	2	30	2	1	2	33	2	1	2	 	5	88
PE071026	3	11	1	10	1	33	2	1	2	 	3	88
PE071027	1	23	2	1	2	34	2	1	2	 	88	5
PE071027	2	5	1	5	1	0	2	2	2	 	88	88
PE071027	3	63	2	3	2	33	2	1	1	 	88	5
PE071027	4	21	1	4	2	34	2	2	1	 	88	5
PE071028	1	22	2	1	2	34	2	1	1	 	88	4
PE071028	2	70	2	13	2	33	2	1	1	 	88	2
PE071028	15	2	2	5	88	88	2	88	88	2	88	88
PE071029	1	22	2	1	2	36	2	1	2	 	88	2
PE071029	2	28	1	1	1	37	2	1	1	 	88	4
PE071029	3	51	1	3	2	34	2	1	1	 	88	4
PE071029	4	50	2	3	2	34	2	1	1	 	88	4
PE071029	5	19	2	4	1	37	2	1	2	 	88	2
PE071029	6	13	2	4	1	34	2	1	2	 	88	1
PE071030	1	23	1	1	2	33	2	1	1	 	6	88
PE071030	2	25	2	1	2	33	2	1	1	 	3	88
PE071030	15	2	2	5	88	88	2	88	88	4	88	88
PE071031	1	22	1	1	2	33	2	1	1	 	6	88
PE071031	2	22	2	1	2	34	2	1	2	 	88	3
PE071031	3	48	2	4	2	33	1	2	2	 	88	4
PE071032	1	60	1	1	2	31	1	2	1	 	88	88
PE071032	2	42	2	1	2	31	2	1	2	 	88	88
PE071032	3	11	2	6	1	33	2	1	2	 	3	88
PE071033	1	39	1	1	2	38	2	1	1	 	88	6
PE071033	2	37	2	1	2	36	2	1	1	 	88	3
PE071033	3	17	2	5	1	34	2	1	2	 	88	5
PE071033	4	10	2	5	1	33	2	1	2	 	5	88
PE071033	5	7	1	5	1	0	2	1	2	 	88	88
PE071033	15	3	1	5	88	88	2	88	88	1	88	88
PE071034	1	20	1	1	2	34	2	2	1	 	88	4
PE071034	2	26	2	1	2	34	2	1	1	 	88	5
PE071034	3	52	2	3	2	33	2	2	2	 	88	6
PE071034	4	76	1	13	2	33	2	2	2	 	88	6
PE071034	5	76	2	13	2	0	2	2	2	 	88	88
PE071034	6	44	2	13	2	37	2	2	2	 	88	2
PE071034	7	34	2	13	2	0	1	2	2	 	88	88
PE071034	8	14	2	4	1	34	2	2	2	 	88	2
PE071034	9	42	1	13	2	34	2	2	2	 	88	3
PE071034	15	2	2	4	88	88	2	88	88	2	88	88
PE071035	1	28	1	1	2	34	2	1	1	 	88	5
PE071035	2	32	2	1	2	34	2	1	2	 	88	5
PE071035	3	9	1	5	1	33	2	1	2	 	3	88
PE071035	4	62	1	3	2	33	2	1	1	 	88	5
PE071036	1	51	2	3	2	34	1	1	2	 	88	2
PE071036	2	26	1	4	2	34	2	2	1	 	88	3
PE071036	3	26	2	4	2	34	2	1	1	 	88	2
PE071036	4	7	2	6	1	0	2	2	2	 	88	88
PE071037	1	37	1	1	2	36	2	1	1	 	88	3
PE071037	2	28	2	1	2	35	2	1	2	 	88	2
PE071037	3	7	2	5	1	33	2	2	2	 	1	88
PE071037	4	61	2	3	2	33	1	1	2	 	88	3
PE071037	5	35	1	4	2	38	1	1	2	 	88	5
PE071037	6	19	2	4	1	34	2	1	2	 	88	5
PE071037	7	11	2	6	1	33	1	1	2	 	5	88
PE071038	1	24	2	1	2	34	2	1	1	 	88	5
PE071038	2	60	2	3	2	0	2	1	1	 	88	88
PE071038	3	27	2	4	2	34	2	1	1	 	88	5
PE071038	4	13	1	6	1	34	2	1	2	 	88	1
PE071039	1	35	1	1	2	34	2	2	1	 	88	4
PE071039	2	36	2	1	2	34	2	1	1	 	88	4
PE071039	3	13	1	5	1	34	2	1	2	 	88	1
PE071039	4	11	1	5	1	33	2	2	2	 	4	88
PE071039	5	7	1	5	1	33	2	2	2	 	1	88
PE071040	1	21	2	1	2	34	2	1	2	 	88	4
PE071040	2	22	1	1	2	34	2	1	1	 	88	5
PE071041	1	26	1	1	2	34	2	1	1	 	88	3
PE071041	2	26	2	1	1	35	2	1	1	 	88	1
PE071041	3	57	1	3	2	33	2	1	2	 	88	5
PE071041	4	52	2	3	2	33	2	1	1	 	88	5
PE071041	5	17	1	4	1	34	2	1	2	 	88	4
PE071041	6	13	2	4	1	33	2	1	2	 	6	88
PE071042	1	28	1	1	2	34	2	1	1	 	88	5
PE071042	2	31	2	1	2	34	2	1	1	 	88	5
PE071042	3	11	2	5	1	33	2	1	2	 	5	88
PE071042	4	6	2	5	1	0	2	2	2	 	88	88
PE071042	5	62	1	3	2	0	2	1	1	 	88	88
PE071042	6	45	1	4	2	34	2	2	1	 	88	5
PE071042	7	42	2	4	2	33	2	2	2	 	88	5
PE071042	8	22	1	6	2	36	2	2	2	 	88	5
PE071042	9	13	2	6	1	34	2	2	2	 	88	2
PE071042	10	9	2	6	1	33	2	2	2	 	6	88
