CHILDID	PREID	AGEPRESC	PRESCDUR	PRESCTYP	PAYPRESC	PRESCCRE	DAYSPRES	HRSPRESC	PRESCVIS
VN030065	1	58	4	3	1	3	5	4	1
VN030066	1	53	4	3	1	2	5	4	1
VN030067	1	59	4	3	1	2	5	4	1
VN030069	1	52	2	3	1	2	5	4	1
VN030070	1	46	4	3	1	2	5	4	1
VN030071	1	60	4	5	1	2	5	3	1
VN030072	1	54	4	3	1	2	5	4	1
VN030073	1	42	2	3	1	2	5	4	1
VN030074	1	48	4	3	1	2	5	4	1
VN030075	1	59	4	5	1	2	5	3	1
VN030077	1	64	4	3	0	2	5	3	1
VN030078	1	52	1	3	1	2	5	4	1
VN030079	1	55	1	3	1	2	5	4	1
VN030081	1	59	4	3	1	3	5	3	1
VN030082	1	60	4	3	1	4	5	3	1
VN030084	1	52	4	3	1	2	5	4	1
VN030086	1	48	4	3	1	2	5	4	1
VN030087	1	38	4	3	1	2	5	4	1
VN030088	1	49	2	3	1	2	5	4	0
VN030089	1	40	3	3	1	2	5	4	1
VN030090	1	48	4	3	1	3	5	3	1
VN030092	1	54	2	3	1	2	5	4	1
VN030093	1	48	4	3	1	2	5	4	1
VN030094	1	54	1	3	1	2	5	4	1
VN030095	1	49	4	3	1	2	5	3	1
VN030096	1	40	4	3	1	2	5	3	1
VN030097	1	63	4	3	1	2	5	3	1
VN030098	1	48	4	3	1	2	5	4	1
VN030099	1	37	4	3	1	2	5	4	0
VN030100	1	48	4	3	1	2	5	4	1
VN030120	1	46	4	3	1	2	5	3	1
VN030127	1	48	4	3	1	2	5	4	1
VN030129	1	48	4	3	1	2	5	4	1
VN030130	1	48	1	3	1	2	5	4	1
VN030131	1	57	4	3	1	2	5	4	1
VN030132	1	58	4	3	1	2	5	4	1
VN030138	1	64	4	3	1	3	5	3	1
VN040002	1	65	1	3	1	3	5	4	1
VN040003	1	59	1	3	1	2	5	3	1
VN040004	1	50	3	3	1	2	5	4	1
VN040005	1	59	1	3	1	2	5	3	1
VN040006	1	59	1	3	1	2	4	3	1
VN040007	1	64	1	3	1	2	5	4	1
VN040008	1	47	3	3	1	2	5	3	0
VN040009	1	54	1	3	1	2	4	3	1
VN040010	1	52	3	3	1	3	5	4	0
VN040012	1	63	3	3	1	2	4	3	1
VN040014	1	58	1	3	1	2	4	4	1
VN040016	1	64	1	3	1	3	5	4	0
VN040017	1	59	1	3	1	2	4	4	1
VN040018	1	52	1	3	1	2	4	4	0
VN040020	1	53	3	3	1	3	5	4	1
VN040021	1	63	1	3	1	3	5	4	0
VN040023	1	45	3	3	1	3	5	4	1
VN040024	1	46	3	3	1	3	5	4	1
VN040025	1	52	3	3	1	2	5	4	1
VN040026	1	51	3	3	1	2	5	4	1
VN040029	1	50	3	3	1	3	5	4	1
VN040030	1	64	1	3	1	2	4	3	1
VN040031	1	59	1	3	1	2	5	4	1
VN040032	1	64	1	3	1	3	5	3	1
VN040033	1	57	1	3	1	2	5	4	1
VN040034	1	57	1	3	1	2	5	4	0
VN040035	1	49	3	3	1	3	5	3	1
VN040036	1	48	3	3	1	2	5	3	1
VN040037	1	60	2	3	1	2	4	3	1
VN040038	1	61	1	3	1	2	5	3	0
VN040039	1	56	1	3	1	2	4	3	1
VN040043	1	47	3	3	1	3	5	3	1
VN040044	1	58	1	3	1	2	4	3	1
VN040045	1	53	1	3	1	3	5	3	1
VN040046	1	60	1	3	1	3	5	3	1
VN040047	1	51	4	3	1	3	5	3	1
VN040048	1	59	2	3	1	3	5	3	1
VN040049	1	52	4	3	1	2	5	3	1
VN040051	1	37	4	3	1	2	5	3	1
VN040052	1	63	1	3	1	2	4	4	1
VN040053	1	51	3	3	1	3	5	4	1
VN040054	1	50	3	3	1	2	5	4	1
VN040055	1	52	3	3	1	2	5	4	1
VN040056	1	48	3	3	1	2	5	3	1
VN040059	1	62	1	3	1	3	5	4	1
VN040060	1	56	1	3	1	2	5	3	0
VN040062	1	64	1	3	1	3	5	4	1
VN040063	1	62	1	3	1	2	5	4	0
VN040064	1	61	1	3	1	2	5	4	1
VN040065	1	54	1	1	1	3	6	4	1
VN040066	1	62	1	3	1	2	5	4	1
VN040069	1	60	1	3	1	3	5	3	0
VN040070	1	56	1	3	1	2	5	4	1
VN040071	1	48	4	2	1	2	6	8	0
VN040073	1	59	1	3	1	2	5	4	1
VN040075	1	58	1	3	1	2	5	3	0
VN040076	1	56	1	3	1	2	5	4	1
VN040077	1	36	4	3	1	1	6	10	1
VN040079	1	50	3	3	1	2	5	4	1
VN040080	1	56	1	3	1	2	5	3	1
VN040081	1	64	1	3	1	2	5	4	1
VN040082	1	59	1	3	1	2	5	4	1
VN040083	1	48	3	3	1	2	5	4	1
VN040084	1	58	1	3	1	2	5	4	1
VN040085	1	53	1	3	1	2	5	4	1
VN040087	1	51	3	3	1	2	5	4	0
VN040089	1	56	1	3	1	1	5	3	1
VN040090	1	59	1	3	1	2	5	4	1
VN040091	1	65	1	3	1	2	5	4	1
VN040092	1	46	3	3	1	2	5	4	1
VN040093	1	36	4	3	1	2	5	8	1
VN040094	1	58	1	3	1	3	5	4	1
VN040095	1	47	3	3	1	3	5	4	1
