CHILDID	CRECHID	AGECRECH	CRECHDUR	CRECHTYP	PAYCRECH	CRCHQUAL	DAYSCREC	HRSCRECH	CRECHVIS
VN200025	1	9	3	1	1	2	6	10	1
VN200027	1	9	2	1	1	2	6	9	1
VN200027	2	23	4	1	1	2	6	9	1
VN200029	1	27	1	77	1	2	3	10	1
VN200029	2	27	1	4	1	2	6	9	1
VN200029	3	29	3	3	1	3	6	9	1
VN200030	1	8	3	4	1	3	6	10	1
VN200032	1	18	4	1	1	2	6	10	1
VN200033	1	20	3	3	1	2	6	10	0
VN200034	1	24	3	1	1	3	6	10	1
VN200035	1	8	3	1	1	2	6	9	1
VN200035	2	32	4	3	1	2	6	9	1
VN200036	1	12	3	1	1	3	6	8	1
VN200042	1	7	2	4	1	2	6	8	1
VN200042	2	20	3	3	1	1	6	8	1
VN200043	1	5	3	1	1	2	6	8	1
VN200047	1	20	3	1	1	3	5	8	1
VN200047	2	34	3	1	1	2	5	8	1
VN200048	1	12	2	3	1	3	6	9	1
VN200048	2	24	2	3	1	1	6	9	1
VN200050	1	6	3	1	1	2	6	10	1
VN200052	1	24	3	1	1	2	6	9	0
VN200055	1	8	3	1	1	2	6	9	1
VN200056	1	22	3	1	1	1	6	8	1
VN200058	1	4	3	4	1	2	6	8	1
VN200059	1	12	2	1	1	2	6	10	1
VN200059	2	18	3	1	1	2	6	10	1
VN200060	1	24	3	3	1	4	6	9	1
VN200061	1	24	2	1	1	4	5	9	1
VN200062	1	24	1	1	1	2	6	10	1
VN200062	2	29	3	1	1	2	6	10	1
VN200068	1	20	3	4	1	1	6	8	1
VN200069	1	6	3	1	1	3	6	10	1
VN200071	1	24	3	1	1	2	6	9	1
VN200072	1	24	3	1	1	2	6	10	1
VN200073	1	24	3	1	1	2	6	9	1
VN200074	1	18	3	4	1	2	6	10	1
VN200075	1	24	1	1	1	2	6	10	1
VN200075	2	34	2	1	1	2	6	10	1
VN200077	1	12	3	1	1	4	6	10	1
VN200079	1	15	1	1	1	4	6	9	1
VN200079	2	17	3	1	1	3	6	9	1
VN200081	1	14	3	1	1	3	6	10	1
VN200081	2	27	3	1	1	2	6	10	1
VN200083	1	20	2	1	1	3	6	9	1
VN200083	2	30	1	1	1	2	6	9	1
VN200083	3	34	4	1	1	2	6	9	1
VN200085	1	8	2	1	1	2	6	10	1
VN200085	2	16	4	1	1	2	6	10	1
VN200086	1	24	1	1	1	2	6	10	1
VN200086	2	26	4	3	1	2	6	10	1
VN200087	1	12	2	1	1	4	7	10	1
VN200087	2	24	3	1	1	3	7	10	1
VN200088	1	14	3	1	1	3	6	10	1
VN200089	1	18	4	1	1	2	6	9	1
VN200091	1	5	3	4	1	2	6	9	1
VN200092	1	12	1	1	1	3	6	9	1
VN200092	2	17	2	1	1	4	6	9	1
VN200092	3	29	4	1	1	2	6	9	1
VN200094	1	12	3	3	1	2	6	9	1
VN200095	1	13	3	4	1	2	6	9	1
VN200097	1	13	4	1	1	2	6	9	1
VN200099	1	12	3	1	1	2	6	10	1
VN200101	1	18	3	4	1	2	6	8	1
VN200112	1	12	3	1	1	2	6	9	1
VN200116	1	12	3	1	1	2	6	10	0
VN200128	1	18	2	1	1	1	6	10	1
VN200128	2	28	2	1	1	1	6	10	1
VN200129	1	24	3	3	1	2	6	9	0
VN200135	1	12	3	1	1	2	6	10	1
VN200142	1	9	1	1	1	3	6	9	1
VN200142	2	12	3	1	1	3	6	9	1
VN200142	3	30	4	1	1	2	6	9	1
VN200148	1	18	2	1	1	3	6	9	1
