CHILDID	SASSID	SASSET	NUMSASS	VALSASS	DECSASS
VN110091	1	15	1	3000	1
VN110092	1	23	1	100	2
VN110100	1	25	1	8000	80
VN110101	1	1	3	50	80
VN110101	2	8	1	120	80
VN110104	1	23	3	230	80
VN110119	1	1	9	150	80
VN110119	2	8	1	200	80
VN110121	1	1	7	100	80
VN110121	2	8	1	250	80
VN110123	1	1	12	200	80
VN110123	2	8	3	500	80
VN110125	1	1	3	50	80
VN110125	2	8	1	120	80
VN120003	1	25	1	10000	3
VN120012	1	1	6	100	80
VN120013	1	30	2	3000	80
VN120027	1	30	1	100	1
VN120039	1	25	1	3000	2
VN120046	1	30	6	-77	90
VN120058	1	1	6	200	80
VN120059	1	1	7	160	80
VN120059	2	8	4	1200	80
VN120060	1	1	5	50	4
VN120060	2	8	1	5000	3
VN120064	1	1	3	20	80
VN120065	1	2	2	6000	80
VN120067	1	23	2	300	80
VN120068	1	1	5	100	80
VN120076	1	8	3	200	80
VN120076	2	1	5	40	80
VN120077	1	25	1	1700	1
VN120078	1	1	4	30	80
VN120079	1	1	8	200	80
VN120079	2	8	4	250	80
VN120080	1	25	1	3000	80
VN120083	1	8	3	1500	1
VN120083	2	1	7	30	1
VN120085	1	1	10	200	80
VN120086	1	1	4	80	80
VN120087	1	1	4	40	80
VN120089	1	23	4	180	80
VN120090	1	13	5	100	2
VN120094	1	1	2	20	1
VN120096	1	13	10	300	1
VN120098	1	30	3	200	1
VN120114	1	15	3	200	80
VN120139	1	30	5	50	2
VN120140	1	1	4	20	80
VN130001	1	1	4	10	4
VN130001	2	3	1	10	4
VN130002	1	1	3	30	4
VN130002	2	3	1	60	4
VN130003	1	1	2	10	2
VN130004	1	22	50	0	88
VN130005	1	21	1	1300	2
VN130008	1	19	10	50	6
VN130009	1	9	10	5000	5
VN130010	1	30	1	500	1
VN130011	1	1	7	100	1
VN130011	2	5	1	1000	1
VN130011	3	6	1	500	1
VN130012	1	30	23	1000	1
VN130013	1	1	2	15	2
VN130013	2	3	1	15	2
VN130013	3	5	1	100	1
VN130016	1	3	1	600	4
VN130016	2	5	1	300	4
VN130016	3	1	9	200	4
VN130019	1	22	4	50	2
VN130020	1	21	1	1500	2
VN130021	1	21	1	2500	2
VN130022	1	22	40	-77	3
VN130024	1	22	4	150	2
VN130028	1	1	5	10	2
VN130028	2	3	1	10	2
VN130029	1	21	1	2500	2
VN130030	1	6	1	100	2
VN130030	2	3	1	50	2
VN130030	3	1	6	40	2
VN130032	1	1	3	0	4
VN130033	1	1	5	50	80
VN130034	1	10	2	2000	3
VN130034	2	9	8	2000	3
VN130036	1	30	10	10	4
VN130037	1	1	5	0	3
VN130038	1	1	5	10	2
VN130038	2	3	1	30	2
VN130039	1	1	5	30	2
VN130041	1	1	4	30	1
VN130042	1	1	3	300	1
VN130043	1	30	10	50	2
VN130044	1	21	1	2500	2
VN130046	1	22	20	50	2
VN130048	1	25	1	50000	3
VN130049	1	13	5	20	3
VN130052	1	3	1	20	3
VN130052	2	25	1	150	3
VN130052	3	1	3	5	3
VN130053	1	21	1	2000	4
VN130054	1	1	5	20	2
VN130054	2	3	1	10	2
VN130054	3	5	1	200	1
VN130055	1	21	2	2500	2
VN130056	1	23	20	1000	4
VN130057	1	3	1	10	1
VN130057	2	1	4	10	1
