CHILDID	ACTID	ACTYEST	WHOACT	CHOICE
VN040037	1	1	2	0
VN040037	2	10	3	1
VN040037	3	11	3	1
VN040038	1	10	9	1
VN040038	2	12	9	1
VN040039	1	1	11	1
VN040039	2	10	11	1
VN040039	3	12	11	1
VN040043	1	1	11	1
VN040043	2	10	11	1
VN040043	3	12	1	1
VN040044	1	1	11	1
VN040044	2	10	11	1
VN040045	1	1	11	1
VN040045	2	10	11	1
VN040045	3	12	12	1
VN040046	1	10	11	1
VN040046	2	11	11	1
VN040047	1	1	1	1
VN040047	2	10	11	1
VN040047	3	12	11	1
VN040048	1	10	11	1
VN040048	2	12	11	1
VN040049	1	10	11	1
VN040049	2	12	11	1
VN040050	1	10	11	1
VN040050	2	17	7	1
VN040050	3	12	1	1
VN040051	1	1	11	1
VN040051	2	17	11	1
VN040051	3	12	7	1
VN040052	1	11	12	0
VN040052	2	10	11	0
VN040053	1	12	2	1
VN040053	2	18	1	1
VN040054	1	17	11	1
VN040054	2	3	1	1
VN040054	3	10	11	1
VN040055	2	10	11	1
VN040056	1	11	12	0
VN040056	2	10	10	1
VN040058	1	10	11	1
VN040058	2	17	2	1
VN040059	1	12	11	1
VN040059	2	3	12	1
VN040059	3	10	11	1
VN040060	1	10	11	1
VN040061	1	3	2	1
VN040061	2	10	11	1
VN040062	1	1	11	1
VN040062	2	3	12	0
VN040062	3	10	11	1
VN040063	1	1	11	1
VN040063	2	10	11	1
VN040064	1	21	12	1
VN040064	2	1	12	1
VN040064	3	5	12	1
VN040064	4	12	2	1
VN040065	1	10	11	1
VN040066	1	1	11	1
VN040066	2	17	1	1
VN040066	3	10	10	1
VN040069	1	1	10	1
VN040069	2	10	11	1
VN040070	1	10	11	1
VN040070	2	12	11	1
VN040071	1	1	12	0
VN040071	2	12	1	1
VN040073	1	1	10	1
VN040073	2	10	11	1
VN040075	1	10	11	1
VN040075	2	12	11	1
VN040076	1	10	11	1
VN040076	2	1	11	1
VN040076	3	12	1	1
VN040077	1	1	5	0
VN040077	2	2	2	0
VN040077	3	12	2	1
VN040077	4	10	10	1
VN040078	1	10	11	1
VN040079	1	12	11	1
VN040079	2	2	12	1
VN040080	1	1	11	1
VN040080	2	12	11	1
VN040081	1	1	12	0
VN040081	2	10	11	1
VN040081	3	12	11	1
VN040082	1	1	2	1
VN040082	2	10	10	1
VN040083	1	1	9	1
VN040083	2	12	1	1
VN040084	1	12	2	0
VN040084	2	12	2	1
VN040084	3	10	11	1
VN040085	1	1	9	1
VN040087	1	1	1	1
VN040087	2	3	1	1
VN040087	3	10	11	1
VN040087	4	12	1	1
VN040088	1	10	10	1
VN040088	2	12	6	1
VN040089	1	1	11	1
VN040089	2	10	9	1
VN040089	3	12	1	1
VN040090	1	1	11	0
VN040090	2	10	11	1
VN040090	3	12	11	1
VN040091	1	22	11	1
VN040091	2	10	11	1
VN040091	3	12	11	1
VN040092	1	1	10	1
VN040092	2	10	3	1
VN040092	3	12	6	1
VN040093	1	1	5	1
VN040093	2	12	3	1
VN040094	1	18	1	1
VN040094	2	10	11	1
VN040095	1	1	1	1
VN040095	2	10	12	1
VN040096	1	1	11	1
VN040096	2	2	1	1
VN040096	3	12	12	1
VN040096	4	10	11	1
VN040097	1	12	10	1
VN040097	2	3	7	1
VN040097	3	10	11	1
VN040098	1	1	11	1
VN040098	2	12	11	1
VN040098	3	10	11	1
VN040100	1	1	4	0
VN040100	2	10	11	1
VN040100	3	12	11	1
VN040106	1	1	5	1
VN040106	2	10	11	1
VN040106	3	12	1	1
VN040108	1	1	12	1
VN040108	2	10	11	1
VN040108	3	12	11	1
VN040113	1	10	11	1
VN040113	2	12	11	1
VN040118	1	23	2	1
VN040118	2	18	2	1
VN040118	3	12	1	1
VN040119	1	1	5	0
VN040119	2	10	11	1
VN040122	1	10	11	1
VN040122	2	17	7	1
VN040122	3	12	12	1
VN040129	1	1	11	0
VN040129	2	12	2	1
VN040143	1	1	11	1
VN040143	2	10	99	1
VN040145	1	12	11	1
VN040145	2	10	11	1
VN040151	1	1	11	1
VN040151	2	2	12	0
VN040151	3	10	11	1
VN040164	1	1	11	1
VN040164	2	10	9	1
VN040171	1	1	11	1
VN040171	2	3	12	1
VN040171	3	10	1	1
VN040174	1	12	11	1
VN040174	2	10	11	1
VN050001	1	1	4	0
VN050001	2	2	1	0
VN050001	3	10	9	1
VN050001	4	17	6	1
VN050001	5	12	6	1
VN050002	1	1	10	0
VN050002	2	2	1	1
VN050003	1	1	4	0
VN050003	2	12	6	1
VN050003	3	17	6	1
VN050004	1	1	4	0
VN050004	2	17	6	1
VN050004	3	10	3	1
VN050004	4	12	3	1
VN050005	1	1	4	0
VN050005	2	2	1	1
VN050005	3	10	1	1
VN050005	4	12	1	1
VN050006	1	1	4	0
VN050006	2	12	9	1
VN050006	3	10	9	1
VN050007	1	1	4	0
VN050007	2	2	2	1
VN050007	3	12	2	1
VN050008	1	10	2	1
VN050008	2	12	2	1
VN050009	1	2	1	1
VN050009	2	12	1	1
VN050009	3	23	1	1
VN050010	1	1	4	0
VN050010	2	2	1	1
VN050010	3	17	6	1
VN050010	4	12	6	1
VN050011	1	1	10	0
VN050011	2	12	2	1
VN050011	3	17	2	1
VN050012	1	1	4	0
VN050012	2	10	1	1
VN050012	3	12	1	1
VN050013	1	1	4	0
VN050013	2	2	1	0
VN050013	3	10	1	1
VN050013	4	12	1	1
VN050013	5	21	1	1
VN050014	1	1	4	0
VN050014	2	2	1	1
VN050014	3	17	1	1
VN050014	4	12	1	1
VN050016	1	1	4	0
VN050016	2	17	6	1
VN050016	3	12	6	1
VN050017	1	1	4	0
VN050017	2	17	9	1
VN050018	1	12	1	1
VN050018	2	23	1	1
VN050019	1	2	1	1
VN050019	2	17	1	1
VN050019	3	12	1	1
VN050021	1	1	4	0
VN050021	2	2	1	1
VN050021	3	17	1	1
VN050021	4	12	1	1
VN050022	1	1	4	0
VN050022	2	2	1	1
VN050022	3	17	1	1
VN050022	4	12	1	1
VN050023	1	1	10	0
VN050023	2	10	9	1
VN050023	3	12	1	1
VN050023	4	18	1	1
VN050024	1	1	4	0
VN050024	2	17	6	1
VN050024	3	10	6	1
VN050024	4	12	6	1
VN050025	1	1	4	0
VN050025	2	17	7	1
VN050025	3	10	11	1
VN050025	4	12	1	1
VN050026	1	1	10	0
VN050026	2	12	3	1
VN050026	3	10	3	1
VN050027	1	1	4	0
VN050027	2	2	1	1
VN050027	3	17	1	1
VN050027	4	12	1	1
VN050028	1	10	1	0
VN050028	2	12	1	0
VN050028	3	19	1	0
VN050029	1	1	4	1
VN050029	2	2	1	1
VN050029	3	17	1	1
VN050029	4	12	1	1
VN050031	1	1	4	0
VN050031	2	17	7	1
VN050033	1	1	4	0
VN050033	2	2	1	0
VN050033	3	12	2	1
VN050033	4	10	3	0
VN050034	1	1	4	0
VN050034	2	17	7	1
VN050034	3	12	6	1
VN050035	1	1	10	0
VN050035	2	12	2	1
VN050035	3	17	8	1
VN050036	1	1	4	0
VN050036	2	2	1	1
VN050036	3	12	6	1
VN050037	1	1	10	0
VN050037	2	2	2	1
VN050037	3	10	9	1
VN050037	4	12	2	1
VN050038	1	1	4	0
VN050038	2	17	9	1
VN050038	3	12	1	1
VN050038	4	10	10	1
VN050040	1	1	10	0
VN050040	2	10	10	1
VN050040	3	12	2	1
VN050040	4	17	7	1
VN050041	1	1	4	0
VN050041	2	23	1	1
VN050042	1	1	10	0
VN050042	2	10	9	1
VN050042	3	12	4	1
VN050043	1	1	4	0
VN050043	2	10	10	1
VN050044	1	1	10	0
VN050044	2	12	2	1
VN050045	1	1	10	0
VN050046	1	1	4	0
VN050046	2	2	1	0
VN050046	3	17	1	1
VN050046	4	12	1	0
VN050047	1	1	4	0
VN050047	2	2	1	0
VN050047	3	10	99	1
VN050047	4	17	6	1
VN050047	5	12	6	1
VN050048	1	1	4	0
VN050048	2	17	1	1
VN050048	3	12	1	1
VN050048	4	2	1	1
VN050049	1	1	4	0
VN050049	2	2	1	1
VN050049	3	10	11	1
VN050049	4	11	11	1
VN050050	1	1	5	0
VN050050	2	10	2	1
VN050050	3	12	2	1
VN050052	1	1	4	0
VN050052	2	10	10	1
VN050053	1	1	10	0
VN050053	2	18	1	1
VN050054	1	12	1	1
VN050054	2	10	9	1
VN050054	3	17	6	1
VN050055	1	1	4	0
VN050055	2	2	1	0
VN050055	3	10	1	1
VN050055	4	12	1	1
VN050056	1	5	99	1
VN050056	2	10	10	0
VN050056	3	17	6	1
VN050057	1	1	4	0
VN050057	2	10	9	1
VN050058	1	12	6	1
VN050059	1	1	4	0
VN050059	2	2	1	1
VN050059	3	10	1	1
VN050059	4	12	1	0
VN050060	1	1	4	0
VN050060	2	2	1	1
VN050060	3	10	1	1
VN050061	1	17	6	1
VN050061	2	12	1	1
VN050062	1	10	9	1
VN050065	1	1	4	0
VN050065	2	12	99	1
VN050065	3	10	10	1
VN050065	4	17	6	1
VN050066	1	1	4	0
VN050066	2	2	1	1
VN050066	3	10	99	1
VN050066	4	12	99	1
VN050068	1	1	4	0
VN050068	2	2	6	1
VN050068	3	10	10	1
VN050068	4	17	6	1
VN050069	1	1	10	0
VN050069	2	12	12	1
VN050069	3	10	10	1
VN050070	1	10	1	0
VN050070	2	17	1	0
VN050070	3	12	1	0
VN050072	1	1	4	0
VN050072	2	10	9	1
VN050073	1	1	4	0
VN050073	2	1	1	0
VN050073	3	17	1	1
VN050073	4	12	2	1
VN050074	1	1	99	0
VN050074	2	17	7	1
VN050075	1	1	10	0
VN050075	2	12	2	1
VN050076	1	1	4	0
VN050076	2	2	1	1
VN050076	3	12	2	1
VN050077	1	1	4	0
VN050077	2	12	6	1
VN050077	3	10	10	1
VN050078	1	1	4	0
VN050078	2	2	1	1
VN050078	3	12	1	0
VN050078	4	10	11	1
VN050079	1	1	4	0
VN050079	2	2	1	0
VN050079	3	12	1	0
VN050079	4	10	1	0
VN050080	1	1	4	0
VN050080	2	2	1	0
VN050080	3	17	9	1
VN050081	1	1	4	1
VN050081	2	5	1	1
VN050081	3	10	1	1
VN050081	4	12	1	1
VN050082	1	1	4	0
VN050082	2	10	9	1
VN050082	3	12	6	1
VN050082	4	17	6	1
VN050083	1	1	4	0
VN050083	2	2	2	0
VN050083	3	17	2	0
VN050084	1	17	6	1
VN050084	2	12	2	1
VN050085	1	1	10	0
VN050085	2	12	1	1
VN050086	1	1	4	0
VN050086	2	2	1	1
VN050086	3	12	1	1
VN050087	1	1	4	0
VN050087	2	10	10	1
VN050087	3	17	9	1
VN050089	1	17	8	1
VN050089	2	10	10	1
VN050091	1	1	4	0
VN050091	2	2	1	0
VN050091	3	12	1	1
VN050091	4	17	1	1
VN050091	5	10	1	1
VN050092	1	1	10	0
VN050092	2	17	9	1
VN050092	3	12	2	1
VN050093	1	10	9	1
VN050093	2	12	2	1
VN050094	1	1	10	0
VN050094	2	12	2	1
VN050095	1	1	4	0
VN050095	2	2	2	1
VN050095	3	12	2	1
VN050096	1	1	5	0
VN050096	2	10	10	1
VN050096	3	12	1	1
VN050097	1	10	8	1
VN050098	1	17	8	1
VN050098	2	12	2	1
VN050100	1	1	10	0
VN050100	2	12	1	1
VN050102	1	1	10	0
VN050102	2	10	9	1
VN050102	3	12	2	1
VN050103	1	17	7	1
VN050104	1	17	6	1
VN050105	1	1	4	0
VN050105	2	2	1	1
VN050105	3	12	1	1
VN050105	4	10	11	1
VN050107	1	1	4	0
VN050107	2	17	6	1
VN050108	1	1	4	0
VN050108	2	17	6	1
VN050108	3	12	6	1
VN050109	1	2	1	0
VN050109	2	17	9	1
VN050109	3	23	2	1
VN050114	1	1	4	0
VN050114	2	2	1	1
VN050114	3	12	1	1
VN050114	4	10	11	1
VN050115	1	1	10	0
VN050115	2	12	2	1
VN050117	1	1	10	0
VN050117	2	12	2	1
VN050117	3	10	11	1
VN050118	1	10	9	0
VN050118	2	17	6	0
VN050118	3	12	9	0
VN060001	1	1	1	0
VN060001	2	10	11	1
VN060002	1	10	2	1
VN060003	1	1	1	0
VN060003	2	10	1	1
VN060003	3	12	1	1
VN060004	1	1	1	0
VN060004	2	10	11	1
VN060004	3	12	12	1
VN060005	1	10	9	1
VN060005	2	12	3	1
VN060006	1	19	1	0
VN060006	2	10	1	1
VN060007	1	1	11	0
VN060007	2	10	10	1
VN060007	3	12	3	1
VN060008	1	10	2	1
VN060009	1	1	1	0
VN060009	2	10	11	1
VN060009	3	12	1	1
VN060010	1	1	1	0
VN060010	2	10	11	1
VN060012	1	10	2	1
VN060013	1	10	10	1
VN060013	2	12	6	1
VN060014	1	10	1	1
VN060014	2	12	1	1
VN060015	1	1	11	0
VN060015	2	10	6	1
VN060016	1	1	1	0
VN060016	2	10	1	1
VN060018	1	1	1	0
VN060018	2	10	11	1
VN060018	3	12	1	1
VN060019	1	1	1	0
VN060019	2	10	11	1
VN060019	3	12	1	1
VN060020	1	10	10	1
VN060020	2	12	2	1
VN060023	1	10	11	1
VN060024	1	1	1	0
VN060024	2	10	11	1
VN060024	3	12	1	1
VN060025	1	1	11	0
VN060025	2	10	1	1
VN060026	1	10	11	1
VN060026	2	12	1	1
VN060027	1	1	11	0
VN060027	2	2	2	0
VN060027	3	10	2	0
VN060028	1	1	5	0
VN060028	2	17	8	1
VN060028	3	12	2	1
VN060029	1	1	1	0
VN060029	2	10	11	1
VN060029	3	12	1	1
VN060031	1	1	11	0
VN060031	2	10	6	1
VN060031	3	12	6	1
VN060032	1	1	1	0
VN060032	2	10	11	1
VN060032	3	12	1	1
VN060033	1	1	1	0
VN060033	2	10	11	1
VN060034	1	1	11	1
VN060034	2	2	1	1
VN060034	3	10	9	1
VN060034	4	12	2	1
VN060035	1	1	11	1
VN060035	2	2	2	1
VN060035	3	10	2	1
VN060036	1	1	11	1
VN060036	2	2	2	1
VN060036	3	10	6	1
VN060037	1	1	1	0
VN060037	2	10	11	1
VN060037	3	12	1	1
VN060038	1	1	1	0
VN060038	2	10	11	1
VN060039	1	1	11	1
VN060039	2	2	2	1
VN060039	3	10	2	1
VN060040	1	1	1	0
VN060040	2	10	11	1
VN060041	1	10	1	1
VN060041	2	12	1	1
VN060043	1	1	11	0
VN060043	2	12	2	1
VN060043	3	10	10	1
VN060044	1	1	11	1
VN060044	2	2	2	1
VN060044	3	10	2	1
VN060045	1	1	1	0
VN060045	2	10	11	1
VN060047	1	1	11	0
VN060047	2	2	1	1
VN060047	3	10	3	1
VN060047	4	12	12	1
VN060048	1	1	1	0
VN060048	2	10	11	1
VN060049	1	1	11	0
VN060049	2	10	2	1
VN060049	3	12	2	1
VN060050	1	1	1	0
VN060050	2	10	11	1
VN060050	3	12	1	1
VN060051	1	1	1	0
VN060051	2	10	11	1
VN060052	1	1	11	0
VN060052	2	10	9	1
VN060052	3	2	1	1
VN060053	1	10	9	1
VN060054	1	10	1	1
VN060054	2	12	6	1
VN060056	1	1	11	1
VN060056	2	2	2	1
VN060056	3	10	9	1
VN060057	1	1	11	0
VN060057	2	10	1	1
VN060057	3	2	1	1
VN060057	4	12	1	1
VN060058	1	2	6	1
VN060058	2	10	10	1
VN060059	1	2	2	1
VN060059	2	10	9	1
VN060059	3	12	2	1
VN060060	1	1	11	1
VN060060	2	2	2	1
VN060060	3	10	2	1
VN060061	1	10	6	1
VN060062	1	1	1	0
VN060062	2	10	1	1
VN060062	3	12	1	1
VN060063	1	1	1	0
VN060063	2	10	1	1
VN060063	3	12	1	1
VN060064	1	1	1	0
VN060064	2	10	1	1
VN060064	3	12	1	1
VN060065	1	2	6	1
VN060065	2	10	11	1
VN060066	1	1	11	0
VN060066	2	2	1	0
VN060066	3	10	9	1
VN060067	1	1	5	0
VN060067	2	17	6	1
VN060068	1	1	11	0
VN060068	2	2	1	0
VN060068	3	10	1	1
VN060069	1	1	11	1
VN060069	2	2	2	1
VN060069	3	10	11	1
VN060070	1	1	1	0
VN060070	2	10	1	1
VN060070	3	12	1	1
VN060071	1	1	11	0
VN060071	2	10	1	1
VN060073	1	1	1	0
VN060073	2	10	1	1
VN060073	3	12	1	1
VN060074	1	1	11	0
VN060074	2	2	2	0
VN060074	3	10	9	1
VN060074	4	12	2	1
VN060075	1	1	11	0
VN060075	2	10	3	1
VN060076	1	10	1	1
VN060077	1	1	11	1
VN060077	2	2	6	1
VN060077	3	10	9	1
VN060078	1	1	1	0
VN060078	2	10	12	1
VN060078	3	12	12	1
VN060079	1	1	11	1
VN060079	2	2	9	1
VN060079	3	10	4	1
VN060080	1	23	3	0
VN060081	1	10	6	1
VN060081	2	12	6	1
VN060082	1	1	11	1
VN060082	2	2	2	1
VN060082	3	12	2	1
VN060082	4	10	2	1
VN060083	1	1	11	1
VN060083	2	2	2	1
VN060083	3	12	2	1
VN060084	1	1	1	0
VN060084	2	10	1	1
VN060084	3	12	1	1
VN060085	1	1	11	1
VN060085	2	2	2	1
VN060085	3	12	2	1
VN060085	4	10	9	1
VN060086	1	1	1	0
VN060086	2	10	1	1
VN060086	3	12	1	1
VN060087	1	1	1	0
VN060087	2	10	1	1
VN060087	3	12	1	1
VN060088	1	1	11	1
VN060088	2	2	2	1
VN060088	3	10	2	1
VN060089	1	1	11	1
VN060089	2	2	1	1
VN060089	3	12	2	1
VN060089	4	10	6	1
VN060091	1	1	11	0
VN060091	2	10	10	1
VN060092	1	1	1	0
VN060092	2	10	1	1
VN060092	3	12	1	1
VN060093	1	1	1	0
VN060093	2	10	1	1
VN060093	3	12	1	1
VN060094	1	1	11	0
VN060094	2	10	9	1
VN060095	1	1	1	0
VN060095	2	10	1	1
VN060095	3	12	1	1
VN060096	1	1	11	0
VN060096	2	10	1	1
VN060097	1	1	1	0
VN060097	2	10	1	1
VN060097	3	12	1	1
VN060098	1	1	1	0
VN060098	2	10	1	1
VN060098	3	12	1	1
VN060099	1	1	11	1
VN060099	2	2	2	1
VN060099	3	10	2	1
VN060100	1	1	11	1
VN060100	2	2	2	1
VN060100	3	3	2	0
VN060100	4	10	11	1
VN060100	5	12	2	1
VN060103	1	1	1	0
VN060103	2	10	11	1
VN060103	3	12	1	1
VN060104	1	1	11	0
VN060104	2	10	6	1
VN060104	3	12	6	1
VN060105	1	1	1	0
VN060105	2	10	11	1
VN060106	1	1	11	1
VN060106	2	10	2	1
VN060106	3	12	2	1
VN060108	1	1	11	1
VN060108	2	2	2	1
VN060108	3	10	9	1
VN060109	1	1	11	0
VN060109	2	10	6	1
VN060109	3	12	6	1
VN060111	1	1	11	0
VN060111	2	10	10	1
VN060111	3	12	6	1
VN060115	1	10	11	1
VN060115	2	12	1	1
VN060119	1	10	6	1
VN060119	2	12	12	1
VN060127	1	1	11	0
VN060127	2	10	9	1
VN070001	1	1	4	0
VN070001	2	2	2	1
VN070001	3	17	2	1
VN070001	4	12	2	1
VN070002	1	2	2	1
VN070002	2	12	2	1
VN070003	1	1	10	0
VN070003	2	12	4	0
VN070004	1	1	5	0
VN070004	2	2	1	0
VN070004	3	14	1	1
VN070004	4	10	1	1
VN070004	5	12	1	1
VN070005	1	1	10	0
VN070005	2	12	3	0
VN070006	1	1	4	0
VN070006	2	2	1	1
VN070006	3	12	1	1
VN070006	4	10	11	1
VN070007	1	1	4	0
VN070007	2	12	99	1
VN070007	3	10	10	1
VN070008	1	12	1	1
VN070008	2	99	12	1
VN070009	1	1	4	0
VN070009	2	2	2	1
VN070009	3	3	1	1
VN070009	4	12	1	1
VN070009	5	10	11	1
VN070010	1	1	4	0
VN070010	2	2	2	1
VN070010	3	12	2	1
VN070011	1	1	4	0
VN070011	2	10	10	1
VN070011	3	12	99	1
VN070012	1	17	6	1
VN070013	1	1	5	0
VN070013	2	2	99	1
VN070013	3	10	2	1
VN070013	4	12	2	1
VN070015	1	1	4	0
VN070015	2	2	1	1
VN070015	3	12	11	1
VN070015	4	17	2	1
VN070016	1	14	1	1
VN070016	2	10	1	1
VN070017	1	1	4	0
VN070017	2	2	1	1
VN070017	3	12	1	1
VN070018	1	1	4	0
VN070018	2	2	1	0
VN070018	3	10	1	1
VN070018	4	12	2	1
VN070019	1	1	4	0
VN070019	2	2	1	0
VN070019	3	10	6	1
VN070019	4	12	1	0
VN070019	5	5	1	1
VN070021	1	17	6	1
VN070021	2	12	6	1
VN070022	1	1	4	0
VN070022	2	2	1	1
VN070022	3	12	2	1
VN070022	4	10	11	1
VN070023	1	1	4	0
VN070023	2	2	6	1
VN070023	3	12	6	1
VN070023	4	17	10	1
VN070023	5	23	10	1
VN070024	1	1	4	0
VN070024	2	2	2	0
VN070024	3	10	10	1
VN070025	1	2	6	0
VN070025	2	10	3	1
VN070025	3	12	6	1
VN070026	1	1	4	0
VN070026	2	12	99	1
VN070026	3	23	9	1
VN070027	1	1	4	0
VN070027	2	2	1	1
VN070027	3	12	1	1
VN070028	1	1	4	0
VN070028	2	12	1	1
VN070028	3	10	9	1
VN070029	1	1	10	0
VN070030	1	12	99	1
VN070030	2	23	9	1
VN070031	1	1	10	0
VN070031	2	12	2	1
VN070031	3	10	9	1
VN070031	4	21	2	1
VN070032	1	1	4	0
VN070032	2	2	1	1
VN070032	3	12	6	1
VN070032	4	17	6	1
VN070034	1	1	4	0
VN070034	2	2	1	1
VN070034	3	12	1	1
VN070034	4	10	11	1
VN070036	1	1	4	0
VN070036	2	2	1	0
VN070036	3	10	3	1
VN070036	4	17	6	1
VN070036	5	12	1	1
VN070037	1	1	4	0
VN070037	2	2	1	1
VN070037	3	12	1	1
VN070038	1	1	4	1
VN070038	2	2	1	1
VN070038	3	12	12	1
VN070038	4	10	11	1
VN070039	1	1	4	0
VN070039	2	2	6	0
VN070039	3	17	9	1
VN070039	4	12	3	0
VN070040	1	1	4	0
VN070040	2	2	2	1
VN070040	3	12	1	1
VN070040	4	10	11	1
VN070041	1	1	4	0
VN070041	2	10	1	1
VN070041	3	12	1	1
VN070042	1	1	4	0
VN070042	2	10	2	1
VN070042	3	12	3	1
VN070043	1	1	10	0
VN070043	2	12	1	1
VN070044	1	1	4	0
VN070044	2	2	1	1
VN070045	1	1	10	0
VN070045	2	10	9	1
VN070045	3	12	1	1
VN070046	1	1	11	0
VN070046	2	2	3	0
VN070046	3	12	3	1
VN070046	4	17	1	1
VN070049	1	1	5	0
VN070049	2	2	4	1
VN070049	3	12	1	1
VN070049	4	10	1	0
VN070050	1	1	1	0
VN070050	2	2	1	0
VN070050	3	12	1	1
VN070050	4	23	1	1
VN070051	1	1	4	0
VN070051	2	2	1	1
VN070051	3	5	1	1
VN070051	4	10	11	1
VN070051	5	12	1	1
VN070052	1	2	6	1
VN070052	2	10	11	1
VN070052	3	12	6	1
VN070053	1	1	5	0
VN070053	2	22	2	1
VN070054	1	1	4	0
VN070054	2	2	1	0
VN070054	3	12	1	1
VN070054	4	5	1	0
VN070055	1	1	10	0
VN070055	2	12	2	1
VN070055	3	21	2	1
VN070057	1	23	2	1
VN070058	1	1	5	0
VN070058	2	2	1	0
VN070058	3	12	1	1
VN070058	4	17	6	1
VN070059	1	10	3	0
VN070059	2	12	1	1
VN070060	1	1	4	1
VN070060	2	2	1	1
VN070060	3	12	2	1
VN070060	4	10	11	1
VN070063	1	1	4	0
VN070063	2	2	1	0
VN070063	3	10	10	1
VN070063	4	17	6	1
VN070064	1	1	4	0
VN070064	2	2	1	0
VN070064	3	12	7	1
VN070064	4	17	7	1
VN070065	1	1	10	0
VN070065	2	17	2	1
VN070066	1	1	4	0
VN070066	2	2	3	0
VN070066	3	12	9	1
VN070066	4	17	9	1
VN070067	1	1	5	0
VN070067	2	3	2	1
VN070067	3	12	2	1
VN070067	4	5	2	1
VN070068	1	1	10	0
VN070068	2	12	1	1
VN070069	1	1	4	1
VN070069	2	10	11	1
VN070069	3	12	1	1
VN070070	1	12	12	1
VN070070	2	2	2	1
VN070070	3	17	6	1
VN070071	1	12	6	1
VN070072	1	2	9	1
VN070072	2	17	6	1
VN070073	1	23	6	1
VN070074	1	23	6	1
VN070074	2	12	1	1
VN070075	1	1	4	0
VN070075	2	2	1	0
VN070075	3	12	2	1
VN070075	4	23	2	1
VN070076	1	1	5	0
VN070076	2	2	1	0
VN070076	3	10	3	1
VN070076	4	12	99	1
VN070077	1	1	5	0
VN070077	2	2	1	0
VN070077	3	17	6	1
VN070077	4	12	6	1
VN070078	1	17	8	1
VN070078	2	12	8	1
VN070079	1	1	4	0
VN070079	2	12	99	1
VN070079	3	10	10	1
VN070079	4	17	6	1
VN070080	1	1	12	1
VN070080	2	12	12	1
VN070080	3	23	12	1
VN070081	1	1	4	0
VN070081	2	2	3	1
VN070081	3	10	3	1
VN070081	4	12	3	1
VN070082	1	2	1	1
VN070082	2	10	11	1
VN070083	1	1	10	0
VN070083	2	12	1	1
VN070084	1	1	10	0
VN070084	2	12	1	1
VN070085	1	1	4	0
VN070085	2	2	6	0
VN070085	3	12	6	1
VN070085	4	17	6	1
VN070086	1	1	4	0
VN070086	2	2	1	1
VN070086	3	12	1	1
VN070087	1	19	1	0
VN070088	1	23	2	1
VN070088	2	1	4	0
VN070088	3	12	2	1
VN070090	1	1	5	0
VN070090	2	12	9	1
VN070090	3	10	3	1
VN070090	4	5	1	0
VN070091	1	1	4	0
VN070091	2	2	6	1
VN070091	3	12	6	1
VN070091	4	17	6	1
VN070092	1	12	1	1
VN070092	2	10	1	1
VN070092	3	22	1	1
VN070092	4	18	3	1
VN070093	1	10	9	1
VN070094	1	10	11	1
VN070094	2	2	1	1
VN070094	3	12	1	1
VN070095	1	1	4	0
VN070095	2	2	2	1
VN070095	3	10	10	2
VN070095	4	12	2	1
VN070097	1	10	9	1
VN070097	2	12	1	1
VN070098	1	1	4	0
VN070098	2	2	1	1
VN070098	3	17	6	1
VN070099	1	1	5	0
VN070099	2	2	6	0
VN070099	3	5	2	1
VN070099	4	18	6	1
VN070100	1	10	9	1
VN070100	2	12	9	1
VN070101	1	10	1	1
VN070101	2	12	1	1
VN070102	1	2	2	1
VN070102	2	10	11	1
VN070102	3	12	2	1
VN070105	1	1	99	0
VN070105	2	18	99	1
VN070107	1	12	6	1
VN070107	2	22	3	1
VN070107	3	2	1	0
VN070116	1	1	4	0
VN070116	2	2	1	1
VN070116	3	10	11	1
VN070116	4	12	1	1
VN070118	1	1	5	0
VN070118	2	2	6	0
VN070118	3	12	6	1
VN070118	4	10	6	1
VN070123	1	1	4	0
VN070123	2	12	99	1
VN070123	3	23	1	1
VN070124	1	1	4	0
VN070124	2	2	2	1
VN070124	3	12	2	1
VN070125	1	1	4	0
VN070125	2	2	1	0
VN070125	3	10	10	1
VN070125	4	12	6	1
VN070125	5	17	6	1
VN070126	1	1	4	0
VN070126	2	12	9	1
VN070126	3	17	6	1
VN070126	4	23	9	1
VN080001	1	1	1	0
VN080001	2	10	1	1
VN080001	3	12	1	1
VN080002	1	1	1	0
VN080002	2	10	1	1
VN080002	3	12	12	1
VN080003	1	10	12	1
VN080003	2	1	11	0
VN080003	3	12	6	1
VN080004	1	10	9	1
VN080004	2	1	11	0
VN080004	3	12	2	1
VN080005	1	1	11	1
VN080005	2	2	2	1
VN080005	3	12	2	1
VN080006	1	1	11	0
VN080006	2	2	4	0
VN080006	3	10	10	1
VN080006	4	12	6	1
VN080008	1	1	11	0
VN080008	2	2	1	0
VN080008	3	10	10	1
VN080008	4	12	6	1
VN080009	1	1	11	1
VN080009	2	2	2	0
VN080009	3	12	2	1
VN080009	4	10	2	1
VN080011	1	10	9	1
VN080011	2	1	11	0
VN080011	3	2	6	0
VN080011	4	12	6	1
VN080012	1	2	1	0
VN080012	2	10	1	1
VN080012	3	12	1	1
VN080013	1	1	1	0
VN080013	2	2	1	0
VN080013	3	10	1	1
VN080013	4	12	1	1
VN080014	1	1	11	1
VN080014	2	2	6	1
VN080014	3	12	6	1
VN080014	4	10	6	1
VN080015	1	1	1	0
