CHILDID	OUTID	REMREL	REMEST	REMGOOD
VN110034	2	19	300	0
VN110035	1	5	400	100
VN110035	2	6	300	100
VN110035	3	21	500	200
VN110036	1	5	100	100
VN110036	2	6	100	100
VN110036	3	21	300	200
VN110037	1	5	1200	0
VN110037	2	6	1000	200
VN110037	3	21	2000	0
VN110038	1	19	1000	0
VN110038	2	21	1000	0
VN110040	1	19	1000	500
VN110040	2	21	1000	0
VN110041	1	13	400	0
VN110042	1	21	600	0
VN110043	1	19	3000	0
VN110043	2	21	40	0
VN110044	1	5	200	200
VN110044	2	21	200	500
VN110045	1	6	500	0
VN110045	2	5	300	0
VN110045	3	21	1000	0
VN110046	1	19	100	0
VN110046	2	21	15	0
VN110047	1	19	1100	0
VN110048	1	19	1000	0
VN110048	2	20	100	0
VN110049	1	19	1500	0
VN110049	2	21	500	0
VN110050	1	19	1000	0
VN110050	2	21	1000	0
VN110051	1	19	700	0
VN110051	2	21	300	100
VN110052	1	5	200	0
VN110052	2	6	200	0
VN110052	3	21	500	0
VN110053	1	19	300	0
VN110053	2	21	200	0
VN110054	1	5	0	20
VN110054	2	6	0	20
VN110054	3	21	100	30
VN110055	1	21	300	300
VN110055	2	19	800	800
VN110056	1	19	300	0
VN110056	2	21	30	0
VN110057	1	19	70	0
VN110057	2	21	120	60
VN110058	1	21	20	0
VN110059	1	19	20	0
VN110059	2	21	200	0
VN110060	1	19	1000	0
VN110060	2	21	150	0
VN110061	1	13	200	0
VN110061	2	19	100	0
VN110062	1	21	300	50
VN110063	1	13	100	0
VN110063	2	19	200	0
VN110064	1	21	300	0
VN110066	1	19	800	0
VN110066	2	21	200	0
VN110067	1	19	600	100
VN110067	2	21	300	0
VN110068	1	5	30	0
VN110068	2	6	30	0
VN110068	3	21	15	0
VN110069	1	13	200	50
VN110069	2	19	600	0
VN110069	3	21	100	0
VN110072	1	13	50	0
VN110072	2	21	100	100
VN110073	1	19	1000	0
VN110073	2	21	600	0
VN110074	1	21	50	0
VN110075	1	17	30	0
VN110075	2	21	300	0
VN110076	1	19	2000	200
VN110076	2	21	800	0
VN110077	1	19	1000	0
VN110077	2	13	500	0
VN110078	1	19	2000	0
VN110078	2	21	70	0
VN110079	1	21	600	0
VN110079	2	19	900	0
VN110080	1	5	0	20
VN110080	2	5	0	20
VN110080	3	21	300	0
VN110081	1	5	100	0
VN110081	2	6	100	0
VN110081	3	21	1500	0
VN110082	1	19	1500	0
VN110083	1	21	1000	0
VN110084	1	19	200	0
VN110084	2	21	8	0
VN110085	1	19	800	200
VN110085	2	21	300	0
VN110086	1	19	1000	0
VN110086	2	21	1000	0
VN110086	3	6	9000	1000
VN110087	1	5	300	100
VN110087	2	6	300	100
VN110087	3	21	100	200
VN110088	1	21	1000	0
VN110089	1	19	1500	0
VN110089	2	21	500	0
VN110090	1	19	1000	0
VN110090	2	21	500	0
VN110091	1	21	500	0
VN110091	2	19	500	0
VN110092	1	21	2000	0
VN110092	2	19	1000	100
VN110093	2	21	150	0
VN110094	1	13	300	0
VN110094	2	19	600	0
VN110094	3	21	100	0
VN110095	1	19	1000	50
VN110095	2	21	1000	0
VN110096	1	13	200	0
VN110096	2	19	500	0
VN110097	1	19	2000	0
VN110097	2	13	500	0
VN110098	1	19	800	0
VN110098	2	21	10	0
VN110099	1	21	500	0
VN110100	1	19	30	0
VN110100	2	7	200	0
VN110101	1	19	5000	200
VN110101	2	21	500	0
VN110104	1	19	800	100
VN110104	2	21	400	0
VN110108	1	19	10	10
VN110108	2	21	80	0
VN110115	1	19	200	0
VN110115	2	21	10	0
VN110119	1	19	500	0
VN110119	2	21	100	0
VN110121	1	13	200	0
VN110121	2	19	500	0
VN110121	3	21	100	50
VN110123	1	19	300	50
VN110123	2	21	400	0
VN110125	1	13	4000	0
VN110125	2	21	800	100
VN110126	1	7	200	200
VN110126	2	19	300	300
VN120001	1	19	1000	0
VN120001	2	21	500	0
VN120003	1	5	100	300
VN120003	2	6	100	300
VN120003	3	21	100	100
VN120006	1	19	2000	0
VN120006	2	21	500	0
VN120007	1	13	200	100
VN120007	2	19	400	0
VN120007	3	21	200	0
VN120009	1	5	150	150
VN120009	2	6	150	150
VN120009	3	21	400	0
VN120010	1	19	1500	0
VN120010	2	21	300	0
VN120011	1	19	500	0
VN120012	1	19	200	0
VN120012	2	21	100	0
VN120013	1	19	500	0
VN120013	2	21	1000	0
VN120014	1	19	1000	0
VN120014	2	21	200	0
VN120015	1	21	500	0
VN120016	1	21	1000	0
VN120017	1	6	100	100
VN120017	2	5	100	100
VN120017	3	21	200	200
VN120018	1	21	100	100
VN120020	1	5	50	50
