PLACEID	STRTDINT	DISTRID	CLUSTID	MAPLOC	CHRINF1	CHRINF2	CHRINF3	POPSIZE	PAVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	RAILN	OTTRANN	MAINRTR4	MONTHS	MTRNYSSN	FACTORY	KNDFCCL1	KNDFCCL2	KNDFCCL3	KNDFACE1	EMPLMEN	EMPLWOMN	EMPLCHLD	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	PRGINF1	PRGINF2	PRGINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10	EDCNINF1	EDCNINF2	EDCNINF3	LTRCYCMP	HLTHINF1	HLTHINF2	HLTHINF3	MIDWIFE	BIRTHATT	TRADHLR	VILHTHWK	AUXILIAR	NURSE	SOCWRKR	MTLHLTH	GENPHYS	SPECPHYS	DENTIST	OTHRPERS	PHCINF1	TYPESTB	HLTCATR5	ENDDINT
80	12/12/2016 09:06:59	14	19	0	1	2	4	2479	1	0	1	1	0	0	0	1	0	 	0	 	 	 	 	 	 	 	1	1	2	5	1	2	6	1	2	3	6	7	8	10	11	12	13	14	15	16	17	18	19	3	1	9	0	1	6	7	0	0	0	1	1	1	1	0	0	0	0	0	7	1	3	13/12/2016 16:39:08
81	02/11/2016 17:14:40	20	15	0	1	2	5	1188	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	5	9	1	2	12	1	4	12	1	5	6	1	3	4	5	6	7	8	9	10	11	1	4	13	0	1	4	11	0	0	0	0	0	1	0	0	0	0	0	0	11	1	1	05/11/2016 12:31:15
82	18/10/2016 13:38:27	20	15	0	1	2	3	1460	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	4	9	1	3	15	1	3	4	1	5	6	1	2	3	5	7	8	10	11	12	13	1	3	2	1	1	4	3	0	0	0	0	0	1	0	0	0	0	0	0	4	1	1	21/10/2016 09:03:35
83	08/10/2016 08:17:12	20	15	0	1	2	3	2278	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	7	5	1	6	8	1	8	3	1	5	6	1	3	5	7	8	10	11	12	13	14	1	4	9	1	1	4	3	0	0	0	0	1	0	0	0	0	0	0	0	3	1	1	18/10/2016 10:07:24
84	23/10/2016 14:29:11	20	15	0	1	2	5	1218	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	3	11	1	2	7	1	4	13	1	11	12	1	4	5	6	7	8	9	13	14	15	1	3	14	0	1	13	15	0	0	0	0	1	0	0	0	0	0	0	0	13	1	1	24/10/2016 17:24:11
85	27/10/2016 13:16:37	20	15	0	1	2	14	1218	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	4	1	5	14	1	2	14	1	6	7	1	5	6	8	9	10	11	12	13	14	1	2	14	1	1	4	5	0	0	0	0	1	0	0	0	0	0	0	0	4	1	1	02/11/2016 13:31:13
86	08/01/2017 20:43:20	20	14	0	1	2	5	5000	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	3	6	1	2	8	1	5	11	1	6	7	1	2	3	7	8	9	10	11	12	13	1	2	5	0	1	11	12	1	1	0	0	1	1	1	1	1	1	1	0	12	1	1	09/01/2017 10:03:03
87	20/12/2016 11:13:14	20	14	0	1	8	5	6000	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	9	1	3	11	1	7	8	1	12	13	1	2	4	6	7	9	10	11	12	13	1	7	8	0	1	8	12	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	31/12/2016 08:33:19
88	26/12/2016 12:34:20	20	14	0	1	10	15	5000	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	13	1	13	14	1	13	15	1	2	3	1	2	4	6	8	10	11	12	13	14	1	13	14	0	1	8	12	1	1	0	0	1	1	1	1	1	1	1	0	16	1	1	28/12/2016 17:36:30
89	09/11/2016 14:44:20	16	20	0	1	4	3	10580	0	0	1	1	0	0	0	3	0	 	2	16	19	2	16	500	600	0	0	3	5	6	6	3	4	6	5	3	3	6	4	18	19	16	15	13	12	10	11	6	18	20	21	5	1	10	11	6	1	1	0	1	1	1	1	1	1	1	1	1	16	1	1	17/12/2016 13:46:09
90	19/12/2016 15:26:08	15	20	0	1	2	3	13982	0	0	1	1	0	1	0	3	0	 	2	1	18	3	3	1600	500	0	0	4	6	13	11	6	4	6	11	8	8	7	10	16	17	19	20	21	22	23	24	27	26	4	18	6	0	14	15	6	1	1	0	1	1	1	1	1	1	1	0	0	14	1	1	31/12/2016 16:40:01
91	24/12/2016 15:34:56	16	20	0	1	3	5	8000	0	0	1	0	0	1	0	3	1	0	1	15	16	10	15	5000	2000	1000	0	2	6	4	1	5	7	1	4	9	6	9	10	1	2	3	4	5	6	7	8	9	10	1	2	3	1	1	4	6	1	1	1	1	1	1	1	1	1	1	1	0	5	1	1	22/01/2017 14:55:40
92	04/11/2016 09:44:57	1	06	0	1	4	5	1198	0	0	1	0	0	0	0	3	0	 	2	18	19	8	18	60	29	0	1	2	4	5	3	4	2	4	7	5	1	3	2	10	11	13	16	17	19	20	22	23	25	4	6	2	1	1	3	5	0	0	0	1	1	1	0	0	0	0	0	0	5	1	1	05/11/2016 10:39:51
93	04/10/2016 19:56:18	5	02	0	1	2	3	1472	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	2	4	1	2	4	5	6	7	8	9	10	1	2	13	14	1	2	4	0	11	12	4	0	0	0	1	1	1	0	0	0	0	0	0	11	1	3	05/10/2016 07:40:13
94	02/12/2016 06:30:51	5	01	0	1	2	3	1810	0	0	1	0	0	0	0	3	0	 	2	4	8	9	4	300	180	56	1	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	1	2	3	0	1	2	3	0	0	0	1	1	1	1	1	1	0	1	0	4	1	1	02/12/2016 07:14:05
96	15/11/2016 09:10:39	20	15	0	1	9	3	4133	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	5	6	1	3	10	1	2	10	1	6	7	1	2	4	5	8	9	11	12	13	14	1	2	13	1	1	9	10	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	15/11/2016 18:25:43
97	12/09/2016 11:48:49	1	MANDASA	0	5	6	8	77	1	1	0	0	0	0	0	2	0	 	1	8	18	88	18	35	30	0	1	4	2	5	6	7	1	5	2	10	8	10	6	15	17	19	21	23	25	27	29	31	33	6	9	1	1	11	7	6	0	0	0	0	1	1	0	0	0	0	0	1	11	2	2	15/09/2016 17:32:00
98	03/11/2016 13:08:16	14	18	0	1	2	3	3571	1	0	1	1	0	1	0	3	0	 	0	 	 	 	 	 	 	 	1	2	3	4	1	5	3	1	6	7	8	9	10	12	13	14	15	16	17	18	19	20	21	1	6	7	1	11	14	1	1	0	1	1	0	0	0	0	0	0	0	0	11	1	3	04/11/2016 20:45:42
99	19/03/2017 08:27:30	1	05	0	1	2	3	1261	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	14	2	0	0	0	1	1	1	0	0	0	0	0	0	14	1	3	19/03/2017 09:12:09
101	19/12/2016 10:02:58	1	03	0	1	2	3	2750	0	1	1	1	0	1	0	2	0	 	1	16	18	19	16	1500	400	0	0	1	2	3	1	2	3	1	3	6	1	5	6	8	10	11	13	14	15	19	19	22	25	6	1	2	0	4	1	2	1	1	1	1	1	1	1	1	0	0	1	0	4	1	1	28/02/2017 10:37:05
102	18/12/2016 20:33:51	1	03	0	1	3	5	4375	0	1	0	0	0	0	0	2	0	 	1	18	16	8	16	40	25	0	0	2	3	4	4	1	3	1	5	3	1	3	5	7	8	9	10	11	12	13	14	15	16	3	2	1	1	2	4	1	0	0	0	0	1	1	0	0	1	1	1	0	3	1	3	19/12/2016 15:55:28
