placeid	rsid	module	sectin11	sectin12	sectin13	sectin14	module2	sectin21	sectin22	sectin23	sectin24	ageres	sexres	capac	livres
ET5191	2	1	 	 	 	 	2	 	 	 	 	74	1	11	37
ET5191	3	1	1	2	3	4	2	1	 	 	 	41	1	4	10
ET5191	4	1	1	2	3	4	2	 	 	 	 	46	1	8	9
ET5191	5	1	6	 	 	 	2	2	 	 	 	22	2	3	3
ET5191	6	1	2	6	 	 	2	 	 	 	 	23	2	11	23
ET5191	7	1	5	 	 	 	2	 	 	 	 	47	1	8	6
ET5191	8	1	5	 	 	 	2	 	 	 	 	35	2	8	9
ET5191	9	1	5	 	 	 	2	 	 	 	 	19	2	8	11
ET5191	10	1	5	 	 	 	2	 	 	 	 	29	1	8	29
ET5191	11	1	5	 	 	 	2	 	 	 	 	32	2	8	32
ET5191	12	1	5	 	 	 	2	 	 	 	 	29	1	8	29
ET5191	13	1	5	 	 	 	2	 	 	 	 	41	1	8	25
ET5191	14	1	5	 	 	 	2	 	 	 	 	44	1	8	44
ET5191	15	1	5	 	 	 	2	 	 	 	 	38	1	8	15
ET5191	16	1	5	 	 	 	2	 	 	 	 	49	2	8	49
ET5191	17	1	5	 	 	 	2	 	 	 	 	55	1	8	55
ET5191	18	1	5	 	 	 	2	 	 	 	 	59	2	8	59
ET5191	19	1	5	 	 	 	2	 	 	 	 	51	2	8	51
ET5191	20	1	5	 	 	 	2	 	 	 	 	43	2	8	43
ET5191	21	1	5	 	 	 	2	 	 	 	 	48	2	8	48
ET5191	22	1	5	 	 	 	2	 	 	 	 	35	2	8	35
ET5191	23	1	5	 	 	 	2	 	 	 	 	49	2	8	49
ET5191	24	1	5	 	 	 	2	 	 	 	 	38	2	8	38
ET5191	25	1	5	 	 	 	2	 	 	 	 	56	1	8	56
ET5191	26	1	5	 	 	 	2	 	 	 	 	52	1	8	52
ET5191	27	1	5	 	 	 	2	 	 	 	 	29	1	8	29
ET5201	1	1	1	2	3	 	2	 	 	 	 	50	1	1	50
ET5201	2	1	1	6	2	3	2	1	3	4	 	22	1	2	22
ET5201	3	1	1	6	2	3	2	1	 	 	 	36	1	10	3
ET5201	4	1	4	 	 	 	2	3	 	 	 	42	1	11	42
ET5201	5	1	6	4	 	 	2	3	 	 	 	22	1	10	22
ET5201	6	1	6	4	 	 	2	3	4	 	 	23	2	6	23
ET5201	7	1	 	 	 	 	2	3	 	 	 	48	1	5	48
ET5201	8	1	6	4	 	 	2	2	 	 	 	24	1	3	1
ET5201	9	1	6	4	 	 	2	1	 	 	 	26	1	4	3
ET5201	10	1	5	 	 	 	2	 	 	 	 	26	2	8	26
ET5201	11	1	5	 	 	 	2	 	 	 	 	45	2	8	45
ET5201	12	1	5	 	 	 	2	 	 	 	 	37	2	8	20
ET5201	13	1	5	 	 	 	2	 	 	 	 	50	2	8	50
ET5201	14	1	5	 	 	 	2	 	 	 	 	35	2	8	1
ET5201	15	1	5	 	 	 	2	 	 	 	 	55	1	8	2
ET5201	16	1	5	 	 	 	2	 	 	 	 	39	2	8	3
ET5201	17	1	5	 	 	 	2	 	 	 	 	37	2	8	37
ET5201	18	1	5	 	 	 	2	 	 	 	 	25	2	8	25
ET5201	19	1	5	 	 	 	2	 	 	 	 	372	2	1	6
ET5201	20	1	5	 	 	 	2	 	 	 	 	27	2	1	6
ET5201	21	1	5	 	 	 	2	 	 	 	 	31	2	1	12
ET5201	22	1	5	 	 	 	2	 	 	 	 	15	1	1	15
ET5201	23	1	5	 	 	 	2	 	 	 	 	40	2	8	40
ET5201	24	1	5	 	 	 	2	 	 	 	 	40	2	8	40
ET5201	25	1	5	 	 	 	2	 	 	 	 	45	2	1	32
ET5201	26	1	5	 	 	 	2	 	 	 	 	30	2	8	6
ET5201	27	1	5	 	 	 	2	 	 	 	 	19	2	8	2
ET5201	28	1	5	 	 	 	2	 	 	 	 	38	2	8	38
ET5201	29	1	5	 	 	 	2	 	 	 	 	60	2	8	30
ET5201	30	1	5	 	 	 	2	 	 	 	 	25	1	8	10
ET5201	31	1	5	 	 	 	2	 	 	 	 	65	1	1	40
ET5201	32	1	5	 	 	 	2	 	 	 	 	34	1	1	18
ET5201	33	1	5	 	 	 	2	 	 	 	 	28	1	1	7
ET5201	34	1	5	 	 	 	2	 	 	 	 	23	2	1	8
ET5201	35	1	5	 	 	 	2	 	 	 	 	28	1	1	4
ET5201	36	1	5	 	 	 	2	 	 	 	 	22	2	1	7
ET5201	37	1	5	 	 	 	2	 	 	 	 	35	1	1	12
ET5201	38	1	5	 	 	 	2	 	 	 	 	28	1	1	28
ET5201	39	1	5	 	 	 	2	 	 	 	 	34	1	1	34
ET5201	40	1	5	 	 	 	2	 	 	 	 	29	1	1	29
ET5201	41	1	5	 	 	 	2	 	 	 	 	70	2	1	45
ET5201	42	1	5	 	 	 	2	 	 	 	 	38	2	1	38
ET5201	43	1	5	 	 	 	2	 	 	 	 	40	2	1	40
ET5201	44	1	5	 	 	 	2	 	 	 	 	60	2	1	60
ET2061	14	1	5	 	 	 	2	 	 	 	 	31	1	8	31
ET2061	15	1	5	 	 	 	2	 	 	 	 	22	1	8	22
ET2061	16	1	5	 	 	 	2	 	 	 	 	22	1	8	2
ET2061	17	1	5	 	 	 	2	 	 	 	 	38	1	8	5
ET2061	18	1	5	 	 	 	2	 	 	 	 	18	2	8	18
ET2061	19	1	5	 	 	 	2	 	 	 	 	27	2	8	27
ET2061	20	1	5	 	 	 	2	 	 	 	 	28	1	8	28
ET2061	21	1	5	 	 	 	2	 	 	 	 	60	1	8	60
ET2061	22	1	5	 	 	 	2	 	 	 	 	19	2	8	19
ET2061	23	1	5	 	 	 	2	 	 	 	 	62	1	8	62
ET2061	24	1	5	 	 	 	2	 	 	 	 	25	2	8	25
ET2061	25	1	1	 	 	 	2	5	 	 	 	30	1	8	30
ET2061	26	1	5	 	 	 	2	 	 	 	 	38	1	8	33
ET2061	27	1	5	 	 	 	2	 	 	 	 	42	1	8	42
ET2061	28	1	5	 	 	 	2	 	 	 	 	19	2	8	19
ET2061	29	1	5	 	 	 	2	 	 	 	 	50	1	8	50
ET2061	30	1	5	 	 	 	2	 	 	 	 	37	1	10	37
ET2051	3	1	1	2	3	4	2	1	2	4	 	42	1	7	41
ET2051	4	1	1	6	 	 	2	2	4	 	 	23	1	3	2
ET2051	5	1	1	2	3	4	2	1	2	4	 	39	2	6	39
ET2051	6	1	2	6	 	 	2	1	 	 	 	26	1	4	3
ET2051	7	1	1	2	3	4	2	1	2	4	 	42	1	5	42
ET2051	8	1	1	2	3	4	2	1	2	 	 	29	1	10	4
ET2051	9	1	1	2	 	 	2	4	 	 	 	63	1	11	63
ET2051	10	1	5	6	 	 	2	3	 	 	 	29	1	8	29
ET4143	1	1	1	2	3	4	2	1	4	 	 	25	1	1	8
ET4143	2	1	1	2	3	4	2	1	2	4	 	40	1	2	20
ET4143	3	1	2	3	4	6	2	1	4	 	 	47	1	4	15
ET4143	4	1	5	 	 	 	2	 	 	 	 	23	2	8	10
ET4143	5	1	5	 	 	 	2	 	 	 	 	16	2	8	16
ET4143	6	1	 	 	 	 	2	3	 	 	 	25	2	8	0
ET4143	7	1	5	 	 	 	2	 	 	 	 	18	2	8	5
ET4143	8	1	5	 	 	 	2	 	 	 	 	22	1	8	3
ET4143	9	1	5	 	 	 	2	3	 	 	 	30	2	8	20
ET4143	10	1	5	 	 	 	2	3	 	 	 	15	2	8	15
ET4143	11	1	5	 	 	 	2	 	 	 	 	25	1	8	88
ET4143	12	1	5	 	 	 	2	 	 	 	 	18	1	8	1
ET4143	13	1	5	 	 	 	2	 	 	 	 	20	1	8	1
ET4143	14	1	5	 	 	 	2	 	 	 	 	33	1	8	1
ET4143	15	1	 	 	 	 	2	3	 	 	 	22	1	8	4
ET4143	16	1	5	 	 	 	2	 	 	 	 	27	2	8	4
ET4143	17	1	 	 	 	 	2	2	 	 	 	35	1	8	2
ET4143	18	1	 	 	 	 	2	5	 	 	 	22	2	8	15
ET4143	19	1	5	 	 	 	2	 	 	 	 	36	1	8	7
ET4143	20	1	 	 	 	 	2	 	 	 	 	55	2	8	28
ET2062	1	1	1	3	4	2	2	4	 	 	 	28	2	8	3
ET2062	2	1	4	 	 	 	2	 	 	 	 	43	1	4	5
ET2062	3	1	3	6	 	 	2	4	3	 	 	29	1	10	1
ET2062	4	1	1	2	 	 	2	2	 	 	 	21	2	3	4
ET2061	31	1	5	 	 	 	2	 	 	 	 	40	2	8	40
ET2061	32	1	5	 	 	 	2	 	 	 	 	20	2	8	20
ET2051	1	1	1	2	3	4	2	1	2	4	 	43	1	7	42
ET2051	2	1	1	2	3	4	2	1	2	4	 	38	1	7	38
ET2062	5	1	1	2	3	4	2	4	 	 	 	38	1	1	38
ET2062	6	1	5	 	 	 	2	 	 	 	 	22	1	8	2
ET2062	7	1	5	 	 	 	2	 	 	 	 	38	1	8	5
ET2062	8	1	5	 	 	 	2	 	 	 	 	18	2	8	18
ET4162	3	1	 	 	 	 	2	 	 	 	 	34	1	4	2
ET4162	4	1	 	 	 	 	2	 	 	 	 	38	1	11	38
ET4162	5	1	 	 	 	 	2	 	 	 	 	43	1	5	43
ET4162	6	1	 	 	 	 	2	 	 	 	 	29	2	6	17
ET4162	7	1	 	 	 	 	2	 	 	 	 	22	2	3	2
ET4162	8	1	 	 	 	 	2	 	 	 	 	22	2	3	3
ET4162	11	1	 	 	 	 	2	 	 	 	 	21	1	8	5
ET4162	12	1	 	 	 	 	2	 	 	 	 	22	1	8	2
ET4162	13	1	 	 	 	 	2	 	 	 	 	28	1	8	28
ET4162	14	1	 	 	 	 	2	 	 	 	 	45	1	8	45
ET4162	15	1	 	 	 	 	2	 	 	 	 	17	2	8	17
ET4162	16	1	 	 	 	 	2	 	 	 	 	15	1	8	15
ET4162	17	1	 	 	 	 	2	 	 	 	 	15	2	8	15
ET4162	18	1	 	 	 	 	2	 	 	 	 	20	1	8	20
ET4162	19	1	 	 	 	 	2	 	 	 	 	33	1	8	33
ET4162	20	1	 	 	 	 	2	 	 	 	 	30	2	8	30
ET4162	21	1	 	 	 	 	2	 	 	 	 	32	1	8	1
ET4162	22	1	 	 	 	 	2	 	 	 	 	39	1	8	1
ET4162	23	1	 	 	 	 	2	 	 	 	 	32	1	8	32
ET4162	24	1	 	 	 	 	2	 	 	 	 	20	1	8	20
ET4162	25	1	 	 	 	 	2	 	 	 	 	28	1	8	28
ET4162	26	1	 	 	 	 	2	 	 	 	 	40	1	8	40
ET4162	27	1	 	 	 	 	2	 	 	 	 	25	2	8	25
ET4162	28	1	 	 	 	 	2	 	 	 	 	25	1	8	4
ET4162	29	1	 	 	 	 	2	 	 	 	 	15	1	8	1
ET4162	30	1	 	 	 	 	2	 	 	 	 	30	1	8	10
ET4162	31	1	 	 	 	 	2	 	 	 	 	40	1	8	6
ET4162	32	1	 	 	 	 	2	 	 	 	 	30	2	8	1
ET4162	33	1	 	 	 	 	2	 	 	 	 	20	1	8	2
ET4162	34	1	 	 	 	 	2	 	 	 	 	21	1	8	1
ET4162	35	1	 	 	 	 	2	 	 	 	 	50	2	8	50
ET4162	36	1	 	 	 	 	2	 	 	 	 	35	2	8	35
ET4162	37	1	 	 	 	 	2	 	 	 	 	43	2	8	43
ET4162	38	1	 	 	 	 	2	 	 	 	 	37	1	8	5
ET4162	39	1	 	 	 	 	2	 	 	 	 	29	2	8	29
ET4162	40	1	 	 	 	 	2	 	 	 	 	55	2	8	55
ET4162	41	1	 	 	 	 	2	 	 	 	 	27	1	8	27
ET4162	42	1	 	 	 	 	2	 	 	 	 	40	1	8	40
ET4162	43	1	 	 	 	 	2	 	 	 	 	32	2	8	32
ET4162	44	1	 	 	 	 	2	 	 	 	 	29	2	8	29
ET4162	45	1	 	 	 	 	2	 	 	 	 	30	1	8	30
ET4162	46	1	 	 	 	 	2	 	 	 	 	33	1	8	33
ET4162	47	1	 	 	 	 	2	 	 	 	 	42	1	8	42
ET4162	48	1	 	 	 	 	2	 	 	 	 	30	2	8	30
ET4162	49	1	 	 	 	 	2	 	 	 	 	35	1	8	35
ET4162	50	1	 	 	 	 	2	 	 	 	 	25	1	8	25
ET4162	51	1	 	 	 	 	2	 	 	 	 	35	2	8	35
ET4162	52	1	 	 	 	 	2	 	 	 	 	48	2	8	48
ET4162	53	1	 	 	 	 	2	 	 	 	 	50	2	8	50
ET4162	54	1	 	 	 	 	2	 	 	 	 	55	2	8	55
ET4162	55	1	 	 	 	 	2	 	 	 	 	30	1	8	30
ET4162	56	1	 	 	 	 	2	 	 	 	 	27	1	8	2
ET4162	57	1	 	 	 	 	2	 	 	 	 	25	2	8	25
ET4162	58	1	 	 	 	 	2	 	 	 	 	18	2	8	18
ET4162	59	1	 	 	 	 	2	 	 	 	 	40	2	8	40
ET4162	60	1	 	 	 	 	2	 	 	 	 	40	2	8	40
ET4162	61	1	 	 	 	 	2	 	 	 	 	29	1	8	29
ET4162	62	1	 	 	 	 	2	 	 	 	 	45	2	8	40
ET3111	1	1	1	2	3	4	2	1	4	 	 	40	1	1	40
ET3111	2	1	1	2	3	4	2	4	 	 	 	50	1	11	47
ET3111	3	1	5	 	 	 	2	1	 	 	 	36	1	4	11
ET3111	4	1	 	 	 	 	2	2	 	 	 	26	2	3	5
ET3111	5	1	1	2	3	4	2	2	4	 	 	39	1	8	37
ET3111	6	1	5	 	 	 	2	 	 	 	 	30	1	8	10
ET3111	7	1	5	 	 	 	2	 	 	 	 	35	1	8	25
ET3111	8	1	5	 	 	 	2	 	 	 	 	46	1	8	4
ET3111	9	1	5	 	 	 	2	 	 	 	 	60	2	8	3
ET3111	10	1	5	 	 	 	2	 	 	 	 	40	2	8	35
ET3111	11	1	5	 	 	 	2	 	 	 	 	30	2	8	30
ET3111	12	1	5	 	 	 	2	 	 	 	 	44	1	8	5
ET3111	13	1	5	 	 	 	2	 	 	 	 	25	2	8	25
ET3111	14	1	5	 	 	 	2	 	 	 	 	38	2	8	38
ET3111	15	1	5	 	 	 	2	 	 	 	 	50	1	8	50
ET3111	16	1	5	 	 	 	2	 	 	 	 	45	2	8	45
ET3111	17	1	5	 	 	 	2	 	 	 	 	35	1	8	26
ET3111	18	1	5	 	 	 	2	 	 	 	 	26	1	8	26
ET3111	19	1	5	 	 	 	2	 	 	 	 	37	2	8	22
ET3111	20	1	5	 	 	 	2	 	 	 	 	41	2	8	41
ET3111	21	1	5	 	 	 	2	 	 	 	 	40	1	8	15
ET3111	22	1	5	 	 	 	2	 	 	 	 	26	1	8	26
ET3111	23	1	5	 	 	 	2	 	 	 	 	40	1	8	40
ET3111	24	1	5	 	 	 	2	 	 	 	 	46	1	8	46
ET3111	25	1	5	 	 	 	2	 	 	 	 	28	1	8	3
ET3111	26	1	5	 	 	 	2	 	 	 	 	32	2	8	32
ET3111	27	1	5	 	 	 	2	 	 	 	 	52	1	8	30
ET3111	28	1	5	 	 	 	2	 	 	 	 	30	1	8	30
ET3111	29	1	5	 	 	 	2	 	 	 	 	39	1	8	8
ET3111	30	1	5	 	 	 	2	 	 	 	 	45	1	8	45
ET3111	31	1	5	 	 	 	2	 	 	 	 	55	2	8	55
ET3111	32	1	 	5	 	 	2	 	 	 	 	50	2	8	50
ET3111	33	1	5	 	 	 	2	 	 	 	 	29	1	8	29
ET3111	34	1	5	 	 	 	2	 	 	 	 	53	1	8	30
ET3111	35	1	5	 	 	 	2	 	 	 	 	40	1	8	20
ET3111	36	1	5	 	 	 	2	 	 	 	 	31	1	8	31
ET3111	37	1	5	 	 	 	2	 	 	 	 	27	2	8	27
ET3111	38	1	5	 	 	 	2	 	 	 	 	50	2	8	40
ET3111	39	1	5	 	 	 	2	 	 	 	 	32	1	8	1
ET3111	40	1	5	 	 	 	2	 	 	 	 	50	2	8	50
ET3111	41	1	5	 	 	 	2	 	 	 	 	27	2	8	10
ET3111	42	1	5	 	 	 	2	 	 	 	 	50	2	8	40
ET3111	43	1	5	 	 	 	2	 	 	 	 	25	2	8	25
ET3111	44	1	5	 	 	 	2	 	 	 	 	30	1	8	7
ET3111	45	1	5	 	 	 	2	 	 	 	 	28	2	8	28
ET4142	3	1	5	 	 	 	2	 	 	 	 	18	1	8	4
ET4142	4	1	5	 	 	 	2	 	 	 	 	37	2	8	18
ET4142	5	1	5	 	 	 	2	 	 	 	 	45	1	8	25
ET4142	6	1	5	 	 	 	2	 	 	 	 	32	1	8	15
ET4142	7	1	5	 	 	 	2	 	 	 	 	55	2	8	28
ET4142	8	1	5	 	 	 	2	 	 	 	 	30	2	8	22
ET4142	9	1	5	 	 	 	2	 	 	 	 	28	2	8	5
ET4142	10	1	5	 	 	 	2	 	 	 	 	38	2	8	35
ET4142	11	1	5	 	 	 	2	 	 	 	 	 	 	 	 
ET4142	12	1	5	 	 	 	2	 	 	 	 	 	 	 	 
ET4142	13	1	5	 	 	 	2	 	 	 	 	 	 	 	 
ET4142	14	1	4	3	2	1	2	1	4	 	 	50	1	8	15
ET4142	15	1	6	4	3	2	2	1	4	 	 	26	2	8	14
ET4142	16	1	5	 	 	 	2	 	 	 	 	25	1	8	3
ET4142	17	1	5	 	 	 	2	 	 	 	 	22	1	8	4
ET4142	18	1	5	 	 	 	2	 	 	 	 	15	2	8	5
ET4142	19	1	5	 	 	 	2	 	 	 	 	27	2	8	4
ET4142	20	1	5	 	 	 	2	 	 	 	 	22	2	8	15
ET4142	21	1	 	 	 	 	2	2	4	 	 	35	1	8	2
ET4142	22	1	5	 	 	 	2	 	 	 	 	30	2	8	20
ET4142	23	1	5	 	 	 	2	 	 	 	 	23	2	8	10
ET4142	24	1	5	 	 	 	2	 	 	 	 	25	1	8	0
ET4142	25	1	5	 	 	 	2	 	 	 	 	35	1	8	7
ET4162	1	1	 	 	 	 	2	 	 	 	 	33	1	1	33
ET4162	2	1	 	 	 	 	2	 	 	 	 	26	1	10	3
ET3101	24	1	5	 	 	 	2	 	 	 	 	30	1	8	9
ET3101	25	1	5	 	 	 	2	 	 	 	 	32	2	8	32
ET3101	26	1	5	 	 	 	2	 	 	 	 	35	2	8	35
ET3101	27	1	5	 	 	 	2	 	 	 	 	32	1	8	32
ET3101	28	1	5	 	 	 	2	 	 	 	 	26	1	8	7
ET3101	29	1	5	 	 	 	2	 	 	 	 	29	1	8	9
ET3101	30	1	5	 	 	 	2	 	 	 	 	32	1	8	6
ET3101	31	1	5	 	 	 	2	 	 	 	 	32	2	8	18
ET3101	32	1	5	 	 	 	2	 	 	 	 	22	1	8	22
ET3101	33	1	5	 	 	 	2	 	 	 	 	28	1	8	3
ET3101	34	1	5	 	 	 	2	 	 	 	 	40	2	8	20
ET3101	35	1	5	 	 	 	2	 	 	 	 	24	2	8	20
ET3101	36	1	5	 	 	 	2	 	 	 	 	30	1	8	5
ET3101	37	1	5	 	 	 	2	 	 	 	 	24	1	8	24
ET3101	38	1	5	 	 	 	2	 	 	 	 	30	1	8	30
ET3101	39	1	5	 	 	 	2	 	 	 	 	32	2	8	32
ET3101	40	1	5	 	 	 	2	 	 	 	 	35	2	8	35
ET3101	41	1	5	 	 	 	2	 	 	 	 	26	2	8	22
ET3101	42	1	5	 	 	 	2	 	 	 	 	31	1	8	7
ET3101	43	1	5	 	 	 	2	 	 	 	 	48	2	8	20
ET3101	44	1	5	 	 	 	2	 	 	 	 	30	2	8	30
ET3101	45	1	5	 	 	 	2	 	 	 	 	56	2	8	56
ET3101	46	1	5	 	 	 	2	 	 	 	 	29	1	8	31
ET3101	47	1	5	 	 	 	2	 	 	 	 	31	 	8	31
ET3101	48	1	5	 	 	 	2	 	 	 	 	23	1	8	1
ET3101	49	1	5	 	 	 	2	 	 	 	 	34	1	8	34
ET3101	50	1	5	 	 	 	2	 	 	 	 	20	1	8	20
ET3101	51	1	5	 	 	 	2	 	 	 	 	22	1	8	22
ET4151	1	1	1	2	3	4	2	1	2	4	 	23	1	1	23
ET4151	2	1	1	2	3	4	2	1	2	4	 	22	2	3	3
ET4151	3	1	1	2	3	6	2	1	2	4	 	34	1	10	34
ET4151	4	1	1	2	3	4	2	1	2	4	 	32	1	1	32
ET1011	9	1	 	 	 	 	2	1	 	 	 	27	1	4	3
ET1011	10	1	4	6	 	 	2	 	 	 	 	32	1	1	2
ET1011	11	1	5	 	 	 	2	 	 	 	 	42	1	8	18
ET1011	12	1	6	 	 	 	2	 	 	 	 	42	1	3	3
ET1011	13	1	5	 	 	 	2	3	 	 	 	30	1	8	4
ET1011	14	1	5	 	 	 	2	3	 	 	 	24	1	8	5
ET1011	15	1	5	 	 	 	2	 	 	 	 	33	1	8	8
ET1011	16	1	5	 	 	 	2	 	 	 	 	35	1	8	14
ET1011	17	1	5	 	 	 	2	 	 	 	 	32	1	8	12
ET1011	18	1	5	 	 	 	2	 	 	 	 	48	1	8	30
ET1011	19	1	5	 	 	 	2	 	 	 	 	40	1	8	30
ET1011	20	1	5	 	 	 	2	 	 	 	 	38	1	8	10
ET1011	21	1	5	 	 	 	2	 	 	 	 	33	1	8	15
ET1011	22	1	5	 	 	 	2	 	 	 	 	62	2	8	12
ET1011	23	1	 	 	 	 	2	 	 	 	 	43	1	8	12
ET1011	24	1	 	 	 	 	2	 	 	 	 	38	1	8	7
ET2061	1	1	1	2	3	4	2	3	4	1	 	40	1	1	40
ET2061	2	1	1	2	3	4	2	 	 	 	 	37	2	6	7
ET2061	3	1	1	2	3	4	2	1	 	 	 	26	2	8	3
ET2061	4	1	1	2	3	4	2	2	 	 	 	22	2	3	4
ET2061	5	1	 	 	 	 	2	2	4	 	 	21	2	3	4
ET2061	6	1	 	 	 	 	2	3	4	 	 	38	1	4	5
ET2061	7	1	5	 	 	 	2	 	 	 	 	25	1	3	6
ET2061	8	1	5	 	 	 	2	1	3	 	 	20	1	8	20
ET2061	9	1	5	 	 	 	2	 	 	 	 	24	2	8	8
ET2061	10	1	5	 	 	 	2	 	 	 	 	30	1	8	30
ET2061	11	1	 	 	 	 	2	 	 	 	 	28	1	3	4
ET2061	12	1	5	 	 	 	2	 	 	 	 	22	2	8	22
ET2061	13	1	5	 	 	 	2	 	 	 	 	21	1	8	1
ET4144	1	1	5	 	 	 	 	 	 	 	 	23	2	8	10
ET4144	2	1	5	 	 	 	 	 	 	 	 	16	2	8	16
ET4144	3	1	5	 	 	 	 	 	 	 	 	25	2	8	0
ET4144	4	1	5	 	 	 	 	 	 	 	 	18	2	8	5
ET4144	5	1	5	 	 	 	 	 	 	 	 	22	1	8	3
ET4144	6	1	5	 	 	 	 	 	 	 	 	30	2	8	20
ET4144	7	1	5	 	 	 	 	 	 	 	 	15	2	8	15
ET4144	8	1	5	 	 	 	 	 	 	 	 	25	1	8	0
ET4144	9	1	1	2	3	4	2	1	2	4	 	39	1	1	22
ET4144	10	1	1	2	3	4	2	1	2	4	 	47	1	7	35
ET4144	11	1	1	2	3	4	2	1	2	4	 	40	1	1	40
ET4144	12	1	2	3	4	 	1	2	4	 	 	25	1	1	15
ET4144	13	1	 	5	 	 	 	 	 	 	 	27	1	88	3
ET4144	14	1	 	5	 	 	 	 	 	 	 	24	1	8	5
ET4144	15	1	 	5	 	 	 	 	 	 	 	28	2	8	5
ET4144	16	 	 	 	 	 	2	1	4	 	 	35	1	8	2
ET4144	17	1	 	5	 	 	 	 	 	 	 	22	2	8	15
ET4144	18	1	 	5	 	 	 	 	 	 	 	27	2	8	4
ET4144	19	1	 	5	 	 	 	 	 	 	 	18	1	8	5
ET4144	20	1	 	5	 	 	 	 	 	 	 	22	1	8	4
ET4144	21	1	 	 	5	 	 	 	 	 	 	30	2	8	7
ET4131	1	1	 	 	 	 	2	 	 	 	 	39	1	4	39
ET4131	2	1	 	 	 	 	2	 	 	 	 	22	1	1	22
ET4131	3	1	 	 	 	 	2	 	 	 	 	45	1	10	3
ET4131	4	1	 	 	 	 	2	 	 	 	 	24	2	3	24
ET4131	5	1	 	 	 	 	2	 	 	 	 	40	1	5	40
ET4131	6	1	 	 	 	 	2	 	 	 	 	37	2	6	31
ET4131	7	1	 	 	 	 	2	 	 	 	 	30	1	11	30
ET4131	8	1	 	 	 	 	2	 	 	 	 	39	1	11	39
ET4131	9	1	 	 	 	 	2	 	 	 	 	50	1	5	50
ET4131	10	1	 	 	 	 	2	 	 	 	 	30	2	7	30
ET4131	11	1	 	 	 	 	2	 	 	 	 	27	1	8	10
ET4131	12	1	 	 	 	 	2	 	 	 	 	22	1	8	22
ET4131	13	1	 	 	 	 	2	 	 	 	 	22	1	8	22
ET4131	14	1	 	 	 	 	2	 	 	 	 	14	1	8	14
ET4131	15	1	 	 	 	 	2	 	 	 	 	25	2	8	25
ET4131	16	1	 	 	 	 	2	 	 	 	 	40	1	8	40
ET4131	17	1	 	 	 	 	2	 	 	 	 	30	1	8	30
ET4131	18	1	 	 	 	 	2	 	 	 	 	30	1	8	30
ET4131	19	1	 	 	 	 	2	 	 	 	 	25	1	8	1
ET4131	20	1	 	 	 	 	2	 	 	 	 	28	2	8	28
ET4131	21	1	 	 	 	 	2	 	 	 	 	22	2	8	22
ET4131	22	1	 	 	 	 	2	 	 	 	 	32	1	8	32
ET4131	23	1	 	 	 	 	2	 	 	 	 	40	1	8	40
ET4131	24	1	 	 	 	 	2	 	 	 	 	34	2	8	35
ET4131	25	1	 	 	 	 	2	 	 	 	 	38	2	8	38
ET4131	26	1	 	 	 	 	2	 	 	 	 	50	2	8	50
ET4131	27	1	 	 	 	 	2	 	 	 	 	30	2	8	30
ET4131	28	1	 	 	 	 	2	 	 	 	 	31	2	8	31
ET4131	29	1	 	 	 	 	2	 	 	 	 	40	1	8	40
ET4131	30	1	 	 	 	 	2	 	 	 	 	35	2	8	35
ET4131	31	1	 	 	 	 	2	 	 	 	 	39	2	8	39
ET4131	32	1	 	 	 	 	2	 	 	 	 	44	1	8	55
ET4131	33	1	 	 	 	 	2	 	 	 	 	35	1	8	46
ET4131	34	1	 	 	 	 	2	 	 	 	 	24	1	8	24
ET4131	35	1	 	 	 	 	2	 	 	 	 	30	1	8	30
ET4131	36	1	 	 	 	 	2	 	 	 	 	45	1	8	45
ET4131	37	1	 	 	 	 	2	 	 	 	 	40	1	8	40
ET4131	38	1	 	 	 	 	2	 	 	 	 	40	2	8	40
ET4131	39	1	 	 	 	 	2	 	 	 	 	38	2	8	38
ET4131	40	1	 	 	 	 	2	 	 	 	 	50	2	8	50
ET4131	41	1	 	 	 	 	2	 	 	 	 	30	2	8	30
ET4131	42	1	 	 	 	 	2	 	 	 	 	43	2	8	43
ET4131	43	1	 	 	 	 	2	 	 	 	 	27	2	8	27
ET4131	44	1	 	 	 	 	2	 	 	 	 	18	1	8	1
ET4131	45	1	 	 	 	 	2	 	 	 	 	29	2	8	29
ET4131	46	1	 	 	 	 	2	 	 	 	 	29	1	8	5
ET4131	47	1	 	 	 	 	2	 	 	 	 	22	1	8	22
ET4131	48	1	 	 	 	 	2	 	 	 	 	32	1	8	32
ET4131	49	1	 	 	 	 	2	 	 	 	 	30	1	8	30
ET4131	50	1	 	 	 	 	2	 	 	 	 	28	1	8	28
ET4131	51	1	 	 	 	 	2	 	 	 	 	25	1	8	25
ET4131	52	1	 	 	 	 	2	 	 	 	 	36	1	8	36
ET4131	53	1	 	 	 	 	2	 	 	 	 	38	1	8	38
ET5171	1	1	1	2	3	4	2	4	 	 	 	40	1	1	40
ET5171	2	1	1	2	3	4	2	4	 	 	 	26	1	2	26
ET5171	3	1	2	3	4	6	2	2	 	 	 	32	2	3	4
ET5171	4	1	1	3	4	6	2	1	3	4	 	32	1	10	32
ET5171	5	1	 	 	 	 	2	1	 	 	 	26	1	4	1
ET5171	6	1	 	 	 	 	2	1	3	 	 	45	2	6	45
ET5171	7	1	6	 	 	 	2	3	 	 	 	55	1	5	55
ET5171	8	1	5	 	 	 	2	 	 	 	 	25	2	8	25
