FORMNO	CHILDID	ACTID	ACTYEST	ACTSUPER	ACTCARE	CHOICE
R28YRS	ET031030	3	1	1	0	0
R28YRS	ET031030	4	2	1	0	0
R28YRS	ET031031	1	1	1	1	1
R28YRS	ET031031	2	5	1	1	0
R28YRS	ET031031	3	10	0	1	0
R28YRS	ET031031	4	12	0	1	0
R28YRS	ET031031	5	16	0	1	0
R28YRS	ET031033	1	5	1	0	0
R28YRS	ET031033	2	1	1	0	0
R28YRS	ET031033	3	2	0	0	1
R28YRS	ET031033	4	10	0	0	1
R28YRS	ET031033	5	12	0	0	1
R28YRS	ET031034	1	1	1	0	0
R28YRS	ET031034	2	2	1	0	0
R28YRS	ET031034	3	10	1	0	1
R28YRS	ET031034	4	12	1	0	1
R28YRS	ET031035	1	1	1	0	2
R28YRS	ET031035	2	9	0	0	1
R28YRS	ET031035	3	2	0	1	1
R28YRS	ET031035	4	12	0	0	1
R28YRS	ET031035	5	5	0	0	0
R28YRS	ET031036	1	1	1	0	0
R28YRS	ET031036	2	21	1	0	0
R28YRS	ET031036	3	3	1	0	0
R28YRS	ET031036	4	5	1	0	0
R28YRS	ET031036	5	2	1	0	0
R28YRS	ET031036	6	12	1	0	0
R28YRS	ET031037	1	1	0	0	0
R28YRS	ET031037	2	10	0	0	1
R28YRS	ET031037	3	12	0	0	1
R28YRS	ET031038	1	1	0	0	0
R28YRS	ET031038	2	2	0	0	1
R28YRS	ET031038	3	5	0	0	1
R28YRS	ET031038	4	10	0	0	1
R28YRS	ET031039	1	5	0	0	1
R28YRS	ET031039	2	9	0	0	1
R28YRS	ET031039	3	1	1	0	0
R28YRS	ET031039	4	2	1	0	0
R28YRS	ET031040	1	1	1	0	0
R28YRS	ET031040	2	10	0	0	1
R28YRS	ET031040	3	5	0	0	0
R28YRS	ET031040	4	2	0	0	1
R28YRS	ET031040	5	12	0	0	1
R28YRS	ET031042	1	5	1	0	0
R28YRS	ET031042	2	10	0	0	1
R28YRS	ET031043	1	1	1	0	0
R28YRS	ET031043	2	2	1	0	1
R28YRS	ET031043	3	7	0	0	1
R28YRS	ET031043	4	9	1	0	1
R28YRS	ET031043	5	10	1	0	1
R28YRS	ET031043	6	12	1	0	1
R28YRS	ET031044	1	5	0	1	1
R28YRS	ET031044	2	1	0	0	0
R28YRS	ET031044	3	2	0	1	1
R28YRS	ET031044	4	10	0	0	1
R28YRS	ET031045	1	9	1	0	1
R28YRS	ET031046	1	1	1	0	1
R28YRS	ET031046	2	2	0	0	1
R28YRS	ET031046	3	22	0	0	1
R28YRS	ET031047	1	1	1	0	0
R28YRS	ET031047	2	2	1	0	0
R28YRS	ET031047	3	12	0	0	1
R28YRS	ET031047	4	10	0	0	1
R28YRS	ET031048	1	1	1	0	0
R28YRS	ET031048	2	2	1	0	0
R28YRS	ET031048	3	10	0	0	0
R28YRS	ET031050	1	1	1	0	0
R28YRS	ET031050	2	2	1	1	0
R28YRS	ET031050	3	10	1	1	1
R28YRS	ET031050	4	12	1	1	1
R28YRS	ET031050	5	6	1	1	0
R28YRS	ET041001	1	1	1	1	1
R28YRS	ET041001	2	12	1	1	1
R28YRS	ET041002	1	5	0	1	0
R28YRS	ET041002	2	1	0	1	1
R28YRS	ET041002	3	10	0	0	1
R28YRS	ET041002	4	2	0	0	1
R28YRS	ET041002	5	17	0	1	1
R28YRS	ET041003	1	1	1	1	1
R28YRS	ET041003	2	2	1	1	1
R28YRS	ET041003	3	17	0	0	2
R28YRS	ET041004	1	5	1	0	0
R28YRS	ET041004	2	1	0	0	1
R28YRS	ET041004	3	3	0	1	1
R28YRS	ET041005	1	1	1	0	1
R28YRS	ET041005	2	2	0	0	1
R28YRS	ET041005	3	5	1	0	1
R28YRS	ET041005	4	10	0	1	1
R28YRS	ET041006	1	5	0	0	0
R28YRS	ET041006	2	1	1	0	0
R28YRS	ET041006	3	2	1	0	0
R28YRS	ET041006	4	6	0	0	1
R28YRS	ET041007	1	1	1	0	1
R28YRS	ET041007	2	7	1	0	2
R28YRS	ET041008	1	1	0	0	0
R28YRS	ET041008	2	5	1	0	2
R28YRS	ET041008	3	10	0	0	2
