CHILDCODE	PLOTIDR4	PLTUSER4	SZPLTR4	LUPLTR4	PLTDSCR4	PLTTRNR4	PLTCLLR4	PLTCRTR4	SEENCTR4	PLTINCR4	PLTVINR4	PLTSPTR4	CRPRN1R4	CRPRN2R4	CRPDR1R4	CRPDR2R4	PLTIRRR4	PLTPRIR4
20054	4	5	2	5	2	1	0	0	 	 	 	 	5	88	88	88	0	 
20054	5	5	2	5	2	0	0	1	N	 	 	 	45	125	88	88	0	 
20055	1	1	16	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20056	1	1	15	17	3	0	1	0	 	 	 	 	 	 	 	 	 	 
20056	2	7	200	17	3	0	1	0	 	 	 	0	 	 	 	 	 	 
20058	1	1	27	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20059	1	1	12	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20059	2	7	6	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20060	1	1	64	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20060	2	7	186	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20060	3	8	9	17	2	0	88	0	 	0	 	0	 	 	 	 	 	 
20060	4	8	2.25	17	2	0	88	0	 	0	 	0	 	 	 	 	 	 
20061	1	1	36	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20061	2	8	9	17	2	0	88	0	 	0	 	1000	 	 	 	 	 	 
20062	1	1	18	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20062	2	7	8	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20064	1	1	27	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20064	2	7	6	17	2	0	88	0	 	 	 	300	 	 	 	 	 	 
20064	3	8	4	17	2	0	88	0	 	0	 	200	 	 	 	 	 	 
20064	4	8	12	17	2	0	88	0	 	0	 	0	 	 	 	 	 	 
20065	1	1	6	17	3	0	88	0	 	 	 	 	 	 	 	 	 	 
20066	1	1	29	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20067	1	1	49	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
20067	2	7	64	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
20068	1	1	24	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20068	2	7	8	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20070	1	4	200	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
20070	2	7	6	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
20071	1	1	22	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20071	2	7	21	17	2	0	88	0	 	 	 	1200	 	 	 	 	 	 
20071	3	8	6	17	1	1	1	0	 	0	 	0	 	 	 	 	 	 
20072	1	1	25	17	1	1	1	0	 	 	 	 	 	 	 	 	 	 
20072	2	7	100	17	1	1	1	0	 	 	 	0	 	 	 	 	 	 
20072	3	8	18	17	1	1	1	0	 	0	 	0	 	 	 	 	 	 
20073	1	1	18	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20074	1	1	6	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20075	1	1	15	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20075	2	7	25	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20076	1	1	49	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
20076	2	7	200	17	1	1	1	1	N	 	 	10000	 	 	 	 	 	 
20076	3	5	7	5	1	1	1	1	N	 	 	 	76	88	88	88	1	1
20077	1	1	24	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20078	1	1	70	17	3	0	88	0	 	 	 	 	 	 	 	 	 	 
20078	3	7	20	17	3	0	88	0	 	 	 	0	 	 	 	 	 	 
20079	1	1	80	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20079	2	7	15	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20079	3	20	10	17	2	0	88	0	 	0	 	0	 	 	 	 	 	 
20080	1	1	16	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20080	2	7	200	17	2	0	88	0	 	 	 	190	 	 	 	 	 	 
20081	1	1	20	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20081	2	8	9	17	2	0	88	0	 	0	 	3000	 	 	 	 	 	 
