CHILDCODE	NONFODR4	PURITMR4	SPYRR4	SPNMR4
10021	14	0	 	 
10021	15	1	300	1
10021	16	0	 	 
10021	17	1	200	0
10021	18	0	 	 
10021	19	0	 	 
10021	20	0	 	 
10021	21	0	 	 
10021	22	0	 	 
10021	23	0	 	 
10021	24	0	 	 
10021	25	0	 	 
10021	26	0	 	 
10021	27	0	 	 
10021	28	0	 	 
10021	29	0	 	 
10021	30	0	 	 
10021	31	0	 	 
10022	1	0	 	 
10022	2	0	 	 
10022	3	0	 	 
10022	4	1	1000	2
10022	5	0	 	 
10022	6	0	 	 
10022	7	0	 	 
10022	8	1	170	4
10022	9	0	 	 
10022	10	0	 	 
10022	11	1	100	4
10022	12	0	 	 
10022	13	0	 	 
10022	14	0	 	 
10022	15	1	30	4
10022	16	0	 	 
10022	17	1	20	4
10022	18	0	 	 
10022	19	0	 	 
10022	20	0	 	 
10022	21	0	 	 
10022	22	0	 	 
10022	23	0	 	 
10022	24	0	 	 
10022	25	0	 	 
10022	26	1	360	0
10022	27	0	 	 
10022	28	1	30	4
10022	29	0	 	 
10022	30	0	 	 
10022	31	0	 	 
10023	1	0	 	 
10023	2	0	 	 
10023	3	0	 	 
10023	4	1	5500	4
10023	5	0	 	 
10023	6	0	 	 
10023	7	0	 	 
10023	8	1	250	4
10023	9	0	 	 
10023	10	0	 	 
10023	11	1	30	4
10023	12	0	 	 
10023	13	0	 	 
10023	14	0	 	 
10023	15	1	50	4
10023	16	0	 	 
10023	17	0	 	 
10023	18	1	1000	0
10023	19	0	 	 
10023	20	0	 	 
10023	21	0	 	 
10023	22	0	 	 
10023	23	0	 	 
10023	24	0	 	 
10023	25	0	 	 
10023	26	0	 	 
10023	27	0	 	 
10023	28	0	 	 
10023	29	0	 	 
10023	30	0	 	 
10023	31	0	 	 
10024	1	1	1200	 
10024	2	1	180	 
10024	3	1	300	3
10024	4	1	350	88
10024	5	0	 	 
10024	6	1	160	 
10024	7	1	250	3
10024	8	0	 	 
10024	9	1	400	88
10024	10	1	550	3
10024	11	1	60	88
10024	12	1	80	2
10024	13	0	 	 
10024	14	0	 	 
10024	15	1	150	1
10024	16	0	 	 
10024	17	1	450	0
10024	18	1	50	0
10024	19	0	 	 
10024	20	0	 	 
10024	21	0	 	 
10024	22	0	 	 
10024	23	0	 	 
10024	24	0	 	 
10024	25	0	 	 
10024	26	1	720	1
10024	27	0	 	 
10024	28	0	 	 
10024	29	0	 	 
10024	30	0	 	 
10024	31	0	 	 
10025	1	0	 	 
10025	2	0	 	 
10025	3	1	400	4
10025	4	1	300	88
10025	5	0	 	 
10025	6	1	60	 
10025	7	1	150	4
10025	8	1	180	88
10025	9	0	 	 
10025	10	0	 	 
10025	11	1	100	88
10025	12	1	200	2
10025	13	0	 	 
10025	14	0	 	 
10025	15	1	160	1
10025	16	0	 	 
10025	17	0	 	 
10025	18	0	 	 
10025	19	0	 	 
10025	20	0	 	 
10025	21	0	 	 
10025	22	0	 	 
10025	23	0	 	 
10025	24	0	 	 
10025	25	0	 	 
10025	26	0	 	 
10025	27	0	 	 
10025	28	0	 	 
10025	29	0	 	 
10025	30	0	 	 
10025	31	0	 	 
10026	1	1	450	 
10026	2	1	600	 
10026	3	1	1000	1
10026	4	0	 	 
10026	5	0	 	 
10026	6	1	300	 
10026	7	0	 	 
10026	8	0	 	 
10026	9	0	 	 
10026	10	0	 	 
10026	11	0	 	 
10026	12	1	200	4
10026	13	0	 	 
10026	14	0	 	 
10026	15	1	20	4
10026	16	1	500	4
10026	17	1	450	1
10026	18	1	50	0
10026	19	0	 	 
10026	20	0	 	 
10026	21	1	60	1
10026	22	0	 	 
10026	23	0	 	 
10026	24	0	 	 
10026	25	0	 	 
10026	26	0	 	 
10026	27	0	 	 
10026	28	0	 	 
10026	29	0	 	 
10026	30	0	 	 
10026	31	0	 	 
10028	1	0	 	 
10028	2	0	 	 
10028	3	0	 	 
10028	4	0	 	 
10028	5	0	 	 
10028	6	0	 	 
10028	7	0	 	 
10028	8	0	 	 
10028	9	0	 	 
10028	10	0	 	 
10028	11	0	 	 
10028	12	0	 	 
10028	13	0	 	 
10028	14	0	 	 
10028	15	0	 	 
10028	16	0	 	 
10028	17	0	 	 
10028	18	0	 	 
10028	19	0	 	 
10028	20	0	 	 
10028	21	0	 	 
10028	22	0	 	 
10028	23	0	 	 
10028	24	0	 	 
10028	25	0	 	 
10028	26	0	 	 
10028	27	0	 	 
10028	28	0	 	 
10028	29	1	80	4
10028	30	0	 	 
10028	31	0	 	 
10029	1	0	 	 
10029	2	1	100	 
10029	3	1	500	3
10029	4	1	170	88
10029	5	1	200	 
10029	6	0	 	 
10029	7	1	250	3
10029	8	1	80	88
10029	9	1	280	88
10029	10	1	250	4
10029	11	1	50	88
10029	12	1	50	4
10029	13	0	 	 
10029	14	0	 	 
10029	15	1	70	3
10029	16	0	 	 
10029	17	1	80	4
10029	18	1	0	 
10029	19	0	 	 
10029	20	0	 	 
10029	21	0	 	 
10029	22	0	 	 
10029	23	0	 	 
10029	24	0	 	 
10029	25	0	 	 
10029	26	1	400	1
10029	27	0	 	 
10029	28	0	 	 
10029	29	0	 	 
10029	30	0	 	 
10029	31	0	 	 
10030	1	0	 	 
10030	2	0	 	 
10030	3	1	600	2
10030	4	1	300	88
10030	5	0	 	 
10030	6	0	 	 
10030	7	0	 	 
10030	8	0	 	 
10030	9	1	250	88
10030	10	1	500	2
10030	11	1	5500	88
10030	12	1	12800	2
10030	13	0	 	 
10030	14	1	2500	2
10030	15	1	250	1
10030	16	1	6000	2
10030	17	0	 	 
10030	18	0	 	 
10030	19	0	 	 
10030	20	0	 	 
10030	21	0	 	 
10030	22	0	 	 
10030	23	1	20	2
10030	24	0	 	 
10030	25	0	 	 
10030	26	1	7000	0
10030	27	0	 	 
10030	28	0	 	 
10030	29	1	100	2
10030	30	0	 	 
10030	31	0	 	 
10031	1	0	 	 
10031	2	1	600	 
10031	3	0	 	 
10031	4	0	 	 
10031	5	0	 	 
10031	6	1	100	 
10031	7	1	70	88
10031	8	1	50	4
10031	9	0	 	 
10031	10	0	 	 
10031	11	0	 	 
10031	12	0	 	 
10031	13	0	 	 
10031	14	0	 	 
10031	15	1	150	0
10031	16	0	 	 
10031	17	0	 	 
10031	18	0	 	 
10031	19	0	 	 
10031	20	0	 	 
10031	21	0	 	 
10031	22	0	 	 
10031	23	0	 	 
10031	24	1	120	 
10031	25	0	 	 
10031	26	0	 	 
10031	27	0	 	 
10031	28	1	75	4
10031	29	1	75	88
10031	30	1	130	 
10031	31	0	 	 
10032	1	0	 	 
10032	2	0	 	 
10032	3	0	 	 
10032	4	1	300	4
10032	5	0	 	 
10032	6	0	 	 
10032	7	0	 	 
10032	8	1	20	4
10032	9	1	30	4
10032	10	0	 	 
10032	11	1	120	4
10032	12	1	175	88
10032	13	0	 	 
10032	14	0	 	 
10032	15	1	130	1
10032	16	1	800	0
10032	17	1	10	0
10032	18	1	280	0
10032	19	0	 	 
10032	20	0	 	 
10032	21	0	 	 
10032	22	0	 	 
10032	23	0	 	 
10032	24	0	 	 
10032	25	0	 	 
10032	26	0	 	 
10032	27	0	 	 
10032	28	0	 	 
10032	29	0	 	 
10032	30	0	 	 
10032	31	0	 	 
10033	1	0	 	 
10033	2	1	650	 
10033	3	0	 	 
10033	4	1	500	3
10033	5	0	 	 
10033	6	0	 	 
10033	7	0	 	 
10033	8	1	350	3
10033	9	1	750	3
10033	10	0	 	 
10033	11	1	7700	2
10033	12	0	 	 
10033	13	0	 	 
10033	14	0	 	 
10033	15	1	100	3
10033	16	1	1500	2
10033	17	1	700	0
10033	18	0	 	 
10033	19	0	 	 
10033	20	0	 	 
10033	21	1	100	1
10033	22	0	 	 
10033	23	0	 	 
10033	24	0	 	 
10033	25	0	 	 
10033	26	1	300	1
10033	27	0	 	 
10033	28	0	 	 
10033	29	0	 	 
10033	30	0	 	 
10033	31	0	 	 
10035	1	0	 	 
10035	2	0	 	 
10035	3	1	80	4
10035	4	1	80	88
10035	5	1	35	 
10035	6	0	 	 
10035	7	1	65	4
10035	8	0	 	 
10035	9	0	 	 
10035	10	0	 	 
10035	11	0	 	 
10035	12	1	150	4
10035	13	0	 	 
10035	14	0	 	 
10035	15	1	70	4
10035	16	1	480	4
10035	17	1	700	4
10035	18	0	 	 
10035	19	0	 	 
10035	20	0	 	 
10035	21	0	 	 
10035	22	0	 	 
10035	23	0	 	 
10035	24	0	 	 
10035	25	0	 	 
10035	26	0	 	 
10035	27	0	 	 
10035	28	0	 	 
10035	29	0	 	 
10035	30	0	 	 
10035	31	0	 	 
10036	1	0	 	 
10036	2	0	 	 
10036	3	1	520	4
10036	4	1	60	88
10036	5	0	 	 
10036	6	1	40	 
10036	7	1	140	4
10036	8	1	240	88
10036	9	1	270	88
10036	10	1	75	4
10036	11	1	200	88
10036	12	1	50	4
10036	13	0	 	 
10036	14	0	 	 
10036	15	1	110	1
10036	16	0	 	 
10036	17	0	 	 
10036	18	1	82	4
10036	19	0	 	 
10036	20	0	 	 
10036	21	0	 	 
10036	22	0	 	 
10036	23	0	 	 
10036	24	0	 	 
10036	25	0	 	 
10036	26	0	 	 
10036	27	0	 	 
10036	28	1	120	88
10036	29	0	 	 
10036	30	0	 	 
10036	31	0	 	 
10037	1	1	1400	 
10037	2	1	2500	 
10037	3	0	 	 
10037	4	1	600	4
10037	5	1	450	 
10037	6	1	700	 
10037	7	0	 	 
10037	8	1	250	4
10037	9	1	340	4
10037	10	0	 	 
10037	11	1	2720	4
10037	12	0	 	 
10037	13	0	 	 
10037	14	0	 	 
10037	15	1	110	4
10037	16	1	600	4
10037	17	1	470	1
10037	18	1	12	0
10037	19	0	 	 
10037	20	0	 	 
10037	21	1	400	1
10037	22	0	 	 
10037	23	0	 	 
10037	24	0	 	 
10037	25	0	 	 
10037	26	1	1000	1
10037	27	0	 	 
10037	28	0	 	 
10037	29	0	 	 
10037	30	0	 	 
10037	31	0	 	 
10038	1	0	 	 
10038	2	0	 	 
10038	3	1	250	77
10038	4	1	400	88
10038	5	0	 	 
10038	6	1	170	 
10038	7	1	265	4
10038	8	1	170	88
10038	9	1	230	88
10038	10	1	270	4
10038	11	1	600	88
10038	12	1	55	4
10038	13	0	 	 
10038	14	0	 	 
10038	15	1	160	3
10038	16	0	 	 
10038	17	1	15	0
10038	18	1	300	0
10038	19	0	 	 
10038	20	0	 	 
10038	21	0	 	 
10038	22	0	 	 
10038	23	0	 	 
10038	24	0	 	 
10038	25	0	 	 
10038	26	0	 	 
10038	27	0	 	 
10038	28	0	 	 
10038	29	0	 	 
10038	30	0	 	 
10038	31	0	 	 
10040	1	1	800	 
10040	2	0	 	 
10040	3	0	 	 
10040	4	0	 	 
10040	5	0	 	 
10040	6	1	120	 
10040	7	0	 	 
10040	8	1	350	1
10040	9	1	620	1
10040	10	0	 	 
10040	11	1	150	1
10040	12	0	 	 
10040	13	0	 	 
10040	14	0	 	 
10040	15	1	70	1
10040	16	0	 	 
10040	17	0	 	 
10040	18	0	 	 
10040	19	0	 	 
10040	20	0	 	 
10040	21	0	 	 
10040	22	0	 	 
10040	23	0	 	 
10040	24	0	 	 
10040	25	0	 	 
10040	26	0	 	 
10040	27	0	 	 
10040	28	0	 	 
10040	29	0	 	 
10040	30	0	 	 
10040	31	0	 	 
10041	1	0	 	 
10041	2	1	450	 
10041	3	0	 	 
10041	4	0	 	 
10041	5	0	 	 
10041	6	0	 	 
10041	7	0	 	 
10041	8	0	 	 
10041	9	1	350	88
10041	10	1	350	4
10041	11	1	40	88
10041	12	1	40	4
10041	13	1	200	88
10041	14	1	200	4
10041	15	1	80	2
10041	16	0	 	 
10041	17	1	5	0
10041	18	1	45	0
10041	19	0	 	 
10041	20	0	 	 
10041	21	0	 	 
10041	22	0	 	 
10041	23	0	 	 
10041	24	0	 	 
10041	25	0	 	 
10041	26	0	 	 
10041	27	0	 	 
10041	28	0	 	 
10041	29	0	 	 
10041	30	0	 	 
10041	31	0	 	 
10042	1	1	1000	 
10042	2	0	 	 
10042	3	0	 	 
10042	4	0	 	 
10042	5	0	 	 
10042	6	0	 	 
10042	7	0	 	 
10042	8	1	250	4
10042	9	1	250	4
10042	10	0	 	 
10042	11	1	40	4
10042	12	0	 	 
10042	13	0	 	 
10042	14	0	 	 
10042	15	1	65	4
10042	16	0	 	 
10042	17	0	 	 
10042	18	0	 	 
10042	19	0	 	 
10042	20	0	 	 
10042	21	0	 	 
10042	22	0	 	 
10042	23	0	 	 
10042	24	0	 	 
10042	25	0	 	 
10042	26	0	 	 
10042	27	0	 	 
10042	28	0	 	 
10042	29	0	 	 
10042	30	0	 	 
10042	31	0	 	 
10043	1	1	1200	 
10043	2	0	 	 
10043	3	1	600	2
10043	4	1	500	88
10043	5	0	 	 
10043	6	1	70	 
10043	7	1	80	2
10043	8	1	200	88
10043	9	1	150	88
10043	10	0	 	 
10043	11	1	250	88
10043	12	1	70	1
10043	13	0	 	 
10043	14	0	 	 
10043	15	1	414	1
10043	16	1	900	0
10043	17	1	5	4
10043	18	0	 	 
10043	19	0	 	 
10043	20	0	 	 
10043	21	0	 	 
10043	22	0	 	 
10043	23	0	 	 
10043	24	0	 	 
10043	25	1	1600	 
10043	26	1	60	0
10043	27	0	 	 
10043	28	0	 	 
10043	29	1	10	0
10043	30	0	 	 
10043	31	0	 	 
10044	1	1	2600	 
10044	2	1	780	 
10044	3	1	200	88
10044	4	1	1000	4
10044	5	1	800	 
10044	6	1	400	 
10044	7	1	800	88
10044	8	1	1000	4
10044	9	1	350	2
10044	10	0	 	 
10044	11	1	280	1
10044	12	1	600	88
10044	13	1	600	4
10044	14	1	600	88
10044	15	1	240	1
10044	16	0	 	 
10044	17	1	50	0
10044	18	0	 	 
10044	19	0	 	 
10044	20	1	5000	0
10044	21	1	500	1
10044	22	0	 	 
10044	23	0	 	 
10044	24	0	 	 
10044	25	0	 	 
10044	26	0	 	 
10044	27	0	 	 
10044	28	0	 	 
10044	29	0	 	 
10044	30	0	 	 
10044	31	0	 	 
10045	1	1	500	 
10045	2	1	400	 
10045	3	1	200	88
10045	4	1	0	 
10045	5	1	200	 
10045	6	0	 	 
10045	7	1	100	88
10045	8	1	160	4
10045	9	0	 	 
10045	10	0	 	 
10045	11	1	50	2
10045	12	1	30	88
10045	13	0	 	 
10045	14	0	 	 
10045	15	1	70	1
10045	16	0	 	 
10045	17	0	 	 
10045	18	0	 	 
10045	19	0	 	 
10045	20	0	 	 
10045	21	0	 	 
10045	22	0	 	 
10045	23	0	 	 
10045	24	0	 	 
10045	25	0	 	 
10045	26	0	 	 
10045	27	0	 	 
10045	28	1	20	2
10045	29	1	10	88
10045	30	0	 	 
10045	31	0	 	 
10046	1	1	1800	 
10046	2	0	 	 
10046	3	1	800	88
10046	4	1	750	4
10046	5	1	700	 
10046	6	1	200	 
10046	7	1	180	88
10046	8	1	240	4
10046	9	1	140	4
10046	10	0	 	 
10046	11	1	150	1
10046	12	1	200	88
10046	13	0	 	 
10046	14	0	 	 
10046	15	1	200	1
10046	16	0	 	 
10046	17	1	170	0
10046	18	0	 	 
10046	19	0	 	 
10046	20	0	 	 
10046	21	0	 	 
10046	22	0	 	 
10046	23	0	 	 
10046	24	0	 	 
10046	25	0	 	 
10046	26	0	 	 
10046	27	0	 	 
10046	28	0	 	 
10046	29	0	 	 
10046	30	0	 	 
10046	31	0	 	 
10048	1	1	200	 
10048	2	1	250	 
10048	3	1	100	0
10048	4	1	300	1
10048	5	1	250	 
10048	6	1	75	 
10048	7	1	40	0
10048	8	1	90	1
10048	9	0	 	 
10048	10	0	 	 
10048	11	1	50	2
10048	12	0	 	 
10048	13	0	 	 
10048	14	0	 	 
10048	15	1	39	0
