CHILDID	REMID	REMREL	REMQNT	REMTYPE	V1070403
VN070005	1	3	3	3	2
VN070006	1	3	3	3	1
VN070006	2	2	2	3	1
VN070007	1	2	1	1	2
VN070008	1	2	6	3	2
VN070008	2	3	2	1	1
VN070011	1	2	3	3	2
VN070012	1	2	5	3	1
VN070012	2	3	5	3	1
VN070012	3	5	10	2	1
VN070012	4	5	15	2	1
VN070013	1	3	6	3	2
VN070013	2	5	5	2	1
VN070017	1	2	3	3	1
VN070017	2	3	36	2	1
VN070017	3	5	365	2	1
VN070018	1	2	6	1	2
VN070019	1	2	12	3	1
VN070019	2	3	12	3	1
VN070021	1	2	3	3	1
VN070021	2	3	3	3	1
VN070021	3	5	4	2	1
VN070023	1	3	4	1	1
VN070023	2	2	1	1	2
VN070025	1	2	3	3	2
VN070026	1	3	20	2	1
VN070028	1	2	25	1	1
VN070028	2	3	3	1	2
VN070029	1	2	6	1	1
VN070029	2	3	2	1	1
VN070029	3	5	3	1	1
VN070030	1	3	5	3	1
VN070032	1	3	3	3	1
VN070034	1	3	10	2	1
VN070037	1	3	10	3	1
VN070037	2	2	3	3	1
VN070037	3	5	20	2	1
VN070039	1	4	3	2	1
VN070039	2	5	3	2	1
VN070040	1	2	2	2	1
VN070040	2	3	2	2	1
VN070040	3	5	3	2	1
VN070041	1	3	10	3	1
VN070042	1	3	10	3	1
VN070043	1	3	5	3	1
VN070044	1	3	3	3	1
VN070044	2	2	2	3	1
VN070045	1	2	5	2	1
VN070045	2	3	5	2	1
VN070046	1	2	120	3	1
VN070046	2	3	28	3	1
VN070051	1	2	60	3	1
VN070051	2	3	60	3	1
VN070051	3	4	15	2	1
VN070052	1	2	6	2	2
VN070052	2	3	20	3	2
VN070052	3	5	5	2	2
VN070053	1	2	4	2	1
VN070055	1	3	2	1	1
VN070061	1	1	12	3	1
VN070061	2	3	2	3	1
VN070063	1	3	2	3	2
VN070063	2	2	2	1	2
VN070063	3	5	5	1	2
VN070064	1	3	36	1	1
VN070064	2	2	4	2	1
VN070064	3	5	5	2	1
VN070065	1	2	5	3	2
VN070066	1	3	2	1	1
VN070067	1	2	4	3	2
VN070068	1	2	10	2	1
VN070068	2	3	15	3	1
VN070068	3	5	5	2	1
VN070069	1	2	2	3	1
VN070069	2	3	3	3	1
VN070069	3	5	2	2	1
VN070073	1	3	2	3	1
VN070074	1	3	2	2	1
VN070074	2	2	2	2	1
VN070075	1	2	15	2	1
VN070075	2	3	24	2	1
VN070076	1	3	10	3	1
VN070077	1	3	4	3	2
VN070077	2	2	5	3	2
VN070077	3	5	14	1	2
VN070079	1	3	4	3	1
VN070081	1	3	10	3	1
VN070081	2	2	15	3	1
VN070082	1	2	12	3	1
VN070082	2	3	3	3	1
VN070082	3	4	10	2	1
VN070082	4	5	11	2	1
VN070083	1	2	240	3	1
VN070083	2	3	36	3	1
VN070083	3	5	10	2	1
VN070084	1	2	3	2	1
VN070084	2	3	2	2	1
VN070084	3	5	20	2	1
VN070086	1	2	12	2	1
VN070086	2	3	12	2	1
VN070086	3	4	12	2	1
VN070086	4	5	12	2	1
VN070087	1	3	6	3	1
VN070087	2	2	2	3	1
VN070088	1	3	5	3	2
VN070088	2	2	4	3	2
VN070090	1	3	360	3	2
VN070090	2	2	5	2	1
VN070091	1	3	10	3	1
VN070091	2	5	4	2	1
VN070093	1	4	3	3	2
VN070093	2	2	4	3	2
VN070098	1	2	3	1	1
VN070099	1	3	30	3	2
VN070099	2	2	36	3	2
VN070100	1	2	2	3	1
VN070100	2	3	2	2	1
VN070105	1	2	36	2	1
VN070105	2	3	12	3	1
VN070105	3	4	3	3	1
VN070123	1	2	365	3	1
VN070123	2	3	350	3	1
VN070123	3	5	24	2	1
VN070124	1	3	5	1	1
VN070125	1	2	36	3	1
VN070125	2	3	72	3	1
VN080001	1	3	8	3	2
VN080001	2	2	6	3	2
VN080002	1	3	4	3	2
VN080003	1	2	3	2	2
VN080004	1	2	5	3	2
VN080004	2	3	3	3	1
VN080005	1	2	3	3	2
VN080009	1	2	5	2	1
VN080009	2	3	2	2	1
VN080011	1	3	3	3	1
VN080011	2	2	10	3	1
VN080012	1	2	4	1	2
VN080014	1	3	5	3	2
VN080014	2	2	7	3	2
VN080015	1	2	12	3	2
VN080016	1	3	120	3	2
VN080016	2	2	3	2	1
VN080017	1	3	2	1	1
VN080019	1	2	2	1	1
VN080019	2	3	10	3	1
VN080019	3	5	10	3	1
VN080020	1	2	10	3	1
VN080020	2	3	6	1	1
VN080021	1	2	6	3	1
VN080021	2	3	5	3	1
VN080021	3	5	2	2	1
VN080022	1	2	5	1	2
VN080022	2	3	5	3	1
VN080024	1	2	3	2	1
VN080024	2	3	4	2	1
VN080024	3	5	3	2	1
VN080025	1	3	2	2	1
VN080026	1	2	5	2	1
VN080026	2	3	15	3	1
VN080026	3	5	3	2	1
VN080029	1	2	10	3	2
VN080031	1	3	10	1	2
VN080032	1	2	5	2	2
VN080033	1	3	20	1	1
VN080033	2	2	7	1	1
VN080034	1	3	10	1	1
VN080035	1	2	2	3	1
VN080035	2	3	3	3	1
VN080035	3	5	2	3	1
VN080038	1	3	4	3	2
VN080038	2	2	2	3	1
VN080039	1	3	3	3	2
VN080041	1	2	12	3	2
VN080045	1	2	4	3	2
VN080046	1	2	10	3	2
VN080046	2	3	8	3	2
VN080047	1	3	8	1	2
VN080047	2	2	12	3	2
VN080050	1	2	10	1	1
VN080050	2	3	10	2	2
VN080051	1	3	30	3	2
VN080051	2	2	1	2	1
VN080052	1	2	10	3	1
VN080052	2	3	5	3	1
VN080052	3	4	6	3	1
VN080053	1	3	20	3	2
VN080056	1	3	10	3	2
VN080059	1	2	5	1	1
VN080059	2	3	2	1	1
VN080059	3	5	10	2	1
VN080061	1	3	3	3	1
VN080061	2	2	4	3	2
VN080062	1	3	10	3	1
VN080064	1	2	2	2	1
VN080064	2	3	15	2	1
VN080067	1	3	2	1	2
VN080068	1	2	2	1	1
VN080068	2	3	12	2	1
VN080069	1	3	9	1	2
VN080069	2	2	5	3	2
VN080070	1	2	6	3	2
VN080070	2	3	4	3	1
VN080071	1	2	4	3	2
VN080071	2	3	2	1	1
VN080072	1	3	2	3	1
VN080072	2	2	5	1	1
VN080073	1	2	3	3	1
VN080073	2	5	10	2	1
VN080075	1	3	3	3	2
VN080075	2	2	2	2	1
VN080075	3	5	1	2	1
VN080078	1	3	15	3	1
VN080078	2	2	1	2	1
