PLACEID	ANFDIDR4	ITEM	PRICE	ACCOUNT
8004	2	HUEVOS	5	1
8004	3	PESCADO	8	1
8005	1	HUEVOS	0,3	2
8005	2	CARNE	9	1
8005	3	LECHE	1	3
8007	1	POLLO	8	1
8007	2	PESCADO	7	1
8007	3	HUEVOS	5,2	1
8008	1	OVEJA	8	1
8008	2	RES	10	1
8008	3	POLLO	9,5	1
8012	1	POLLO	8	1
8012	2	PESCADO	10	1
8012	3	PATO	18	1
8014	1	CHANCHO	10	1
8014	2	CUY	15	2
8014	3	POLLO	12	1
8016	1	POLLO	8,5	1
8016	2	LECHE	1,5	3
8016	3	HUEVOS	5	1
8018	1	LECHE	1,5	3
8018	2	QUESO	10	1
8018	3	CARNE DE CUY	15	2
8020	1	POLLO	8,5	1
8020	2	CARNE DE RES	11	1
8020	3	HUEVOS	5,4	1
8025	1	POLLO	10	1
8025	2	CARNE	13	1
8025	3	PESCADO	10	1
8026	1	CARNE DE RES	9	1
8026	2	CERDO	10,5	1
8026	3	CUY	15	2
8029	1	CARNE DE RES	8	1
8029	2	LECHE	1	3
8029	3	QUESO	10	1
8032	1	CUY	22,5	2
8032	2	GALLINA	30	2
8032	3	LECHE	1	3
8034	1	HUEVOS	1	4
8034	2	LECHE	1,2	3
8037	1	GALLINA CRIOLLA	8	1
8037	2	CARNE DE CHANCHO	10	1
8037	3	HUEVOS	4,8	1
8038	1	CARNE DE RES	10	1
8038	2	LECHE	1,5	2
8038	3	POLLO	9	1
8039	1	HUEVOS	0,3	2
8039	2	MENUDENCIA	3,5	1
8039	3	PESCADO	5	1
8040	1	POLLO	8,5	1
8040	2	PESCADO	8	1
8040	3	HUEVOS	0,3	2
8041	1	GALLINA CRIOLLA	15	1
8041	2	LECHE	1,5	3
8041	3	HUEVOS	0,3	2
8046	1	POLLO	8,5	1
8046	2	PESCADO	6	1
8046	3	ARROZ	3	1
8048	1	PESCADO	7	1
8048	2	POLLO	10	1
8048	3	RES	12	1
8059	1	POLLO	8	1
8059	2	CARNE DE RES	13	1
8059	3	HUEVOS	5,5	1
8060	1	POLLO	8	1
8060	2	PESCADO	5	1
8060	3	CARNE	10	1
8062	1	PESCADO	7	1
8062	2	POLLO	7,5	1
8062	3	LECHE	3,2	4
8064	1	POLLO	7	1
8064	2	PESCADO	8	1
8064	3	CARNE DE RES	10	1
8066	1	CARNERO	13	1
8066	2	GALLINA	30	2
8066	3	HUEVOS	5	1
8067	1	SAJINO	15	1
8067	2	VENADO	20	1
8067	3	PESCADO (DONCELLA)	12	1
8069	1	POLLO	8,5	1
8069	2	GALLINA	14	1
8069	3	PATO	14	1
8070	1	POLLO	8,5	1
8070	2	CARNE	10	1
8070	3	PESCADO	9	1
8071	1	POLLO	8,5	1
8071	2	HUEVOS	6	1
8071	3	PESCADO	8	1
8072	1	PESCADO	9	1
8072	2	POLLO	8,5	1
8072	3	HUEVO	5	1
8083	1	HUEVO	4,8	1
8083	2	PESCADO	10	1
8083	3	CARNE	15	1
8084	1	POLLO	8,5	1
8084	2	LECHE	3	2
8084	3	HUEVOS	5	1
8085	1	CHANCHO	12	1
8085	2	POLLO	9	1
8085	3	CARNE DE RES	12	1
8086	1	POLLO	7,8	1
8086	2	LECHE	1,5	2
8086	3	HUEVO	0,4	2
8088	1	PESCADO	6	1
8088	2	POLLO	8	1
8088	3	CARNE	14	1
8090	1	POLLO	7,5	1
8090	2	CARNE DE RES	14	1
8090	3	PESCADO	6	1
8091	1	POLLO	7,8	1
8091	2	PESCADO	7	1
8091	3	HUEVO	5,6	1
8092	1	POLLO	7,5	1
8092	2	PESCADO	7	1
8092	3	VISERAS	1	1
8094	1	POLLO	7	1
8094	2	PESCADO	6	1
8094	3	CARNE	13	1
8097	1	POLLO	7	1
8097	2	PESCADO	6	1
8097	3	CARNE DE RES	14	1
8098	1	POLLO	6	1
8098	2	CARNE	12	1
8098	3	HUEVOS	6	1
8099	1	POLLO	7,5	1
8099	2	CARNE DE RES	13	1
8099	3	PESCADO	7	1
8107	1	POLLO	8,5	1
8107	2	HUEVOS	4,5	1
8107	3	LECHE	3	2
8108	1	POLLO	7	1
8108	2	ARROZ	6,5	1
8108	3	LECHE	1,8	2
8109	1	POLLO	7,8	1
8109	2	PESCADO	7,6	1
8109	3	MENUDENCIA DE RES	6,5	1
8110	1	POLLO	8,5	1
8110	2	HUEVO	5	1
8110	3	QUESO	15	1
8111	1	POLLO	6,8	1
8111	2	LECHE	3	2
8111	3	HUEVO	5,2	1
8112	1	POLLO	7	1
8112	2	HUEVO	5	1
8112	3	LECHE EVAPORADA	2	4
8114	1	POLLO	6,5	1
8114	2	PESCADO	8	1
8114	3	LECHE	3	2
8115	1	POLLO	8	1
8115	2	LECHE	3	2
8115	3	PESCADO	8	1
8123	1	CARNE DE RES	12	1
8123	2	POLLO	7	1
8123	3	PESCADO	10	1
8124	1	POLLO	7,5	1
8124	2	CARNE	18,4	1
8124	3	LECHE	3	2
8125	1	POLLO	7,2	1
8125	2	LECHE	2,9	4
8125	3	HUEVO	5,2	1
8126	1	POLLO	7,3	1
8126	2	LECHE	2,9	4
8126	3	PESCADO	7,3	1
8127	1	POLLO	7	1
8127	2	PESCADO	7	1
8127	3	CARNE	12	1
8128	1	POLLO	7,5	1
8128	2	LECHE	2,9	4
8128	3	HUEVO	5,2	1
8129	1	POLLO	8,5	1
8129	2	QUESO	12	1
8129	3	HUEVO	6	1
8130	1	POLLO	8	1
8130	2	PESCADO	10	1
8130	3	CARNE DE RES	13	1
8135	1	HUEVO	0,5	2
8135	2	PESCADO	8	1
8138	1	GALLINA	35	2
8138	2	CUY	10	2
8138	3	HUEVO	5	1
8140	1	POLLO	8,5	1
8140	2	RES	8,5	1
8140	3	CHANCHO	12	1
8141	1	POLLO	8	1
8141	2	PESCADO	7	1
8141	3	CARNE DE RES	9	1
8142	1	CARNE	10	1
8142	2	QUESO	10	1
8142	3	LECHE	3	2
8143	1	CARNE	12	1
8143	2	LECHE	1,5	3
8143	3	HUEVO	0,25	2
8144	1	POLLO	8	1
8144	2	PESCADO	6	1
8144	3	CHANCHO	11	1
8145	1	POLLO	7,2	1
8145	2	CARNE DE RES	9	1
8145	3	PESCADO	8	1
8146	1	PESCADO	10	1
8146	2	POLLO	7	1
8146	3	LECHE	3	2
8147	1	HUEVO	4,8	1
8147	2	QUESO	12	1
8147	3	CARNE	8	1
8148	1	OVEJA	12	1
8148	2	ALPACA	8	1
8148	3	LLAMA	8	1
8151	1	CARNE DE ALPACA	7	1
8151	2	CARNE DE POLLO	9	1
8151	3	QUESO	13	1
8152	1	LECHE	2,8	3
8152	2	HUEVO	5	1
8152	3	QUESO	6	1
8160	1	POLLO	10	1
8160	2	HUEVO	0,5	2
8160	3	QUESO	10	1
8161	1	LECHE	1	3
8161	2	HUEVO	0,3	2
8161	3	CARNE DE POLLO	9	1
8162	1	POLLO	7,5	1
8162	2	HUEVO	5	1
8162	3	CARNE	10	1
8163	1	LECHE	3	2
8163	2	GALLINA	10	1
8163	3	HUEVO	5	1
8166	1	POLLO	10	1
8166	2	PESCADO	12	1
8166	3	HUEVO	0,25	2
8168	1	PESCADO CARACHAMA	10	1
8168	2	GALLINA CORRAL	30	2
8168	3	HUEVO	0,3	2
8169	1	HUEVOS	0,3	2
8169	2	GALLINA	20	2
8169	3	CARNE DE RES	7	1
8170	1	LECHE	1	3
8170	2	QUESO	7	1
8170	3	POLLO	8	1
8171	1	POLLO	10	1
8171	2	HUEVO	4,8	1
8171	3	CARNE DE RES	12	1
8172	1	GALLINA DE CORRAL	40	1
8172	2	POLLO	10	1
8172	3	PESCADO TILAPIA	10	1
8175	1	POLLO	10	1
8175	2	PESCADO	10	1
8175	3	CUY	25	2
8177	1	POLLO	11	1
8177	2	CARNE	8	1
8177	3	LECHE	3,2	4
8180	1	LECHE	3	2
8180	2	POLLO	6,5	1
8180	3	CARNE	12	1
8181	1	PESCADO	6	1
8181	2	POLLO	8,5	1
8181	3	HUEVO	0,4	2
8182	1	PESCADO	30	1
8182	2	POLLO	10	1
8182	3	LECHE	2,4	4
8184	1	POLLO	7	1
8184	2	CARNE DE RES	8	1
8184	3	CHANCHO	9	1
8185	1	QUESO	11,2	1
8185	2	POLLO	8,4	1
8185	3	CARNE	14	1
8186	1	PESCADO	6,5	1
8186	2	HUEVO	5,5	1
8186	3	CUY	10	2
8188	1	PESCADO	7	1
8188	2	POLLO	9,5	1
8188	3	HUEVOS	5,2	1
8189	1	POLLO	8,5	1
8189	2	PESCADO	8	1
8189	3	CARNE DE CARNERO	9	1
8192	1	CARNE DE RES	16	1
8192	2	POLLO	8	1
8192	3	PESCADO	15	1
8193	1	CARNE DE RES	8	1
8193	2	PESCADO	8	1
8193	3	POLLO	7,5	1
8198	1	GALLINA	30	2
8198	2	PESCADO	5	1
8198	3	CARNE DE MAJAZ	15	1
8199	1	POLLO	8	1
8199	2	PESCADO	6	1
8199	3	CHANCHO	10	1
8201	1	CARNE DE RES	8	1
8201	2	CHANCHO	12	1
8201	3	POLLO	8	1
8202	1	PESCADO	5	1
8202	2	POLLO	8	1
8202	3	CARNE DE RES	12	1
8203	1	CARNE	9	1
8203	2	POLLO	10	1
8204	1	GALLINA	10	1
8204	2	CUY	10	2
8204	3	CARNE DE RES	7	1
8205	1	POLLO	9	1
8205	2	LECHE	1	3
