PLACEID	ACWTIDR4	PLCEWAT	HRSWATER	DAYSWATER	PERWATER
8038	1	1	24	7	50
8038	2	1	 	 	50
8038	3	0	 	 	 
8038	4	0	 	 	 
8038	5	0	 	 	 
8038	6	0	 	 	 
8038	7	0	 	 	 
8038	8	0	 	 	 
8039	1	1	24	7	100
8039	2	0	 	 	 
8039	3	0	 	 	 
8039	4	0	 	 	 
8039	5	0	 	 	 
8039	6	0	 	 	 
8039	7	0	 	 	 
8039	8	0	 	 	 
8040	1	1	2	7	100
8040	2	0	 	 	 
8040	3	0	 	 	 
8040	4	0	 	 	 
8040	5	0	 	 	 
8040	6	0	 	 	 
8040	7	0	 	 	 
8040	8	0	 	 	 
8041	1	1	24	7	100
8041	2	0	 	 	 
8041	3	0	 	 	 
8041	4	0	 	 	 
8041	5	0	 	 	 
8041	6	0	 	 	 
8041	7	0	 	 	 
8041	8	0	 	 	 
8046	1	1	24	7	100
8046	2	0	 	 	 
8046	3	0	 	 	 
8046	4	0	 	 	 
8046	5	0	 	 	 
8046	6	0	 	 	 
8046	7	0	 	 	 
8046	8	0	 	 	 
8048	1	0	 	 	 
8048	2	1	 	 	90
8048	3	0	 	 	 
8048	4	0	 	 	 
8048	5	0	 	 	 
8048	6	0	 	 	 
8048	7	1	 	 	 
8048	8	0	 	 	 
8059	1	1	2	7	100
8059	2	0	 	 	 
8059	3	0	 	 	 
8059	4	0	 	 	 
8059	5	0	 	 	 
8059	6	0	 	 	 
8059	7	0	 	 	 
8059	8	0	 	 	 
8060	1	1	5	3	100
8060	2	0	 	 	 
8060	3	0	 	 	 
8060	4	0	 	 	 
8060	5	0	 	 	 
8060	6	0	 	 	 
8060	7	0	 	 	 
8060	8	0	 	 	 
8062	1	1	6	7	100
8062	2	0	 	 	 
8062	3	0	 	 	 
8062	4	0	 	 	 
8062	5	0	 	 	 
8062	6	0	 	 	 
8062	7	0	 	 	 
8062	8	0	 	 	 
8064	1	1	5	6	35
8064	2	0	 	 	 
8064	3	1	 	 	65
8064	4	0	 	 	 
8064	5	0	 	 	 
8064	6	0	 	 	 
8064	7	0	 	 	 
8064	8	0	 	 	 
8066	1	0	 	 	 
8066	2	1	 	 	100
8066	3	0	 	 	 
8066	4	0	 	 	 
8066	5	0	 	 	 
8066	6	0	 	 	 
8066	7	0	 	 	 
8066	8	0	 	 	 
8067	1	1	24	7	100
8067	2	0	 	 	 
8067	3	0	 	 	 
8067	4	0	 	 	 
8067	5	0	 	 	 
8067	6	0	 	 	 
8067	7	0	 	 	 
8067	8	0	 	 	 
8069	1	1	24	7	100
8069	2	0	 	 	 
8069	3	0	 	 	 
8069	4	0	 	 	 
8069	5	0	 	 	 
8069	6	0	 	 	 
8069	7	0	 	 	 
8069	8	0	 	 	 
8070	1	1	24	7	100
8070	2	0	 	 	 
8070	3	0	 	 	 
8070	4	0	 	 	 
8070	5	0	 	 	 
8070	6	0	 	 	 
8070	7	0	 	 	 
8070	8	0	 	 	 
8071	1	0	 	 	 
8071	2	1	 	 	60
8071	3	0	 	 	 
8071	4	0	 	 	 
8071	5	0	 	 	 
8071	6	0	 	 	 
8071	7	1	 	 	 
8071	8	0	 	 	 
8072	1	0	 	 	 
8072	2	0	 	 	 
8072	3	0	 	 	 
8072	4	1	 	 	100
8072	5	0	 	 	 
8072	6	0	 	 	 
8072	7	0	 	 	 
8072	8	0	 	 	 
8083	1	1	24	7	100
8083	2	0	 	 	 
8083	3	0	 	 	 
8083	4	0	 	 	 
8083	5	0	 	 	 
8083	6	0	 	 	 
8083	7	0	 	 	 
8083	8	0	 	 	 
8084	1	1	24	7	100
8084	2	0	 	 	 
8084	3	0	 	 	 
8084	4	0	 	 	 
8084	5	0	 	 	 
8084	6	0	 	 	 
8084	7	0	 	 	 
8084	8	0	 	 	 
8085	1	1	12	7	100
8085	2	0	 	 	 
8085	3	0	 	 	 
8085	4	0	 	 	 
8085	5	0	 	 	 
8085	6	0	 	 	 
8085	7	0	 	 	 
8085	8	0	 	 	 
8086	1	1	3	7	100
8086	2	0	 	 	 
8086	3	0	 	 	 
8086	4	0	 	 	 
8086	5	0	 	 	 
8086	6	0	 	 	 
8086	7	0	 	 	 
8086	8	0	 	 	 
8088	1	1	24	7	100
8088	2	0	 	 	 
8088	3	0	 	 	 
8088	4	0	 	 	 
8088	5	0	 	 	 
8088	6	0	 	 	 
8088	7	0	 	 	 
8088	8	0	 	 	 
8090	1	1	24	7	85
8090	2	0	 	 	 
8090	3	1	 	 	10
8090	4	0	 	 	 
8090	5	0	 	 	 
8090	6	1	 	 	 
8090	7	0	 	 	 
8090	8	0	 	 	 
8091	1	1	24	7	100
8091	2	0	 	 	 
8091	3	0	 	 	 
8091	4	0	 	 	 
8091	5	0	 	 	 
8091	6	0	 	 	 
8091	7	0	 	 	 
8091	8	0	 	 	 
8092	1	1	24	7	100
8092	2	0	 	 	 
8092	3	0	 	 	 
8092	4	0	 	 	 
8092	5	0	 	 	 
8092	6	0	 	 	 
8092	7	0	 	 	 
8092	8	0	 	 	 
8094	1	1	24	7	100
8094	2	0	 	 	 
8094	3	0	 	 	 
8094	4	0	 	 	 
8094	5	0	 	 	 
8094	6	0	 	 	 
8094	7	0	 	 	 
8094	8	0	 	 	 
8097	1	1	7	7	100
8097	2	0	 	 	 
8097	3	0	 	 	 
8097	4	0	 	 	 
8097	5	0	 	 	 
8097	6	0	 	 	 
8097	7	0	 	 	 
8097	8	0	 	 	 
8098	1	1	24	7	100
8098	2	0	 	 	 
8098	3	0	 	 	 
8098	4	0	 	 	 
8098	5	0	 	 	 
8098	6	0	 	 	 
8098	7	0	 	 	 
8098	8	0	 	 	 
8099	1	1	24	7	100
8099	2	0	 	 	 
8099	3	0	 	 	 
8099	4	0	 	 	 
8099	5	0	 	 	 
8099	6	0	 	 	 
8099	7	0	 	 	 
8099	8	0	 	 	 
8107	1	0	 	 	 
8107	2	0	 	 	 
8107	3	0	 	 	 
8107	4	0	 	 	 
8107	5	0	 	 	 
8107	6	1	 	 	 
8107	7	0	 	 	 
8107	8	0	 	 	 
8108	1	1	24	7	100
8108	2	0	 	 	 
8108	3	0	 	 	 
8108	4	0	 	 	 
8108	5	0	 	 	 
8108	6	0	 	 	 
8108	7	0	 	 	 
8108	8	0	 	 	 
8109	1	1	24	7	100
8109	2	0	 	 	 
8109	3	0	 	 	 
8109	4	0	 	 	 
8109	5	0	 	 	 
8109	6	0	 	 	 
8109	7	0	 	 	 
8109	8	0	 	 	 
8110	1	1	24	7	100
8110	2	0	 	 	 
8110	3	0	 	 	 
8110	4	0	 	 	 
8110	5	0	 	 	 
8110	6	0	 	 	 
8110	7	0	 	 	 
8110	8	0	 	 	 
8111	1	1	24	6	100
8111	2	0	 	 	 
8111	3	0	 	 	 
8111	4	0	 	 	 
8111	5	0	 	 	 
8111	6	0	 	 	 
8111	7	0	 	 	 
8111	8	0	 	 	 
8112	1	0	 	 	 
8112	2	0	 	 	 
8112	3	0	 	 	 
8112	4	0	 	 	 
8112	5	0	 	 	 
8112	6	1	 	 	 
8112	7	0	 	 	 
8112	8	0	 	 	 
8114	1	1	24	7	100
8114	2	0	 	 	 
8114	3	0	 	 	 
8114	4	0	 	 	 
8114	5	0	 	 	 
8114	6	0	 	 	 
8114	7	0	 	 	 
8114	8	0	 	 	 
8115	1	1	24	7	100
8115	2	0	 	 	 
8115	3	0	 	 	 
8115	4	0	 	 	 
8115	5	0	 	 	 
8115	6	0	 	 	 
8115	7	0	 	 	 
8115	8	0	 	 	 
8123	1	1	24	7	100
8123	2	0	 	 	 
8123	3	0	 	 	 
8123	4	0	 	 	 
8123	5	0	 	 	 
8123	6	0	 	 	 
8123	7	0	 	 	 
8123	8	0	 	 	 
8124	1	1	24	7	100
8124	2	0	 	 	 
8124	3	0	 	 	 
8124	4	0	 	 	 
8124	5	0	 	 	 
8124	6	0	 	 	 
8124	7	0	 	 	 
8124	8	0	 	 	 
8125	1	1	24	7	100
8125	2	0	 	 	 
8125	3	0	 	 	 
8125	4	0	 	 	 
8125	5	0	 	 	 
8125	6	0	 	 	 
8125	7	0	 	 	 
8125	8	0	 	 	 
8126	1	1	24	7	100
8126	2	0	 	 	 
8126	3	0	 	 	 
8126	4	0	 	 	 
8126	5	0	 	 	 
8126	6	0	 	 	 
8126	7	0	 	 	 
8126	8	0	 	 	 
8127	1	1	24	7	100
8127	2	0	 	 	 
8127	3	0	 	 	 
8127	4	0	 	 	 
8127	5	0	 	 	 
8127	6	0	 	 	 
8127	7	0	 	 	 
8127	8	0	 	 	 
8128	1	1	24	7	100
8128	2	0	 	 	 
8128	3	0	 	 	 
8128	4	0	 	 	 
8128	5	0	 	 	 
8128	6	0	 	 	 
8128	7	0	 	 	 
8128	8	0	 	 	 
8129	1	0	 	 	 
8129	2	1	 	 	100
8129	3	0	 	 	 
8129	4	0	 	 	 
8129	5	0	 	 	 
8129	6	0	 	 	 
8129	7	0	 	 	 
8129	8	0	 	 	 
8130	1	1	8	7	95
8130	2	0	 	 	 
8130	3	0	 	 	 
8130	4	1	 	 	5
8130	5	0	 	 	 
8130	6	0	 	 	 
8130	7	0	 	 	 
8130	8	0	 	 	 
8135	1	0	 	 	 
8135	2	0	 	 	 
8135	3	0	 	 	 
8135	4	0	 	 	 
8135	5	0	 	 	 
8135	6	0	 	 	 
8135	7	1	 	 	 
8135	8	1	 	 	 
8138	1	1	12	7	80
8138	2	0	 	 	 
8138	3	0	 	 	 
8138	4	1	 	 	20
8138	5	0	 	 	 
8138	6	0	 	 	 
8138	7	0	 	 	 
8138	8	0	 	 	 
8140	1	1	24	7	95
8140	2	0	 	 	 
8140	3	0	 	 	 
8140	4	0	 	 	 
8140	5	0	 	 	 
8140	6	0	 	 	 
8140	7	1	 	 	 
8140	8	0	 	 	 
8141	1	1	24	7	80
8141	2	0	 	 	 
8141	3	0	 	 	 
8141	4	1	 	 	3
8141	5	0	 	 	 
8141	6	1	 	 	 
8141	7	1	 	 	 
8141	8	0	 	 	 
8142	1	0	 	 	 
8142	2	1	 	 	50
8142	3	0	 	 	 
8142	4	0	 	 	 
8142	5	0	 	 	 
8142	6	0	 	 	 
8142	7	1	 	 	 
8142	8	0	 	 	 
8143	1	1	5	7	100
8143	2	0	 	 	 
8143	3	0	 	 	 
8143	4	0	 	 	 
8143	5	0	 	 	 
8143	6	0	 	 	 
8143	7	0	 	 	 
8143	8	0	 	 	 
8144	1	1	3	2	100
8144	2	0	 	 	 
8144	3	0	 	 	 
8144	4	0	 	 	 
8144	5	0	 	 	 
8144	6	0	 	 	 
8144	7	0	 	 	 
8144	8	1	 	 	 
8145	1	1	8	7	90
8145	2	0	 	 	 
8145	3	0	 	 	 
8145	4	0	 	 	 
8145	5	0	 	 	 
8145	6	1	 	 	 
8145	7	0	 	 	 
8145	8	0	 	 	 
8146	1	1	24	7	60
8146	2	0	 	 	 
8146	3	0	 	 	 
8146	4	0	 	 	 
8146	5	0	 	 	 
8146	6	1	 	 	 
8146	7	0	 	 	 
8146	8	0	 	 	 
8147	1	1	1	7	100
8147	2	0	 	 	 
8147	3	0	 	 	 
8147	4	0	 	 	 
8147	5	0	 	 	 
8147	6	0	 	 	 
8147	7	0	 	 	 
8147	8	0	 	 	 
8148	1	1	4	7	100
8148	2	0	 	 	 
8148	3	0	 	 	 
8148	4	0	 	 	 
8148	5	0	 	 	 
8148	6	0	 	 	 
8148	7	0	 	 	 
8148	8	0	 	 	 
8151	1	1	5	7	60
8151	2	1	 	 	15
8151	3	1	 	 	2
8151	4	1	 	 	8
8151	5	1	 	 	15
8151	6	0	 	 	 
8151	7	0	 	 	 
8151	8	0	 	 	 
8152	1	0	 	 	 
8152	2	1	 	 	80
8152	3	1	 	 	20
8152	4	0	 	 	 
8152	5	0	 	 	 
8152	6	0	 	 	 
8152	7	0	 	 	 
8152	8	0	 	 	 
8160	1	1	24	7	100
8160	2	0	 	 	 
8160	3	0	 	 	 
8160	4	0	 	 	 
8160	5	0	 	 	 
8160	6	0	 	 	 
8160	7	0	 	 	 
8160	8	0	 	 	 
8161	1	1	24	7	100
8161	2	0	 	 	 
8161	3	0	 	 	 
8161	4	0	 	 	 
8161	5	0	 	 	 
8161	6	0	 	 	 
8161	7	0	 	 	 
8161	8	0	 	 	 
8162	1	1	24	7	100
8162	2	0	 	 	 
8162	3	0	 	 	 
8162	4	0	 	 	 
8162	5	0	 	 	 
8162	6	0	 	 	 
8162	7	0	 	 	 
8162	8	0	 	 	 
8163	1	1	24	7	95
8163	2	0	 	 	 
8163	3	1	 	 	5
8163	4	0	 	 	 
8163	5	0	 	 	 
8163	6	0	 	 	 
8163	7	0	 	 	 
8163	8	0	 	 	 
8166	1	1	6	7	100
8166	2	0	 	 	 
8166	3	0	 	 	 
8166	4	0	 	 	 
8166	5	0	 	 	 
8166	6	0	 	 	 
8166	7	0	 	 	 
8166	8	0	 	 	 
8168	1	1	24	7	100
8168	2	0	 	 	 
8168	3	0	 	 	 
8168	4	0	 	 	 
8168	5	0	 	 	 
8168	6	0	 	 	 
8168	7	0	 	 	 
8168	8	0	 	 	 
8169	1	1	24	7	100
8169	2	0	 	 	 
8169	3	0	 	 	 
8169	4	0	 	 	 
8169	5	0	 	 	 
8169	6	0	 	 	 
8169	7	0	 	 	 
8169	8	0	 	 	 
8170	1	1	24	7	100
8170	2	0	 	 	 
8170	3	0	 	 	 
8170	4	0	 	 	 
8170	5	0	 	 	 
8170	6	0	 	 	 
8170	7	0	 	 	 
8170	8	0	 	 	 
8171	1	0	 	 	 
8171	2	0	 	 	 
8171	3	0	 	 	 
8171	4	0	 	 	 
8171	5	1	 	 	100
8171	6	0	 	 	 
8171	7	0	 	 	 
8171	8	0	 	 	 
8172	1	1	10	7	50
8172	2	0	 	 	 
8172	3	1	 	 	40
8172	4	0	 	 	 
8172	5	0	 	 	 
8172	6	0	 	 	 
8172	7	0	 	 	 
8172	8	1	 	 	 
8175	1	0	 	 	 
8175	2	1	 	 	100
8175	3	0	 	 	 
8175	4	0	 	 	 
8175	5	0	 	 	 
8175	6	0	 	 	 
8175	7	0	 	 	 
8175	8	0	 	 	 
8177	1	0	 	 	 
8177	2	1	 	 	100
8177	3	0	 	 	 
8177	4	0	 	 	 
8177	5	0	 	 	 
8177	6	0	 	 	 
8177	7	0	 	 	 
8177	8	0	 	 	 
8180	1	1	24	7	90
8180	2	0	 	 	 
8180	3	0	 	 	 
8180	4	1	 	 	10
8180	5	0	 	 	 
8180	6	0	 	 	 
8180	7	0	 	 	 
8180	8	0	 	 	 
8181	1	1	24	7	20
8181	2	0	 	 	 
8181	3	0	 	 	 
8181	4	0	 	 	 
8181	5	0	 	 	 
8181	6	0	 	 	 
8181	7	1	 	 	 
8181	8	0	 	 	 
8182	1	1	7	7	70
8182	2	0	 	 	 
8182	3	1	 	 	20
8182	4	0	 	 	 
8182	5	0	 	 	 
8182	6	0	 	 	 
8182	7	1	 	 	 
8182	8	0	 	 	 
8184	1	0	 	 	 
8184	2	1	 	 	100
8184	3	0	 	 	 
8184	4	0	 	 	 
8184	5	0	 	 	 
8184	6	0	 	 	 
8184	7	0	 	 	 
8184	8	0	 	 	 
8185	1	1	24	7	100
8185	2	0	 	 	 
8185	3	0	 	 	 
8185	4	0	 	 	 
8185	5	0	 	 	 
8185	6	0	 	 	 
8185	7	0	 	 	 
8185	8	0	 	 	 
8186	1	1	24	5	20
8186	2	0	 	 	 
8186	3	0	 	 	 
8186	4	0	 	 	 
8186	5	0	 	 	 
8186	6	0	 	 	 
8186	7	1	 	 	 
8186	8	0	 	 	 
8188	1	0	 	 	 
8188	2	1	 	 	100
8188	3	0	 	 	 
8188	4	0	 	 	 
8188	5	0	 	 	 
8188	6	0	 	 	 
8188	7	0	 	 	 
8188	8	0	 	 	 
8189	1	1	12	7	100
8189	2	0	 	 	 
8189	3	0	 	 	 
8189	4	0	 	 	 
8189	5	0	 	 	 
8189	6	0	 	 	 
8189	7	0	 	 	 
8189	8	0	 	 	 
8192	1	1	21	7	100
8192	2	0	 	 	 
8192	3	0	 	 	 
8192	4	0	 	 	 
8192	5	0	 	 	 
8192	6	0	 	 	 
8192	7	0	 	 	 
8192	8	0	 	 	 
8193	1	1	24	7	95
8193	2	0	 	 	 
8193	3	1	 	 	5
8193	4	0	 	 	 
8193	5	0	 	 	 
8193	6	0	 	 	 
8193	7	0	 	 	 
8193	8	0	 	 	 
8198	1	1	2	7	80
8198	2	0	 	 	 
8198	3	0	 	 	 
8198	4	0	 	 	 
8198	5	0	 	 	 
8198	6	0	 	 	 
8198	7	1	 	 	 
8198	8	0	 	 	 
8199	1	1	7	7	80
8199	2	0	 	 	 
8199	3	0	 	 	 
8199	4	0	 	 	 
8199	5	0	 	 	 
8199	6	0	 	 	 
8199	7	0	 	 	 
8199	8	1	 	 	 
8201	1	1	24	7	100
8201	2	0	 	 	 
8201	3	0	 	 	 
8201	4	0	 	 	 
8201	5	0	 	 	 
8201	6	0	 	 	 
8201	7	0	 	 	 
8201	8	0	 	 	 
8202	1	1	15	7	70
8202	2	0	 	 	 
8202	3	0	 	 	 
8202	4	0	 	 	 
8202	5	0	 	 	 
8202	6	1	 	 	 
8202	7	0	 	 	 
8202	8	0	 	 	 
8203	1	1	24	7	90
8203	2	0	 	 	 
8203	3	0	 	 	 
8203	4	0	 	 	 
8203	5	0	 	 	 
8203	6	0	 	 	 
8203	7	1	 	 	 
8203	8	0	 	 	 
8204	1	1	24	7	100
8204	2	0	 	 	 
8204	3	0	 	 	 
8204	4	0	 	 	 
8204	5	0	 	 	 
8204	6	0	 	 	 
8204	7	0	 	 	 
8204	8	0	 	 	 
8205	1	1	24	7	100
8205	2	0	 	 	 
8205	3	0	 	 	 
8205	4	0	 	 	 
8205	5	0	 	 	 
8205	6	0	 	 	 
8205	7	0	 	 	 
8205	8	0	 	 	 
8206	1	1	24	7	100
8206	2	0	 	 	 
8206	3	0	 	 	 
8206	4	0	 	 	 
8206	5	0	 	 	 
8206	6	0	 	 	 
8206	7	0	 	 	 
8206	8	0	 	 	 
8207	1	1	24	7	100
8207	2	0	 	 	 
8207	3	0	 	 	 
8207	4	0	 	 	 
8207	5	0	 	 	 
8207	6	0	 	 	 
8207	7	0	 	 	 
8207	8	0	 	 	 
8209	1	1	24	7	100
8209	2	0	 	 	 
8209	3	0	 	 	 
8209	4	0	 	 	 
8209	5	0	 	 	 
8209	6	0	 	 	 
8209	7	0	 	 	 
8209	8	0	 	 	 
8210	1	1	24	7	100
8210	2	0	 	 	 
8210	3	0	 	 	 
8210	4	0	 	 	 
8210	5	0	 	 	 
8210	6	0	 	 	 
8210	7	0	 	 	 
8210	8	0	 	 	 
8211	1	0	 	 	 
8211	2	0	 	 	 
8211	3	0	 	 	 
8211	4	1	 	 	100
8211	5	0	 	 	 
8211	6	0	 	 	 
8211	7	0	 	 	 
8211	8	0	 	 	 
8212	1	1	5	2	30
8212	2	0	 	 	 
8212	3	0	 	 	 
8212	4	1	 	 	70
8212	5	0	 	 	 
8212	6	0	 	 	 
8212	7	0	 	 	 
8212	8	0	 	 	 
8213	1	1	24	7	100
8213	2	0	 	 	 
8213	3	0	 	 	 
8213	4	0	 	 	 
8213	5	0	 	 	 
8213	6	0	 	 	 
8213	7	0	 	 	 
8213	8	0	 	 	 
8215	1	1	24	7	90
8215	2	0	 	 	 
8215	3	0	 	 	 
8215	4	0	 	 	 
8215	5	0	 	 	 
8215	6	0	 	 	 
8215	7	1	 	 	 
8215	8	0	 	 	 
8216	1	1	3	7	100
8216	2	0	 	 	 
8216	3	0	 	 	 
8216	4	0	 	 	 
8216	5	0	 	 	 
8216	6	0	 	 	 
8216	7	0	 	 	 
8216	8	0	 	 	 
8217	1	1	20	7	100
8217	2	0	 	 	 
8217	3	0	 	 	 
8217	4	0	 	 	 
8217	5	0	 	 	 
8217	6	0	 	 	 
8217	7	0	 	 	 
8217	8	0	 	 	 
8219	1	1	24	7	100
8219	2	0	 	 	 
8219	3	0	 	 	 
8219	4	0	 	 	 
8219	5	0	 	 	 
8219	6	0	 	 	 
8219	7	0	 	 	 
8219	8	0	 	 	 
8220	1	0	 	 	 
8220	2	1	 	 	100
8220	3	0	 	 	 
8220	4	0	 	 	 
8220	5	0	 	 	 
8220	6	0	 	 	 
8220	7	0	 	 	 
8220	8	0	 	 	 
8223	1	1	24	7	100
8223	2	0	 	 	 
8223	3	0	 	 	 
8223	4	0	 	 	 
8223	5	0	 	 	 
8223	6	0	 	 	 
8223	7	0	 	 	 
8223	8	0	 	 	 
8226	1	1	12	7	100
8226	2	0	 	 	 
8226	3	0	 	 	 
8226	4	0	 	 	 
8226	5	0	 	 	 
8226	6	0	 	 	 
8226	7	0	 	 	 
8226	8	0	 	 	 
8227	1	1	12	7	100
8227	2	0	 	 	 
8227	3	0	 	 	 
8227	4	0	 	 	 
8227	5	0	 	 	 
8227	6	0	 	 	 
8227	7	0	 	 	 
8227	8	0	 	 	 
8228	1	1	3	7	100
8228	2	0	 	 	 
8228	3	0	 	 	 
8228	4	0	 	 	 
8228	5	0	 	 	 
8228	6	0	 	 	 
8228	7	0	 	 	 
8228	8	0	 	 	 
8232	1	0	 	 	 
8232	2	1	 	 	80
8232	3	0	 	 	 
8232	4	0	 	 	 
8232	5	0	 	 	 
8232	6	0	 	 	 
8232	7	0	 	 	 
8232	8	0	 	 	 
8236	1	1	24	7	80
8236	2	1	 	 	20
8236	3	0	 	 	 
8236	4	0	 	 	 
8236	5	0	 	 	 
8236	6	0	 	 	 
8236	7	0	 	 	 
8236	8	0	 	 	 
8237	1	1	24	7	100
8237	2	0	 	 	 
8237	3	1	 	 	88
8237	4	0	 	 	 
8237	5	0	 	 	 
8237	6	0	 	 	 
8237	7	1	 	 	 
8237	8	0	 	 	 
8239	1	1	2	7	100
8239	2	0	 	 	 
8239	3	0	 	 	 
8239	4	0	 	 	 
8239	5	0	 	 	 
8239	6	0	 	 	 
8239	7	0	 	 	 
8239	8	0	 	 	 
8248	1	1	24	7	50
8248	2	0	 	 	 
8248	3	0	 	 	 
8248	4	0	 	 	 
8248	5	0	 	 	 
8248	6	0	 	 	 
8248	7	1	 	 	 
8248	8	0	 	 	 
8250	1	0	 	 	 
8250	2	0	 	 	 
8250	3	0	 	 	 
8250	4	0	 	 	 
8250	5	0	 	 	 
8250	6	0	 	 	 
8250	7	1	 	 	 
8250	8	0	 	 	 
8251	1	1	24	7	99
8251	2	0	 	 	 
8251	3	0	 	 	 
8251	4	0	 	 	 
8251	5	0	 	 	 
8251	6	0	 	 	 
8251	7	1	 	 	 
8251	8	0	 	 	 
8254	1	1	16	7	100
8254	2	0	 	 	 
8254	3	0	 	 	 
8254	4	0	 	 	 
8254	5	0	 	 	 
8254	6	0	 	 	 
8254	7	0	 	 	 
8254	8	0	 	 	 
8255	1	1	8	7	90
8255	2	0	 	 	 
8255	3	0	 	 	 
8255	4	0	 	 	 
8255	5	0	 	 	 
8255	6	1	 	 	 
8255	7	0	 	 	 
8255	8	0	 	 	 
8257	1	0	 	 	 
8257	2	0	 	 	 
8257	3	0	 	 	 
8257	4	1	 	 	100
8257	5	0	 	 	 
8257	6	0	 	 	 
8257	7	0	 	 	 
8257	8	0	 	 	 
8258	1	0	 	 	 
8258	2	0	 	 	 
8258	3	0	 	 	 
8258	4	0	 	 	 
8258	5	1	 	 	100
8258	6	1	 	 	 
8258	7	0	 	 	 
8258	8	0	 	 	 
8259	1	0	 	 	 
8259	2	0	 	 	 
8259	3	0	 	 	 
8259	4	0	 	 	 
8259	5	0	 	 	 
8259	6	1	 	 	 
8259	7	0	 	 	 
8259	8	0	 	 	 
8260	1	1	24	7	96
8260	2	0	 	 	 
8260	3	0	 	 	 
8260	4	0	 	 	 
8260	5	0	 	 	 
8260	6	1	 	 	 
8260	7	0	 	 	 
8260	8	0	 	 	 
8261	1	1	2	7	100
8261	2	0	 	 	 
8261	3	0	 	 	 
8261	4	0	 	 	 
8261	5	0	 	 	 
8261	6	1	 	 	 
8261	7	0	 	 	 
8261	8	0	 	 	 
8264	1	1	20	7	100
8264	2	0	 	 	 
8264	3	0	 	 	 
8264	4	0	 	 	 
8264	5	0	 	 	 
8264	6	0	 	 	 
8264	7	0	 	 	 
8264	8	0	 	 	 
8267	1	1	2	4	100
8267	2	0	 	 	 
8267	3	0	 	 	 
8267	4	0	 	 	 
8267	5	0	 	 	 
8267	6	0	 	 	 
8267	7	0	 	 	 
8267	8	0	 	 	 
8269	1	1	2	4	100
8269	2	0	 	 	 
8269	3	0	 	 	 
8269	4	0	 	 	 
8269	5	0	 	 	 
8269	6	0	 	 	 
8269	7	0	 	 	 
8269	8	0	 	 	 
8273	1	1	12	7	100
8273	2	0	 	 	 
8273	3	0	 	 	 
8273	4	0	 	 	 
8273	5	0	 	 	 
8273	6	0	 	 	 
8273	7	0	 	 	 
8273	8	0	 	 	 
8274	1	0	 	 	 
8274	2	0	 	 	 
8274	3	0	 	 	 
8274	4	1	 	 	100
8274	5	0	 	 	 
8274	6	0	 	 	 
8274	7	0	 	 	 
8274	8	0	 	 	 
8275	1	1	24	7	100
8275	2	0	 	 	 
8275	3	0	 	 	 
8275	4	0	 	 	 
8275	5	0	 	 	 
8275	6	0	 	 	 
8275	7	0	 	 	 
8275	8	0	 	 	 
8276	1	1	6	7	80
8276	2	0	 	 	 
8276	3	0	 	 	 
8276	4	0	 	 	 
8276	5	0	 	 	 
8276	6	0	 	 	 
8276	7	1	 	 	 
8276	8	0	 	 	 
8277	1	1	3	7	70
8277	2	0	 	 	 
8277	3	0	 	 	 
8277	4	0	 	 	 
8277	5	0	 	 	 
8277	6	0	 	 	 
8277	7	0	 	 	 
8277	8	1	 	 	 
8279	1	1	24	7	90
8279	2	0	 	 	 
8279	3	0	 	 	 
8279	4	0	 	 	 
8279	5	0	 	 	 
8279	6	0	 	 	 
8279	7	0	 	 	 
8279	8	1	 	 	 
8281	1	1	24	7	100
8281	2	0	 	 	 
8281	3	0	 	 	 
8281	4	0	 	 	 
8281	5	0	 	 	 
8281	6	0	 	 	 
8281	7	0	 	 	 
8281	8	0	 	 	 
8285	1	1	1	7	100
8285	2	0	 	 	 
8285	3	0	 	 	 
8285	4	0	 	 	 
8285	5	0	 	 	 
8285	6	0	 	 	 
8285	7	0	 	 	 
8285	8	0	 	 	 
8286	1	1	24	7	100
8286	2	0	 	 	 
8286	3	0	 	 	 
8286	4	0	 	 	 
8286	5	0	 	 	 
8286	6	0	 	 	 
8286	7	0	 	 	 
8286	8	0	 	 	 
8287	1	1	24	7	100
8287	2	0	 	 	 
8287	3	0	 	 	 
8287	4	0	 	 	 
8287	5	0	 	 	 
8287	6	0	 	 	 
8287	7	0	 	 	 
8287	8	0	 	 	 
8290	1	1	6	7	100
8290	2	0	 	 	 
8290	3	0	 	 	 
8290	4	0	 	 	 
8290	5	0	 	 	 
8290	6	0	 	 	 
8290	7	0	 	 	 
8290	8	0	 	 	 
8297	1	1	24	7	100
8297	2	0	 	 	 
8297	3	0	 	 	 
8297	4	0	 	 	 
8297	5	0	 	 	 
8297	6	0	 	 	 
8297	7	0	 	 	 
8297	8	0	 	 	 
8298	1	1	3	7	100
8298	2	0	 	 	 
8298	3	0	 	 	 
8298	4	0	 	 	 
8298	5	0	 	 	 
8298	6	0	 	 	 
8298	7	0	 	 	 
8298	8	0	 	 	 
8302	1	1	24	7	100
8302	2	0	 	 	 
8302	3	0	 	 	 
8302	4	0	 	 	 
8302	5	0	 	 	 
8302	6	0	 	 	 
8302	7	0	 	 	 
8302	8	0	 	 	 
8304	1	1	24	7	100
8304	2	0	 	 	 
8304	3	0	 	 	 
8304	4	0	 	 	 
8304	5	0	 	 	 
8304	6	0	 	 	 
8304	7	0	 	 	 
8304	8	0	 	 	 
8305	1	0	 	 	 
