CHILDCODE	NONFODR4	PURITMR4	SPYRR4	SPNMR4
10008	31	N	 	 
10009	1	Y	3000	 
10009	2	Y	2500	 
10009	3	Y	4000	2
10009	4	Y	2000	88
10009	5	Y	1000	 
10009	6	Y	800	 
10009	7	Y	600	2
10009	8	Y	500	88
10009	9	N	 	 
10009	10	N	 	 
10009	11	N	 	 
10009	12	N	 	 
10009	13	N	 	 
10009	14	N	 	 
10009	15	Y	1500	2
10009	16	N	 	 
10009	17	Y	3000	0
10009	18	Y	10000	1
10009	19	N	 	 
10009	20	N	 	 
10009	21	Y	2040	1
10009	22	N	 	 
10009	23	N	 	 
10009	24	N	 	 
10009	25	N	 	 
10009	26	Y	500	1
10009	27	N	 	 
10009	28	N	 	 
10009	29	N	 	 
10009	30	N	 	 
10009	31	N	 	 
10010	1	Y	1000	 
10010	2	Y	800	 
10010	3	Y	700	4
10010	4	Y	4000	88
10010	5	Y	200	 
10010	6	Y	100	 
10010	7	Y	100	4
10010	8	Y	500	88
10010	9	Y	1000	88
10010	10	N	 	 
10010	11	Y	12000	88
10010	12	N	 	 
10010	13	N	 	 
10010	14	N	 	 
10010	15	Y	1500	1
10010	16	N	 	 
10010	17	N	 	 
10010	18	N	 	 
10010	19	N	 	 
10010	20	N	 	 
10010	21	Y	2100	1
10010	22	N	 	 
10010	23	N	 	 
10010	24	N	 	 
10010	25	N	 	 
10010	26	N	 	 
10010	27	N	 	 
10010	28	N	 	 
10010	29	N	 	 
10010	30	N	 	 
10010	31	N	 	 
10011	1	Y	1000	 
10011	2	Y	700	 
10011	3	Y	1500	1
10011	4	N	 	 
10011	5	Y	200	 
10011	6	Y	150	 
10011	7	Y	300	1
10011	8	N	 	 
10011	9	N	 	 
10011	10	N	 	 
10011	11	N	 	 
10011	12	N	 	 
10011	13	N	 	 
10011	14	N	 	 
10011	15	Y	300	1
10011	16	N	 	 
10011	17	Y	2000	2
10011	18	Y	5000	1
10011	19	N	 	 
10011	20	N	 	 
10011	21	N	 	 
10011	22	N	 	 
10011	23	N	 	 
10011	24	N	 	 
10011	25	N	 	 
10011	26	N	 	 
10011	27	N	 	 
10011	28	N	 	 
10011	29	N	 	 
10011	30	N	 	 
10011	31	N	 	 
10012	1	Y	1600	 
10012	2	Y	1200	 
10012	3	Y	2000	1
10012	4	N	 	 
10012	5	Y	700	 
10012	6	Y	150	 
10012	7	Y	300	2
10012	8	N	 	 
10012	9	N	 	 
10012	10	Y	1200	3
10012	11	N	 	 
10012	12	Y	2000	3
10012	13	N	 	 
10012	14	N	 	 
10012	15	Y	4000	3
10012	16	N	 	 
10012	17	Y	400	1
10012	18	Y	3000	1
10012	19	N	 	 
10012	20	N	 	 
10012	21	Y	2100	0
10012	22	Y	300	2
10012	23	N	 	 
10012	24	N	 	 
10012	25	N	 	 
10012	26	Y	5000	1
10012	27	Y	500	1
10012	28	N	 	 
10012	29	N	 	 
10012	30	N	 	 
10012	31	N	 	 
10013	1	N	 	 
10013	2	Y	1000	 
10013	3	Y	1000	4
10013	4	Y	500	88
10013	5	N	 	 
10013	6	Y	500	 
10013	7	Y	600	4
10013	8	Y	500	88
10013	9	N	 	 
10013	10	N	 	 
10013	11	N	 	 
10013	12	N	 	 
10013	13	N	 	 
10013	14	N	 	 
10013	15	Y	1500	2
10013	16	N	 	 
10013	17	N	 	 
10013	18	N	 	 
10013	19	N	 	 
10013	20	N	 	 
10013	21	Y	1800	1
10013	22	Y	500	2
10013	23	N	 	 
10013	24	N	 	 
10013	25	N	 	 
10013	26	Y	500	1
10013	27	N	 	 
10013	28	N	 	 
10013	29	N	 	 
10013	30	N	 	 
10013	31	N	 	 
10014	1	Y	1500	 
10014	2	Y	1000	 
10014	3	Y	2000	1
10014	4	N	 	 
