CHILDCODE	CHMVIDR4	YRMOVER4	MTHSTYR4	WHRMVER4	LOCMVER4	MVEMEMR4	RSNMVR41
170044	2	2012	10	1	1	0	2
170044	3	2013	3	1	1	0	2
170049	1	2009	30	1	1	90	5
170053	1	2010	40	2	4	0	2
170059	1	2012	3	1	1	4	10
170070	1	2010	10	2	3	0	2
170070	2	2011	10	2	3	0	2
170070	3	2012	10	2	2	0	2
170070	4	2013	10	2	2	0	2
170071	1	2013	2	1	1	2	9
170076	1	2013	6	2	1	4	11
170077	1	2010	46	2	3	3	2
170084	1	2011	2	2	2	3	3
170091	1	2010	12	1	1	90	12
170099	1	2013	7	2	4	0	2
170099	2	2012	10	2	4	0	2
170099	3	2011	7	2	4	0	2
180004	1	2013	4	3	6	0	2
180004	2	2012	10	3	6	0	2
180004	3	2011	10	3	6	0	2
180004	4	2010	10	3	6	0	2
180007	1	2013	8	3	6	4	2
180007	2	2012	10	3	6	4	2
180018	1	2011	3	2	2	90	2
180021	1	2013	2	3	6	90	1
180028	1	2012	12	1	1	3	5
180028	2	2013	10	1	1	3	5
180043	1	2013	6	2	1	0	2
180043	2	2012	12	2	1	0	2
180043	3	2011	12	2	1	0	2
180045	1	2010	10	1	1	4	2
180045	2	2011	10	1	1	4	2
180045	3	2012	10	1	1	4	2
180045	4	2013	4	1	1	4	2
180047	1	2013	9	3	1	1	1
180047	2	2012	10	3	1	2	1
180047	3	2011	10	3	1	90	2
180047	4	2010	10	3	1	90	2
180049	1	2010	12	2	3	90	5
180049	2	2011	12	2	3	90	5
180049	3	2012	12	3	3	90	5
180055	1	2013	6	3	6	3	5
180055	2	2012	12	3	6	3	5
180055	3	2011	12	3	6	3	5
180055	4	2010	12	3	6	3	5
180060	1	2013	7	2	3	4	2
180062	1	2012	16	2	2	1	2
180066	1	2012	12	3	3	3	5
180067	1	2013	5	2	1	4	2
180067	2	2012	10	2	1	4	2
180069	1	2013	5	2	1	90	2
180070	1	2013	6	2	2	90	2
180096	1	2013	5	1	1	4	2
180096	2	2012	10	1	1	4	2
180096	3	2011	10	1	1	4	2
180098	1	2013	6	2	4	90	2
180098	2	2012	10	2	4	90	2
180098	3	2011	10	2	4	90	2
180098	4	2010	10	2	4	90	2
180099	1	2013	2	2	4	4	2
180099	2	2013	2	2	2	4	2
180099	3	2012	10	2	2	4	2
190003	1	2013	6	1	2	0	2
190004	1	2013	10	1	2	0	2
190004	2	2012	10	1	2	0	2
190004	3	2011	10	1	2	0	2
190004	4	2010	10	1	1	0	2
190005	1	2012	12	1	1	4	2
190005	2	2011	10	1	1	4	2
190008	1	2010	2	1	1	90	12
190009	1	2010	12	3	6	3	5
190010	1	2013	10	2	2	4	2
190010	2	2012	10	2	2	4	2
190010	3	2011	10	2	2	4	2
190010	4	2010	10	2	2	4	2
190012	1	2010	10	3	2	3	5
190013	1	2013	5	2	2	0	2
190014	1	2012	19	1	1	3	5
190015	1	2013	9	1	2	90	2
190015	2	2012	12	1	1	90	2
190016	1	2013	10	1	2	0	2
190016	2	2012	10	1	2	0	2
190016	3	2011	10	1	2	0	2
190016	4	2010	10	1	2	0	2
190018	1	2013	11	2	3	3	2
190018	2	2012	12	2	3	3	2
190018	3	2011	10	2	3	3	2
190018	4	2010	10	2	3	3	2
190029	1	2010	44	3	2	3	5
190035	1	2013	11	2	1	3	5
190035	2	2012	12	2	1	3	5
190037	1	2013	2	2	2	80	15
190037	2	2012	12	2	2	80	15
190037	3	2010	12	1	2	3	5
190039	1	2013	10	1	1	3	5
190039	2	2012	7	1	1	3	5
190041	1	2013	6	2	2	0	2
190041	2	2012	10	2	2	0	2
190054	1	2013	7	2	3	0	2
190054	2	2012	10	2	3	0	2
190054	3	2011	10	2	3	0	2
190054	4	2010	10	2	3	0	2
190055	1	2013	10	2	3	0	2
190055	2	2012	10	2	3	0	2
190055	3	2011	10	2	3	0	2
190055	4	2010	10	2	3	0	2
190060	1	2013	9	2	3	0	2
190060	2	2012	6	2	3	0	2
190061	1	2013	10	2	2	0	2
190061	2	2012	10	2	2	0	2
190062	1	2011	2	2	1	3	5
190063	1	2013	6	2	1	0	2
190069	1	2011	4	2	3	0	2
190069	2	2010	12	2	3	0	2
190071	1	2013	11	4	4	3	5
190071	2	2012	12	4	4	3	5
190071	3	2011	12	4	4	3	5
190071	4	2010	12	4	4	3	5
190088	1	2013	6	1	2	0	2
190088	2	2010	12	2	1	3	5
190093	1	2013	7	1	2	90	2
190094	1	2013	7	2	3	4	2
190094	2	2012	10	2	3	4	2
190094	3	2011	10	2	3	4	2
190094	4	2010	10	2	3	4	2
190095	1	2012	24	1	1	2	5
190097	1	2013	7	2	2	90	2
190097	2	2010	5	2	1	90	7
190100	1	2013	7	2	3	90	2
200005	1	2012	6	3	1	3	5
200024	1	2012	9	3	2	0	2
200031	1	2011	12	2	1	3	10
200039	1	2012	12	3	2	0	2
200050	1	2009	5	2	1	2	9
200064	1	2012	6	3	4	3	5
