CHILDCODE	MEMIDR4	AGER3	MEMAGER4	MEAGMTR4	MEMSEXR4	RELATER3	RELATER4	PRMCRER4	THSVILR4	CHLBRNR4	LIVHSER4	YRDIEDR4	RWHLIVR4	RSEECHR4	RCHLVER4	RLNLIVR4	RELHHR4	MRTLSTR4	MTHRHHR4	FTHRHHR4	STRT18R4	GRDE18R4	EDCH18R4	STLL18R4	HSSTRTR4	GRADER4	STILLR4	WHYNOTR4	STRYRR4	STRMTHR4	AGEGRDR4	GRDRPR4	TYPLSTR4	PERFR4	TYPATDR4	FEESR4	EXTTUTR4	BRDSCHR4	WHSCHR4	SLEEPR4	CHCARER4	HHCHRER4	NPYWRKR4	PAYWRKR4	SCHOOLR4	STUDYR4	PLAYR4	IMPAC1R4	RGJOB1R4	MONTH1R4	WEEKS1R4	DAYS1R4	HOURS1R4	SSAC11R4	SSAC12R4	SSAC13R4	SSAC14R4	OFPEN1R4	IMINC1R4	IMPAC2R4	RGJOB2R4	MONTH2R4	WEEKS2R4	DAYS2R4	HOURS2R4	SSAC21R4	SSAC22R4	SSAC23R4	SSAC24R4	OFPEN2R4	IMINC2R4	IMPAC3R4	RGJOB3R4	MONTH3R4	WEEKS3R4	DAYS3R4	HOURS3R4	SSAC31R4	SSAC32R4	SSAC33R4	SSAC34R4	OFPEN3R4	IMINC3R4	MEMCNSR4	DISABR4	MEMAFCR4	MEMLNGR4	MLNHLR41	MLNHLR42	MLNHLR43	HTSFFR41	HTSFFR42	HTSFFR43	SEEKTRR4	WHSEEKR4	MEMSMKR4	MEMTOBR4	MEMALCR4
60047	6	30	34	 	2	1	1	Y	 	1	1	 	 	 	 	 	 	1	99	98	1	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	1	12	4	7	3	1	1	1	1	 	1	4	1	10	4	5	2	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	19	88	 	4	 	 	3	4	0	0	0
60047	7	30	34	 	1	13	13	N	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60047	8	27	31	 	1	13	13	N	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60047	9	24	28	 	1	13	13	N	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60047	10	10	14	 	2	7	7	N	 	 	1	 	 	 	 	 	2	0	6	4	 	 	 	 	1	7	1	 	5	5	 	 	 	2	3	0	0	0	 	9	0	1	0	0	7	3	4	17	1	10	4	6	7	0	1	1	0	 	0	15	0	12	4	7	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	0
60047	11	7	11	 	1	7	7	N	 	 	1	 	 	 	 	 	2	0	6	4	 	 	 	 	1	5	1	 	5	5	 	 	 	3	3	0	0	0	 	9	0	1	0	0	7	3	4	17	1	10	4	6	7	0	1	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	0
60047	12	28	32	 	2	13	13	N	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60047	13	26	30	 	2	13	13	N	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60047	14	2	6	 	2	14	14	N	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60047	15	1	5	 	2	14	14	N	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60047	16	0	4	 	1	14	14	N	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60047	17	0	4	 	1	14	14	N	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60048	0	8	12	 	1	0	0	 	1	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	7	1	 	5	6	 	 	 	2	3	0	0	0	1	8	1	1	0	0	8	2	4	17	1	10	4	6	8	1	0	1	1	 	0	15	1	12	4	7	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60048	1	70	74	 	2	6	6	N	 	 	3	2007	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60048	2	40	44	 	1	1	1	N	 	 	1	 	 	 	 	 	 	1	99	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	1	6	4	3	4	0	0	1	1	0	1	5	1	5	4	3	6	0	0	1	1	0	0	12	1	4	2	6	5	0	0	1	1	0	0	N	1	1	0	 	 	 	 	 	 	 	 	0	0	1
60048	3	32	36	 	2	1	1	Y	 	1	1	 	 	 	 	 	1	1	99	99	1	5	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	5	4	2	3	1	0	0	1	 	0	5	1	6	4	4	6	1	0	0	1	0	1	12	1	4	2	5	5	0	0	1	1	0	0	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
60048	4	3	7	 	1	7	7	N	 	 	1	 	 	 	 	 	2	0	3	2	 	 	 	 	1	1	1	 	6	4	 	 	 	3	3	0	0	0	 	9	0	0	0	0	7	6	2	17	1	10	4	6	7	1	0	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
60049	0	8	12	 	1	0	0	 	0	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	7	1	 	5	6	 	 	 	3	3	0	0	0	3	8	0	1	0	0	7	3	5	17	1	10	4	6	7	0	1	1	0	 	0	15	1	12	4	7	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60049	1	57	61	 	1	6	6	N	 	 	1	 	 	 	 	 	7	1	99	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	1	4	3	6	6	0	1	1	1	0	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	19	88	 	6	 	 	4	4	1	1	1
60049	2	47	51	 	2	6	6	N	 	 	1	 	 	 	 	 	7	1	99	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	1	12	4	5	3	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	18	88	 	3	 	 	4	4	0	0	0
60049	3	32	36	 	1	1	1	N	 	 	1	 	 	 	 	 	 	1	2	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	5	4	6	6	1	1	1	0	0	1	5	1	3	3	6	7	0	1	1	1	 	0	15	0	12	4	7	1	1	1	1	1	0	0	N	0	 	0	 	 	 	 	 	 	 	 	1	1	1
60049	4	27	31	 	2	1	1	Y	 	1	1	 	 	 	 	 	1	1	98	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	5	4	6	4	1	1	0	1	0	1	12	1	3	3	5	5	0	0	1	1	0	0	15	1	12	4	7	4	1	1	1	1	0	0	N	0	 	1	18	88	 	4	 	 	3	4	0	0	0
60049	5	20	24	 	1	13	13	N	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60049	6	6	10	 	1	7	7	N	 	 	1	 	 	 	 	 	2	0	4	3	 	 	 	 	1	1	1	 	5	5	 	 	 	4	3	0	0	0	 	10	0	0	0	0	5	2	7	17	1	10	4	6	7	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	0
60050	0	8	12	 	1	0	0	 	0	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	6	1	 	6	4	 	 	 	2	1	7000	0	0	5	9	0	2	0	0	9	2	2	17	1	11	4	6	8	1	1	1	1	 	0	15	0	12	4	4	2	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60050	1	67	71	 	2	6	6	N	 	 	1	 	 	 	 	 	7	3	99	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	1	5	3	5	6	1	0	0	1	0	1	15	1	12	4	7	3	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	1	2
60050	2	33	37	 	1	1	1	N	 	 	1	 	 	 	 	 	 	1	1	99	1	5	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	1	9	2	3	5	1	0	1	1	 	1	15	0	12	2	3	2	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	1	0	2
60050	3	31	35	 	2	1	1	Y	 	1	1	 	 	 	 	 	1	1	98	99	1	12	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	1	12	4	6	6	1	1	1	1	1	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
60050	4	6	10	 	1	7	7	N	 	 	1	 	 	 	 	 	2	0	3	2	 	 	 	 	1	4	1	 	6	5	 	 	 	3	1	5000	0	0	 	10	0	1	0	0	9	1	3	17	1	11	4	6	8	1	1	1	1	 	0	15	0	12	4	3	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
60051	0	8	12	 	1	0	0	 	0	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	5	1	 	5	4	 	 	 	4	3	0	600	0	4	8	0	2	0	0	8	4	2	17	1	10	4	6	8	1	1	1	1	 	0	15	0	4	4	7	2	1	0	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60051	1	67	71	 	1	6	6	N	 	 	1	 	 	 	 	 	3	1	99	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	0
60051	2	57	61	 	2	6	6	N	 	 	3	2006	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60051	3	28	32	 	1	13	13	N	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60051	4	33	37	 	1	1	1	N	 	 	1	 	 	 	 	 	 	1	99	1	1	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	1	6	4	4	7	1	1	1	1	0	1	1	0	4	3	5	4	0	0	1	1	 	0	19	0	2	4	2	5	0	0	1	1	0	0	N	0	 	0	 	 	 	 	 	 	 	 	0	1	1
60051	5	28	32	 	2	1	1	Y	 	0	1	 	 	 	 	 	1	1	98	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	1	8	4	6	4	1	1	1	1	 	1	12	0	2	4	7	4	0	0	0	1	0	0	15	1	12	4	6	4	1	1	1	1	0	0	N	0	 	0	 	 	 	 	 	 	 	 	0	0	0
60051	28	11	15	 	1	7	7	N	 	 	1	 	 	 	 	 	2	0	5	4	 	 	 	 	1	9	1	 	5	3	 	 	 	2	3	0	600	0	 	8	0	1	0	0	8	4	3	17	1	10	4	6	8	1	1	1	1	 	0	15	0	4	3	5	1	1	0	0	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	0
60052	0	8	12	 	2	0	0	 	0	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	7	1	 	5	1	 	 	 	2	3	0	600	0	4	8	0	2	0	0	8	4	2	17	1	10	4	6	8	1	1	1	1	 	0	15	0	6	3	5	2	1	1	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60052	1	67	71	 	1	6	6	N	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60052	2	62	66	 	2	6	6	N	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60052	3	27	31	 	1	13	13	N	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60052	4	34	38	 	1	1	1	N	 	 	1	 	 	 	 	 	 	1	98	98	1	10	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	1	8	3	6	9	1	1	1	0	 	1	1	0	5	3	7	3	1	1	0	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	1
60052	5	29	33	 	2	1	1	Y	 	1	1	 	 	 	 	 	1	1	99	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	1	6	3	5	9	1	1	0	0	0	1	12	0	2	3	6	7	1	0	0	0	0	0	15	0	12	4	6	4	1	1	1	1	0	0	N	0	 	0	 	 	 	 	 	 	 	 	0	0	0
60052	6	7	11	 	1	7	7	N	 	 	1	 	 	 	 	 	2	0	5	4	 	 	 	 	1	6	1	 	5	3	 	 	 	3	3	0	600	0	 	9	0	1	0	0	8	4	2	17	1	10	4	6	8	1	1	1	1	 	0	15	1	4	3	6	1	0	1	0	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	0
60053	0	8	12	 	2	0	0	 	0	 	1	 	 	 	 	 	5	0	 	 	 	 	 	 	1	5	1	 	7	0	 	 	 	3	3	0	0	0	3	10	0	2	0	0	7	1	4	17	1	10	4	6	7	1	1	0	1	 	0	15	1	12	4	7	2	1	1	0	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60053	1	 	42	 	1	1	1	N	 	 	3	2005	 	 	1	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60053	2	 	35	 	2	1	1	N	 	0	3	2007	 	 	1	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60053	3	13	17	 	1	7	7	N	 	 	1	 	 	 	 	 	5	0	99	99	 	 	 	 	1	10	1	 	6	0	 	 	 	3	3	0	0	1	 	9	0	0	0	0	8	3	4	17	1	10	4	6	8	1	1	0	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
60053	4	12	16	 	1	7	7	N	 	 	1	 	 	 	 	 	5	0	99	99	 	 	 	 	1	6	1	 	6	0	 	 	 	3	3	0	0	0	 	10	0	1	0	0	7	1	5	17	1	10	4	6	7	1	1	0	1	 	0	15	1	12	4	7	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	Y	0	 	0	 	 	 	 	 	 	 	 	0	0	2
60053	5	73	77	 	2	6	6	Y	 	 	1	 	 	 	 	 	 	3	99	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	1	12	4	7	6	1	1	1	1	 	1	15	1	12	4	7	4	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	Y	0	 	0	 	 	 	 	 	 	 	 	0	0	2
60054	0	8	12	 	2	0	0	 	1	 	1	 	 	 	 	 	5	0	 	 	 	 	 	 	1	6	1	 	5	4	 	 	 	2	1	7000	1200	0	5	10	0	1	0	0	8	2	3	17	1	10	4	6	8	1	1	1	1	 	0	15	0	12	4	7	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60054	1	72	76	 	2	6	6	N	 	 	1	 	 	 	 	 	7	1	99	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	1	0
60054	2	40	44	 	1	1	1	N	 	 	4	 	4	2	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60054	3	32	36	 	2	1	1	N	 	0	4	 	4	2	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60054	4	54	58	 	1	5	5	N	 	 	1	 	 	 	 	 	 	1	98	99	1	2	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	6	4	7	8	1	1	0	0	 	1	12	0	2	4	6	2	0	0	1	1	0	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	1	0	1
60054	5	48	52	 	2	5	5	Y	 	 	1	 	 	 	 	 	1	1	1	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	1	1	4	6	2	0	0	1	1	0	1	15	1	12	4	7	3	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	20	88	 	25	 	 	1	5	0	1	0
60054	6	24	28	 	1	13	13	N	 	 	1	 	 	 	 	 	2	1	5	4	1	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	1	10	4	7	4	1	1	1	1	 	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	0
60054	7	22	26	 	1	13	13	N	 	 	1	 	 	 	 	 	2	0	5	4	1	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	1	10	4	7	4	1	1	1	1	 	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	0
60055	0	8	12	 	2	0	0	 	1	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	5	1	 	5	5	 	 	 	3	3	0	0	0	3	9	0	1	0	0	7	2	5	17	1	10	4	6	7	1	1	1	1	 	0	15	0	12	4	7	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60055	1	62	66	 	1	6	6	N	 	 	1	 	 	 	 	 	7	1	99	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	18	88	 	5	 	 	4	4	0	1	1
60055	2	57	61	 	2	6	6	N	 	 	3	2012	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60055	3	37	41	 	1	1	1	N	 	 	1	 	 	 	 	 	 	1	99	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	1	4	4	6	8	0	1	1	0	0	1	1	1	3	3	5	5	1	0	0	1	 	0	12	0	2	3	6	5	1	1	0	1	0	0	N	0	 	1	18	88	 	3	 	 	2	4	0	1	1
60055	4	27	31	 	2	1	1	Y	 	0	1	 	 	 	 	 	1	1	98	98	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	1	5	3	6	7	0	1	1	0	0	1	1	1	4	4	5	5	1	0	0	1	 	0	15	1	12	4	7	5	1	1	1	1	0	0	N	0	 	1	14	19	18	3	2	5	4	4	0	0	0
60055	5	32	36	 	1	13	13	N	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60055	6	25	29	 	2	13	13	N	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60056	0	8	12	 	2	0	0	 	0	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	7	1	 	5	0	 	 	 	2	3	0	0	0	9	9	0	2	0	0	8	1	4	17	1	10	4	6	8	1	1	1	1	 	0	15	1	12	4	7	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60056	1	34	38	 	1	1	1	N	 	 	1	 	 	 	 	 	 	1	98	98	1	5	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	1	12	4	2	8	1	1	1	1	 	1	5	0	2	4	7	8	1	1	0	0	0	0	12	0	3	4	6	4	0	0	1	1	0	0	N	0	 	1	17	88	 	2	 	 	5	5	0	1	1
