CHILDCODE	SPPGIDR4	SUPKNDR4	SUPWHOR4	SUPSRTR4	SUPENDR4	SUPFRQR4	SUPRIDR4	SUPEXPR4	SUPIMR401	SUPIMR402
70084	2	5	45	2011	99	6	4	2	1	88
70086	1	5	45	2010	99	6	5	2	5	88
70087	1	5	45	2012	99	6	1	3	5	4
70088	1	5	45	2010	99	8	3	1	5	6
70089	1	5	45	2010	99	4	4	3	4	88
70093	1	5	45	2012	2012	6	3	4	9	88
70094	1	5	45	2012	2012	6	2	4	9	88
70097	1	5	45	2009	99	7	2	3	4	1
70098	1	5	36	2009	99	4	3	4	2	88
70100	1	5	45	2011	99	4	2	3	4	88
80037	1	6	36	2011	99	3	1	4	5	4
80052	1	1	36	2013	99	6	3	4	6	88
80086	1	6	36	2009	99	3	2	4	5	88
80089	1	6	36	2010	99	3	1	4	5	2
80089	2	19	36	2009	99	3	3	5	4	2
80095	1	1	36	2013	99	6	1	4	4	88
80095	2	1	36	2012	2012	6	2	4	6	88
80100	1	1	36	2012	99	6	3	4	4	88
80100	2	1	36	2013	99	6	3	4	6	88
90008	1	6	36	2010	99	3	3	4	8	5
90012	1	1	36	2013	99	6	1	4	4	5
90028	1	1	36	2010	2011	6	1	4	1	88
90030	1	14	36	2012	99	4	9	3	5	88
90073	1	6	36	2010	99	3	1	4	77	88
110001	1	3	36	2009	99	6	80	4	1	4
110001	2	5	45	2009	99	6	2	4	4	2
110002	1	16	50	2010	99	6	0	4	4	88
110002	2	12	50	2010	99	6	3	4	4	88
110003	1	5	45	2012	99	6	3	4	7	88
110004	1	16	50	2010	99	6	0	4	4	88
110005	1	12	50	2009	99	6	0	4	4	5
110005	2	3	50	2009	99	6	5	4	1	2
110007	1	5	45	2012	99	6	5	4	6	88
110008	1	5	36	2012	99	6	6	3	9	88
110010	1	16	50	2010	99	6	0	4	4	88
110010	2	16	50	2010	99	6	7	4	4	88
110011	1	5	45	2009	99	8	2	4	1	3
110012	1	5	45	2009	99	8	4	4	5	1
110013	1	5	36	2012	99	6	3	3	8	4
110017	1	5	45	2009	99	8	3	4	1	5
110017	2	19	36	2009	99	8	2	4	2	4
110017	3	16	45	2012	99	8	7	3	4	6
110018	1	5	45	2009	99	6	4	3	2	4
110019	1	5	45	2011	99	6	3	3	4	5
110020	1	5	45	2009	99	6	2	4	4	6
110021	1	5	45	2010	99	6	4	4	5	4
110022	1	5	45	2009	99	6	2	4	4	8
110022	2	19	48	2012	99	6	0	4	4	6
110023	1	5	45	2012	99	6	6	4	5	4
110024	1	12	50	2009	99	6	10	4	4	88
110028	1	5	36	2009	99	6	4	4	4	6
110029	1	5	45	2009	99	6	3	4	4	3
110030	1	5	36	2012	99	6	2	4	1	88
110031	1	5	45	2009	99	6	2	4	6	4
110031	2	5	45	2009	99	6	4	4	6	4
110033	1	5	45	2009	99	6	2	4	7	4
110034	1	5	45	2009	99	8	3	4	4	5
110034	2	19	36	2009	99	6	2	4	1	6
110034	3	12	50	2009	99	6	0	3	6	1
110035	1	5	45	2009	99	6	3	4	5	7
110036	1	3	50	2009	99	4	80	4	4	2
110036	2	5	45	2009	99	5	2	3	3	4
110036	3	12	50	2009	99	6	80	4	4	2
110037	1	12	50	2011	99	6	7	5	4	88
110039	1	5	36	2009	99	6	7	4	9	88
110040	1	5	36	2013	99	6	7	3	1	7
110042	1	19	45	2009	99	3	2	4	5	1
110042	2	5	45	2009	99	8	4	3	6	7
110043	1	17	36	2010	2010	6	90	4	5	88
110043	2	5	45	2010	99	6	3	4	4	1
110043	3	3	36	2009	99	4	80	3	4	2
110046	1	14	36	2009	99	4	2	3	5	2
110048	1	5	45	2009	99	6	5	4	2	4
110051	1	5	36	2010	99	6	2	3	6	88
110052	1	5	45	2009	99	6	3	1	2	6
110053	1	19	36	2009	99	6	1	3	5	6
110054	1	12	50	2009	99	6	0	5	6	4
110055	1	16	50	2009	99	6	0	4	4	6
110055	2	12	50	2009	99	6	4	4	8	88
110055	3	5	45	2010	99	6	2	4	8	88
110057	1	12	50	2009	99	6	3	4	4	6
110057	2	16	50	2009	99	6	28	4	4	6
110057	3	16	50	2009	99	6	0	4	4	6
110057	4	5	45	2009	99	8	2	2	4	6
110058	1	16	50	2010	99	6	0	5	6	88
110059	1	5	36	2009	99	6	4	3	3	1
110060	1	5	45	2009	99	6	2	4	4	88
110061	1	19	36	2009	99	6	1	4	7	7
110063	1	12	50	2009	99	6	0	4	4	88
110063	2	12	50	2009	99	6	3	4	6	1
110064	1	19	48	2010	99	6	0	4	6	4
110064	2	5	45	2009	99	8	4	4	5	6
110066	1	3	36	2009	99	6	80	2	4	2
110069	1	5	45	2009	99	5	3	3	7	1
110071	1	1	36	2012	99	6	2	4	4	6
110072	1	5	50	2009	99	8	4	4	8	5
110075	1	5	45	2009	99	6	6	4	8	88
110076	1	12	50	2009	99	6	80	4	4	6
