CHILDCODE	EDCHSTR4	ATSCR4	GRDER4	SMESCHR4	TYSCR4	DSSCR4	NMSCWDR4	LNGINSR4
20016	10	1	5	1	 	 	 	 
20016	11	1	6	1	 	 	 	 
20016	12	1	7	1	 	 	 	 
20016	13	1	8	1	 	 	 	 
20017	10	1	4	1	 	 	 	 
20017	11	1	5	1	 	 	 	 
20017	12	1	6	1	 	 	 	 
20017	13	1	7	1	 	 	 	 
20018	10	1	5	1	 	 	 	 
20018	11	1	6	1	 	 	 	 
20018	12	1	7	1	 	 	 	 
20018	13	0	 	 	 	 	 	 
20019	10	1	6	1	 	 	 	 
20019	11	1	7	1	 	 	 	 
20019	12	1	8	1	 	 	 	 
20019	13	1	9	1	 	 	 	 
20020	10	1	4	1	 	 	 	 
20020	11	1	5	1	 	 	 	 
20020	12	1	6	0	3	5	327	72
20020	13	1	7	1	 	 	 	 
20021	10	1	5	1	 	 	 	 
20021	11	1	6	0	3	5	327	72
20021	12	1	7	1	 	 	 	 
20021	13	1	8	1	 	 	 	 
20022	10	1	4	1	 	 	 	 
20022	11	1	5	1	 	 	 	 
20022	12	1	6	1	 	 	 	 
20022	13	1	7	0	4	5	2060	72
20023	10	1	4	1	 	 	 	 
20023	11	1	5	1	 	 	 	 
20023	12	1	6	0	1	5	880	75
20023	13	1	7	1	 	 	 	 
20024	10	1	5	1	 	 	 	 
20024	11	1	6	1	 	 	 	 
20024	12	1	7	1	 	 	 	 
20024	13	1	8	1	 	 	 	 
20025	10	1	5	1	 	 	 	 
20025	11	1	6	0	3	5	863	72
20025	12	1	7	1	 	 	 	 
20025	13	1	8	1	 	 	 	 
20026	10	1	2	1	 	 	 	 
20026	11	1	3	1	 	 	 	 
20026	12	1	4	1	 	 	 	 
20026	13	1	5	0	3	5	1899	72
20027	10	1	4	1	 	 	 	 
20027	11	1	5	1	 	 	 	 
20027	12	1	6	1	 	 	 	 
20027	13	1	7	0	3	5	2059	72
20028	10	1	2	0	3	5	327	72
20028	11	1	3	1	 	 	 	 
20028	12	1	4	1	 	 	 	 
20028	13	1	4	1	 	 	 	 
20029	10	1	3	1	 	 	 	 
20029	11	1	4	1	 	 	 	 
20029	12	1	5	1	 	 	 	 
20029	13	1	6	0	3	5	871	72
20030	10	1	3	1	 	 	 	 
20030	11	1	4	1	 	 	 	 
20030	12	1	5	1	 	 	 	 
20030	13	1	6	0	3	5	863	72
20031	10	1	5	1	 	 	 	 
20031	11	1	6	0	3	5	863	72
20031	12	1	7	1	 	 	 	 
20031	13	1	8	1	 	 	 	 
20032	10	1	2	1	 	 	 	 
20032	11	1	3	1	 	 	 	 
20032	12	1	4	1	 	 	 	 
20032	13	1	5	1	 	 	 	 
20033	10	1	4	1	 	 	 	 
20033	11	1	5	1	 	 	 	 
20033	12	1	6	0	3	5	863	72
20033	13	1	7	1	 	 	 	 
20034	10	1	5	1	 	 	 	 
20034	11	1	6	0	3	22	2284	75
20034	12	1	7	1	 	 	 	 
20034	13	1	8	1	 	 	 	 
20035	10	1	4	1	 	 	 	 
20035	11	1	5	1	 	 	 	 
20035	12	1	6	1	 	 	 	 
20035	13	1	7	1	 	 	 	 
20036	10	1	5	 	3	5	1731	72
20036	11	1	6	 	3	5	882	75
20036	12	1	7	 	3	5	882	75
20036	13	1	8	 	8	4	1801	75
20037	10	1	4	1	 	 	 	 
20037	11	1	5	1	 	 	 	 
20037	12	1	6	1	 	 	 	 
20037	13	1	7	0	3	5	2168	72
20038	10	1	3	1	 	 	 	 
20038	11	1	4	1	 	 	 	 
20038	12	1	5	1	 	 	 	 
20038	13	1	6	1	 	 	 	 
20039	10	1	4	1	 	 	 	 
20039	11	1	5	1	 	 	 	 
20039	12	1	6	1	 	 	 	 
20039	13	1	7	1	 	 	 	 
20040	10	1	5	1	 	 	 	 
20040	11	1	6	1	 	 	 	 
20040	12	1	7	1	 	 	 	 
20040	13	1	8	1	 	 	 	 
20041	10	1	5	1	 	 	 	 
20041	11	1	6	0	3	5	868	72
20041	12	1	7	1	 	 	 	 
20041	13	1	8	1	 	 	 	 
20042	10	1	4	1	 	 	 	 
20042	11	1	5	1	 	 	 	 
20042	12	1	6	1	 	 	 	 
20042	13	1	7	1	 	 	 	 
20043	10	1	4	1	 	 	 	 
20043	11	1	5	1	 	 	 	 
20043	12	1	6	1	 	 	 	 
20043	13	1	7	0	1	5	2044	75
20044	10	1	5	1	 	 	 	 
20044	11	1	6	1	 	 	 	 
20044	12	1	7	1	 	 	 	 
20044	13	1	8	1	 	 	 	 
20045	10	1	3	1	 	 	 	 
20045	11	1	4	1	 	 	 	 
20045	12	1	5	1	 	 	 	 
20045	13	1	6	0	3	5	1447	75
20046	10	1	4	1	 	 	 	 
20046	11	1	5	1	 	 	 	 
20046	12	1	6	0	3	5	868	72
20046	13	1	7	1	 	 	 	 
20047	10	1	3	1	 	 	 	 
20047	11	1	4	1	 	 	 	 
20047	12	1	5	1	 	 	 	 
20047	13	1	6	0	3	5	871	72
20048	10	1	4	1	 	 	 	 
20048	11	1	5	1	 	 	 	 
20048	12	1	6	0	3	5	2057	72
20048	13	1	7	1	 	 	 	 
20049	10	1	4	1	 	 	 	 
20049	11	1	5	0	3	5	1866	75
20049	12	1	6	1	 	 	 	 
20049	13	1	7	1	 	 	 	 
20050	10	1	4	1	 	 	 	 
20050	11	1	5	1	 	 	 	 
20050	12	1	6	0	3	5	1493	75
20050	13	1	7	1	 	 	 	 
20051	10	1	5	1	 	 	 	 
20051	11	1	6	0	3	5	868	72
20051	12	1	7	1	 	 	 	 
20051	13	1	8	1	 	 	 	 
20052	10	1	5	1	 	 	 	 
20052	11	1	6	0	3	5	2050	72
20052	12	1	7	1	 	 	 	 
20052	13	1	8	1	 	 	 	 
20053	10	1	3	1	 	 	 	 
20053	11	1	4	1	 	 	 	 
20053	12	1	5	1	 	 	 	 
20053	13	1	6	0	3	5	1296	75
20054	10	1	4	1	 	 	 	 
20054	11	1	5	1	 	 	 	 
20054	12	1	6	0	3	5	861	75
20054	13	1	7	1	 	 	 	 
20055	10	1	2	1	 	 	 	 
20055	11	1	3	1	 	 	 	 
20055	12	1	4	1	 	 	 	 
20055	13	0	 	 	 	 	 	 
20056	10	1	6	0	3	4	1633	75
20056	11	1	7	1	 	 	 	 
20056	12	1	8	1	 	 	 	 
20056	13	1	9	1	 	 	 	 
20057	10	1	4	1	 	 	 	 
20057	11	1	5	1	 	 	 	 
20057	12	1	6	1	 	 	 	 
20057	13	1	7	1	 	 	 	 
20058	10	1	4	1	 	 	 	 
20058	11	1	5	1	 	 	 	 
20058	12	1	6	1	 	 	 	 
20058	13	1	7	1	 	 	 	 
20059	10	1	4	1	 	 	 	 
20059	11	1	5	1	 	 	 	 
20059	12	1	6	1	 	 	 	 
20059	13	1	7	1	 	 	 	 
20060	10	1	2	0	3	5	342	72
20060	11	1	3	1	 	 	 	 
20060	12	1	4	1	 	 	 	 
20060	13	1	5	1	 	 	 	 
20061	10	1	4	1	 	 	 	 
20061	11	1	5	1	 	 	 	 
20061	12	1	6	0	3	5	1261	75
20061	13	1	7	1	 	 	 	 
20062	10	1	4	1	 	 	 	 
20062	11	1	5	1	 	 	 	 
20062	12	0	 	 	 	 	 	 
20062	13	1	6	0	3	5	877	72
20063	10	1	4	1	 	 	 	 
20063	11	1	5	1	 	 	 	 
20063	12	1	6	1	 	 	 	 
20063	13	1	7	0	3	5	877	75
20064	10	1	4	1	 	 	 	 
20064	11	1	5	1	 	 	 	 
20064	12	1	6	0	3	5	878	75
20064	13	1	7	1	 	 	 	 
20065	10	1	4	1	 	 	 	 
20065	11	1	5	1	 	 	 	 
20065	12	1	6	1	 	 	 	 
20065	13	1	7	1	 	 	 	 
20066	10	1	4	1	 	 	 	 
20066	11	1	5	1	 	 	 	 
20066	12	1	6	0	3	5	1261	75
20066	13	1	7	1	 	 	 	 
20067	10	1	4	1	 	 	 	 
20067	11	1	5	0	3	5	884	75
20067	12	1	6	1	 	 	 	 
20067	13	1	7	1	 	 	 	 
20068	10	1	4	1	 	 	 	 
20068	11	1	5	1	 	 	 	 
20068	12	1	6	0	3	5	868	72
20068	13	1	7	1	 	 	 	 
20069	10	1	5	1	 	 	 	 
20069	11	1	6	1	 	 	 	 
20069	12	1	7	1	 	 	 	 
20069	13	1	8	0	3	5	1248	75
20070	10	1	4	1	 	 	 	 
20070	11	1	5	1	 	 	 	 
20070	12	1	6	0	3	5	2050	72
20070	13	1	7	1	 	 	 	 
20071	10	1	4	1	 	 	 	 
20071	11	1	5	1	 	 	 	 
20071	12	1	6	1	 	 	 	 
20071	13	1	7	1	 	 	 	 
20072	10	1	4	1	 	 	 	 
20072	11	1	5	1	 	 	 	 
20072	12	1	6	0	1	5	862	75
20072	13	1	7	0	1	5	2098	75
20073	10	1	4	1	 	 	 	 
20073	11	1	5	1	 	 	 	 
20073	12	1	6	0	3	5	2050	72
20073	13	1	7	1	 	 	 	 
20074	10	1	5	1	 	 	 	 
20074	11	1	6	0	3	5	863	72
20074	12	1	7	1	 	 	 	 
20074	13	1	8	1	 	 	 	 
20075	10	1	4	1	 	 	 	 
20075	11	1	5	1	 	 	 	 
20075	12	1	5	1	 	 	 	 
20075	13	1	6	0	3	5	863	72
20076	10	1	3	1	 	 	 	 
20076	11	1	4	1	 	 	 	 
20076	12	1	5	1	 	 	 	 
20076	13	1	6	0	3	5	2174	72
20078	10	1	3	1	 	 	 	 
20078	11	1	4	1	 	 	 	 
20078	12	1	5	1	 	 	 	 
20078	13	1	6	0	3	5	2174	72
20079	10	1	4	1	 	 	 	 
20079	11	1	5	1	 	 	 	 
20079	12	1	6	0	3	5	861	72
20079	13	1	6	0	3	5	877	72
20080	10	1	2	1	 	 	 	 
20080	11	1	3	0	3	5	875	72
20080	12	1	4	1	 	 	 	 
20080	13	1	5	1	 	 	 	 
20081	10	1	3	1	 	 	 	 
20081	11	1	4	1	 	 	 	 
20081	12	1	5	1	 	 	 	 
20081	13	1	6	0	3	5	2058	72
20082	10	1	3	1	 	 	 	 
20082	11	1	4	1	 	 	 	 
20082	12	1	5	1	 	 	 	 
20082	13	0	 	 	 	 	 	 
20083	10	1	3	1	 	 	 	 
20083	11	1	4	1	 	 	 	 
20083	12	1	5	0	3	5	878	75
20083	13	1	6	1	 	 	 	 
20084	10	1	4	1	 	 	 	 
20084	11	1	5	1	 	 	 	 
20084	12	1	6	0	3	5	877	72
20084	13	1	7	1	 	 	 	 
20085	10	1	5	1	 	 	 	 
20085	11	1	6	0	3	5	875	72
20085	12	1	7	1	 	 	 	 
20085	13	1	8	1	 	 	 	 
20086	10	1	3	1	 	 	 	 
