CHILDCODE	NREGIDR4	MEMREGR4	NEG1DYR4	NEG1WGR4	NEG2DYR4	NEG2WGR4
50083	2	4	40	2000	8	400
50083	3	5	36	1800	0	0
50084	1	2	8	560	0	0
50085	1	2	58	4060	37	2590
50086	1	1	28	1960	20	1400
50086	2	2	29	2030	19	1330
50087	1	3	27	2160	33	2640
50087	2	8	0	0	20	1600
50088	1	1	40	3600	0	0
50089	1	3	45	4050	9	810
50089	2	4	50	4500	12	1080
50093	1	3	30	2550	0	0
50093	2	4	35	3150	25	2250
50095	1	1	48	3360	0	0
50095	2	2	32	2240	0	0
50095	3	3	45	3150	0	0
50098	1	3	40	3400	0	0
50099	1	3	40	3200	0	0
50100	1	10	24	1920	0	0
50100	2	11	44	3520	36	2880
60001	1	2	40	3600	0	0
60001	2	3	30	2400	0	0
60004	1	2	48	4320	0	0
60004	2	3	52	4680	0	0
60005	1	2	36	3240	12	840
60005	2	3	50	4500	0	0
60006	1	6	60	5400	0	0
60006	2	3	12	1080	0	0
60008	1	3	45	4050	0	0
60008	2	4	36	3240	0	0
60009	1	3	20	2100	0	0
60009	2	5	24	2880	0	0
60010	1	4	32	3400	12	1365
60012	1	2	48	4320	0	0
60012	2	3	36	3240	0	0
60014	1	1	24	1800	0	0
60014	2	2	40	3480	20	1460
60015	1	1	28	2800	11	990
60015	2	2	46	4600	14	1260
60016	1	3	60	5400	0	0
60016	2	6	36	3240	0	0
60017	1	5	26	2080	0	0
60017	2	6	30	2700	0	0
60018	1	1	48	4080	0	0
60018	2	2	36	3060	0	0
60021	1	3	42	4880	30	2745
60022	1	2	72	7920	0	0
60023	1	1	18	1760	8	640
60023	2	4	53	4670	27	2560
60024	1	2	30	2700	0	0
60024	2	1	36	4320	0	0
60025	1	8	32	2880	41	3690
60025	2	13	43	3440	34	2720
60026	1	8	60	6000	0	0
60027	1	3	90	6300	0	0
60028	1	2	70	6300	20	1800
60028	2	1	7	630	0	0
60029	1	4	48	4320	0	0
60030	1	3	33	1520	45	3620
60031	1	3	39	3900	8	800
60031	2	4	40	4000	6	600
60032	1	9	14	1280	10	870
60032	2	9	14	1260	18	1647
60032	3	10	14	1260	0	0
60033	1	4	12	1124	0	0
60033	2	10	30	2670	18	1675
60033	3	3	20	1980	16	1568
60035	1	2	35	2498	22	1496
60037	1	5	48	4560	0	0
60038	1	2	37	2198	23	1654
60039	1	1	30	3545	35	3754
60041	1	3	20	800	0	0
60041	2	2	20	800	0	0
60042	1	1	60	4200	0	0
60042	2	2	60	4200	0	0
60043	1	7	60	5400	0	0
60043	2	8	40	3600	0	0
60045	1	1	30	2400	0	0
60045	2	2	24	1920	0	0
60046	1	3	24	1440	0	0
60046	2	2	24	1680	0	0
60048	1	2	48	3360	0	0
60048	2	3	40	2800	0	0
60049	1	1	35	3150	37	3300
60049	2	4	55	4950	41	3690
60051	1	4	23	1800	0	0
60051	2	5	30	2700	0	0
60052	1	5	36	2880	0	0
60054	1	4	60	4800	0	0
60054	2	5	20	1600	0	0
60055	1	3	24	2880	24	3500
60055	2	4	22	2090	26	2860
60056	1	1	30	2400	0	0
60056	2	2	60	4800	0	0
60057	1	1	60	4800	0	0
60057	2	2	30	2700	0	0
60058	1	8	25	2250	20	1825
60058	2	11	25	2250	20	1821
60059	1	2	18	1440	0	0
60059	2	3	54	4320	0	0
60060	1	2	36	4320	0	0
60060	2	3	30	2700	0	0
60061	1	1	50	4000	0	0
60063	1	2	24	2400	0	0
60063	2	3	30	3000	0	0
60063	3	8	30	3000	0	0
60065	1	3	35	2450	13	910
60065	2	4	30	2100	15	1050
60067	1	2	60	3600	0	0
60068	1	1	35	3150	28	4200
60068	2	2	27	2430	0	0
60069	1	2	19	2280	35	5250
60069	2	3	36	3600	0	0
60070	1	3	24	1920	0	0
60070	2	1	30	2400	0	0
60070	3	2	35	3150	0	0
60072	1	3	30	3600	0	0
60072	3	2	48	5760	0	0
60074	1	7	56	5300	0	0
60074	2	9	56	5400	0	0
60075	1	7	35	3150	0	0
60075	2	8	24	2160	0	0
60076	1	3	48	3360	0	0
60076	2	4	32	2240	0	0
60078	1	4	36	3240	0	0
60078	2	3	24	3600	0	0
60079	1	3	48	3840	0	0
60079	2	4	40	3200	0	0
60080	1	3	57	5130	15	1350
60082	1	3	4	390	0	0
60083	1	29	30	2100	0	0
60083	2	30	60	4200	0	0
60084	1	2	42	4620	0	0
60086	1	2	48	3840	0	0
60089	1	4	30	3000	0	0
60091	1	3	28	2520	19	1715
60091	2	4	22	1985	21	1895
60092	1	3	18	2000	0	0
60092	2	4	12	1500	0	0
60094	1	2	35	2800	10	800
60096	1	1	48	3840	0	0
60096	2	2	30	2400	0	0
60097	1	2	38	3420	42	4200
60100	1	2	72	5760	0	0
70002	1	4	36	3600	21	2100
70002	2	7	60	6000	12	1200
70003	1	3	5	500	0	0
70003	2	5	24	1920	0	0
70003	3	1	24	2640	0	0
70006	1	5	60	4800	90	7200
70007	1	2	38	3040	0	0
70007	2	4	52	4160	0	0
70010	1	2	39	4680	21	2520
70012	1	2	50	4000	40	3600
70014	1	3	24	2800	0	0
70017	1	1	54	4320	0	0
70017	2	2	46	3680	0	0
70019	1	4	38	3040	12	960
70023	1	3	36	4200	12	1800
70023	2	4	32	3800	20	2400
70024	1	3	95	11400	0	0
70025	1	2	34	3400	0	0
70026	1	1	30	2400	15	1200
70026	2	2	32	2500	18	1500
70028	1	2	30	2400	0	0
70029	1	2	20	1780	16	1340
70029	2	4	20	1800	16	1340
70030	1	1	24	2400	0	0
70030	2	2	12	960	0	0
70031	1	1	15	1400	12	1000
70031	2	2	18	1600	20	1600
70031	3	28	14	1100	15	1350
70033	1	3	22	2000	30	3700
70033	2	2	30	4000	20	2500
70036	1	2	60	5400	0	0
70039	1	30	30	3600	0	0
70040	1	5	30	3000	0	0
70043	1	2	82	7890	0	0
70045	1	1	54	3780	0	0
70045	2	2	36	2520	0	0
70046	1	2	40	2800	0	0
70046	2	3	48	3360	0	0
70046	3	4	45	3150	0	0
70047	1	2	53	5300	19	1900
70047	2	1	49	4900	15	1500
70048	1	6	30	3600	0	0
70049	1	1	30	2100	20	1400
70049	2	2	36	2520	0	0
