placeid	anmlfdid	item	price	account
PE80MC71	1	GALLINA	8	1
PE80MC71	2	SAMANI	10	1
PE80MC71	3	PESCADO (CHUPADORA, DONCELLA)	8	1
PE80MC72	1	CARNE DE RES	6	1
PE80MC72	2	POLLO-GALLINA	6	1
PE80MC72	3	PESCADO	4	1
PE80MC73	1	SAMANI (ANIMAL PARECIDO AL CHANCHO)	8	1
PE80MC73	2	PESCADO	5	1
PE80MC73	3	POLLO	7	1
PE80MC74	1	ACHUMI (ANIMAL DEL MONTE)	6	1
PE80MC74	2	SAMANI (ANIMAL DE MONTE)	8	1
PE80MC74	3	AÑUJE (ANIMAL DE MONTE)	5	1
PE80MC75	1	GALLINA DE CHACRA	8	2
PE80MC75	2	LECHE EN TARRO CHICO	1.20000004768372	2
PE80MC75	3	HUEVOS	3.5	1
PE80MC76	1	GALLINA	7	1
PE80MC76	2	CUY	10	2
PE80MC76	3	POLLO	6	1
PE80MC77	1	POLLO	5.5	1
PE80MC77	2	PESCADO	2	1
PE80MC77	3	HIGADO DE RES	5	1
PE80MC78	1	POLLO	3.5	1
PE80MC78	2	PESCADO	2	1
PE80MC78	3	CARNE DE RES	9	1
PE80MC79	1	CARNE RES	12	1
PE80MC79	2	POLLO	6	1
PE80MC79	3	PESCADO	4	1
PE80MC80	1	LECHE	1	3
PE80MC80	2	CUYES	15	2
PE80MC80	3	POLLOS	6	1
PE80MC81	1	CARNE DE OVEJA	7.5	1
PE80MC81	2	RES	8	1
PE80MC81	3	HUEVO	4	1
PE80MC82	1	RES	10	1
PE80MC82	2	CARNERO	9	1
PE80MC82	3	GALLINA	9	1
PE80MC83	1	RES	12	1
PE80MC83	2	POLLO	5	1
PE80MC83	3	PESCADO	4	1
PE80MC84	1	LECHE	1.20000004768372	3
PE80MC84	2	PESCADO	3	1
PE80MC84	3	HUEVOS	.25	2
PE80MC85	1	CERDO	6	1
PE80MC85	2	CABRITO	6	1
PE80MC85	3	POLLO	5	1
PE80MC86	1	QUESO	10	1
PE80MC86	2	HUEVO	14	4
PE80MC86	3	PESCADO	5	1
PE80MC87	1	POLLO	5.80000019073486	1
PE80MC87	2	PESCADO	3	1
PE80MC87	3	LECHE	2.20000004768372	2
PE80MC88	1	POLLO	6	1
PE80MC88	2	PESCADOS	3	1
PE80MC88	3	HUEVOS	3.59999990463257	1
PE80MC89	1	POLLO	5	1
PE80MC89	2	PESCADO	3.5	1
PE80MC89	3	ATUN	2.5	2
PE80MC90	1	LECHE	2.09999990463257	2
PE80MC90	2	HUEVOS	3.5	2
PE80MC90	3	POLLO	6.5	1
PE80MC91	1	POLLO	4.5	1
PE80MC91	2	PESCADO	3.5	1
PE80MC91	3	CARNE	12	1
PE80MC92	1	CARNE DE RES	14	1
PE80MC92	2	POLLO	5.80000019073486	1
PE80MC92	3	PESCADO	 	1
PE80MC93	1	POLLO	5.59999990463257	1
PE80MC93	2	HUEVOS	3.5	1
PE80MC93	3	PESCADO	3	1
PE80MC94	1	POLLO	5.80000019073486	1
PE80MC94	2	PESCADO	2.5	1
PE80MC94	3	HUEVOS	4	1
