CHILDCODE	NONFODR4	SPYRR4
51018	4	0
51018	5	1000
51018	6	200
51018	7	0
51018	8	0
51019	1	0
51019	2	0
51019	3	150
51019	4	100
51019	5	80
51019	6	90
51019	7	36
51019	8	100
51021	1	100
51021	2	250
51021	3	0
51021	4	0
51021	5	40
51021	6	17
51021	7	0
51021	8	0
51022	1	0
51022	2	0
51022	3	100
51022	4	0
51022	5	0
51022	6	30
51022	7	32
51022	8	0
51023	1	800
51023	2	0
51023	3	200
51023	4	200
51023	5	1600
51023	6	0
51023	7	120
51023	8	120
51024	1	400
51024	2	220
51024	3	0
51024	4	0
51024	5	60
51024	6	70
51024	7	0
51024	8	0
51025	1	300
51025	2	370
51025	3	400
51025	4	0
51025	5	240
51025	6	40
51025	7	71
51025	8	0
51026	1	0
51026	2	200
51026	3	0
51026	4	0
51026	5	0
51026	6	188
51026	7	0
51026	8	0
51027	1	0
51027	2	600
51027	3	0
51027	4	300
51027	5	0
51027	6	140
51027	7	0
51027	8	160
51028	1	500
51028	2	400
51028	3	180
51028	4	250
51028	5	200
51028	6	90
51028	7	50
51028	8	100
51029	1	1000
51029	2	1600
51029	3	180
51029	4	0
51029	5	250
51029	6	240
51029	7	6
51029	8	0
51030	1	450
51030	2	350
51030	3	320
51030	4	0
51030	5	100
51030	6	60
51030	7	60
51030	8	0
51031	1	0
51031	2	850
51031	3	200
51031	4	150
51031	5	0
51031	6	120
51031	7	35
51031	8	30
51032	1	0
51032	2	140
51032	3	0
51032	4	25
51032	5	21
51032	6	0
51032	7	0
51032	8	0
51033	1	200
51033	2	200
51033	3	0
51033	4	30
51033	5	40
51033	6	25
51033	7	0
51033	8	0
51034	1	450
51034	2	340
51034	3	0
51034	4	0
51034	5	100
51034	6	51
51034	7	0
51034	8	0
51035	1	400
51035	2	800
51035	3	0
51035	4	300
51035	5	105
51035	6	140
51035	7	0
51035	8	25
51036	1	0
51036	2	600
51036	3	180
51036	4	0
51036	5	200
51036	6	150
51036	7	70
51036	8	0
51038	1	0
51038	2	535
51038	3	0
51038	4	0
51038	5	0
51038	6	140
51038	7	0
51038	8	0
51039	1	400
51039	2	200
51039	3	300
51039	4	0
51039	5	400
51039	6	200
51039	7	150
51039	8	0
51040	1	400
51040	2	620
51040	3	405
51040	4	1280
51040	5	200
51040	6	135
51040	7	80
51040	8	370
51041	1	500
51041	2	400
51041	3	0
51041	4	0
51041	5	90
51041	6	60
51041	7	0
51041	8	0
51042	1	700
51042	2	1300
51042	3	300
51042	4	0
51042	5	100
51042	6	160
51042	7	150
51042	8	0
51043	1	0
51043	2	200
51043	3	300
51043	4	0
51043	5	0
51043	6	80
51043	7	60
51043	8	25
51044	1	600
51044	2	970
51044	3	170
51044	4	270
51044	5	40
51044	6	90
51044	7	30
51044	8	40
51045	1	800
51045	2	400
51045	3	80
51045	4	0
51045	5	160
51045	6	80
51045	7	60
51045	8	0
51046	1	365
51046	2	200
51046	3	70
51046	4	0
51046	5	135
51046	6	35
51046	7	70
51046	8	0
51047	1	0
51047	2	900
51047	3	280
51047	4	150
51047	5	150
51047	6	35
51047	7	70
51047	8	16
51048	1	0
51048	2	600
51048	3	0
51048	4	0
51048	5	90
51048	6	0
51048	7	0
51048	8	0
51049	1	0
51049	2	0
51049	3	0
51049	4	0
51049	5	0
51049	6	0
51049	7	0
51049	8	0
51050	1	300
51050	2	110
51050	3	300
51050	4	120
51050	5	140
51050	6	140
51050	7	140
51050	8	100
61002	1	440
61002	2	360
61002	3	-88
61002	4	88
61002	5	92
61002	6	60
61002	7	-88
61002	8	0
61003	1	200
61003	2	300
61003	3	-88
