CHILDCODE	IMEVIDR4	RKEVR4	LOSS02R4	LOSS03R4	LOSS04R4	LOSS05R4	LOSS06R4	RESEVR41	RESEVR42	RESEVR43
31050	2	12	 	 	 	 	4	2	88	88
31050	3	88	 	 	 	 	 	 	 	 
41001	1	 	 	 	 	 	 	 	 	 
41001	2	 	 	 	 	 	 	 	 	 
41001	3	 	 	 	 	 	 	 	 	 
41002	1	14	 	 	 	 	3	7	88	88
41002	2	25	 	 	 	4	 	18	7	88
41002	3	12	 	2	2	2	2	19	7	88
41003	1	37	4	4	4	4	4	27	2	20
41003	2	16	4	4	4	4	4	1	2	20
41003	3	47	4	4	4	4	4	1	2	7
41005	1	27	 	 	 	4	 	1	3	7
41005	2	47	2	2	2	3	4	2	1	7
41005	3	37	4	4	4	4	4	7	88	88
41006	1	39	 	4	4	4	 	19	16	27
41006	2	88	 	 	 	 	 	 	 	 
41006	3	88	 	 	 	 	 	 	 	 
41007	1	14	 	 	 	4	 	3	20	88
41007	2	31	 	 	 	1	 	88	88	88
41007	3	47	 	 	 	2	 	1	88	88
41008	1	39	 	 	 	4	 	16	88	88
41008	2	16	 	 	 	 	4	19	2	88
41008	3	47	 	 	 	 	3	2	1	7
41009	1	1	 	 	4	4	4	9	8	7
41009	2	16	 	 	4	4	4	16	22	7
41009	3	39	4	4	4	4	4	27	19	7
41010	1	1	 	 	4	 	 	28	16	7
41010	2	10	 	 	4	4	 	2	7	88
41010	3	47	4	4	4	4	4	2	7	88
41011	1	16	4	4	4	4	4	16	25	7
41011	2	47	4	4	4	4	4	1	2	7
41011	3	88	 	 	 	 	 	 	 	 
41012	1	47	4	4	4	4	4	1	2	7
41012	2	88	 	 	 	 	 	 	 	 
41012	3	88	 	 	 	 	 	 	 	 
41013	1	47	 	 	 	4	4	2	1	7
41013	2	88	 	 	 	 	 	 	 	 
41013	3	88	 	 	 	 	 	 	 	 
41014	1	14	3	 	 	 	 	2	1	7
41014	2	38	 	 	 	3	 	2	1	7
41014	3	39	 	 	 	2	 	2	7	88
41015	1	36	 	 	4	 	 	7	88	88
41015	2	 	 	 	 	 	 	17	7	88
41015	3	47	 	 	 	3	 	2	1	7
41016	1	47	 	 	 	 	4	2	1	17
41016	2	88	 	 	 	 	 	 	 	 
41016	3	88	 	 	 	 	 	 	 	 
41017	1	37	 	 	 	3	 	17	7	88
41017	2	88	 	 	 	 	 	 	 	 
41017	3	88	 	 	 	 	 	 	 	 
41018	1	47	4	4	4	4	4	2	1	7
41018	2	88	 	 	 	 	 	 	 	 
41018	3	88	 	 	 	 	 	 	 	 
41020	1	 	 	 	 	 	 	 	 	 
41020	2	 	 	 	 	 	 	 	 	 
41020	3	 	 	 	 	 	 	 	 	 
41021	1	39	 	 	 	4	 	16	7	88
41021	2	38	 	 	2	3	3	18	2	7
41021	3	29	 	 	 	3	 	18	2	7
41022	1	14	 	 	 	2	 	16	8	7
41022	2	29	 	 	 	2	 	16	11	7
41022	3	88	 	 	 	 	 	 	 	 
41023	1	38	 	 	 	4	 	16	2	88
41023	2	39	 	 	 	2	 	7	88	88
41023	3	16	 	 	2	2	2	7	88	88
41024	1	10	 	 	 	 	4	7	88	88
41024	2	47	 	 	 	2	 	18	7	88
41024	3	38	 	 	 	2	 	17	7	88
41025	1	10	 	 	 	4	 	18	7	88
41025	2	39	 	 	 	3	 	7	88	88
41025	3	47	 	 	3	3	3	18	17	7
41026	1	37	 	 	 	3	 	6	2	88
41026	2	38	 	 	3	3	 	18	2	88
41026	3	47	 	 	2	3	3	2	18	1
41027	1	45	 	 	 	4	 	2	1	13
41027	2	39	 	3	3	4	3	2	1	88
41027	3	47	 	 	3	3	3	2	1	18
41028	1	47	 	 	 	4	4	2	1	16
41028	2	88	 	 	 	 	 	 	 	 
41028	3	88	 	 	 	 	 	 	 	 
41029	1	47	 	 	3	3	3	18	7	88
41029	2	10	 	 	 	3	 	17	7	88
41029	3	88	 	 	 	 	 	 	 	 
41030	1	 	 	 	 	 	 	 	 	 
41030	2	 	 	 	 	 	 	 	 	 
41030	3	 	 	 	 	 	 	 	 	 
41031	1	38	 	 	 	2	 	7	88	88
41031	2	47	2	2	2	2	2	2	7	88
