CHILDCODE	SPPGIDR4	SUPKNDR4	SUPWHOR4	SUPSRTR4	SUPENDR4	SUPFRQR4	SUPTARR4
71047	1	1	5	1999	9999	10	1
71047	2	5	13	1998	9999	4	2
71048	1	5	13	1996	2004	4	1
71049	1	1	5	2002	9999	5	1
71049	2	5	13	2003	9999	4	2
81001	1	1	5	1996	9999	9	80
81001	2	10	24	1996	9999	5	80
81003	1	1	5	2000	9999	7	80
81004	1	1	5	1998	9999	10	1
81004	2	26	24	2002	9999	4	1
81004	3	3	39	1998	9999	9	80
81005	1	1	5	1999	9999	5	3
81005	2	3	39	2001	9999	9	80
81007	1	1	5	1999	9999	5	80
81009	1	1	5	1998	9999	5	80
81009	2	3	39	1998	9999	9	80
81009	3	5	13	2005	9999	4	1
81009	4	14	28	2005	-77	11	1
81010	1	3	39	2000	9999	9	80
81010	2	1	5	2003	9999	9	1
81011	1	8	6	2005	9999	8	0
81012	1	3	39	2005	2006	11	80
81012	2	1	5	2004	9999	10	21
81013	1	1	5	1987	9999	9	80
81013	2	3	39	1998	9999	9	80
81013	3	8	6	2000	9999	8	2
81014	1	3	39	1998	9999	9	80
81014	2	1	5	1998	9999	10	1
81014	3	29	24	2004	9999	4	2
81015	1	3	39	2001	9999	9	80
81015	2	1	5	1996	9999	5	80
81016	1	1	5	1998	9999	9	80
81016	2	5	40	2005	9999	9	2
81016	3	8	6	2000	9999	8	2
81017	1	1	5	2001	9999	4	80
81018	1	1	5	1999	9999	5	2
81018	2	13	5	2001	9999	4	2
81018	3	3	39	2001	9999	9	80
81019	1	1	5	2000	9999	8	1
81020	1	1	5	1998	9999	9	80
81020	2	22	24	2000	9999	10	2
81021	1	1	5	2004	9999	9	7
81023	1	1	5	1998	9999	9	80
81023	2	3	39	1998	9999	9	80
81024	1	3	39	1998	9999	9	80
81024	2	1	5	1999	9999	9	1
81025	1	1	5	1998	9999	10	80
81025	2	5	40	2005	9999	4	1
81025	3	10	9	2005	9999	6	1
81026	1	1	5	1998	9999	10	80
81026	2	3	39	1998	9999	9	80
81026	3	8	6	1998	9999	8	2
81027	1	1	5	1996	9999	5	80
81027	2	13	5	1996	9999	4	1
81028	1	1	5	1999	9999	9	80
81028	2	3	39	1996	2003	9	80
81029	1	1	5	1998	9999	10	1
81029	2	3	39	1996	9999	9	80
81029	3	22	24	2003	2003	11	1
81030	1	1	5	2003	9999	10	0
81030	2	8	6	2004	9999	8	16
81031	1	1	5	1998	9999	5	80
81031	2	3	39	2001	9999	9	80
81032	1	1	5	1998	9999	8	1
81032	2	3	39	1997	9999	9	80
81033	1	1	5	1998	9999	10	80
81033	2	26	24	2003	9999	4	80
81034	1	1	5	1996	9999	5	80
81034	2	3	39	2001	9999	9	80
81034	3	5	13	2005	9999	4	80
81035	1	1	5	1987	9999	10	80
81035	2	3	39	1998	9999	9	80
81035	3	10	24	1998	9999	6	16
81036	1	1	5	2003	9999	10	80
81036	2	3	39	2002	2002	9	80
81037	1	3	39	1989	9999	9	80
81037	2	1	5	2004	9999	5	80
81038	1	1	5	1998	9999	8	80
81038	2	3	39	1998	9999	9	80
81039	1	1	5	1998	9999	10	80
81039	2	3	39	1996	9999	9	80
81040	1	1	5	2002	9999	8	80
81040	2	3	39	2000	9999	9	80
81041	1	1	5	2000	9999	4	1
81042	1	1	5	2000	9999	8	80
81043	1	1	5	1998	9999	10	80
81043	2	3	39	1998	9999	9	80
81045	1	1	5	2004	9999	7	90
81045	2	3	39	1998	9999	9	80
81046	1	1	5	2001	9999	8	1
81046	2	3	39	1999	9999	9	80
81047	1	1	5	2001	9999	5	1
81047	2	3	39	2001	9999	9	80
81048	1	1	5	1996	9999	10	80
81050	1	1	5	1994	9999	10	1
81050	2	3	39	1997	9999	9	80
81050	3	22	24	2005	2005	11	2
91001	1	1	5	1996	9999	8	1
91001	2	5	13	2003	9999	4	1
91002	1	1	5	1998	9999	10	16
91003	1	3	39	1998	9999	9	80
91003	2	4	39	1998	9999	9	80
91004	1	1	5	1999	9999	10	80
91004	2	4	39	1998	2002	9	80
91004	3	5	13	2004	9999	10	2
91005	1	1	5	1996	9999	4	80
91005	2	5	13	1996	9999	4	0
91006	1	1	5	1995	999	4	80
91006	2	4	39	1997	9999	10	80
91006	3	5	13	2004	9999	4	1
91007	1	1	5	1998	9999	8	1
91007	2	5	13	1999	9999	10	2
91008	1	1	5	1998	9999	8	80
91008	2	4	39	1999	9999	9	90
91010	1	1	5	1989	9999	8	1
91011	1	1	5	1998	9999	8	1
91013	1	1	5	1998	9999	8	1
91013	2	5	13	1997	9999	4	2
91014	1	1	5	2003	9999	5	3
91015	1	1	5	1998	9999	10	0
91015	2	5	40	2000	9999	10	2
91015	3	3	39	1997	2004	9	80
91015	4	4	39	1997	2004	9	80
91017	1	1	5	1996	9999	9	0
91018	1	1	5	1995	9999	10	80
91018	2	5	13	19195	9999	10	2
91019	1	1	5	2003	9999	5	2
91019	2	3	39	2002	9999	10	80
91021	1	1	5	1998	9999	4	80
91021	2	4	39	2001	9999	10	80
91021	3	8	6	1992	9999	8	2
91022	1	1	5	2001	9999	5	80
91023	1	1	5	1996	9999	4	80
91023	2	4	39	2001	9999	10	80
91023	3	8	6	1995	9999	8	2
91023	4	5	13	2003	9999	4	17
91024	1	1	5	2003	9999	4	1
91025	1	1	5	2003	9999	5	90
91027	1	1	5	1998	9999	8	80
91028	1	1	5	2003	9999	9	8
91028	2	4	39	2005	9999	9	80
91029	1	1	5	1998	9999	4	17
91029	2	5	40	2003	9999	4	17
91030	2	5	14	2001	9999	10	1
91031	1	1	5	1996	9999	4	80
91031	2	13	5	2003	9999	4	80
91033	1	3	39	2001	9999	9	80
91034	1	1	5	1988	9999	9	1
91035	1	1	5	2004	9999	9	80
91035	2	4	39	1996	9999	9	80
91036	1	1	5	195	9999	10	80
91037	1	1	5	2002	9999	5	1
91038	1	1	5	1998	9999	10	80
91039	1	1	5	1992	9999	4	80
91039	2	13	5	2002	9999	4	1
91039	3	8	6	1996	9999	8	2
91040	1	1	5	2003	9999	4	2
91041	1	1	5	1996	9999	4	80
91041	2	5	13	2003	9999	4	1
91041	3	8	6	2001	2005	8	2
91042	1	1	5	2002	9999	4	18
91042	2	8	6	2005	9999	8	0
91043	1	1	5	1996	9999	10	80
91044	1	1	5	1998	9999	11	80
91044	2	13	5	2003	9999	4	80
91044	3	8	6	1996	9999	8	2
91045	1	1	5	1990	9999	10	1
91045	2	4	39	2002	2004	9	80
91046	1	1	5	1996	9999	8	80
91046	2	4	39	2000	9999	9	80
91047	1	1	5	1998	9999	10	1
91048	1	1	5	1995	9999	10	80
91048	2	3	39	1998	9999	9	80
91048	3	4	39	1998	9999	9	80
91049	1	1	5	2003	9999	4	1
91050	1	1	5	1996	9999	4	80
91050	2	8	6	2004	9999	8	2
101001	1	28	6	2005	2005	5	80
101001	2	5	13	2004	9999	4	2
101002	1	14	36	2004	9999	4	1
101002	2	8	6	1996	9999	8	2
101002	3	5	13	2005	2006	4	80
101003	1	8	6	2002	9999	8	2
101004	1	28	6	2003	2003	4	80
101006	1	8	6	2000	9999	8	80
101007	1	28	6	2000	9999	6	80
101009	1	28	6	2004	2004	4	2
101009	2	12	15	1988	9999	7	0
101009	3	8	6	2002	9999	8	2
101010	1	18	15	2002	2003	4	0
101011	1	28	6	2003	9999	4	80
101011	2	7	6	2003	9999	4	80
101011	3	5	14	2004	2005	4	80
101012	1	13	15	2005	2005	4	2
101012	2	28	6	2005	2005	5	2
101012	3	5	13	2005	9999	4	2
101013	1	7	6	2005	2005	8	7
101013	2	8	6	2003	2004	8	7
101014	1	31	15	1988	9999	1	1
101014	2	28	15	1995	9999	4	1
101015	1	28	6	2005	9999	4	80
101015	2	5	13	2004	9999	4	2
