CHILDCODE	CROPIDR4	CROPR4	QNTHRVR4	CRPOUTR4
21027	11	 	 	 
21028	1	 	 	 
21028	2	 	 	 
21028	3	 	 	 
21028	4	 	 	 
21028	5	 	 	 
21028	6	 	 	 
21028	7	 	 	 
21028	8	 	 	 
21028	9	 	 	 
21028	11	 	 	 
21029	1	 	 	 
21029	2	 	 	 
21029	3	 	 	 
21029	4	 	 	 
21029	5	 	 	 
21029	6	 	 	 
21029	7	 	 	 
21029	8	 	 	 
21029	9	 	 	 
21029	11	 	 	 
21031	1	 	 	 
21031	2	 	 	 
21031	3	 	 	 
21031	4	 	 	 
21031	5	 	 	 
21031	6	 	 	 
21031	7	 	 	 
21031	8	 	 	 
21031	9	 	 	 
21031	11	 	 	 
21032	1	 	 	 
21032	2	 	 	 
21032	3	 	 	 
21032	4	 	 	 
21032	5	 	 	 
21032	6	 	 	 
21032	7	 	 	 
21032	8	 	 	 
21032	9	 	 	 
21032	11	 	 	 
21033	1	 	 	 
21033	2	 	 	 
21033	3	 	 	 
21033	4	 	 	 
21033	5	 	 	 
21033	6	 	 	 
21033	7	 	 	 
21033	8	 	 	 
21033	9	 	 	 
21033	11	 	 	 
21034	1	 	 	 
21034	2	 	 	 
21034	3	 	 	 
21034	4	 	 	 
21034	5	 	 	 
21034	6	 	 	 
21034	7	 	 	 
21034	8	 	 	 
21034	9	 	 	 
21034	11	 	 	 
21035	1	 	 	 
21035	2	 	 	 
21035	3	 	 	 
21035	4	 	 	 
21035	5	 	 	 
21035	6	 	 	 
21035	7	 	 	 
21035	8	 	 	 
21035	9	 	 	 
21035	11	 	 	 
21036	1	 	 	 
21036	2	 	 	 
21036	3	 	 	 
21036	4	 	 	 
21036	5	 	 	 
21036	6	 	 	 
21036	7	 	 	 
21036	8	 	 	 
21036	9	 	 	 
21036	11	 	 	 
21037	1	 	 	 
21037	2	 	 	 
21037	3	 	 	 
21037	4	 	 	 
21037	5	 	 	 
21037	6	 	 	 
21037	7	 	 	 
21037	8	 	 	 
21037	9	 	 	 
21037	11	 	 	 
21038	1	 	 	 
21038	2	 	 	 
21038	3	 	 	 
21038	4	 	 	 
21038	5	 	 	 
21038	6	 	 	 
21038	7	 	 	 
21038	8	 	 	 
21038	9	 	 	 
21038	11	 	 	 
21040	1	 	 	 
21040	2	 	 	 
21040	3	 	 	 
21040	4	 	 	 
21040	5	 	 	 
21040	6	 	 	 
21040	7	 	 	 
21040	8	 	 	 
21040	9	 	 	 
21040	11	 	 	 
21041	1	 	 	 
21041	2	 	 	 
21041	3	 	 	 
21041	4	 	 	 
21041	5	 	 	 
21041	6	 	 	 
21041	7	 	 	 
21041	8	 	 	 
21041	9	 	 	 
21041	11	 	 	 
21042	1	 	 	 
21042	2	 	 	 
21042	3	 	 	 
21042	4	 	 	 
21042	5	 	 	 
21042	6	 	 	 
21042	7	 	 	 
21042	8	 	 	 
21042	9	 	 	 
21042	11	 	 	 
21043	1	 	 	 
21043	2	 	 	 
21043	3	 	 	 
21043	4	 	 	 
21043	5	 	 	 
21043	6	 	 	 
21043	7	 	 	 
21043	8	 	 	 
21043	9	 	 	 
21043	11	 	 	 
21045	1	 	 	 
21045	2	 	 	 
21045	3	 	 	 
21045	4	 	 	 
21045	5	 	 	 
21045	6	 	 	 
21045	7	 	 	 
21045	8	 	 	 
21045	9	 	 	 
21045	11	 	 	 
21046	1	 	 	 
21046	2	 	 	 
21046	3	 	 	 
21046	4	 	 	 
21046	5	 	 	 
21046	6	 	 	 
21046	7	 	 	 
21046	8	 	 	 
21046	9	 	 	 
21046	11	 	 	 
21047	1	 	 	 
21047	2	 	 	 
21047	3	 	 	 
21047	4	 	 	 
21047	5	 	 	 
21047	6	 	 	 
21047	7	 	 	 
21047	8	 	 	 
21047	9	 	 	 
21047	11	 	 	 
21048	1	 	 	 
21048	2	 	 	 
21048	3	 	 	 
21048	4	 	 	 
21048	5	 	 	 
21048	6	 	 	 
21048	7	 	 	 
21048	8	 	 	 
21048	9	 	 	 
21048	11	 	 	 
21050	1	 	 	 
21050	2	 	 	 
21050	3	 	 	 
21050	4	 	 	 
21050	5	 	 	 
21050	6	 	 	 
21050	7	 	 	 
21050	8	 	 	 
21050	9	 	 	 
21050	11	 	 	 
31001	1	 	 	 
31001	2	 	 	 
31001	3	 	 	 
31001	4	 	 	 
31001	5	 	 	 
31001	6	 	 	 
31001	7	 	 	 
31001	8	 	 	 
31001	9	 	 	 
31001	11	 	 	 
31002	1	 	 	 
31002	2	 	 	 
31002	3	 	 	 
31002	4	 	 	 
31002	5	 	 	 
31002	6	 	 	 
31002	7	 	 	 
31002	8	 	 	 
31002	9	 	 	 
31002	11	 	 	 
31003	1	 	 	 
31003	2	 	 	 
31003	3	 	 	 
31003	4	 	 	 
31003	5	 	 	 
31003	6	 	 	 
31003	7	 	 	 
31003	8	 	 	 
31003	9	 	 	 
31003	11	 	 	 
31004	1	 	 	 
31004	2	 	 	 
31004	3	 	 	 
31004	4	 	 	 
31004	5	 	 	 
31004	6	 	 	 
31004	7	 	 	 
31004	8	 	 	 
31004	9	 	 	 
31004	11	 	 	 
31006	1	 	 	 
31006	2	 	 	 
31006	3	 	 	 
31006	4	 	 	 
31006	5	 	 	 
31006	6	 	 	 
31006	7	 	 	 
31006	8	 	 	 
31006	9	 	 	 
31006	11	 	 	 
31007	1	 	 	 
31007	2	 	 	 
31007	3	 	 	 
31007	4	 	 	 
31007	5	 	 	 
31007	6	 	 	 
31007	7	 	 	 
31007	8	 	 	 
31007	9	 	 	 
31007	11	 	 	 
31009	1	 	 	 
31009	2	 	 	 
31009	3	 	 	 
31009	4	 	 	 
31009	5	 	 	 
31009	6	 	 	 
31009	7	 	 	 
31009	8	 	 	 
31009	9	 	 	 
31009	11	 	 	 
31010	1	 	 	 
31010	2	 	 	 
31010	3	 	 	 
31010	4	 	 	 
31010	5	 	 	 
31010	6	 	 	 
31010	7	 	 	 
31010	8	 	 	 
31010	9	 	 	 
31010	11	 	 	 
31011	1	 	 	 
31011	2	 	 	 
31011	3	 	 	 
31011	4	 	 	 
31011	5	 	 	 
31011	6	 	 	 
31011	7	 	 	 
31011	8	 	 	 
31011	9	 	 	 
31011	11	 	 	 
31012	1	 	 	 
31012	2	 	 	 
31012	3	 	 	 
31012	4	 	 	 
31012	5	 	 	 
31012	6	 	 	 
31012	7	 	 	 
31012	8	 	 	 
31012	9	 	 	 
31012	11	 	 	 
31013	1	 	 	 
31013	2	 	 	 
31013	3	 	 	 
31013	4	 	 	 
31013	5	 	 	 
31013	6	 	 	 
31013	7	 	 	 
31013	8	 	 	 
31013	9	 	 	 
31013	11	 	 	 
31015	1	 	 	 
31015	2	 	 	 
31015	3	 	 	 
31015	4	 	 	 
31015	5	 	 	 
31015	6	 	 	 
31015	7	 	 	 
31015	8	 	 	 
31015	9	 	 	 
31015	11	 	 	 
31016	1	 	 	 
31016	2	 	 	 
31016	3	 	 	 
31016	4	 	 	 
31016	5	 	 	 
31016	6	 	 	 
31016	7	 	 	 
31016	8	 	 	 
31016	9	 	 	 
31016	11	 	 	 
31017	1	 	 	 
31017	2	 	 	 
31017	3	 	 	 
31017	4	 	 	 
31017	5	 	 	 
31017	6	 	 	 
31017	7	 	 	 
31017	8	 	 	 
31017	9	 	 	 
31017	11	 	 	 
31018	1	 	 	 
31018	2	 	 	 
31018	3	 	 	 
31018	4	 	 	 
31018	5	 	 	 
31018	6	 	 	 
31018	7	 	 	 
31018	8	 	 	 
31018	9	 	 	 
31018	11	 	 	 
31019	1	 	 	 
31019	2	 	 	 
31019	3	 	 	 
31019	4	 	 	 
31019	5	 	 	 
31019	6	 	 	 
31019	7	 	 	 
31019	8	 	 	 
31019	9	 	 	 
31019	11	 	 	 
31020	1	 	 	 
31020	2	 	 	 
31020	3	 	 	 
31020	4	 	 	 
31020	5	 	 	 
31020	6	 	 	 
31020	7	 	 	 
31020	8	 	 	 
31020	9	 	 	 
31020	11	 	 	 
31021	1	 	 	 
31021	2	 	 	 
31021	3	 	 	 
31021	4	 	 	 
31021	5	 	 	 
31021	6	 	 	 
31021	7	 	 	 
31021	8	 	 	 
31021	9	 	 	 
31021	11	 	 	 
31022	1	 	 	 
31022	2	 	 	 
31022	3	 	 	 
31022	4	 	 	 
31022	5	 	 	 
31022	6	 	 	 
31022	7	 	 	 
31022	8	 	 	 
31022	9	 	 	 
31022	11	 	 	 
31023	1	 	 	 
31023	2	 	 	 
31023	3	 	 	 
31023	4	 	 	 
31023	5	 	 	 
31023	6	 	 	 
31023	7	 	 	 
31023	8	 	 	 
31023	9	 	 	 
31023	11	 	 	 
31024	1	 	 	 
31024	2	 	 	 
31024	3	 	 	 
31024	4	 	 	 
31024	5	 	 	 
31024	6	 	 	 
31024	7	 	 	 
31024	8	 	 	 
31024	9	 	 	 
31024	11	 	 	 
31026	1	 	 	 
31026	2	 	 	 
31026	3	 	 	 
31026	4	 	 	 
31026	5	 	 	 
31026	6	 	 	 
31026	7	 	 	 
31026	8	 	 	 
31026	9	 	 	 
31026	11	 	 	 
31027	1	 	 	 
31027	2	 	 	 
31027	3	 	 	 
31027	4	 	 	 
31027	5	 	 	 
31027	6	 	 	 
31027	7	 	 	 
31027	8	 	 	 
31027	9	 	 	 
31027	11	 	 	 
31028	1	 	 	 
31028	2	 	 	 
31028	3	 	 	 
31028	4	 	 	 
31028	5	 	 	 
31028	6	 	 	 
31028	7	 	 	 
31028	8	 	 	 
31028	9	 	 	 
31028	11	 	 	 
31029	1	 	 	 
31029	2	 	 	 
31029	3	 	 	 
31029	4	 	 	 
31029	5	 	 	 
31029	6	 	 	 
31029	7	 	 	 
31029	8	 	 	 
31029	9	 	 	 
31029	11	 	 	 
31030	1	 	 	 
31030	2	 	 	 
31030	3	 	 	 
31030	4	 	 	 
31030	5	 	 	 
31030	6	 	 	 
31030	7	 	 	 
31030	8	 	 	 
31030	9	 	 	 
31030	11	 	 	 
31033	1	 	 	 
31033	2	 	 	 
31033	3	 	 	 
31033	4	 	 	 
31033	5	 	 	 
31033	6	 	 	 
31033	7	 	 	 
31033	8	 	 	 
31033	9	 	 	 
31033	11	 	 	 
31034	1	 	 	 
31034	2	 	 	 
31034	3	 	 	 
31034	4	 	 	 
31034	5	 	 	 
31034	6	 	 	 
31034	7	 	 	 
31034	8	 	 	 
31034	9	 	 	 
31034	11	 	 	 
31035	1	 	 	 
31035	2	 	 	 
31035	3	 	 	 
31035	4	 	 	 
31035	5	 	 	 
31035	6	 	 	 
31035	7	 	 	 
31035	8	 	 	 
31035	9	 	 	 
31035	11	 	 	 
31036	1	 	 	 
31036	2	 	 	 
31036	3	 	 	 
31036	4	 	 	 
31036	5	 	 	 
31036	6	 	 	 
31036	7	 	 	 
31036	8	 	 	 
31036	9	 	 	 
31036	11	 	 	 
31037	1	 	 	 
31037	2	 	 	 
31037	3	 	 	 
31037	4	 	 	 
31037	5	 	 	 
31037	6	 	 	 
31037	7	 	 	 
31037	8	 	 	 
31037	9	 	 	 
31037	11	 	 	 
31038	1	 	 	 
31038	2	 	 	 
31038	3	 	 	 
31038	4	 	 	 
31038	5	 	 	 
31038	6	 	 	 
31038	7	 	 	 
31038	8	 	 	 
31038	9	 	 	 
31038	11	 	 	 
31039	1	 	 	 
31039	2	 	 	 
31039	3	 	 	 
31039	4	 	 	 
31039	5	 	 	 
31039	6	 	 	 
31039	7	 	 	 
31039	8	 	 	 
31039	9	 	 	 
31039	11	 	 	 
31040	1	 	 	 
31040	2	 	 	 
31040	3	 	 	 
31040	4	 	 	 
31040	5	 	 	 
31040	6	 	 	 
31040	7	 	 	 
31040	8	 	 	 
31040	9	 	 	 
31040	11	 	 	 
31042	1	 	 	 
31042	2	 	 	 
31042	3	 	 	 
31042	4	 	 	 
31042	5	 	 	 
31042	6	 	 	 
31042	7	 	 	 
31042	8	 	 	 
31042	9	 	 	 
31042	11	 	 	 
31043	1	 	 	 
31043	2	 	 	 
31043	3	 	 	 
31043	4	 	 	 
31043	5	 	 	 
31043	6	 	 	 
31043	7	 	 	 
31043	8	 	 	 
31043	9	 	 	 
31043	11	 	 	 
31044	1	 	 	 
31044	2	 	 	 
31044	3	 	 	 
31044	4	 	 	 
31044	5	 	 	 
31044	6	 	 	 
31044	7	 	 	 
31044	8	 	 	 
