CHILDCODE	MEMIDR4	AGER3	MEMAGER4	MEAGMTR4	MEMSEXR4	RELATER3	RELATER4	THSVILR4	BURBRLR4	BRNREGR4	BRNZONR4	LIVHSER4	YRDIEDR4	RELHHR4	MRTLSTR4	DISABR4	MTHRHHR4	FTHRHHR4	HSSTRTR4	GRADER4	STILLR4	TYPATDR4	WHYNOTR4	AGEGRDR4	EDCH18R4	MEMCNSR4
11027	1	34	38	 	2	1	1	 	 	 	 	1	 	1	77	0	99	99	0	 	 	 	 	 	 	N
11027	2	32	36	 	2	13	13	 	 	 	 	1	 	7	4	0	99	99	1	6	0	 	 	 	0	N
11027	3	30	34	 	2	13	13	 	 	 	 	1	 	7	4	0	99	99	1	7	0	 	 	 	0	N
11027	4	29	33	 	1	13	13	 	 	 	 	1	 	7	0	0	99	99	1	7	0	 	 	 	0	N
11027	5	28	32	 	2	13	13	 	 	 	 	1	 	7	4	0	99	99	1	6	0	 	 	 	0	N
11027	6	25	29	 	2	13	13	 	 	 	 	1	 	7	4	0	99	99	1	4	0	 	 	 	0	N
11027	15	11	15	 	1	14	14	 	 	 	 	1	 	7	0	0	5	98	1	7	1	4	 	 	1	N
11027	16	5	9	 	2	14	14	 	 	 	 	1	 	7	 	0	6	99	1	2	1	4	 	 	1	N
11028	0	14	18	 	1	0	0	1	 	 	 	1	 	3	0	0	2	99	1	9	0	 	 	 	0	N
11028	1	52	-88	 	1	1	1	 	 	 	 	3	2001	 	 	 	 	 	 	 	 	 	 	 	 	N
11028	2	44	48	 	2	1	1	 	 	 	 	1	 	1	3	0	99	99	1	28	0	 	 	 	0	N
11028	3	32	36	 	2	7	7	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11028	4	26	30	 	1	7	7	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11028	5	24	28	 	2	7	7	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11028	6	20	24	 	2	7	7	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11028	7	18	22	 	1	7	7	 	 	 	 	1	 	3	0	1	2	99	1	7	0	 	 	 	1	N
11028	15	11	15	 	2	7	7	 	 	 	 	1	 	3	0	1	2	99	1	9	1	4	 	 	1	N
11028	16	4	8	 	2	15	15	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11028	17	4	8	 	2	15	15	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11029	0	14	18	 	2	0	0	1	 	 	 	1	 	3	0	0	1	99	1	12	1	4	 	 	1	N
11029	1	50	54	 	2	1	1	 	 	 	 	1	 	1	3	0	99	99	0	 	 	 	 	 	 	N
11029	2	33	-88	 	1	7	7	 	 	 	 	3	1998	 	 	 	 	 	 	 	 	 	 	 	 	N
11029	3	30	34	 	2	7	7	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11029	4	26	30	 	1	7	7	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11029	5	22	26	 	2	7	7	 	 	 	 	1	 	3	4	0	1	99	1	8	0	 	 	 	0	N
