CHILDCODE	CRSPIDR4	GAVCRDR4	WHORCVR4	TKEOUTR4	LOANMTR4	LOANYRR4	AMTCRDR4	INTRTER4	PYBACKR4	PYBCTMR4	NOBACKR4
61033	5	8	1	16	2	2005	800	0	1	1	 
61037	1	8	3	19	4	2006	4000	0	1	1	 
61037	2	8	3	19	5	2005	1000	0	1	1	 
61037	3	10	1	2	11	2005	450	0	1	1	 
61037	4	10	1	2	1	2004	350	0	1	1	 
61038	1	7	1	1	8	2002	2000	18	1	1	 
61038	2	7	1	1	8	2003	2500	18	1	1	 
61038	3	7	1	1	8	2004	3000	18	1	1	 
61038	4	2	1	1	10	2004	300	14	1	1	 
61038	5	7	1	1	8	2005	4000	18	0	 	 
61038	6	2	1	1	10	2005	300	14	0	 	 
61039	1	2	1	1	10	2005	300	14	0	 	 
61044	1	8	1	1	1	2006	60	0	1	1	 
61044	2	7	1	14	7	2002	3000	18	1	1	 
61046	1	2	1	1	11	2005	300	14	0	 	 
61046	2	8	1	1	11	2005	300	0	1	1	 
61046	3	10	1	2	11	2005	200	0	1	1	 
61046	4	8	1	2	12	2005	300	0	1	1	 
61046	5	10	1	2	1	2006	450	0	1	1	 
61046	6	10	1	2	2	2006	250	0	1	1	 
61046	7	10	1	2	3	2006	450	0	1	1	 
61046	8	10	1	2	4	2006	550	0	1	1	 
61049	1	7	1	14	6	2002	3500	18	1	1	 
61049	2	7	1	2	6	2003	3500	18	1	1	 
61049	3	7	1	2	6	2004	3500	18	1	1	 
61049	4	7	1	2	6	2005	3500	18	0	 	 
61050	1	7	1	1	8	2002	800	14	1	1	 
61050	2	2	1	1	10	2002	400	7	1	1	 
61050	3	7	1	1	8	2003	1000	18	1	1	 
61050	4	2	1	1	10	2003	400	7	1	1	 
61050	5	7	1	1	8	2004	3000	18	1	1	 
61050	6	2	1	1	10	2004	600	14	1	1	 
61050	7	7	1	1	8	2005	2000	18	0	 	 
61050	8	8	1	16	4	2006	1000	0	1	1	 
61051	1	7	1	18	8	2005	4000	18	0	 	 
61051	2	7	1	14	7	2004	3000	18	1	1	 
61051	3	7	1	1	7	2003	3000	18	1	1	 
61051	4	7	1	1	8	2002	3000	18	1	1	 
61052	1	10	1	1	2	2006	300	0	1	1	 
61052	2	8	0	10	6	2006	400	0	0	 	 
61052	3	10	1	18	7	2005	500	0	1	1	 
61052	4	7	1	14	8	2005	2500	18	0	 	 
61052	5	2	1	1	10	2005	250	14	0	 	 
61052	6	7	1	14	8	2004	3000	18	1	1	 
61052	7	2	1	1	10	2004	250	14	0	 	 
61052	8	7	1	14	8	2003	3000	18	1	1	 
61052	9	2	1	1	10	2003	250	7	1	1	 
61052	10	7	1	14	8	2002	3000	18	1	1	 
61052	11	8	1	8	9	2002	500	0	1	1	 
61054	1	8	2	2	5	2006	200	0	0	 	 
61054	2	8	7	2	5	2006	100	0	0	 	 
61054	3	8	2	2	11	2004	300	0	1	1	 
61056	1	7	1	4	12	2002	5000	18	1	1	 
61056	2	7	1	4	12	2003	5000	18	1	1	 
61058	1	8	1	2	4	2005	400	0	0	 	 
61058	2	8	1	1	10	2005	105	0	0	 	 
61059	1	4	2	8	11	2005	400	10	1	1	 
71001	1	7	2	1	8	2005	3000	18	0	 	 
71004	1	7	1	1	6	2004	2200	18	1	1	 
71006	1	7	1	12	6	2005	5000	18	0	 	 
71006	2	9	1	2	11	2005	200	5	0	 	 
71006	3	10	1	2	4	2005	400	5	1	1	 
71007	1	7	3	14	3	2005	5000	18	0	 	 
71007	2	7	2	14	8	2005	3300	18	0	 	 
71008	1	4	1	2	12	2005	500	5	0	 	 
