CHILDCODE	RNKINCR4	IMPACTR4	INCPEBR4
91012	2	6	10
91012	3	10	5
91013	1	1	8
91013	2	10	7
91013	3	6	5
91014	1	1	16
91014	2	2	4
91015	1	1	16
91015	2	9	4
91017	1	1	18
91017	2	7	2
91018	1	1	15
91018	2	2	5
91019	1	1	15
91019	2	2	5
91020	1	10	10
91020	2	5	6
91020	3	6	4
91021	1	1	7
91021	2	10	3
91021	3	9	2
91022	1	1	15
91022	2	2	5
91023	1	1	10
91023	2	6	5
91023	3	10	3
91023	4	9	2
91024	1	1	14
91024	2	2	4
91024	3	10	2
91025	1	1	13
91025	2	2	5
91025	3	7	2
91026	1	1	12
91026	2	10	8
91027	1	1	15
91027	2	6	4
91027	3	10	1
91028	1	1	10
91028	2	7	5
91028	3	9	3
91028	4	8	2
91029	1	1	17
91029	2	7	3
91030	1	1	12
91030	2	6	6
91030	3	7	2
91031	1	1	20
91032	1	1	10
91032	2	6	6
91032	3	10	2
91032	4	2	2
91033	1	1	15
91033	2	2	3
91033	3	9	2
91034	1	1	17
91034	2	2	3
91035	1	1	12
91035	2	7	6
91035	3	8	2
91036	1	1	15
91036	2	2	5
91037	1	1	10
91037	2	2	10
91038	1	1	12
91038	2	2	5
91038	3	6	3
91039	1	1	18
91039	2	10	2
91040	1	1	20
91041	1	1	11
91041	2	7	5
91041	3	11	3
91041	4	9	1
91042	1	1	15
91042	2	2	5
91043	1	1	18
91043	2	2	2
91044	1	1	10
91044	2	7	5
91044	3	6	3
91044	4	9	2
91045	1	1	15
91045	2	7	4
91045	3	10	1
91046	1	1	17
91046	2	8	3
91047	1	1	18
91047	2	2	2
91048	1	9	16
91048	2	1	4
91049	1	1	16
91049	2	2	4
91050	1	1	17
91050	2	11	3
101001	1	6	9
101001	2	2	7
101001	3	11	4
101002	1	6	15
101002	2	5	5
101003	1	10	20
101004	1	1	13
101004	2	11	7
101005	1	11	15
101005	2	10	5
101006	1	1	10
101006	2	2	3
101006	3	9	3
101006	4	7	4
