CHILDCODE	LANDIDR4	LNDTYPR4	ANYAGRR4	TOTLNDR4	UNTLNDR4	USERANR4	PRIRRR4	ANYLIVR4	TOTLIVR4	UNTLIVR4	USELIVR4	ANYINDR4	TOTINDR4	UNTINDR4	USEINDR4
21007	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21007	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21008	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21008	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21008	3	1	N	 	 	 	 	Y	38	17	1	Y	4	17	8
21008	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21008	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21009	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21009	2	1	N	 	 	 	 	Y	9	17	1	Y	300	17	7
21009	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21009	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21009	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21010	1	1	N	 	 	 	 	Y	40	17	1	Y	160	17	7
21010	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21010	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21010	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21010	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21011	1	1	N	 	 	 	 	Y	50	17	1	Y	41	17	7
21011	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21011	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21011	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21011	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21012	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21012	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21012	3	1	N	 	 	 	 	Y	16	17	1	N	 	 	 
21012	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21012	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21013	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21013	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21013	3	1	N	 	 	 	 	Y	27	17	1	Y	273	17	7
21013	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21013	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21014	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21014	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21014	3	1	N	 	 	 	 	Y	75	17	2	Y	20	17	8
21014	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21014	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21015	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21015	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21015	3	1	N	 	 	 	 	Y	20	17	1	N	 	 	 
21015	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21015	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21016	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21016	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21016	3	1	N	 	 	 	 	Y	14	17	1	Y	3	17	8
21016	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21016	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21017	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21017	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21017	3	1	N	 	 	 	 	Y	24	17	1	N	 	 	 
21017	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21017	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21018	1	1	N	 	 	 	 	Y	118	17	1	Y	32	17	7
21018	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21018	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21018	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21018	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21019	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21019	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21019	3	1	N	 	 	 	 	Y	12	17	1	N	 	 	 
21019	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21019	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21020	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21020	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21020	3	1	N	 	 	 	 	Y	20	17	1	Y	16	17	7
21020	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21020	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21021	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21021	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21021	3	1	N	 	 	 	 	Y	18	17	1	N	 	 	 
21021	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21021	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21022	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21022	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21022	3	1	N	 	 	 	 	Y	12	17	1	N	 	 	 
21022	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21022	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21023	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21023	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21023	3	1	N	 	 	 	 	Y	30	17	1	N	 	 	 
21023	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21023	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21024	1	1	N	 	 	 	 	Y	40	17	1	Y	160	17	7
21024	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21024	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21024	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21024	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21027	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21027	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21027	3	1	N	 	 	 	 	Y	29	17	1	Y	70	17	7
21027	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21027	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21028	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21028	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21028	3	1	N	 	 	 	 	Y	15	17	1	Y	4	17	8
21028	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21028	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21029	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
