CHILDID	PLOTID	PLINCMR3	PLVALR3	PLLCSTR3
ET110091	2	1	1900	0
ET110091	7	1	900	0
ET110096	1	1	38304	29240
ET120007	2	1	1050	250
ET120023	1	1	2950	385
ET120090	2	1	600	200
ET120090	3	1	400	100
ET120090	4	1	380	50
ET130024	3	1	480	80
ET130031	2	1	42000	30000
ET130033	1	1	500	55
ET130070	2	1	1320	600
ET130073	1	1	500	0
ET130073	2	1	150	0
ET130092	1	1	600	40
ET140014	1	0	-88	0
ET140015	2	0	-88	0
ET140016	2	0	-88	0
ET140016	3	0	-88	0
ET140017	2	0	-88	0
ET140029	2	1	20400	0
ET140032	2	0	-88	0
ET140035	2	0	-88	0
ET140036	2	1	5520	180
ET140037	2	0	-88	0
ET140049	2	0	-88	0
ET140050	2	0	-88	0
ET140053	2	0	-88	0
ET140060	2	0	-88	0
ET140061	2	1	1800	0
ET140061	3	0	-88	0
ET140064	2	0	-88	0
ET140068	2	0	-88	0
ET140076	2	0	-88	0
ET140078	2	0	-88	0
ET140083	2	0	10380	5000
ET140084	2	1	36000	0
ET140087	2	0	-88	0
ET140091	2	0	-88	0
ET140092	2	1	3600	0
ET140093	2	0	-88	0
ET140096	2	0	-88	0
ET150047	5	1	1200	0
ET150051	2	1	200	6000
ET150056	5	0	88	-88
ET150096	1	1	500	3000
ET150100	3	0	-88	-88
ET160008	2	1	1200	225
ET160008	3	1	420	100
ET160033	4	1	1575	1000
ET160048	3	1	1550	400
ET160053	4	1	200	20
ET160070	3	1	366	5
ET160078	2	1	300	120
ET160078	3	1	450	150
ET160082	2	1	200	30
ET160083	3	1	1000	300
ET160086	4	1	70	0
ET160086	5	1	1000	0
ET160094	4	1	450	170
ET160094	5	1	400	200
ET160095	2	1	1200	0
ET170001	2	1	950	0
ET170002	2	1	550	0
ET170002	3	1	1100	0
ET170003	3	1	400	0
ET170003	4	1	500	0
ET170005	3	1	200	0
ET170005	5	0	-88	0
ET170005	8	1	550	0
ET170006	6	1	80	0
ET170009	6	0	-88	0
ET170010	2	1	1200	300
ET170010	3	1	1300	200
ET170010	4	1	0	0
ET170016	2	1	700	0
ET170016	3	1	800	0
ET170016	4	1	630	0
ET170017	6	1	700	0
ET170020	2	1	1300	0
ET170020	3	1	800	0
ET170020	4	1	1400	0
ET170022	7	1	60	0
ET170022	8	0	-88	0
ET170024	5	1	200	0
ET170025	2	1	500	0
ET170025	3	1	750	0
ET170025	4	1	670	0
ET170027	5	1	100	0
ET170029	4	0	0	0
ET170032	6	1	50	0
ET170034	7	1	130	0
ET170036	7	1	30	0
ET170042	2	1	1000	0
ET170043	5	1	140	0
ET170044	1	1	700	0
ET170047	3	0	88	0
ET170048	5	1	35	0
ET170051	5	1	400	0
ET170055	5	1	50	0
ET170058	4	1	1050	0
ET170060	2	1	550	0
ET170060	3	1	75	0
ET170060	4	1	125	0
ET170062	5	1	30	0
ET170065	3	0	88	0
ET170065	7	1	50	0
ET170070	5	1	90	0
ET170073	2	1	450	0
ET170073	3	1	600	0
ET170073	4	0	-88	-88
ET170074	3	1	1000	0
ET170074	4	1	800	0
ET170074	5	1	50	0
ET170076	8	1	25	0
ET170076	9	0	-88	-88
ET170080	2	0	0	0
ET170080	8	1	50	0
ET170088	2	1	200	0
ET170088	3	1	200	0
ET170088	4	1	200	0
ET170088	5	1	300	0
ET170088	6	1	200	0
ET170096	8	0	-88	-88
ET170097	1	0	-88	-88
ET170099	2	1	300	0
ET170099	3	0	-88	-88
ET170099	4	1	400	0
ET180001	4	1	100	0
ET180003	2	1	60	20
ET180004	7	1	150	0
ET180005	5	0	70	0
ET180006	6	1	100	0
ET180007	4	1	200	0
ET180009	4	1	150	0
ET180011	4	1	150	0
ET180012	8	1	200	50
ET180013	4	1	150	0
ET180014	6	1	90	2
ET180015	7	1	100	0
ET180016	7	1	350	0
ET180018	3	1	250	0
ET180018	5	1	200	0
ET180019	5	1	200	0
ET180020	4	1	200	0
ET180021	5	1	300	0
ET180022	6	1	200	0
ET180024	7	1	300	0
ET180024	8	1	150	0
ET180024	9	1	150	0
ET180025	6	1	1500	20
ET180026	6	1	1300	0
ET180027	6	1	200	0
ET180028	4	1	200	0
ET180029	8	1	400	0
ET180031	4	1	500	40
ET180032	8	1	220	0
ET180033	4	0	-88	0
ET180033	6	1	200	20
ET180035	5	1	250	0
ET180036	7	1	100	0
ET180037	4	1	180	0
ET180039	5	1	200	0
ET180041	5	1	200	0
ET180042	5	1	1200	0
ET180043	4	1	120	0
ET180044	4	1	300	0
ET180045	9	1	500	0
ET180047	5	1	800	0
ET180048	4	1	200	0
ET180049	2	1	500	0
ET180049	3	1	500	0
ET180049	4	1	400	0
ET180049	5	1	200	0
ET180050	5	1	1000	0
ET180051	7	1	300	75
ET180052	7	1	120	0
ET180053	7	0	-88	88
ET180053	8	0	-88	88
ET180053	10	1	400	0
ET180055	6	1	200	0
ET180055	7	1	500	70
ET180056	6	1	100	0
ET180057	7	1	300	0
ET180058	6	0	-88	0
ET180058	7	1	200	0
ET180059	3	0	-88	0
ET180060	4	1	1700	0
ET180060	8	0	-88	0
ET180062	6	1	1000	0
ET180062	7	1	200	0
ET180063	7	0	0	0
ET180063	8	1	600	0
ET180064	6	1	600	0
ET180065	5	1	300	0
ET180067	6	1	400	0
ET180068	4	1	150	0
ET180071	7	1	200	0
ET180072	5	1	200	0
ET180073	5	1	200	0
ET180074	2	1	1000	0
ET180074	3	1	250	0
ET180075	5	1	480	60
ET180076	5	1	100	0
ET180080	7	1	200	0
ET180081	3	1	300	0
ET180082	5	1	300	0
ET180083	6	1	1500	0
ET180084	5	1	250	0
ET180085	4	1	150	0
ET180087	7	1	250	0
ET180088	6	1	300	0
ET180089	2	1	300	0
ET180090	5	1	200	0
ET180091	5	0	-88	0
ET180093	4	1	100	0
ET180094	7	1	300	50
ET180095	3	1	600	0
ET180095	4	1	300	0
ET180095	5	1	100	0
ET180096	7	1	1500	0
ET180097	5	1	150	0
ET190001	2	1	1800	0
ET190001	3	0	-88	0
ET190003	2	0	-88	0
ET190004	1	0	-88	0
ET190005	1	0	-88	0
ET190005	2	1	3600	250
ET190005	3	1	450	35
ET190009	1	0	-88	0
ET190014	2	0	-88	0
ET190015	1	0	-88	0
ET190016	1	0	-88	0
ET190017	1	0	-88	0
ET190017	2	1	4800	250
ET190017	3	0	-88	40000
ET190017	4	0	-88	40000
ET190018	1	0	-88	0
ET190018	2	1	500	250
ET190018	3	1	500	250
ET190018	4	1	150	0
ET190020	2	1	1500	0
ET190020	3	1	300	0
ET190021	2	0	-88	0
ET190022	2	1	600	0
ET190022	3	1	100	0
ET190024	1	0	-88	0
ET190028	1	0	-88	0
ET190029	1	0	-88	0
ET190029	2	1	992	496
ET190029	3	1	110	0
ET190030	1	0	-88	0
ET190030	2	1	960	0
ET190032	1	0	-88	0
ET190033	1	0	-88	0
ET190033	2	1	830	415
ET190033	3	1	100	0
ET190034	1	0	-88	0
ET190035	2	0	-88	0
ET190035	3	0	-88	0
ET190035	4	0	-88	0
ET190039	2	1	900	0
ET190044	2	1	650	0
ET190049	2	0	-88	0
ET190050	2	0	-88	0
ET190051	1	0	-88	0
ET190054	2	1	300	0
ET190055	2	1	800	0
ET190055	3	1	300	0
ET190055	4	1	200	0
ET190057	1	0	-88	0
ET190057	2	0	-88	0
ET190058	1	0	-88	0
ET190059	1	0	-88	0
ET190060	1	0	-88	0
ET190060	2	0	-88	1000
ET190061	1	0	-88	0
ET190063	1	0	-88	0
ET190063	2	0	-88	0
ET190063	3	0	-88	0
ET190064	1	0	-88	0
ET190068	2	1	150	3
ET190069	1	0	-88	0
ET190072	2	1	200	0
ET190073	1	0	-88	-88
ET190079	1	0	-88	0
ET190079	2	1	460	0
ET190079	3	1	100	0
ET190088	1	0	-88	0
