CHILDID	LOANID	GAVCRDR3	TKEOUTR3	AMTCRDR3	LOANMTR3	LNOLSTR3	PYBACKR3	AMTPAYR3	MTLASTR3	YRLASTR3	NOBACKR3	WHORCVR3	loanyrr3
ET160004	1	8	7	400	5	1	1	0	88	 	12	1	2000
ET160004	2	10	1	500	11	2	0	500	7	2001	88	1	2000
ET160003	1	2	1	300	11	5	0	300	5	1998	88	1	1997
ET160003	2	2	1	300	11	5	0	300	5	1999	88	1	1998
ET160003	3	2	1	400	11	5	0	400	5	2000	88	1	1999
ET160003	4	2	1	400	11	5	0	400	5	2001	88	1	2000
ET160003	5	2	1	600	11	5	1	0	88	 	8	1	2001
ET160003	6	4	7	1000	11	5	1	0	88	 	3	1	2000
ET160002	1	2	1	120	10	5	0	120	5	1998	88	2	1997
ET160002	2	2	1	200	10	5	0	200	5	1999	88	2	1998
ET160002	3	2	1	300	10	5	0	200	5	2000	88	2	1999
ET160002	4	2	1	300	10	5	0	200	5	2001	88	2	2000
ET160002	5	2	1	300	10	5	1	200	5	2002	8	2	2001
ET160001	1	2	1	600	11	5	1	88	88	 	88	1	2001
ET160001	2	2	1	200	11	5	0	200	5	2001	88	1	2000
ET150100	1	10	2	1600	3	1	1	1000	3	1999	12	1	1999
ET150099	1	6	6	300	8	5	0	300	10	1999	88	1	1999
ET150098	1	8	1	300	8	1	0	300	12	1999	11	1	1999
ET150098	2	8	19	50	2	2	0	50	4	1999	88	2	1999
ET150096	1	7	2	1000	10	12	0	1250	10	2001	88	1	2000
ET150093	1	10	4	400	9	6	0	400	3	2000	88	1	1999
ET150093	2	10	8	400	4	24	1	0	88	 	8	1	2000
ET150092	1	10	2	500	5	10	0	500	2	2002	88	1	2001
ET150091	1	10	1	160	8	7	1	0	88	 	2	1	2001
ET150091	2	10	2	80	8	7	1	0	88	 	2	1	2001
ET150090	1	10	6	300	10	3	0	300	12	2001	88	1	2001
ET150085	1	1	1	400	2	9	1	0	88	 	8	1	2001
ET150084	1	8	7	300	11	3	0	300	2	2002	88	1	2001
ET150084	2	8	4	400	8	6	0	400	2	2002	88	1	2001
ET150078	1	8	2	400	12	3	1	0	88	 	8	1	2001
ET150078	2	8	1	370	12	3	1	0	88	 	8	1	2001
ET150078	3	8	1	330	12	3	1	0	88	 	8	1	2001
ET150076	1	4	1	100	8	6	0	100	2	2002	88	1	2001
ET150076	2	4	1	130	8	6	0	130	2	2002	88	1	2001
ET150075	1	6	6	1000	10	10	1	800	3	2002	8	16	2001
ET150074	1	10	1	200	8	6	0	200	2	2001	88	1	2000
ET150072	1	4	4	200	77	0	1	100	88	 	11	1	-77
ET150069	1	4	2	120	11	12	1	20	2	2002	8	1	2001
ET150069	2	4	15	100	9	12	1	0	88	 	8	1	2001
ET150069	3	8	2	50	8	77	1	0	88	 	8	1	2001
ET150069	4	4	2	200	8	77	1	100	3	2001	8	1	2001
ET150066	1	4	1	200	9	5	0	200	2	2002	88	1	2001
ET150065	1	8	6	200	8	12	0	200	2	2002	11	1	2001
ET150063	1	10	19	500	1	12	0	500	2	1998	88	1	1997
ET150062	1	8	16	200	12	2	0	200	2	2001	88	1	2000
ET150062	2	10	16	100	11	3	0	100	2	2001	88	1	2000
ET150061	1	10	8	500	7	12	0	500	6	1998	88	1	1997
ET150061	2	8	8	2000	1	12	0	2000	3	2000	88	1	1999
ET150061	3	8	8	5000	1	60	1	0	88	 	8	1	2000
ET150061	4	8	8	4000	2	60	1	0	88	 	8	1	2000
ET150060	1	10	4	200	11	3	0	200	2	1999	88	1	1998
ET150060	2	8	2	300	10	4	0	300	2	2000	88	1	1999
ET150060	3	8	7	2000	7	88	1	0	88	 	11	1	2001
ET150060	4	8	1	275	9	5	1	0	88	 	11	1	2001
ET150058	1	8	2	50	8	4	0	50	3	1999	88	1	1998
ET150057	1	7	2	500	7	12	1	77	11	1997	1	1	1997
ET150056	1	8	6	200	9	5	0	200	2	2002	88	1	2001
ET150055	1	10	8	1000	3	12	0	1000	3	2000	88	1	1999
ET150054	1	10	7	100	9	5	0	100	2	2002	88	1	2001
ET150054	2	10	6	250	8	8	1	0	88	 	8	1	2001
ET150054	3	8	1	90	2	1	0	90	2	2002	88	1	2002
ET150051	1	7	2	600	2	60	1	0	88	 	2	1	1997
ET150042	1	1	1	1300	10	24	1	0	88	 	11	1	1999
ET150042	2	4	2	250	8	12	1	0	10	2000	11	1	1999
ET150039	1	7	8	2000	10	12	1	310	1	2002	8	2	2001
ET150035	1	7	4	500	7	12	1	550	3	1998	11	1	1996
ET150034	1	10	2	190	11	5	1	0	88	 	6	1	2001
ET150033	1	4	2	800	9	7	1	0	88	 	8	1	2001
ET150025	1	4	2	400	1	12	1	400	2	2000	11	1	2000
ET150024	1	9	7	1000	10	4	0	1000	3	2002	11	16	2001
ET150022	1	8	2	500	8	4	1	0	88	 	11	1	2001
ET150021	1	8	2	700	3	6	1	0	88	 	12	1	2002
ET150020	1	10	2	200	8	5	0	200	2	2002	88	1	2001
ET150019	1	4	2	1000	8	12	0	1000	2	2002	88	1	2001
ET150019	2	10	15	300	12	4	1	0	88	 	8	1	2001
ET150018	1	6	6	2500	3	24	1	180	2	2002	88	1	2001
ET150018	2	1	1	480	6	7	0	480	2	1998	88	1	1997
ET150017	1	10	16	1200	9	5	0	2400	1	1998	88	1	1998
ET150017	2	6	16	1000	9	5	0	2000	2	1999	88	1	1998
ET150017	3	10	2	1100	6	7	1	1100	2	2002	2	1	2001
ET150012	1	10	2	500	1	3	1	0	88	 	2	1	2001
ET150012	2	10	2	200	9	6	1	0	88	 	2	1	2001
ET150011	1	5	10	6600	1	24	1	546	2	2002	8	8	2002
ET150011	2	5	10	4980	1	24	1	172	2	2002	8	9	2002
ET150011	3	7	10	4600	12	12	1	624	2	2002	8	8	2001
ET150011	4	8	10	17000	1	24	1	0	88	 	8	9	2002
ET150007	1	10	2	100	4	12	1	0	88	 	11	1	2001
ET150004	1	8	2	200	1	2	1	0	88	 	8	1	2002
ET150003	1	10	2	200	1	12	0	440	1	2002	88	1	2001
ET150001	1	4	1	120	8	12	1	0	88	 	8	1	2001
ET150001	2	10	2	145	8	12	1	0	88	 	8	1	2001
ET140099	1	7	19	7500	1	24	1	1464	4	2002	88	2	2001
ET140098	1	7	19	600	3	5	0	600	4	2000	88	2	2000
ET140092	1	7	8	5000	8	18	0	5284	2	2000	88	3	1998
ET140090	1	4	2	300	2	3	1	0	88	 	88	7	2001
ET140090	2	5	3	1000	3	12	1	0	88	 	88	7	2000
ET140084	1	7	8	6000	3	24	1	5000	3	2002	88	2	2000
ET140084	2	7	8	25000	3	24	1	5000	3	2002	88	1	2000
ET140083	1	7	8	8000	10	24	0	10800	12	2000	88	2	1998
ET140083	2	7	8	12000	11	24	1	2010	3	2002	88	2	2001
ET140082	1	7	18	26000	1	24	1	300	3	2002	88	1	2002
ET140080	1	5	8	2400	1	24	0	2400	12	2001	88	1	2000
ET140079	1	5	15	1000	12	12	1	400	4	2002	88	1	2001
ET140078	1	10	2	50	3	1	0	50	4	2002	88	2	2002
ET140077	1	5	6	2000	3	18	1	1200	3	2002	88	1	2001
ET140076	1	7	8	6000	12	24	1	3000	3	2002	88	1	2001
ET140075	1	5	8	3000	1	12	0	3000	12	2000	88	1	2000
ET140075	2	5	8	3000	1	12	0	3000	12	2001	88	1	2001
ET140075	3	5	15	3000	1	12	1	750	3	2002	88	1	2002
ET140074	1	10	6	400	4	4	0	400	8	2001	88	2	2001
ET140074	2	10	2	600	1	7	0	600	8	2001	88	2	2001
ET140074	3	4	6	500	5	4	0	500	9	1999	88	2	1999
ET140074	4	4	19	1000	10	10	1	640	4	2002	11	2	2001
ET140073	1	10	15	300	6	6	1	150	1	2002	11	2	2001
ET140072	1	6	15	700	1	6	1	400	1	2002	11	2	2001
ET140071	1	10	7	600	2	2	1	100	3	2002	8	2	2002
ET140070	1	6	19	309	10	4	1	300	4	2002	11	2	2001
ET140068	1	6	8	40000	1	36	1	2000	3	2002	8	2	2001
ET140066	1	6	19	500	11	8	1	450	3	2002	11	2	2001
ET140065	1	10	7	3000	1	12	0	3000	1	2002	88	2	2001
ET140062	1	10	6	220	12	3	0	220	3	2002	88	2	2001
ET140061	1	6	7	1000	1	6	0	1000	5	1999	88	2	1999
ET140060	1	7	8	5000	12	24	1	1000	4	2002	88	1	2001
ET140058	1	6	4	4000	2	24	1	2000	3	2002	88	1	2001
ET140058	2	6	7	5000	1	77	0	5000	3	2001	88	1	1999
ET140056	1	7	8	20000	9	36	1	8080	4	2002	88	2	2000
ET140056	2	2	8	8000	2	36	1	600	4	2002	88	1	2000
ET140054	1	7	3	900	10	12	0	900	9	1999	88	8	1998
ET140054	2	9	6	1500	10	12	1	1200	5	2002	88	7	2001
ET140052	1	10	18	20000	6	12	0	20000	6	2000	88	80	1999
ET140051	1	6	15	2136	5	18	0	2136	11	2001	88	1	2000
ET140050	1	7	8	5000	1	24	1	3200	1	2003	88	2	2000
ET140049	1	10	1	9000	1	1	0	4000	2	2001	88	1	2001
ET140049	2	8	2	2000	11	2	0	2000	1	2002	88	1	2001
ET140049	3	10	2	3000	2	77	1	0	88	 	88	1	2002
ET140047	1	7	2	700	3	5	1	200	3	2002	11	1	2000
ET140042	1	5	17	800	5	12	0	800	5	2000	88	4	1999
ET140038	1	6	13	824	11	12	1	412	5	2002	88	1	2001
ET140035	1	10	4	2000	10	4	0	2000	1	2001	88	2	2000
ET140034	1	7	2	500	2	12	1	0	2	2002	6	1	2000
ET140031	1	7	19	1000	4	10	0	1096	10	2001	88	2	2000
ET140029	1	7	19	8000	8	8	1	3000	1	2002	88	16	2001
ET140024	1	5	2	1500	1	20	0	1500	8	2001	88	1	2000
ET140016	1	2	13	20000	12	36	1	2500	3	2002	88	1	2001
ET140015	1	7	8	12000	77	12	0	12000	77	2001	88	1	2000
ET140012	1	5	2	2000	8	24	1	800	3	2002	88	2	2001
ET140012	2	5	8	3000	12	24	1	2800	3	2002	88	1	1999
ET140010	1	10	2	400	2	12	1	0	88	 	12	2	2002
ET140008	1	7	19	5000	1	24	1	2250	3	2002	11	2	2001
ET140005	1	7	19	1000	3	12	1	600	7	2001	3	2	2000
ET140002	1	7	15	2500	4	10	1	2300	5	2002	11	2	2000
ET140001	1	7	8	31000	3	180	1	9000	4	2002	88	1	2000
ET130097	1	7	4	2000	5	12	0	2000	5	2000	88	2	1999
ET130097	2	10	2	600	1	7	0	600	6	2001	88	2	2001
ET130097	3	10	2	550	1	7	0	550	6	2000	88	2	2000
ET130097	4	10	2	400	1	7	0	400	5	1999	88	2	1999
ET130097	5	10	2	300	1	6	0	300	4	1998	88	2	1998
ET130097	6	10	2	300	1	7	0	300	5	1997	88	2	1997
ET130096	1	9	7	30	3	4	1	0	88	 	11	1	2002
ET130095	1	10	2	300	4	6	1	150	10	2001	11	1	2001
ET130092	1	8	2	50	1	3	0	50	4	2001	88	17	2001
ET130092	2	8	2	60	1	4	0	60	3	2000	88	17	2000
ET130092	3	9	7	105	7	3	0	105	9	2000	88	17	2000
ET130091	1	8	19	200	4	11	0	200	3	2002	11	2	2001
ET130090	1	10	2	200	12	4	0	200	3	2002	88	1	2001
ET130090	2	10	3	400	1	3	0	400	4	2002	88	1	2002
ET130089	1	9	2	40	4	5	1	15	5	2001	11	1	2001
ET130089	2	9	10	30	4	5	1	10	5	2001	11	1	2001
ET130089	3	9	10	300	11	12	0	300	12	2000	88	1	1999
ET130088	1	7	16	1000	1	12	1	500	88	 	11	1	2001
ET130087	1	9	7	325	6	4	1	0	88	 	6	1	2000
ET130087	2	8	2	400	1	2	1	0	88	 	6	1	2001
ET130086	1	7	19	1500	4	6	0	1500	10	1999	88	1	1999
ET130086	2	7	19	2000	4	6	0	2000	10	2000	88	1	2000
ET130086	3	7	19	3000	4	6	1	2350	4	2002	6	1	2001
ET130084	1	1	1	180	11	8	0	180	6	1999	88	8	1998
ET130084	2	7	3	3000	6	12	0	3000	5	2000	88	8	1999
ET130083	1	7	1	3000	4	18	1	2055	3	2001	8	1	2001
ET130082	1	9	2	300	1	6	0	300	8	2000	88	1	2000
ET130081	1	10	8	300	7	10	0	300	3	2002	88	1	2001
ET130081	2	10	8	1200	1	3	0	1200	3	2001	88	1	2001
ET130080	1	6	3	300	2	3	1	0	88	 	11	2	2002
ET130079	1	8	8	300	2	5	1	0	88	 	9	1	2000
ET130079	2	7	8	2000	3	9	1	1700	9	2001	9	1	2000
ET130075	1	10	8	2000	1	0	1	1000	2	2002	11	10	2001
ET130074	1	7	12	2000	5	12	1	1300	3	2002	6	1	2001
ET130074	2	10	12	1000	8	3	1	0	88	 	6	1	2000
ET130071	1	10	3	10000	3	7	1	200	4	2002	11	1	2002
ET130071	2	10	8	5000	1	36	1	0	88	 	12	1	2000
ET130068	1	10	18	500	4	2	0	500	6	1998	88	16	1998
ET130067	1	10	8	3000	8	8	1	1000	1	2002	8	1	2001
ET130067	2	10	2	200	3	3	0	200	5	2001	88	2	2001
ET130067	3	10	2	1720	12	7	1	0	88	 	11	1	2000
ET130067	4	10	2	600	5	6	0	600	10	1999	88	1	1999
ET130067	5	10	2	400	4	8	0	400	7	1998	88	1	1998
ET130067	6	10	8	5000	3	77	1	2000	12	1999	11	1	1997
ET130066	1	10	8	250	11	5	1	0	88	 	8	2	2001
ET130066	2	10	2	110	12	6	1	0	88	 	8	2	2001
ET130065	1	8	4	1000	1	77	1	0	88	 	11	20	2000
ET130065	2	8	4	1000	1	77	1	0	88	 	11	20	2000
ET130065	3	8	4	1000	6	77	1	0	88	 	11	20	2000
ET130065	4	8	4	1000	6	77	1	0	88	 	11	20	2000
ET130065	5	10	4	1000	11	77	1	100	2	2002	8	20	2001
ET130065	6	10	4	1000	11	77	1	200	12	2002	8	20	2001
ET130064	1	7	8	1500	11	12	1	1200	3	2002	8	1	2001
ET130063	1	2	1	200	11	8	1	0	88	 	8	1	2001
ET130062	1	10	14	400	3	4	0	400	7	2001	88	1	2001
ET130060	1	2	1	200	11	7	1	0	88	 	8	1	2001
ET130060	2	8	8	1000	3	12	1	0	88	 	11	1	2001
ET130058	1	4	8	3000	9	12	1	1500	3	2002	8	1	2001
ET130058	2	4	13	2000	4	12	0	2000	5	2000	88	1	1999
ET130057	1	9	7	150	3	1	1	0	88	 	8	1	2001
ET130055	1	4	5	2000	8	24	0	2000	3	2000	88	1	1997
ET130052	1	8	5	300	6	3	0	300	4	2001	88	1	2000
ET130051	1	9	7	150	7	9	1	100	11	2002	11	1	2001
ET130050	1	9	6	100	10	12	0	100	12	2001	88	1	2001
ET130050	2	9	7	200	7	11	0	200	11	2000	88	1	2000
ET130049	1	2	1	200	10	7	0	200	3	2002	88	1	2001
ET130049	2	2	1	200	10	7	0	200	5	2001	88	1	2000
ET130049	3	2	1	230	11	8	0	230	5	2000	88	1	1999
ET130049	4	2	1	200	10	8	0	200	4	1998	88	1	1997
ET130049	5	10	8	4000	5	10	1	0	88	 	11	1	2001
ET130048	1	7	8	3800	11	11	0	3800	11	2001	88	1	2000
ET130048	2	7	8	2800	11	11	1	2520	3	2002	11	1	2001
ET130048	3	10	7	600	3	77	1	0	88	 	88	1	2002
ET130047	1	7	14	2200	2	6	1	1800	4	2002	11	1	1998
ET130047	2	9	2	110	4	5	0	110	4	2002	88	1	2001
ET130046	1	10	5	1000	4	4	1	0	88	 	8	1	2002
ET130046	2	10	5	500	1	1	0	500	1	2002	88	1	2002
ET130046	3	10	5	300	11	11	0	300	11	2001	88	1	2001
ET130046	4	10	5	1000	4	4	0	1000	4	2001	88	1	2001
ET130045	1	8	17	800	11	7	0	800	5	2001	88	1	2000
ET130045	2	8	17	300	10	5	1	0	88	 	11	1	2001
ET130045	3	7	5	1000	3	12	0	1000	2	1999	88	1	1998
ET130044	1	7	5	3000	4	2	0	3000	2	2002	88	2	2001
ET130042	1	8	2	760	5	7	1	200	9	2001	9	1	2001
ET130042	2	9	6	350	1	3	0	350	3	2001	88	1	2001
ET130042	3	10	2	500	12	4	1	0	88	 	11	1	2001
ET130041	1	4	19	2000	1	12	0	2000	1	2002	88	1	2001
ET130039	1	10	2	500	8	12	0	500	3	2001	2	1	2000
ET130036	1	4	14	2000	5	24	1	700	11	2001	11	1	1999
ET130033	1	10	2	200	5	12	1	0	88	 	11	1	2001
ET130033	2	10	16	1000	11	12	1	0	88	 	11	1	2000
ET130032	1	4	2	700	6	10	1	0	88	 	8	1	2001
ET130032	2	4	2	300	1	6	0	300	5	2000	88	1	2000
ET130032	3	4	2	300	1	6	0	300	5	1999	88	1	1999
ET130032	4	4	2	500	8	8	0	500	2	1999	88	1	1998
ET130032	5	4	2	400	1	6	0	400	5	1997	88	1	1997
ET130031	1	5	19	20000	4	18	1	7000	3	2002	8	1	2001
ET130030	1	2	1	200	11	8	1	0	88	 	8	1	2001
ET130030	2	10	2	200	10	3	0	200	12	2001	88	1	2001
ET130028	1	6	19	25000	3	8	1	0	88	 	8	1	2001
ET130027	1	4	7	2000	5	7	1	500	3	2002	8	17	2001
ET130025	1	10	2	400	10	77	1	0	88	 	11	1	2001
ET130025	2	10	7	280	7	8	0	280	8	2002	88	1	2001
ET130024	1	10	1	1000	6	2	0	1000	8	2001	88	1	2001
ET130024	2	10	19	500	4	10	1	0	88	 	11	1	2001
ET130024	3	10	19	400	1	8	1	300	9	2000	11	1	2000
ET130024	4	10	2	450	1	5	0	450	5	2001	88	1	2001
ET130024	5	10	2	400	1	5	0	400	5	2000	88	1	2000
ET130024	6	10	2	350	1	5	0	350	5	1999	88	1	1999
ET130024	7	10	2	300	1	5	0	300	5	1998	88	1	1998
ET130024	8	10	2	200	1	5	0	200	5	1997	88	1	1997
ET130023	1	7	2	2000	9	10	0	2000	2	2002	88	2	2000
ET130022	1	7	2	2472	10	12	0	2472	10	2000	88	1	1999
ET130022	2	7	2	2472	11	12	0	2472	11	2001	88	1	2000
ET130021	1	7	19	1000	10	4	1	0	8	2002	8	1	2001
ET130019	1	7	4	3000	4	5	0	3000	5	2000	88	1	1999
ET130016	1	10	19	7000	2	12	1	1500	3	2002	11	1	2001
ET130014	1	8	6	500	2	1	0	500	3	2001	88	2	2001
ET130013	1	2	1	200	11	4	1	0	88	 	8	1	2001
ET130013	2	2	1	200	10	8	0	200	5	2001	88	1	2000
ET130013	3	2	1	150	10	8	0	150	5	2000	88	1	1999
ET130013	4	2	1	200	10	8	0	200	5	1999	88	1	1998
ET130013	5	2	1	200	10	8	0	200	5	1998	88	1	1997
ET130013	6	10	2	500	1	10	0	500	8	2000	88	1	2000
ET130013	7	10	2	400	1	10	0	400	7	1999	88	1	1999
ET130013	8	10	7	250	6	4	0	250	8	2001	88	1	2001
ET130009	1	7	3	2000	1	18	1	0	88	 	12	2	2001
ET130007	1	7	4	4000	2	12	1	2000	3	2002	11	1	2000
ET130005	1	7	4	2000	3	12	0	2000	3	2001	88	2	2000
ET130004	1	7	4	2000	11	12	1	600	2	2002	8	2	2001
ET130004	2	10	4	200	4	10	1	0	88	 	11	2	2001
ET130004	3	10	2	300	1	12	0	300	8	2000	88	2	2000
ET130004	4	10	4	450	7	12	0	450	11	2000	88	2	2000
ET130004	5	10	2	250	2	6	0	250	7	1999	88	2	1999
ET130004	6	10	4	300	4	8	0	300	10	1999	88	2	1999
ET130004	7	10	2	200	4	6	0	200	8	1998	88	2	1998
ET130004	8	10	4	400	7	10	0	400	12	1998	88	2	1998
ET130004	9	10	2	350	1	4	0	350	4	1997	88	2	1997
ET130004	10	10	4	350	3	7	0	350	8	1997	88	2	1997
ET130003	1	4	19	1700	5	3	1	0	3	2002	6	2	2001
ET130002	1	10	4	150	3	4	0	150	4	2000	88	2	1999
ET130002	2	10	2	80	11	1	1	0	88	 	11	2	2001
ET130001	1	10	2	500	3	77	1	0	88	 	11	2	2001
ET120100	1	8	2	500	12	77	1	0	88	 	11	1	2000
ET120099	1	8	8	3000	3	1	1	0	88	 	11	1	1999
ET120099	2	10	7	300	4	12	0	300	5	2001	88	1	2001
ET120098	1	10	8	4000	8	2	0	4000	10	2001	88	1	2001
ET120098	2	8	19	300	3	1	1	0	88	 	8	2	2002
ET120096	1	10	2	500	2	2	1	0	88	 	88	1	2002
ET120096	2	10	2	450	2	3	0	450	5	2001	88	1	2001
ET120096	3	10	6	165	12	5	0	165	5	2000	88	1	1999
ET120095	1	10	2	200	2	1	0	200	3	2001	88	2	2001
ET120094	1	8	4	700	11	5	1	0	88	 	88	2	2001
ET120093	1	8	1	400	11	1	0	400	12	2001	88	1	2001
ET120093	2	8	2	600	3	1	1	0	88	 	88	1	2002
ET120093	3	8	7	1000	6	3	0	1000	8	2001	88	1	2001
ET120092	1	8	1	270	11	6	0	270	4	2001	88	1	2000
ET120091	1	8	10	2000	10	77	1	0	88	 	88	2	2001
ET120091	2	8	2	1000	3	2	1	0	88	 	88	2	2002
ET120091	3	8	1	800	10	6	1	0	88	 	88	2	2001
ET120090	1	9	7	250	7	1	1	0	88	 	11	1	2001
ET120090	2	10	19	70	1	1	1	0	88	 	11	2	2002
ET120088	1	8	6	500	12	77	1	200	1	2002	88	1	2001
ET120087	1	8	7	1000	1	77	0	1000	4	2001	88	1	2001
ET120086	1	8	14	250	5	12	1	0	88	 	88	4	2001
ET120085	1	8	1	1200	1	4	1	0	88	 	88	1	2002
ET120085	2	8	1	1000	9	3	0	1000	12	2001	88	1	2001
ET120085	3	10	19	200	2	1	0	200	3	2002	88	2	2002
ET120084	1	8	7	500	9	77	1	200	11	2001	11	1	2001
ET120083	1	10	6	500	11	77	1	0	88	 	88	1	2000
ET120082	1	10	2	250	2	2	1	0	88	 	12	1	2001
ET120082	2	10	19	200	7	2	1	0	88	 	6	1	2001
ET120081	1	8	2	50	2	1	1	0	88	 	12	2	2002
ET120081	2	8	2	70	11	1	0	70	12	2002	88	2	2001
ET120080	1	10	7	250	1	7	1	0	88	 	11	2	2001
ET120079	1	6	19	400	12	1	0	400	1	2002	88	2	2001
ET120078	1	8	9	600	3	4	0	600	7	1998	88	1	1998
ET120078	2	2	1	800	11	12	0	800	10	2000	88	1	1999
ET120078	3	8	1	200	1	4	1	0	5	2002	88	1	2002
ET120078	4	8	9	200	10	12	1	0	10	2002	88	2	2001
ET120076	1	8	6	900	11	12	1	0	88	 	11	1	1998
ET120076	2	8	7	600	1	12	1	0	88	 	11	1	2001
ET120075	1	8	8	10000	9	38	1	0	88	 	88	1	1999
ET120074	1	9	7	2000	6	12	1	0	88	 	8	1	2001
ET120073	1	10	1	400	10	5	1	0	88	 	88	6	2001
ET120073	2	10	2	40	1	5	1	0	88	 	88	3	2002
ET120072	1	8	7	500	2	1	0	500	3	2000	88	1	2000
ET120072	2	8	6	200	1	2	0	200	2	2002	88	1	2002
ET120072	3	8	2	400	4	2	0	400	6	1998	88	1	1998
ET120072	4	10	7	1000	3	12	1	200	7	2001	11	2	2001
ET120071	1	10	2	400	8	2	0	400	10	2000	88	1	2000
ET120071	2	10	7	300	11	4	0	300	2	2001	88	1	2000
ET120071	3	10	2	300	9	1	0	300	10	2001	88	1	2001
ET120070	1	8	6	800	12	6	1	0	88	 	88	1	2001
ET120070	2	10	2	1300	11	7	1	0	88	 	88	1	2001
ET120069	1	8	7	1000	12	4	0	1000	1	2002	88	1	2001
ET120069	2	8	2	1000	9	7	0	1000	2	2002	88	1	2001
ET120069	3	8	2	2000	9	7	0	2000	9	2001	11	1	2000
ET120068	1	8	2	450	11	12	0	450	4	2000	6	1	1997
ET120068	2	8	2	750	11	24	1	0	88	 	88	1	2001
ET120067	1	8	7	1200	1	4	1	700	2	2002	88	1	2002
ET120066	1	10	2	600	3	5	0	600	8	1998	88	1	1998
ET120065	1	4	7	700	4	12	1	0	88	 	11	1	2001
ET120064	1	8	6	700	6	77	0	700	4	2000	88	2	1999
ET120064	2	9	7	900	5	12	1	600	5	2002	88	2	2001
ET120063	1	10	8	3000	10	77	0	3000	9	2001	88	1	2000
ET120063	2	6	19	200	11	12	0	200	11	2000	88	2	1999
ET120063	3	8	6	250	10	1	0	250	11	2001	88	1	2001
ET120062	1	10	19	300	2	7	0	300	9	2001	88	2	2001
ET120062	2	10	19	400	1	12	0	400	11	2001	88	2	2000
ET120062	3	10	2	300	1	4	1	0	88	 	88	2	2002
ET120061	1	10	2	2000	11	5	1	0	88	 	12	1	2000
ET120061	2	10	2	1000	11	6	1	0	88	 	88	1	2001
ET120060	1	10	1	2000	3	12	1	0	88	 	88	1	2001
ET120058	1	8	2	300	12	77	1	0	88	 	88	2	2001
ET120057	1	8	2	500	4	12	1	0	88	 	88	1	2001
ET120056	1	8	8	10000	6	12	1	6000	11	2001	88	1	2001
ET120055	1	8	19	2000	11	6	1	0	88	 	8	3	2001
ET120054	1	9	7	300	1	12	1	0	88	 	8	2	2001
ET120054	2	9	18	100	5	12	0	125	11	2001	88	2	2001
ET120054	3	10	19	100	2	2	0	100	4	2001	88	2	2001
ET120052	1	10	2	300	11	1	1	100	1	2002	12	2	2001
ET120051	1	10	1	200	11	6	0	200	3	2002	88	1	2001
ET120051	2	10	2	200	1	1	0	200	2	2001	88	2	2001
ET120049	1	10	2	100	11	4	0	100	2	2002	88	1	2001
ET120047	1	8	10	1600	9	12	1	1100	4	2001	12	1	2000
ET120047	2	8	1	400	10	5	0	400	3	2001	88	1	2000
ET120046	1	8	7	700	2	77	0	700	2	2001	88	1	2000
ET120046	2	8	10	1200	8	77	0	1200	4	2001	88	1	1999
ET120045	1	10	1	600	11	5	1	0	88	 	88	1	2001
ET120045	2	10	1	500	12	5	0	500	5	2001	88	1	2000
ET120045	3	10	1	300	11	5	0	300	4	2000	88	1	1999
ET120044	1	6	7	200	11	3	0	200	2	2002	88	2	2001
ET120044	2	6	19	300	8	5	0	300	1	2002	88	2	2001
ET120044	3	10	2	300	1	5	1	0	88	 	88	2	2002
ET120044	4	10	7	150	2	1	0	150	3	2002	88	1	2002
ET120043	1	8	7	2000	11	77	1	0	88	 	88	2	2000
ET120042	1	10	7	1000	3	1	0	1000	3	2001	88	1	2001
ET120041	1	8	2	400	11	2	0	400	4	2001	88	1	1999
ET120041	2	8	2	250	10	11	1	250	88	 	88	1	2000
ET120041	3	10	2	500	10	4	1	200	1	2002	88	1	2001
ET120040	1	10	2	900	11	12	0	900	10	1999	88	1	1998
ET120040	2	10	1	400	10	3	0	400	1	2002	88	1	2001
ET120039	1	4	8	1000	10	12	1	0	88	 	88	1	2001
ET120039	2	4	2	150	4	12	1	0	88	 	88	1	2001
ET120038	1	10	7	600	9	3	0	600	12	1999	88	1	1999
ET120037	1	10	10	250	7	9	1	0	88	 	1	1	1997
ET120037	2	10	11	70	5	77	1	0	88	 	12	1	1998
ET120037	3	10	8	100	1	24	1	0	88	 	88	1	2001
ET120036	1	6	19	300	7	1	0	300	1	2001	12	2	2000
ET120033	1	6	19	400	4	9	0	480	1	2002	88	2	2001
ET120033	2	6	8	300	4	9	0	360	1	2001	88	2	2000
ET120033	3	6	2	500	11	5	0	750	4	1999	88	2	1998
ET120032	1	4	1	1500	10	3	1	0	88	 	11	1	2001
ET120032	2	10	1	250	9	4	0	250	1	2001	88	1	2000
ET120031	1	8	7	300	1	77	1	0	88	 	88	19	2002
ET120031	2	8	2	300	4	77	0	300	10	2001	88	19	2001
ET120029	1	8	1	200	11	1	0	200	2	2001	6	2	2000
ET120028	1	8	19	300	9	3	0	300	12	2001	88	2	2001
ET120026	1	8	8	700	10	77	1	400	2	2002	88	1	2001
ET120025	1	10	1	1000	11	77	1	500	3	2002	88	8	2001
ET120025	2	10	1	2000	11	77	0	2000	3	2000	88	8	1999
ET120023	1	8	19	2000	2	88	0	2000	2	1999	88	1	1998
ET120021	1	8	7	1300	12	5	1	0	88	 	88	1	2001
ET120021	2	10	2	900	11	6	0	900	4	2001	88	1	2000
