CHILDCODE	IMEVIDR4	RKEVR4	PR2009R4	PR2010R4	PR2011R4	PR2012R4	PR2013R4
108013	1	39	 	 	 	 	2
108013	2	98	 	 	 	 	 
108013	3	98	 	 	 	 	 
108016	1	98	 	 	 	 	 
108016	2	98	 	 	 	 	 
108016	3	98	 	 	 	 	 
108017	1	69	 	 	 	2	 
108017	2	39	 	 	 	 	4
108017	3	98	 	 	 	 	 
108018	1	38	 	 	 	 	2
108018	2	39	 	 	 	 	2
108018	3	98	 	 	 	 	 
108020	1	98	 	 	 	 	 
108020	2	98	 	 	 	 	 
108020	3	98	 	 	 	 	 
108021	1	36	 	3	 	 	 
108021	2	98	 	 	 	 	 
108021	3	98	 	 	 	 	 
108022	1	62	 	 	 	 	4
108022	2	98	 	 	 	 	 
108022	3	98	 	 	 	 	 
108023	1	37	 	 	 	 	4
108023	2	25	 	 	 	3	 
108023	3	98	 	 	 	 	 
108024	1	39	4	 	 	3	 
108024	2	98	 	 	 	 	 
108024	3	98	 	 	 	 	 
108025	1	98	 	 	 	 	 
108025	2	98	 	 	 	 	 
108025	3	98	 	 	 	 	 
108026	1	36	 	 	 	 	4
108026	2	98	 	 	 	 	 
108026	3	98	 	 	 	 	 
108028	1	98	 	 	 	 	 
108028	2	98	 	 	 	 	 
108028	3	98	 	 	 	 	 
108029	1	37	 	 	 	 	3
108029	2	38	 	 	 	 	3
108029	3	98	 	 	 	 	 
118001	1	98	 	 	 	 	 
118001	2	98	 	 	 	 	 
118001	3	98	 	 	 	 	 
118002	1	24	3	3	2	2	2
118002	2	27	3	3	2	2	2
118002	3	98	 	 	 	 	 
118004	1	 	 	 	 	 	 
118004	2	 	 	 	 	 	 
118004	3	 	 	 	 	 	 
118005	1	42	 	 	 	 	2
118005	2	98	 	 	 	 	 
118005	3	98	 	 	 	 	 
118006	1	35	 	 	4	 	 
118006	2	98	 	 	 	 	 
118006	3	98	 	 	 	 	 
118007	1	45	 	 	 	 	2
118007	2	98	 	 	 	 	 
118007	3	98	 	 	 	 	 
118009	1	2	 	 	 	4	 
118009	2	38	 	 	 	 	4
118009	3	98	 	 	 	 	 
118011	1	62	 	 	 	3	 
118011	2	98	 	 	 	 	 
118011	3	98	 	 	 	 	 
118013	1	24	 	 	4	 	 
118013	2	27	 	4	 	 	 
118013	3	31	 	4	3	 	 
118014	1	39	 	3	 	 	 
118014	2	98	 	 	 	 	 
118014	3	98	 	 	 	 	 
118015	1	24	3	3	 	 	 
118015	2	27	2	2	2	2	2
118015	3	98	 	 	 	 	 
118017	1	98	 	 	 	 	 
118017	2	98	 	 	 	 	 
118017	3	98	 	 	 	 	 
118018	1	98	 	 	 	 	 
118018	2	98	 	 	 	 	 
118018	3	98	 	 	 	 	 
118019	1	31	 	 	 	 	3
118019	2	27	 	 	2	 	 
118019	3	38	 	 	2	 	 
118020	1	98	 	 	 	 	 
118020	2	98	 	 	 	 	 
118020	3	98	 	 	 	 	 
118021	1	 	 	 	 	 	 
118021	2	 	 	 	 	 	 
118021	3	 	 	 	 	 	 
118022	1	37	 	4	 	2	 
118022	2	36	 	 	 	2	 
118022	3	98	 	 	 	 	 
118023	1	28	 	 	 	 	3
118023	2	27	 	 	 	2	 
118023	3	31	 	 	 	 	4
118024	1	 	 	 	 	 	 
118024	2	 	 	 	 	 	 
118024	3	 	 	 	 	 	 
118027	1	98	 	 	 	 	 
118027	2	98	 	 	 	 	 
118027	3	98	 	 	 	 	 
118028	1	39	 	 	 	3	3
118028	2	25	 	 	 	3	 
118028	3	24	 	 	 	 	2
118029	1	98	 	 	 	 	 
118029	2	98	 	 	 	 	 
118029	3	98	 	 	 	 	 
118030	1	 	 	 	 	 	 
118030	2	 	 	 	 	 	 
118030	3	 	 	 	 	 	 
128002	1	5	 	 	 	 	2
128002	2	39	 	 	 	 	3
128002	3	98	 	 	 	 	 
128003	1	38	2	 	 	 	 
128003	2	39	 	 	 	2	 
128003	3	98	 	 	 	 	 
128004	1	46	 	 	4	 	 
128004	2	38	 	4	3	2	 
128004	3	45	 	 	 	3	 
128005	1	62	4	 	 	 	 
128005	2	41	 	 	4	 	 
128005	3	12	4	4	4	3	4
128006	1	42	 	 	 	 	2
128006	2	63	 	 	 	 	3
128006	3	98	 	 	 	 	 
128007	1	20	 	 	4	4	 
128007	2	98	 	 	 	 	 
128007	3	98	 	 	 	 	 
128008	1	37	 	 	 	 	4
128008	2	98	 	 	 	 	 
128008	3	98	 	 	 	 	 
128009	1	25	 	 	1	 	 
128009	2	98	 	 	 	 	 
128009	3	98	 	 	 	 	 
128010	1	98	 	 	 	 	 
128010	2	98	 	 	 	 	 
128010	3	98	 	 	 	 	 
128011	1	40	 	 	 	 	1
128011	2	1	 	 	 	3	 
128011	3	5	 	 	 	4	 
128012	1	98	 	 	 	 	 
128012	2	98	 	 	 	 	 
128012	3	98	 	 	 	 	 
128013	1	10	 	 	 	4	 
128013	2	45	 	 	 	4	 
128013	3	1	1	 	 	 	 
128014	1	45	 	 	 	2	 
128014	2	98	 	 	 	 	 
128014	3	98	 	 	 	 	 
128015	1	12	 	 	 	1	1
128015	2	98	 	 	 	 	 
128015	3	98	 	 	 	 	 
128016	1	38	 	 	4	 	 
128016	2	98	 	 	 	 	 
128016	3	98	 	 	 	 	 
128017	1	69	 	 	 	3	 
128017	2	98	 	 	 	 	 
128017	3	98	 	 	 	 	 
128019	1	40	 	4	 	3	 
128019	2	98	 	 	 	 	 
128019	3	98	 	 	 	 	 
128020	1	36	 	 	 	3	 
128020	2	69	 	 	 	2	3
128020	3	1	 	 	 	 	1
128021	1	39	 	 	2	 	 
128021	2	98	 	 	 	 	 
128021	3	98	 	 	 	 	 
128022	1	2	 	 	 	4	 
128022	2	1	 	 	 	4	 
128022	3	37	 	 	 	2	 
128023	1	20	 	 	 	 	4
128023	2	98	 	 	 	 	 
128023	3	98	 	 	 	 	 
128024	1	45	 	4	 	 	 
128024	2	39	 	 	 	3	3
128024	3	69	 	 	3	3	 
128026	1	98	 	 	 	 	 
128026	2	98	 	 	 	 	 
128026	3	98	 	 	 	 	 
128027	1	6	 	4	 	 	 
128027	2	36	 	4	 	 	 
128027	3	2	 	 	 	4	 
128028	1	20	 	 	 	 	1
128028	2	41	 	 	 	 	2
128028	3	62	 	 	 	2	 
128030	1	98	 	 	 	 	 
128030	2	98	 	 	 	 	 
128030	3	98	 	 	 	 	 
128031	1	42	 	4	 	4	 
128031	2	41	 	1	 	 	 
128031	3	98	 	 	 	 	 
128032	1	12	4	4	4	4	4
128032	2	45	 	 	 	3	 
128032	3	98	 	 	 	 	 
128033	1	98	 	 	 	 	 
128033	2	98	 	 	 	 	 
128033	3	98	 	 	 	 	 
128034	1	5	3	 	 	 	 
128034	2	41	 	 	2	 	 
128034	3	62	3	 	 	 	 
128037	1	62	 	 	4	4	 
128037	2	36	 	2	 	 	 
128037	3	50	 	 	2	 	 
128038	1	98	 	 	 	 	 
128038	2	98	 	 	 	 	 
128038	3	98	 	 	 	 	 
128039	1	38	 	 	 	 	4
128039	2	39	 	 	 	 	2
128039	3	98	 	 	 	 	 
128040	1	62	 	 	4	 	 
128040	2	98	 	 	 	 	 
128040	3	98	 	 	 	 	 
128041	1	5	 	 	 	 	3
128041	2	62	 	 	 	 	2
128041	3	98	 	 	 	 	 
128042	1	34	 	 	 	4	 
128042	2	25	 	 	 	2	 
128042	3	98	 	 	 	 	 
128043	1	1	4	 	 	 	 
128043	2	40	 	3	 	 	1
128043	3	38	2	 	 	 	 
128044	1	45	 	 	 	2	 
128044	2	98	 	 	 	 	 
128044	3	98	 	 	 	 	 
128045	1	69	 	4	4	 	 
128045	2	98	 	 	 	 	 
128045	3	98	 	 	 	 	 
128046	1	38	 	 	 	 	3
128046	2	37	 	 	 	 	3
128046	3	98	 	 	 	 	 
128047	1	50	 	 	4	 	 
128047	2	98	 	 	 	 	 
128047	3	98	 	 	 	 	 
128048	1	2	 	 	 	4	 
128048	2	98	 	 	 	 	 
128048	3	98	 	 	 	 	 
128049	1	39	 	 	4	 	 
128049	2	98	 	 	 	 	 
128049	3	98	 	 	 	 	 
128050	1	39	 	3	 	 	 
128050	2	40	 	 	 	 	3
128050	3	98	 	 	 	 	 
128051	1	2	 	 	4	 	 
128051	2	37	 	 	 	4	 
128051	3	41	 	 	4	 	 
138002	1	98	 	 	 	 	 
138002	2	98	 	 	 	 	 
138002	3	98	 	 	 	 	 
138004	1	98	 	 	 	 	 
138004	2	98	 	 	 	 	 
138004	3	98	 	 	 	 	 
138005	1	98	 	 	 	 	 
138005	2	98	 	 	 	 	 
138005	3	98	 	 	 	 	 
138007	1	2	 	 	 	4	 
138007	2	98	 	 	 	 	 
138007	3	98	 	 	 	 	 
138008	1	98	 	 	 	 	 
138008	2	98	 	 	 	 	 
138008	3	98	 	 	 	 	 
138009	1	42	 	 	2	2	2
138009	2	1	 	 	 	 	2
138009	3	98	 	 	 	 	 
138011	1	40	 	2	 	 	 
138011	2	98	 	 	 	 	 
138011	3	98	 	 	 	 	 
138012	1	15	 	2	 	 	 
138012	2	98	 	 	 	 	 
138012	3	98	 	 	 	 	 
138013	1	98	 	 	 	 	 
138013	2	98	 	 	 	 	 
138013	3	98	 	 	 	 	 
138014	1	35	4	 	 	 	 
138014	2	39	 	 	 	 	3
138014	3	98	 	 	 	 	 
138015	1	62	 	3	3	3	3
138015	2	5	 	 	4	 	 
138015	3	98	 	 	 	 	 
138016	1	41	 	 	 	 	1
138016	2	98	 	 	 	 	 
138016	3	98	 	 	 	 	 
138017	1	36	 	2	 	 	 
138017	2	2	 	 	 	2	 
138017	3	98	 	 	 	 	 
138018	1	98	 	 	 	 	 
138018	2	98	 	 	 	 	 
138018	3	98	 	 	 	 	 
138020	1	 	 	 	 	 	 
138020	2	 	 	 	 	 	 
138020	3	 	 	 	 	 	 
138021	1	98	 	 	 	 	 
138021	2	98	 	 	 	 	 
138021	3	98	 	 	 	 	 
138022	1	36	 	 	 	4	 
138022	2	40	 	 	 	3	 
138022	3	12	 	 	 	2	3
138023	1	38	 	4	4	4	 
138023	2	5	 	 	2	 	 
138023	3	98	 	 	 	 	 
138024	1	1	2	 	2	 	 
138024	2	98	 	 	 	 	 
138024	3	98	 	 	 	 	 
138025	1	33	 	 	4	 	 
138025	2	98	 	 	 	 	 
138025	3	98	 	 	 	 	 
138027	1	98	 	 	 	 	 
138027	2	98	 	 	 	 	 
138027	3	98	 	 	 	 	 
138028	1	38	 	 	4	 	 
138028	2	2	 	 	 	 	4
138028	3	98	 	 	 	 	 
138029	1	45	4	 	 	 	 
138029	2	39	 	 	3	 	 
138029	3	98	 	 	 	 	 
138030	1	32	 	 	 	4	 
138030	2	45	 	 	 	2	 
138030	3	69	 	 	 	2	 
138031	1	98	 	 	 	 	 
138031	2	98	 	 	 	 	 
138031	3	98	 	 	 	 	 
138033	1	38	 	 	 	2	 
138033	2	98	 	 	 	 	 
138033	3	98	 	 	 	 	 
138035	1	8	79	 	 	 	 
138035	2	98	 	 	 	 	 
138035	3	98	 	 	 	 	 
138036	1	98	 	 	 	 	 
138036	2	98	 	 	 	 	 
138036	3	98	 	 	 	 	 
138037	1	39	 	 	 	3	 
138037	2	98	 	 	 	 	 
138037	3	98	 	 	 	 	 
138038	1	98	 	 	 	 	 
138038	2	98	 	 	 	 	 
138038	3	98	 	 	 	 	 
138039	1	15	 	 	 	4	 
138039	2	98	 	 	 	 	 
138039	3	98	 	 	 	 	 
138040	1	8	 	2	 	 	 
138040	2	1	 	 	 	2	 
138040	3	54	 	2	 	 	 
138041	1	63	 	 	4	4	 
138041	2	38	 	 	4	 	 
138041	3	2	 	 	 	4	 
138042	1	38	 	 	 	 	3
138042	2	98	 	 	 	 	 
138042	3	98	 	 	 	 	 
138044	1	98	 	 	 	 	 
138044	2	98	 	 	 	 	 
138044	3	98	 	 	 	 	 
138045	1	42	 	 	 	 	2
138045	2	38	 	 	 	 	2
138045	3	98	 	 	 	 	 
138046	1	41	 	 	 	 	1
138046	2	98	 	 	 	 	 
138046	3	98	 	 	 	 	 
138047	1	37	 	 	3	 	 
138047	2	63	 	 	4	 	 
138047	3	45	 	 	2	 	 
138048	1	2	3	 	 	 	 
138048	2	5	2	 	 	 	 
138048	3	98	 	 	 	 	 
138049	1	98	 	 	 	 	 
138049	2	98	 	 	 	 	 
138049	3	98	 	 	 	 	 
138050	1	98	 	 	 	 	 
138050	2	98	 	 	 	 	 
138050	3	98	 	 	 	 	 
138051	1	98	 	 	 	 	 
138051	2	98	 	 	 	 	 
138051	3	98	 	 	 	 	 
138053	1	69	 	 	 	2	 
138053	2	41	2	 	 	3	 
138053	3	98	 	 	 	 	 
148001	1	69	 	 	2	 	 
148001	2	98	 	 	 	 	 
148001	3	98	 	 	 	 	 
148002	1	61	1	1	3	3	2
148002	2	45	2	2	4	4	4
148002	3	98	 	 	 	 	 
148003	1	98	 	 	 	 	 
148003	2	98	 	 	 	 	 
148003	3	98	 	 	 	 	 
148004	1	41	 	 	 	 	2
148004	2	39	 	 	 	 	2
148004	3	98	 	 	 	 	 
148005	1	63	 	 	 	4	 
148005	2	98	 	 	 	 	 
148005	3	98	 	 	 	 	 
148006	1	98	 	 	 	 	 
148006	2	98	 	 	 	 	 
148006	3	98	 	 	 	 	 
148007	1	36	 	 	 	1	 
148007	2	41	 	1	 	 	 
148007	3	98	 	 	 	 	 
148008	1	38	 	 	 	2	 
148008	2	98	 	 	 	 	 
148008	3	98	 	 	 	 	 
148009	1	38	 	 	 	4	 
148009	2	98	 	 	 	 	 
148009	3	98	 	 	 	 	 
148010	1	56	 	 	 	3	 
148010	2	98	 	 	 	 	 
148010	3	98	 	 	 	 	 
148011	1	38	 	 	3	2	4
148011	2	98	 	 	 	 	 
148011	3	98	 	 	 	 	 
148012	1	2	4	 	 	 	 
148012	2	98	 	 	 	 	 
148012	3	98	 	 	 	 	 
148013	1	98	 	 	 	 	 
148013	2	98	 	 	 	 	 
148013	3	98	 	 	 	 	 
148014	1	45	 	 	 	4	3
148014	2	98	 	 	 	 	 
148014	3	98	 	 	 	 	 
148015	1	41	 	2	 	 	 
148015	2	98	 	 	 	 	 
148015	3	98	 	 	 	 	 
148016	1	42	 	 	1	1	1
148016	2	38	 	 	 	 	2
148016	3	98	 	 	 	 	 
148017	1	98	 	 	 	 	 
148017	2	98	 	 	 	 	 
148017	3	98	 	 	 	 	 
148018	1	98	 	 	 	 	 
148018	2	98	 	 	 	 	 
148018	3	98	 	 	 	 	 
148019	1	62	 	4	 	 	 
148019	2	98	 	 	 	 	 
148019	3	98	 	 	 	 	 
148020	1	98	 	 	 	 	 
148020	2	98	 	 	 	 	 
148020	3	98	 	 	 	 	 
148021	1	98	 	 	 	 	 
148021	2	98	 	 	 	 	 
148021	3	98	 	 	 	 	 
148022	1	42	 	 	 	 	 
148022	2	98	 	 	 	 	 
148022	3	98	 	 	 	 	 
148023	1	41	 	 	 	 	1
148023	2	98	 	 	 	 	 
148023	3	98	 	 	 	 	 
148024	1	38	 	 	 	 	4
148024	2	41	 	 	 	2	 
148024	3	26	 	 	 	 	2
148025	1	45	 	 	 	 	4
148025	2	62	 	 	 	 	4
148025	3	38	 	 	4	 	 
148026	1	62	 	 	4	 	 
148026	2	98	 	 	 	 	 
148026	3	98	 	 	 	 	 
148027	1	38	 	2	2	2	2
148027	2	98	 	 	 	 	 
148027	3	98	 	 	 	 	 
148028	1	98	 	 	 	 	 
148028	2	98	 	 	 	 	 
148028	3	98	 	 	 	 	 
148029	1	98	 	 	 	 	 
148029	2	98	 	 	 	 	 
148029	3	98	 	 	 	 	 
148030	1	39	3	3	3	3	3
148030	2	98	 	 	 	 	 
148030	3	98	 	 	 	 	 
148031	1	40	 	 	 	 	2
148031	2	98	 	 	 	 	 
148031	3	98	 	 	 	 	 
148033	1	45	 	 	 	4	88
148033	2	98	 	 	 	 	 
148033	3	98	 	 	 	 	 
148034	1	98	 	 	 	 	 
148034	2	98	 	 	 	 	 
148034	3	98	 	 	 	 	 
148035	1	37	4	 	 	 	 
148035	2	69	2	 	 	 	 
148035	3	98	 	 	 	 	 
148036	1	98	 	 	 	 	 
148036	2	98	 	 	 	 	 
148036	3	98	 	 	 	 	 
148038	1	98	 	 	 	 	 
148038	2	98	 	 	 	 	 
148038	3	98	 	 	 	 	 
148039	1	62	 	 	 	4	 
148039	2	98	 	 	 	 	 
148039	3	98	 	 	 	 	 
148040	1	39	 	 	 	 	2
148040	2	98	 	 	 	 	 
148040	3	98	 	 	 	 	 
148041	1	42	 	 	4	4	4
148041	2	98	 	 	 	 	 
148041	3	98	 	 	 	 	 
148042	1	62	 	 	 	4	 
148042	2	42	2	1	2	1	 
148042	3	38	 	 	3	2	2
148043	1	36	 	2	 	 	 
148043	2	40	2	 	 	 	 
148043	3	98	 	 	 	 	 
148044	1	45	 	 	 	3	 
148044	2	98	 	 	 	 	 
148044	3	98	 	 	 	 	 
148045	1	37	 	 	 	 	2
148045	2	98	 	 	 	 	 
148045	3	98	 	 	 	 	 
148046	1	34	4	 	 	 	 
148046	2	98	 	 	 	 	 
148046	3	98	 	 	 	 	 
148047	1	45	 	 	2	 	 
148047	2	98	 	 	 	 	 
148047	3	98	 	 	 	 	 
148048	1	39	 	 	 	 	3
148048	2	98	 	 	 	 	 
148048	3	98	 	 	 	 	 
148049	1	45	 	 	 	 	2
148049	2	98	 	 	 	 	 
148049	3	98	 	 	 	 	 
148051	1	62	 	 	 	 	2
148051	2	98	 	 	 	 	 
148051	3	98	 	 	 	 	 
158001	1	98	 	 	 	 	 
158001	2	98	 	 	 	 	 
158001	3	98	 	 	 	 	 
158002	1	1	 	 	 	3	2
158002	2	2	 	 	 	 	3
158002	3	98	 	 	 	 	 
158003	1	45	 	 	 	 	1
158003	2	98	 	 	 	 	 
158003	3	98	 	 	 	 	 
158004	1	53	 	 	 	 	1
158004	2	98	 	 	 	 	 
158004	3	98	 	 	 	 	 
158005	1	98	 	 	 	 	 
158005	2	98	 	 	 	 	 
158005	3	98	 	 	 	 	 
158006	1	42	 	 	 	 	3
158006	2	98	 	 	 	 	 
158006	3	98	 	 	 	 	 
158007	1	98	 	 	 	 	 
158007	2	98	 	 	 	 	 
158007	3	98	 	 	 	 	 
158008	1	98	 	 	 	 	 
158008	2	98	 	 	 	 	 
158008	3	98	 	 	 	 	 
158009	1	98	 	 	 	 	 
158009	2	98	 	 	 	 	 
158009	3	98	 	 	 	 	 
158010	1	28	 	 	 	 	4
158010	2	32	 	 	 	4	 
158010	3	36	 	 	 	3	 
158011	1	98	 	 	 	 	 
158011	2	98	 	 	 	 	 
158011	3	98	 	 	 	 	 
158013	1	98	 	 	 	 	 
158013	2	98	 	 	 	 	 
158013	3	98	 	 	 	 	 
158014	1	98	 	 	 	 	 
158014	2	98	 	 	 	 	 
158014	3	98	 	 	 	 	 
158015	1	98	 	 	 	 	 
158015	2	98	 	 	 	 	 
158015	3	98	 	 	 	 	 
158016	1	29	 	 	 	 	4
158016	2	28	 	 	 	 	4
158016	3	42	 	 	3	4	4
158018	1	40	 	 	 	3	 
158018	2	98	 	 	 	 	 
158018	3	98	 	 	 	 	 
158019	1	62	 	 	 	 	4
158019	2	41	 	 	 	 	4
158019	3	98	 	 	 	 	 
158021	1	45	 	 	 	4	 
158021	2	98	 	 	 	 	 
158021	3	98	 	 	 	 	 
158022	1	13	3	4	4	4	4
158022	2	98	 	 	 	 	 
158022	3	98	 	 	 	 	 
158023	1	98	 	 	 	 	 
158023	2	98	 	 	 	 	 
158023	3	98	 	 	 	 	 
158024	1	98	 	 	 	 	 
158024	2	98	 	 	 	 	 
158024	3	98	 	 	 	 	 
158025	1	39	 	 	 	4	4
158025	2	29	 	 	 	 	3
158025	3	41	 	 	 	 	3
158026	1	98	 	 	 	 	 
158026	2	98	 	 	 	 	 
158026	3	98	 	 	 	 	 
158032	1	98	 	 	 	 	 
158032	2	98	 	 	 	 	 
158032	3	98	 	 	 	 	 
158033	1	38	 	 	 	4	 
158033	2	98	 	 	 	 	 
158033	3	98	 	 	 	 	 
158034	1	98	 	 	 	 	 
158034	2	98	 	 	 	 	 
158034	3	98	 	 	 	 	 
158035	1	98	 	 	 	 	 
158035	2	98	 	 	 	 	 
158035	3	98	 	 	 	 	 
158036	1	1	 	 	 	4	 
158036	2	39	 	 	 	4	4
158036	3	98	 	 	 	 	 
158037	1	29	 	 	 	 	3
158037	2	98	 	 	 	 	 
158037	3	98	 	 	 	 	 
158038	1	5	 	 	 	4	 
158038	2	98	 	 	 	 	 
158038	3	98	 	 	 	 	 
158039	1	98	 	 	 	 	 
158039	2	98	 	 	 	 	 
158039	3	98	 	 	 	 	 
158040	1	5	 	2	 	 	 
158040	2	98	 	 	 	 	 
158040	3	98	 	 	 	 	 
158041	1	38	 	4	4	 	 
158041	2	37	 	4	4	 	 
158041	3	98	 	 	 	 	 
158042	1	29	 	 	 	 	4
158042	2	31	 	 	 	 	4
158042	3	28	 	 	 	 	4
158043	1	29	 	 	 	 	4
158043	2	28	 	 	4	 	4
158043	3	98	 	 	 	 	 
158044	1	98	 	 	 	 	 
158044	2	98	 	 	 	 	 
158044	3	98	 	 	 	 	 
158045	1	40	4	 	 	 	 
158045	2	98	 	 	 	 	 
158045	3	98	 	 	 	 	 
158047	1	98	 	 	 	 	 
158047	2	98	 	 	 	 	 
158047	3	98	 	 	 	 	 
158048	1	28	 	 	 	 	4
158048	2	98	 	 	 	 	 
158048	3	98	 	 	 	 	 
158049	1	2	 	 	 	 	4
158049	2	13	 	 	 	 	4
158049	3	25	 	 	 	 	4
158050	1	98	 	 	 	 	 
158050	2	98	 	 	 	 	 
158050	3	98	 	 	 	 	 
158051	1	98	 	 	 	 	 
158051	2	98	 	 	 	 	 
158051	3	98	 	 	 	 	 
158052	1	3	 	 	 	4	 
158052	2	45	 	4	 	 	 
158052	3	98	 	 	 	 	 
158053	1	98	 	 	 	 	 
158053	2	98	 	 	 	 	 
158053	3	98	 	 	 	 	 
158054	1	98	 	 	 	 	 
158054	2	98	 	 	 	 	 
158054	3	98	 	 	 	 	 
158055	1	28	 	 	 	 	4
158055	2	98	 	 	 	 	 
158055	3	98	 	 	 	 	 
158056	1	12	 	 	 	 	3
158056	2	13	 	 	 	 	3
158056	3	98	 	 	 	 	 
158057	1	42	 	 	 	2	2
158057	2	39	 	 	 	 	2
158057	3	20	 	 	 	 	2
168001	1	32	 	4	 	 	 
168001	2	27	 	 	3	4	4
168001	3	42	 	 	 	 	2
168002	1	45	 	 	 	4	4
168002	2	2	 	 	 	 	3
168002	3	98	 	 	 	 	 
168004	1	42	 	 	 	 	3
168004	2	2	 	 	 	 	3
168004	3	27	 	 	4	4	 
168005	1	27	 	 	 	4	 
168005	2	41	 	 	 	1	 
168005	3	98	 	 	 	 	 
168006	1	38	 	 	3	 	 
168006	2	27	 	 	3	3	2
168006	3	24	 	 	2	3	 
168007	1	37	 	 	4	 	 
168007	2	27	 	 	 	3	 
168007	3	98	 	 	 	 	 
168008	1	27	 	 	 	4	 
168008	2	29	 	 	 	4	 
168008	3	39	 	 	 	3	 
168009	1	27	 	2	2	2	 
168009	2	25	 	 	2	2	2
168009	3	41	 	 	 	 	2
168010	1	45	 	 	 	 	2
168010	2	39	 	 	2	 	 
168010	3	98	 	 	 	 	 
168011	1	38	 	 	 	2	 
168011	2	98	 	 	 	 	 
168011	3	98	 	 	 	 	 
168012	1	27	 	3	 	 	3
168012	2	98	 	 	 	 	 
168012	3	98	 	 	 	 	 
168013	1	27	 	 	 	3	 
168013	2	98	 	 	 	 	 
168013	3	98	 	 	 	 	 
168015	1	27	 	 	 	4	 
168015	2	42	 	 	2	 	 
168015	3	98	 	 	 	 	 
168016	1	2	3	 	 	 	 
168016	2	4	2	 	 	 	 
168016	3	27	 	 	 	3	 
168017	1	52	 	 	 	3	 
168017	2	37	 	 	4	 	 
168017	3	27	 	 	 	4	 
168018	1	14	 	 	 	 	4
168018	2	27	 	 	 	3	4
168018	3	38	 	 	 	 	2
168019	1	45	 	4	 	 	 
168019	2	98	 	 	 	 	 
168019	3	98	 	 	 	 	 
168020	1	98	 	 	 	 	 
168020	2	98	 	 	 	 	 
168020	3	98	 	 	 	 	 
168022	1	45	 	 	 	 	2
168022	2	98	 	 	 	 	 
168022	3	98	 	 	 	 	 
168023	1	25	 	 	2	2	 
168023	2	27	2	2	2	1	 
168023	3	98	 	 	 	 	 
168024	1	98	 	 	 	 	 
168024	2	98	 	 	 	 	 
168024	3	98	 	 	 	 	 
168025	1	45	 	 	3	 	 
168025	2	98	 	 	 	 	 
168025	3	98	 	 	 	 	 
178001	1	27	 	2	 	 	 
178001	2	25	 	2	1	1	 
178001	3	98	 	 	 	 	 
178002	1	38	 	 	4	 	 
178002	2	40	 	4	 	 	 
178002	3	2	 	 	 	 	3
178003	1	98	 	 	 	 	 
178003	2	98	 	 	 	 	 
178003	3	98	 	 	 	 	 
178004	1	38	 	 	 	 	1
178004	2	98	 	 	 	 	 
178004	3	98	 	 	 	 	 
178006	1	45	 	 	 	 	2
178006	2	98	 	 	 	 	 
178006	3	98	 	 	 	 	 
178007	1	62	 	 	3	3	 
178007	2	98	 	 	 	 	 
178007	3	98	 	 	 	 	 
178009	1	15	 	 	 	4	 
178009	2	42	 	 	 	 	4
178009	3	53	 	 	 	 	3
178010	1	98	 	 	 	 	 
178010	2	98	 	 	 	 	 
178010	3	98	 	 	 	 	 
178011	1	45	 	 	 	 	4
178011	2	39	 	 	 	3	 
178011	3	41	 	 	 	3	 
178013	1	39	 	 	3	 	 
178013	2	4	 	 	 	2	 
178013	3	56	2	 	 	 	 
178015	1	98	 	 	 	 	 
178015	2	98	 	 	 	 	 
178015	3	98	 	 	 	 	 
178019	1	45	 	 	 	2	 
178019	2	98	 	 	 	 	 
178019	3	98	 	 	 	 	 
178020	1	2	 	 	 	 	4
178020	2	98	 	 	 	 	 
178020	3	98	 	 	 	 	 
178021	1	98	 	 	 	 	 
178021	2	98	 	 	 	 	 
178021	3	98	 	 	 	 	 
178022	1	98	 	 	 	 	 
178022	2	98	 	 	 	 	 
178022	3	98	 	 	 	 	 
178024	1	41	 	 	 	 	3
178024	2	98	 	 	 	 	 
178024	3	98	 	 	 	 	 
178025	1	98	 	 	 	 	 
178025	2	98	 	 	 	 	 
178025	3	98	 	 	 	 	 
178026	1	36	 	 	 	1	 
178026	2	98	 	 	 	 	 
178026	3	98	 	 	 	 	 
178027	1	2	 	 	 	 	2
178027	2	98	 	 	 	 	 
178027	3	98	 	 	 	 	 
178028	1	98	 	 	 	 	 
178028	2	98	 	 	 	 	 
178028	3	98	 	 	 	 	 
178029	1	5	 	 	 	2	 
178029	2	41	 	 	 	 	1
178029	3	98	 	 	 	 	 
178030	1	38	 	 	 	3	 
178030	2	37	 	 	 	2	 
178030	3	98	 	 	 	 	 
178031	1	98	 	 	 	 	 
178031	2	98	 	 	 	 	 
178031	3	98	 	 	 	 	 
178035	1	38	 	 	2	 	 
178035	2	98	 	 	 	 	 
178035	3	98	 	 	 	 	 
178036	1	27	 	2	 	 	 
178036	2	29	 	2	 	 	 
178036	3	98	 	 	 	 	 
188001	1	98	 	 	 	 	 
188001	2	98	 	 	 	 	 
188001	3	98	 	 	 	 	 
188002	1	27	 	 	 	 	4
188002	2	98	 	 	 	 	 
188002	3	98	 	 	 	 	 
188003	1	45	 	 	 	4	 
188003	2	98	 	 	 	 	 
188003	3	98	 	 	 	 	 
188004	1	39	 	3	 	 	 
188004	2	98	 	 	 	 	 
188004	3	98	 	 	 	 	 
188005	1	27	 	 	 	 	2
188005	2	29	 	 	 	 	2
188005	3	98	 	 	 	 	 
188006	1	27	 	 	3	3	 
188006	2	4	 	 	 	4	 
188006	3	28	 	 	 	3	3
188007	1	98	 	 	 	 	 
