CHILDCODE	NONFODR4	BGHTR4	SPYRR4
38006	5	0	 
38006	6	1	250
38006	7	0	 
38006	8	0	 
38006	17	1	250
38006	23	0	 
38006	30	0	 
38006	31	0	 
38007	1	1	600
38007	2	0	 
38007	3	0	 
38007	4	0	 
38007	5	1	240
38007	6	0	 
38007	7	0	 
38007	8	0	 
38007	17	1	50
38007	23	0	 
38007	30	0	 
38007	31	0	 
38008	1	1	250
38008	2	1	520
38008	3	0	 
38008	4	1	170
38008	5	0	 
38008	6	1	330
38008	7	0	 
38008	8	0	 
38008	17	1	175
38008	23	1	750
38008	30	0	 
38008	31	0	 
38010	1	1	100
38010	2	0	 
38010	3	1	60
38010	4	0	 
38010	5	0	 
38010	6	1	20
38010	7	1	30
38010	8	0	 
38010	17	0	 
38010	23	0	 
38010	30	0	 
38010	31	0	 
38011	1	1	535
38011	2	1	400
38011	3	0	 
38011	4	1	2400
38011	5	1	400
38011	6	1	250
38011	7	0	 
38011	8	1	70
38011	17	1	460
38011	23	1	8460
38011	30	0	 
38011	31	0	 
38012	1	0	 
38012	2	0	 
38012	3	0	 
38012	4	1	75
38012	5	1	30
38012	6	0	 
38012	7	0	 
38012	8	1	45
38012	17	0	 
38012	23	0	 
38012	30	0	 
38012	31	0	 
38013	1	1	700
38013	2	1	500
38013	3	0	 
38013	4	0	 
38013	5	1	500
38013	6	1	300
38013	7	0	 
38013	8	0	 
38013	17	0	 
38013	23	0	 
38013	30	0	 
38013	31	0	 
38015	1	0	 
38015	2	1	6
38015	3	1	25
38015	4	0	 
38015	5	0	 
38015	6	1	30
38015	7	1	20
38015	8	0	 
38015	17	1	150
38015	23	0	 
38015	30	0	 
38015	31	0	 
38017	1	1	150
38017	2	1	150
38017	3	0	 
38017	4	1	300
38017	5	1	50
38017	6	1	30
38017	7	0	 
38017	8	1	25
38017	17	1	300
38017	23	0	 
38017	30	0	 
38017	31	0	 
38019	1	0	 
38019	2	1	600
38019	3	0	 
38019	4	0	 
38019	5	0	 
38019	6	1	100
38019	7	0	 
38019	8	0	 
38019	17	1	155
38019	23	0	 
38019	30	0	 
38019	31	0	 
38020	1	0	 
38020	2	0	 
38020	3	0	 
38020	4	0	 
38020	5	0	 
38020	6	1	4,5
38020	7	1	33
38020	8	1	9
38020	17	0	 
38020	23	0	 
38020	30	0	 
38020	31	0	 
38021	1	1	300
38021	2	0	 
38021	3	0	 
38021	4	0	 
38021	5	1	200
38021	6	0	 
38021	7	0	 
38021	8	0	 
38021	17	1	50
38021	23	0	 
38021	30	0	 
38021	31	0	 
38022	1	1	300
38022	2	1	50
38022	3	0	 
38022	4	0	 
38022	5	1	100
38022	6	1	50
38022	7	0	 
38022	8	0	 
38022	17	1	100
38022	23	0	 
38022	30	0	 
38022	31	0	 
38023	1	1	300
38023	2	1	120
38023	3	0	 
38023	4	1	100
38023	5	1	300
38023	6	1	50
38023	7	0	 
38023	8	1	100
38023	17	1	40
38023	23	1	5000
38023	30	0	 
38023	31	0	 
38024	1	1	800
38024	2	0	 
38024	3	0	 
38024	4	0	 
38024	5	1	400
38024	6	0	 
38024	7	0	 
38024	8	0	 
38024	17	1	40
38024	23	0	 
38024	30	0	 
38024	31	0	 
38025	1	0	 
38025	2	0	 
38025	3	0	 
38025	4	0	 
38025	5	1	100
38025	6	1	70
38025	7	0	 
38025	8	0	 
38025	17	0	 
38025	23	0	 
38025	30	1	300
38025	31	0	 
48001	1	1	1000
48001	2	1	1500
48001	3	0	 
48001	4	1	600
48001	5	1	400
48001	6	1	600
48001	7	0	 
48001	8	1	100
48001	17	1	250
48001	23	1	900
48001	30	0	 
48001	31	0	 
48002	1	1	65
48002	2	1	50
48002	3	1	100
48002	4	0	 
48002	5	1	45
48002	6	0	 
48002	7	1	80
48002	8	0	 
48002	17	0	 
48002	23	0	 
48002	30	0	 
48002	31	0	 
48003	1	0	 
48003	2	0	 
48003	3	0	 
48003	4	0	 
48003	5	1	90
48003	6	1	6
48003	7	1	70
48003	8	0	 
48003	17	0	 
48003	23	1	1700
48003	30	0	 
48003	31	0	 
48004	1	1	150
48004	2	1	20
48004	3	0	 
48004	4	0	 
48004	5	1	120
48004	6	0	 
48004	7	0	 
48004	8	0	 
48004	17	0	 
48004	23	0	 
48004	30	0	 
48004	31	0	 
48005	1	1	1000
48005	2	1	400
48005	3	1	1500
48005	4	0	 
48005	5	1	350
48005	6	1	400
48005	7	1	300
48005	8	0	 
48005	17	0	 
48005	23	0	 
48005	30	0	 
48005	31	0	 
48006	1	1	360
48006	2	1	80
48006	3	0	 
48006	4	0	 
48006	5	1	500
48006	6	1	65
48006	7	0	 
