CHILDCODE	LVSKIDR4	AYANR4	NMAMR4	VLAMR4	CHDSANR4
28002	6	0	 	 	 
28002	9	1	3	450	1
28002	13	0	 	 	 
28002	14	0	 	 	 
28002	15	1	6	600	1
28002	16	1	10	200	1
28002	17	0	 	 	 
28002	51	0	 	 	 
28002	52	0	 	 	 
28002	53	0	 	 	 
28002	54	0	 	 	 
28002	55	0	 	 	 
28002	56	0	 	 	 
28002	57	0	 	 	 
28002	58	0	 	 	 
28003	1	0	 	 	 
28003	2	0	 	 	 
28003	6	0	 	 	 
28003	9	0	 	 	 
28003	13	0	 	 	 
28003	14	1	150	22500	1
28003	15	1	10	4300	1
28003	16	1	10	100	1
28003	17	0	 	 	 
28003	51	0	 	 	 
28003	52	0	 	 	 
28003	53	0	 	 	 
28003	54	0	 	 	 
28003	55	0	 	 	 
28003	56	0	 	 	 
28003	57	0	 	 	 
28003	58	0	 	 	 
28004	1	0	 	 	 
28004	2	0	 	 	 
28004	6	0	 	 	 
28004	9	0	 	 	 
28004	13	1	50	4500	1
28004	14	1	10	600	1
28004	15	1	1	50	1
28004	16	1	10	100	1
28004	17	0	 	 	 
28004	51	0	 	 	 
28004	52	0	 	 	 
28004	53	0	 	 	 
28004	54	0	 	 	 
28004	55	0	 	 	 
28004	56	0	 	 	 
28004	57	0	 	 	 
28004	58	0	 	 	 
28006	1	0	 	 	 
28006	2	0	 	 	 
28006	6	0	 	 	 
28006	9	1	1	350	1
28006	13	1	3	280	1
28006	14	0	 	 	 
28006	15	0	 	 	 
28006	16	1	23	190	1
28006	17	0	 	 	 
28006	51	0	 	 	 
28006	52	0	 	 	 
28006	53	0	 	 	 
28006	54	0	 	 	 
28006	55	0	 	 	 
28006	56	0	 	 	 
28006	57	0	 	 	 
28006	58	0	 	 	 
28007	1	0	 	 	 
28007	2	0	 	 	 
28007	6	0	 	 	 
28007	9	0	 	 	 
28007	13	1	2	120	0
28007	14	0	 	 	 
28007	15	0	 	 	 
28007	16	1	7	35	0
28007	17	0	 	 	 
28007	51	0	 	 	 
28007	52	0	 	 	 
28007	53	0	 	 	 
28007	54	0	 	 	 
28007	55	0	 	 	 
28007	56	0	 	 	 
28007	57	0	 	 	 
28007	58	0	 	 	 
28008	1	0	 	 	 
28008	2	0	 	 	 
28008	6	0	 	 	 
28008	9	0	 	 	 
28008	13	0	 	 	 
28008	14	0	 	 	 
28008	15	0	 	 	 
28008	16	1	12	205	1
28008	17	1	7	70	1
28008	51	0	 	 	 
28008	52	1	6	60	1
28008	53	0	 	 	 
28008	54	0	 	 	 
28008	55	0	 	 	 
28008	56	0	 	 	 
28008	57	0	 	 	 
28008	58	0	 	 	 
