CHILDCODE	HHITMIDR4	OWNITMR4	NUMOWNR4
18034	9	1	1
18034	10	1	3
18034	11	1	1
18034	12	1	1
18034	15	1	1
18034	20	0	 
18034	21	1	1
18034	22	1	1
18034	23	1	1
18034	24	0	 
18034	25	0	 
18034	26	0	 
18034	27	0	 
18034	28	1	1
18034	29	0	 
18034	30	0	 
18034	31	0	 
18035	3	0	 
18035	4	1	2
18035	5	1	1
18035	6	0	 
18035	7	0	 
18035	8	0	 
18035	9	1	1
18035	10	1	1
18035	11	1	1
18035	12	1	1
18035	15	1	1
18035	20	0	 
18035	21	1	6
18035	22	1	1
18035	23	1	1
18035	24	0	 
18035	25	1	1
18035	26	1	1
18035	27	0	 
18035	28	1	1
18035	29	0	 
18035	30	0	 
18035	31	0	 
18036	3	0	 
18036	4	1	2
18036	5	0	 
18036	6	0	 
18036	7	1	1
18036	8	0	 
18036	9	0	 
18036	10	1	4
18036	11	0	 
18036	12	1	1
18036	15	1	1
18036	20	0	 
18036	21	1	2
18036	22	1	1
18036	23	1	1
18036	24	1	1
18036	25	1	1
18036	26	0	 
18036	27	0	 
18036	28	0	 
18036	29	0	 
18036	30	0	 
18036	31	0	 
18037	3	0	 
18037	4	1	3
18037	5	1	1
18037	6	0	 
18037	7	0	 
18037	8	0	 
18037	9	1	1
18037	10	1	3
18037	11	1	1
18037	12	1	1
18037	15	1	1
18037	20	0	 
18037	21	1	1
18037	22	1	1
18037	23	1	1
18037	24	0	 
18037	25	1	1
18037	26	0	 
18037	27	0	 
18037	28	0	 
18037	29	0	 
18037	30	0	 
18037	31	0	 
18038	3	0	 
18038	4	1	1
18038	5	1	1
18038	6	0	 
18038	7	0	 
18038	8	0	 
18038	9	0	 
18038	10	1	2
18038	11	0	 
18038	12	0	 
18038	15	0	 
18038	20	0	 
18038	21	0	 
18038	22	0	 
18038	23	0	 
18038	24	1	1
18038	25	1	1
18038	26	0	 
18038	27	0	 
18038	28	0	 
18038	29	0	 
18038	30	1	1
18038	31	0	 
18039	3	0	 
18039	4	1	1
18039	5	0	 
18039	6	0	 
18039	7	0	 
18039	8	0	 
18039	9	0	 
18039	10	1	2
18039	11	0	 
18039	12	1	1
18039	15	0	 
18039	20	0	 
18039	21	0	 
18039	22	1	1
18039	23	0	 
18039	24	0	 
18039	25	1	1
18039	26	0	 
18039	27	0	 
18039	28	0	 
18039	29	0	 
18039	30	0	 
18039	31	0	 
18040	3	0	 
18040	4	1	1
18040	5	0	 
18040	6	0	 
18040	7	0	 
18040	8	0	 
18040	9	0	 
18040	10	1	2
18040	11	1	1
18040	12	1	1
18040	15	1	1
18040	20	0	 
18040	21	1	1
18040	22	1	1
18040	23	1	1
18040	24	1	1
18040	25	0	 
18040	26	0	 
18040	27	0	 
18040	28	0	 
18040	29	0	 
18040	30	0	 
18040	31	0	 
18041	3	0	 
18041	4	1	1
18041	5	1	1
18041	6	0	 
18041	7	0	 
18041	8	0	 
18041	9	0	 
18041	10	1	4
18041	11	1	1
18041	12	1	1
18041	15	0	 
18041	20	0	 
18041	21	1	1
18041	22	0	 
18041	23	1	1
18041	24	1	1
18041	25	1	1
18041	26	1	1
18041	27	0	 
18041	28	0	 
18041	29	0	 
18041	30	0	 
18041	31	0	 
18042	3	0	 
18042	4	1	2
18042	5	0	 
18042	6	0	 
18042	7	0	 
18042	8	1	1
18042	9	1	1
18042	10	1	3
18042	11	1	1
18042	12	1	1
18042	15	1	1
18042	20	0	 
18042	21	1	1
18042	22	1	1
18042	23	1	1
18042	24	0	 
18042	25	1	1
18042	26	0	 
18042	27	0	 
18042	28	0	 
18042	29	0	 
18042	30	0	 
18042	31	0	 
18043	3	0	 
18043	4	1	1
18043	5	1	1
18043	6	0	 
18043	7	0	 
18043	8	1	1
18043	9	1	1
18043	10	1	4
18043	11	1	1
18043	12	1	1
18043	15	1	1
18043	20	0	 
18043	21	0	 
18043	22	1	1
18043	23	1	1
18043	24	1	1
18043	25	1	1
18043	26	0	 
18043	27	0	 
18043	28	0	 
18043	29	0	 
18043	30	0	 
18043	31	0	 
18044	3	0	 
18044	4	1	1
18044	5	0	 
18044	6	0	 
18044	7	1	2
18044	8	0	 
18044	9	0	 
18044	10	1	1
18044	11	1	1
18044	12	1	1
18044	15	0	 
18044	20	0	 
18044	21	0	 
18044	22	1	1
18044	23	1	1
18044	24	0	 
18044	25	0	 
18044	26	0	 
18044	27	0	 
18044	28	0	 
18044	29	0	 
18044	30	0	 
18044	31	0	 
18045	3	0	 
18045	4	0	 
18045	5	1	1
18045	6	0	 
18045	7	0	 
18045	8	0	 
18045	9	0	 
18045	10	1	2
18045	11	0	 
18045	12	1	1
18045	15	0	 
18045	20	0	 
18045	21	0	 
18045	22	1	1
18045	23	1	1
18045	24	0	 
18045	25	0	 
18045	26	0	 
18045	27	0	 
18045	28	0	 
18045	29	0	 
18045	30	0	 
18045	31	0	 
18046	3	0	 
18046	4	1	1
18046	5	0	 
18046	6	0	 
18046	7	0	 
18046	8	0	 
18046	9	1	1
18046	10	1	3
18046	11	1	1
18046	12	1	1
18046	15	1	1
18046	20	0	 
18046	21	1	1
18046	22	1	1
18046	23	1	1
18046	24	0	 
18046	25	0	 
18046	26	1	1
18046	27	0	 
18046	28	0	 
18046	29	0	 
18046	30	0	 
18046	31	0	 
18047	3	0	 
18047	4	1	1
18047	5	0	 
18047	6	0	 
18047	7	1	1
18047	8	0	 
18047	9	0	 
18047	10	1	1
18047	11	0	 
18047	12	1	1
18047	15	0	 
18047	20	0	 
18047	21	1	1
18047	22	1	1
18047	23	0	 
18047	24	0	 
18047	25	0	 
18047	26	0	 
18047	27	0	 
18047	28	0	 
18047	29	0	 
18047	30	0	 
18047	31	0	 
18048	3	0	 
18048	4	1	1
18048	5	0	 
18048	6	0	 
18048	7	0	 
18048	8	0	 
18048	9	0	 
18048	10	1	2
18048	11	0	 
18048	12	1	1
18048	15	1	1
18048	20	0	 
18048	21	1	1
18048	22	0	 
18048	23	1	1
18048	24	1	1
18048	25	1	1
18048	26	0	 
18048	27	0	 
18048	28	0	 
18048	29	0	 
18048	30	0	 
18048	31	0	 
18049	3	1	1
18049	4	1	1
18049	5	0	 
18049	6	0	 
18049	7	1	1
18049	8	0	 
18049	9	1	1
18049	10	1	1
18049	11	1	1
18049	12	1	1
18049	15	0	 
18049	20	0	 
18049	21	1	1
18049	22	1	1
18049	23	1	1
18049	24	0	 
18049	25	0	 
18049	26	0	 
18049	27	0	 
18049	28	0	 
18049	29	0	 
18049	30	0	 
18049	31	0	 
18050	3	0	 
18050	4	1	1
18050	5	0	 
18050	6	0	 
18050	7	0	 
18050	8	0	 
18050	9	1	1
18050	10	1	3
18050	11	0	 
18050	12	1	1
18050	15	0	 
18050	20	0	 
18050	21	1	1
18050	22	1	1
18050	23	1	1
18050	24	0	 
18050	25	1	1
18050	26	0	 
18050	27	0	 
18050	28	0	 
18050	29	0	 
18050	30	0	 
18050	31	0	 
28001	3	0	 
28001	4	1	1
28001	5	0	 
28001	6	0	 
28001	7	1	3
28001	8	0	 
28001	9	0	 
28001	10	1	5
28001	11	0	 
28001	12	0	 
28001	15	0	 
28001	20	0	 
28001	21	0	 
28001	22	1	1
28001	23	0	 
28001	24	1	1
28001	25	1	1
28001	26	0	 
28001	27	0	 
28001	28	0	 
28001	29	0	 
28001	30	0	 
28001	31	0	 
28002	3	0	 
28002	4	1	1
28002	5	1	1
28002	6	0	 
28002	7	1	1
28002	8	0	 
28002	9	0	 
28002	10	1	3
28002	11	0	 
28002	12	0	 
28002	15	0	 
28002	20	0	 
28002	21	0	 
28002	22	0	 
28002	23	0	 
28002	24	0	 
28002	25	1	1
28002	26	0	 
28002	27	0	 
28002	28	0	 
28002	29	0	 
28002	30	0	 
28002	31	0	 
28003	3	0	 
28003	4	1	1
28003	5	1	1
28003	6	0	 
28003	7	1	1
28003	8	0	 
28003	9	0	 
28003	10	1	3
28003	11	1	1
28003	12	1	1
28003	15	0	 
28003	20	0	 
28003	21	1	1
28003	22	1	1
28003	23	1	1
28003	24	0	 
28003	25	1	1
28003	26	0	 
28003	27	0	 
28003	28	0	 
28003	29	0	 
28003	30	0	 
28003	31	0	 
28004	3	1	1
28004	4	1	1
28004	5	1	1
28004	6	0	 
28004	7	1	1
28004	8	0	 
28004	9	0	 
28004	10	1	2
28004	11	0	 
28004	12	0	 
28004	15	0	 
28004	20	0	 
28004	21	0	 
28004	22	1	1
28004	23	1	1
28004	24	0	 
28004	25	0	 
28004	26	0	 
28004	27	0	 
28004	28	0	 
28004	29	0	 
28004	30	0	 
28004	31	0	 
28006	3	0	 
28006	4	1	1
28006	5	0	 
28006	6	0	 
28006	7	1	1
28006	8	0	 
28006	9	0	 
28006	10	1	4
28006	11	1	1
28006	12	1	1
28006	15	0	 
28006	20	0	 
28006	21	0	 
28006	22	1	1
28006	23	0	 
28006	24	0	 
28006	25	1	1
28006	26	0	 
28006	27	0	 
28006	28	0	 
28006	29	0	 
28006	30	0	 
28006	31	0	 
28007	3	0	 
28007	4	1	1
28007	5	0	 
28007	6	0	 
28007	7	0	 
28007	8	1	1
28007	9	0	 
28007	10	1	1
28007	11	0	 
28007	12	0	 
28007	15	0	 
28007	20	0	 
28007	21	0	 
28007	22	0	 
28007	23	0	 
28007	24	0	 
28007	25	0	 
28007	26	0	 
28007	27	0	 
28007	28	0	 
28007	29	0	 
28007	30	0	 
28007	31	0	 
28008	3	0	 
28008	4	1	1
28008	5	0	 
28008	6	0	 
28008	7	0	 
28008	8	0	 
28008	9	0	 
28008	10	1	3
28008	11	0	 
28008	12	0	 
28008	15	0	 
28008	20	0	 
28008	21	0	 
28008	22	1	1
28008	23	0	 
28008	24	0	 
28008	25	1	1
28008	26	0	 
28008	27	0	 
28008	28	0	 
28008	29	0	 
28008	30	0	 
28008	31	0	 
28009	3	0	 
28009	4	1	1
28009	5	1	1
28009	6	1	1
28009	7	0	 
28009	8	0	 
28009	9	0	 
28009	10	1	2
28009	11	1	1
28009	12	1	1
28009	15	0	 
28009	20	0	 
28009	21	0	 
28009	22	0	 
28009	23	1	1
28009	24	0	 
28009	25	1	1
28009	26	0	 
28009	27	0	 
28009	28	0	 
28009	29	0	 
28009	30	0	 
28009	31	0	 
28011	3	0	 
28011	4	1	1
28011	5	0	 
28011	6	0	 
28011	7	1	1
28011	8	0	 
28011	9	0	 
28011	10	1	2
28011	11	1	1
28011	12	1	1
28011	15	0	 
28011	20	0	 
28011	21	1	1
28011	22	1	1
28011	23	1	1
28011	24	1	1
28011	25	1	1
28011	26	0	 
28011	27	0	 
28011	28	0	 
28011	29	0	 
28011	30	0	 
28011	31	0	 
28012	3	0	 
28012	4	1	1
28012	5	0	 
28012	6	0	 
28012	7	1	1
28012	8	0	 
28012	9	0	 
28012	10	1	1
28012	11	1	1
28012	12	1	1
28012	15	0	 
28012	20	0	 
28012	21	0	 
28012	22	0	 
28012	23	0	 
28012	24	0	 
28012	25	0	 
28012	26	0	 
28012	27	0	 
28012	28	0	 
28012	29	0	 
28012	30	0	 
28012	31	0	 
28013	3	0	 
28013	4	1	1
28013	5	0	 
28013	6	0	 
28013	7	0	 
28013	8	1	1
28013	9	0	 
28013	10	1	2
28013	11	1	1
28013	12	0	 
28013	15	0	 
28013	20	0	 
28013	21	1	1
28013	22	1	1
28013	23	1	1
28013	24	0	 
28013	25	1	1
28013	26	0	 
28013	27	0	 
28013	28	0	 
28013	29	0	 
28013	30	0	 
28013	31	0	 
28014	3	0	 
28014	4	0	 
28014	5	0	 
28014	6	0	 
28014	7	1	1
28014	8	0	 
28014	9	0	 
28014	10	1	2
28014	11	0	 
28014	12	0	 
28014	15	0	 
28014	20	0	 
28014	21	0	 
28014	22	0	 
28014	23	0	 
28014	24	0	 
28014	25	0	 
28014	26	0	 
28014	27	0	 
28014	28	0	 
28014	29	0	 
28014	30	0	 
28014	31	0	 
28015	3	0	 
28015	4	1	1
28015	5	1	1
28015	6	0	 
28015	7	0	 
28015	8	0	 
28015	9	0	 
28015	10	0	 
28015	11	0	 
28015	12	0	 
28015	15	0	 
28015	20	0	 
28015	21	0	 
28015	22	0	 
28015	23	0	 
28015	24	0	 
28015	25	0	 
28015	26	0	 
28015	27	0	 
28015	28	0	 
28015	29	0	 
28015	30	0	 
28015	31	0	 
28016	3	0	 
28016	4	1	1
28016	5	0	 
28016	6	0	 
28016	7	0	 
28016	8	0	 
28016	9	0	 
28016	10	1	4
28016	11	1	1
28016	12	1	1
28016	15	0	 
28016	20	0	 
28016	21	1	1
28016	22	1	1
28016	23	1	1
28016	24	1	1
28016	25	0	 
28016	26	0	 
28016	27	0	 
28016	28	0	 
28016	29	0	 
28016	30	0	 
28016	31	0	 
28017	3	0	 
28017	4	1	1
28017	5	0	 
28017	6	0	 
28017	7	1	1
28017	8	1	2
28017	9	0	 
28017	10	1	2
28017	11	1	1
28017	12	0	 
28017	15	0	 
28017	20	0	 
28017	21	1	1
28017	22	1	1
28017	23	0	 
28017	24	0	 
28017	25	1	1
28017	26	0	 
28017	27	0	 
28017	28	0	 
28017	29	0	 
28017	30	0	 
28017	31	0	 
28018	3	0	 
28018	4	1	1
28018	5	0	 
28018	6	0	 
28018	7	0	 
28018	8	0	 
28018	9	0	 
28018	10	1	2
28018	11	1	1
28018	12	1	1
28018	15	0	 
28018	20	0	 
28018	21	0	 
28018	22	1	1
28018	23	1	1
28018	24	0	 
28018	25	1	1
28018	26	0	 
28018	27	0	 
28018	28	0	 
28018	29	0	 
28018	30	0	 
28018	31	0	 
28020	3	0	 
28020	4	1	1
28020	5	0	 
28020	6	0	 
28020	7	0	 
28020	8	1	1
28020	9	0	 
28020	10	1	4
28020	11	1	1
28020	12	1	1
28020	15	0	 
28020	20	0	 
28020	21	0	 
28020	22	1	1
28020	23	0	 
28020	24	0	 
28020	25	0	 
28020	26	0	 
28020	27	0	 
28020	28	0	 
28020	29	0	 
28020	30	0	 
28020	31	0	 
28021	3	0	 
28021	4	1	2
28021	5	1	1
28021	6	0	 
28021	7	1	1
28021	8	0	 
28021	9	0	 
28021	10	1	3
28021	11	1	1
28021	12	1	1
28021	15	1	1
28021	20	0	 
28021	21	1	1
28021	22	1	1
28021	23	1	1
28021	24	0	 
28021	25	0	 
28021	26	1	1
28021	27	0	 
28021	28	0	 
28021	29	0	 
28021	30	0	 
28021	31	0	 
28022	3	0	 
28022	4	1	1
28022	5	1	1
28022	6	0	 
28022	7	1	1
28022	8	0	 
28022	9	0	 
28022	10	1	1
28022	11	1	1
28022	12	1	1
28022	15	0	 
28022	20	0	 
28022	21	1	1
28022	22	0	 
28022	23	1	1
28022	24	0	 
28022	25	1	1
28022	26	0	 
28022	27	0	 
28022	28	0	 
28022	29	0	 
28022	30	0	 
