childid	id	age	sex	relate	still	yrschool	disabled	support
ET031025	1	30	1	1	2	5	2	1
ET031025	2	29	2	1	2	2	2	2
ET031025	3	14	1	5	1	5	2	2
ET031025	4	12	2	5	1	4	2	2
ET031025	5	5	2	5	2	0	2	2
ET031026	1	46	1	3	2	3	2	2
ET031026	2	42	2	3	2	 	2	2
ET031026	3	29	2	1	2	7	2	1
ET031026	4	25	1	4	2	6	2	2
ET031026	5	21	1	4	2	4	2	2
ET031026	6	19	2	4	2	5	2	2
ET031026	7	17	1	4	1	4	2	2
ET031026	8	15	1	4	1	6	2	2
ET031026	9	13	1	4	1	2	2	2
ET031026	10	11	2	5	1	5	2	2
ET031027	1	32	1	1	1	12	2	1
ET031027	2	27	2	1	2	7	2	1
ET031027	3	10	1	5	1	5	2	2
ET031027	4	5	1	5	2	0	2	2
ET031028	1	50	1	3	2	6	2	1
ET031028	2	50	2	3	2	0	2	2
ET031028	3	34	1	4	2	12	2	2
