CHILDID	PLOT	LAREA	LOWN	LUSE
ET121030	3	5000	4	1
ET121030	4	2500	4	1
ET121030	5	1250	4	1
ET121030	6	625	4	8
ET121031	1	2500	4	1
ET121031	2	5000	4	1
ET121031	3	7500	3	1
ET121032	1	2500	4	1
ET121032	2	2500	4	1
ET121032	3	2500	4	1
ET121032	4	2500	4	1
ET121032	5	2500	4	1
ET121032	6	2500	4	1
ET121032	7	2500	4	1
ET121032	8	1250	4	1
ET121033	1	2500	4	1
ET121033	2	5000	4	1
ET121033	3	2500	4	1
ET121034	1	5000	4	1
ET121034	2	5000	4	1
ET121034	3	2500	4	1
ET121034	4	1250	4	1
ET121036	1	7500	4	1
ET121036	2	5000	1	1
ET121037	1	500	4	1
ET121037	2	1000	4	1
ET121037	3	500	4	1
ET121037	4	1000	4	1
ET121038	1	2500	4	1
ET121038	2	5000	4	1
ET121038	3	2500	4	1
ET121038	4	2500	4	1
ET121038	5	2500	4	1
ET121039	1	2500	4	1
ET121039	2	2500	4	1
ET121039	3	1250	4	1
ET121040	1	10000	4	1
ET121040	2	7500	4	1
ET121040	3	5000	4	1
ET121040	4	1250	4	2
ET121040	5	625	4	3
ET121041	1	5000	4	1
ET121041	2	5000	4	1
ET121041	3	625	4	2
ET121041	14	2500	4	3
ET121043	1	7500	4	1
ET121043	2	5000	4	1
ET121043	3	2500	4	1
ET121044	1	10000	4	1
ET121044	2	5000	4	1
ET121044	13	2500	4	1
ET121045	1	5000	4	1
ET121045	2	7500	3	1
ET121046	1	2500	4	1
ET121046	2	2500	4	1
ET121046	3	2500	4	1
ET121046	4	2500	4	1
ET121047	1	2500	4	1
ET121047	2	2500	4	1
ET121047	3	1250	4	1
ET121048	1	5000	4	1
ET121048	2	2500	2	1
ET121048	3	2500	3	1
ET121048	4	1250	4	1
ET121049	1	5000	4	1
ET121049	2	10000	4	1
ET121049	3	2500	3	1
ET121049	4	2500	4	1
ET121050	1	2500	4	1
ET121050	2	2500	4	1
