CHILDID	LOANID	LNSRCR3	LNTYPER3	DIFRPYR3
VN170101	1	7	2	3
VN170104	1	1	1	3
VN170112	1	8	2	1
VN170119	1	1	1	1
VN170126	1	1	1	3
VN170126	2	8	2	3
VN170132	1	7	2	3
VN170144	1	3	1	3
VN180001	1	7	2	2
VN180015	1	1	1	2
VN180016	1	1	1	2
VN180016	2	8	2	3
VN180025	1	1	1	2
VN180026	1	8	2	3
VN180029	1	8	2	1
VN180030	1	1	1	2
VN180031	1	3	1	3
VN180032	1	3	1	1
VN180035	1	1	1	2
VN180035	2	7	2	2
VN180037	1	8	2	3
VN180040	1	3	1	2
VN180043	1	1	1	1
VN180055	1	3	1	1
VN180056	1	1	1	3
VN180058	1	1	1	88
VN180062	1	3	1	1
VN180063	1	1	1	2
VN180064	1	3	1	1
VN180072	1	1	1	1
VN180072	2	7	2	2
VN180075	1	3	1	1
VN180076	1	3	1	1
VN180081	1	3	1	1
VN180082	1	1	1	1
VN180082	2	3	1	2
VN180082	3	8	2	2
VN180091	1	3	1	1
VN180099	1	1	1	1
VN180104	1	1	1	3
VN180104	2	7	2	3
VN180105	1	1	1	2
VN180107	1	3	1	1
VN180109	1	7	2	3
VN180112	1	3	1	2
VN180121	1	1	1	2
VN180128	1	5	1	3
VN190001	1	3	1	1
VN190004	1	8	2	2
VN190006	1	4	1	1
VN190008	1	3	1	3
VN190010	1	1	1	2
VN190011	1	1	1	3
VN190012	1	1	1	2
VN190012	2	8	2	2
VN190013	1	3	1	2
VN190013	2	8	2	2
VN190014	1	1	1	3
VN190015	1	5	1	1
VN190016	1	4	1	1
VN190018	1	1	1	2
VN190020	1	3	1	2
VN190020	2	8	2	2
VN190023	1	3	1	2
VN190023	2	7	2	2
VN190024	1	4	1	3
VN190024	2	7	2	3
VN190027	1	1	1	2
VN190028	1	2	1	2
VN190030	1	2	1	1
VN190031	1	4	1	2
VN190031	2	8	2	1
VN190037	1	1	1	2
VN190037	2	88	 	 
VN190038	1	1	1	3
VN190039	1	2	1	2
VN190040	1	1	1	2
VN190042	1	1	1	2
VN190043	1	2	1	1
VN190047	1	2	1	2
VN190051	1	1	1	2
VN190052	1	3	1	1
VN190052	2	1	1	1
VN190058	1	8	2	2
VN190060	1	7	2	3
VN190063	1	4	1	3
VN190063	88	 	 	 
VN190064	1	7	2	2
VN190067	1	1	1	2
VN190068	1	1	1	2
VN190069	1	1	1	1
VN190072	1	3	1	2
VN190074	1	8	2	1
VN190079	1	4	1	2
VN190079	2	7	2	2
VN190081	1	8	2	2
VN190083	1	8	2	2
VN190087	1	1	1	1
VN190087	2	8	2	1
VN190088	1	8	2	3
VN190088	2	88	 	 
VN190089	1	4	1	3
VN190089	2	7	2	3
VN190089	88	 	 	 
VN190093	1	1	1	2
VN190095	1	1	1	2
VN190096	1	2	1	1
VN190096	2	8	2	1
VN190098	1	1	1	1
VN190107	1	1	1	1
VN190113	1	1	1	1
VN190116	1	2	1	3
VN190118	1	2	1	2
VN190130	1	1	1	2
VN190130	2	88	99	99
VN200001	1	7	2	3
VN200003	1	2	1	3
VN200003	2	7	2	3
VN200007	1	7	2	3
VN200009	1	1	1	3
VN200009	2	8	2	1
VN200012	1	1	1	3
VN200013	1	3	1	3
VN200015	1	2	1	3
VN200015	2	10	1	3
VN200016	1	1	1	2
VN200016	2	8	2	2
VN200017	1	1	1	3
VN200020	1	1	1	2
VN200022	1	1	1	2
VN200032	1	6	1	2
VN200039	1	2	1	3
VN200040	1	2	1	2
VN200041	1	3	1	2
VN200041	2	8	2	2
VN200046	1	1	1	2
VN200047	1	1	1	1
VN200060	1	7	2	1
VN200061	1	1	1	3
VN200063	1	10	1	3
VN200063	2	7	2	3
VN200067	1	5	1	2
VN200067	2	8	2	3
VN200069	1	8	2	2
VN200075	1	2	1	2
VN200077	1	7	2	2
VN200083	1	7	2	1
VN200085	1	3	1	1
VN200086	1	3	1	2
VN200088	1	3	1	2
VN200090	1	1	1	1
VN200091	1	7	2	3
VN200092	1	10	1	2
VN200093	1	2	1	1
VN200094	1	1	1	2
VN200094	2	8	2	2
VN200095	1	1	1	1
VN200097	1	7	2	2
VN200099	1	8	2	2
VN200100	1	3	1	2
VN200113	1	3	1	3
VN200115	1	6	1	2
VN200115	2	8	2	2
VN200116	1	7	2	2
VN200129	1	1	1	3
VN200135	1	1	1	3
VN200148	1	5	1	2
VN200148	2	7	2	3
