CHILDID	OUTID	REMRELR3	REMESTR3	REMGODR3
VN040035	1	6	200	200
VN040035	2	5	0	250
VN040035	3	14	200	50
VN040037	1	5	500	0
VN040037	2	22	200	0
VN040039	1	22	150	0
VN040043	1	6	200	100
VN040043	2	5	0	100
VN040043	3	13	200	0
VN040043	4	22	500	0
VN040044	1	7	400	0
VN040047	1	22	100	0
VN040050	1	6	200	0
VN040050	2	5	100	0
VN040051	1	6	700	300
VN040051	2	5	0	500
VN040051	3	14	0	200
VN040051	4	22	200	0
VN040054	1	6	300	0
VN040054	2	5	300	0
VN040054	3	22	150	0
VN040055	1	5	0	100
VN040058	1	5	3000	0
VN040060	1	6	300	0
VN040061	1	22	3	0
VN040062	1	5	0	50
VN040063	1	6	400	200
VN040063	2	5	400	200
VN040066	1	6	1000	0
VN040069	1	5	900	-88
VN040070	1	5	0	50
VN040070	2	6	0	50
VN040071	1	6	0	200
VN040071	2	22	300	0
VN040076	1	22	20	-88
VN040079	1	13	400	0
VN040079	5	5	0	100
VN040079	6	6	0	100
VN040081	1	22	50	0
VN040081	2	6	300	0
VN040081	3	5	300	0
VN040082	1	5	0	300
VN040082	2	6	600	0
VN040082	3	22	200	0
VN040082	4	13	300	0
VN040084	1	19	100	-88
VN040085	1	6	0	200
VN040089	1	5	500	-88
VN040092	1	13	300	0
VN040092	2	5	100	0
VN040093	1	6	300	0
VN040093	2	5	300	0
VN040093	3	13	12000	0
VN040093	4	22	300	0
VN040095	1	6	100	100
VN040095	2	5	100	100
VN040095	3	19	100	-88
VN040096	1	6	-88	200
VN040096	2	5	100	-88
VN040098	1	6	100	-88
VN040098	2	5	100	-88
VN040098	3	19	50	-88
VN040100	1	22	50	0
VN040106	1	5	100	0
VN040106	2	6	100	0
VN040118	1	5	500	-88
VN040119	1	5	1000	100
VN040119	2	13	100	0
VN040119	3	22	100	0
VN040129	1	22	200	0
VN040129	2	5	400	0
VN040129	3	13	0	300
VN040143	1	19	100	0
VN040145	1	6	200	-88
VN040151	1	13	10000	1500
VN040151	2	22	100	0
VN040164	1	5	0	500
VN040164	2	6	2000	500
VN040171	1	6	0	210
VN040174	1	6	200	-88
VN040174	2	5	-88	200
VN040174	3	13	200	-88
VN050001	1	14	200	400
VN050002	1	18	500	1000
VN050002	2	13	1500	500
VN050003	1	14	400	600
VN050003	2	5	200	600
VN050007	1	14	50	120
VN050009	1	22	0	150
VN050012	1	5	5000	1000
VN050012	2	6	0	1000
VN050012	3	14	500	0
VN050013	1	5	1000	300
VN050014	1	5	0	50
VN050014	2	22	500	200
VN050018	1	6	200	0
VN050019	1	6	100	0
VN050021	1	14	200	0
VN050021	2	5	500	300
VN050022	1	5	300	200
VN050022	2	6	300	200
VN050022	3	14	1000	0
VN050023	1	5	1000	500
VN050023	2	13	0	500
VN050024	1	5	1500	200
VN050024	2	6	1500	200
VN050024	3	14	500	0
VN050028	1	5	500	200
VN050029	1	6	300	200
VN050033	1	5	600	200
VN050034	1	5	0	120
VN050036	1	5	100	150
VN050036	2	6	100	150
VN050036	3	14	200	0
VN050037	1	6	500	200
VN050038	1	5	500	300
VN050038	2	22	200	300
VN050047	1	14	500	0
VN050052	1	5	200	200
VN050052	2	14	120	0
VN050053	1	22	0	90
VN050059	1	22	200	100
VN050061	1	22	300	100
VN050062	1	6	500	200
VN050065	1	19	50	0
VN050070	1	22	0	250
VN050076	1	5	2000	500
VN050077	1	6	600	400
VN050078	1	22	300	100
VN050079	2	22	500	100
VN050079	1	5	2000	300
VN050082	1	19	100	0
VN050083	1	22	200	100
VN050085	1	19	200	0
VN050086	1	5	2000	0
VN050086	2	6	3000	200
VN050086	3	22	1500	400
VN050091	1	19	50	0
VN050091	2	14	200	0
VN050092	1	17	200	0
VN050092	2	22	0	200
VN050095	1	17	200	200
VN050098	1	5	200	100
VN050098	2	6	300	100
VN050098	3	22	0	200
VN050107	1	6	1000	500
VN050107	2	22	300	200
VN050114	1	22	0	300
VN060001	1	5	-88	200
VN060001	2	6	-88	200
VN060001	3	13	-88	400
VN060003	1	14	200	0
VN060004	1	22	1500	8000
VN060006	1	5	500	300
VN060006	2	9	3000	0
VN060007	1	17	300	0
VN060008	1	13	0	16
VN060008	2	5	0	20
VN060009	1	6	500	250
VN060009	2	11	0	200
VN060010	1	13	100	40
VN060010	2	22	300	500
VN060015	1	6	0	150
VN060015	2	14	0	100
VN060015	3	13	0	100
VN060016	1	5	300	150
VN060018	1	6	10000	12000
VN060018	2	13	8000	2000
VN060024	1	5	200	150
VN060024	2	13	0	200
VN060025	1	6	500	200
VN060027	1	6	1000	0
VN060027	2	5	1000	0
VN060027	3	13	1000	500
VN060027	4	22	0	500
VN060028	1	6	400	0
VN060028	2	22	0	60
VN060029	1	6	50	40
VN060029	2	5	200	200
VN060029	3	22	200	100
VN060033	1	18	200	0
VN060033	2	14	200	0
VN060033	3	22	700	0
VN060034	1	18	700	500
VN060034	2	22	300	200
VN060036	1	5	200	0
VN060036	2	13	0	50
VN060036	3	22	0	40
VN060037	1	5	300	200
VN060037	2	6	300	200
VN060037	3	13	400	0
VN060038	1	6	100	100
VN060040	1	6	0	150
VN060043	1	13	20000	0
VN060043	2	13	0	500
VN060047	1	13	4000	0
VN060052	1	17	200	100
VN060052	2	5	0	200
VN060052	3	6	0	200
VN060053	1	6	0	100
VN060053	2	13	0	100
VN060054	1	13	0	100
VN060054	2	5	0	150
VN060057	1	22	0	200
VN060058	1	6	500	300
VN060058	2	13	0	400
VN060059	1	22	300	200
VN060061	1	6	0	150
VN060061	2	13	0	100
VN060063	1	13	50	26
VN060063	2	13	100	96
VN060063	3	14	0	26
VN060063	4	22	0	140
VN060065	1	5	4000	500
VN060068	1	6	300	100
VN060068	2	13	0	300
VN060069	1	6	200	90
VN060069	2	5	200	90
VN060069	3	13	50	30
VN060073	1	5	0	100
VN060079	1	13	0	40
VN060081	1	5	2000	500
VN060081	2	22	1000	0
VN060082	1	6	0	30
VN060082	2	18	100	0
VN060082	3	22	0	30
VN060084	1	5	600	0
VN060084	2	13	0	100
VN060085	1	13	0	50
VN060086	1	13	0	100
VN060088	1	6	800	0
VN060088	2	5	100	0
VN060088	3	14	50	0
VN060092	1	22	30	0
VN060098	1	22	300	0
VN060100	1	5	400	200
VN060100	2	22	200	100
VN060103	1	5	200	300
VN060103	2	13	0	200
VN060103	3	14	0	300
VN060105	1	6	500	100
VN060111	1	22	50	50
VN060115	1	18	500	300
VN070001	1	22	10000	0
VN070004	1	22	240	0
VN070005	1	5	600	0
VN070006	1	5	0	500
VN070006	2	6	0	500
VN070008	1	22	50	0
VN070009	1	19	300	100
VN070010	1	22	300	0
VN070015	1	22	50	0
VN070017	1	22	100	0
VN070017	2	6	400	100
VN070017	3	5	300	100
VN070023	1	5	500	100
VN070023	2	6	500	100
VN070023	3	22	100	0
VN070024	1	22	100	0
VN070026	1	22	100	0
VN070029	1	22	100	0
VN070037	1	5	3000	1500
VN070039	1	18	1500	0
VN070049	1	5	1000	3000
VN070050	1	22	100	0
VN070053	1	22	50	0
VN070054	1	5	1500	0
VN070058	1	22	100	0
VN070060	1	6	3600	2400
VN070067	1	22	100	0
VN070073	1	6	2000	500
VN070075	1	18	1500	150
VN070076	1	6	3000	0
VN070077	1	6	2000	0
VN070081	1	22	100	0
VN070083	1	22	150	0
VN070085	1	22	1000	0
VN070085	2	5	1500	500
VN070086	1	6	3000	1000
VN070091	1	22	50	0
VN070092	1	6	0	200
VN070093	1	5	300	200
VN070093	2	22	100	0
VN070094	1	5	200	100
VN070094	2	6	200	150
