childid	id	memsex	age	relate	livhse	hsstrtr3	stryrr3	strmthr3	grader3	stillr3	whynotr3	agegrdr3	grdrpr3	perfr3	feesr3	disabr3	actr3	monthsr3	daysr3	hoursr3	sleepr3	nmeslpr3	chcarer3	hhchrer3	nmehhcr3	npywrkr3	nmenpyr3	paywrkr3	nmepayr3	schoolr3	studyr3	playr3	neg1day	ineg1w	ineg1wag	ineg2day	ineg2w	ineg2wag
IN010016	2	1	33	1	1	 	 	 	 	 	 	 	 	 	 	0	9	12	20	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010016	3	2	29	1	1	 	 	 	 	 	 	 	 	 	 	0	15	10	25	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010016	4	1	11	7	1	1	5	6	3	1	 	 	 	4	3000	0	17	10	24	7	9	 	0	0	 	0	 	0	 	8	1	6	 	 	 	 	 	 
IN010017	0	2	8	0	1	1	4	6	1	1	 	 	 	2	550	0	17	10	26	8	10	1	0	1	1	0	 	0	 	8	2	3	 	 	 	 	 	 
IN010017	1	1	42	1	1	 	 	 	 	 	 	 	 	 	 	0	12	12	26	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010017	2	2	33	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010017	3	2	13	7	1	1	4	6	4	1	 	 	 	3	550	0	17	10	26	8	9	 	1	1	 	0	 	0	 	8	2	3	 	 	 	 	 	 
IN010018	0	2	8	0	1	1	5	8	2	1	 	 	 	2	540	0	17	10	26	8	10	1	0	0	 	0	 	0	 	8	2	4	 	 	 	 	 	 
IN010018	1	1	33	1	1	 	 	 	 	 	 	 	 	 	 	0	10	12	26	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010018	2	2	28	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010018	3	1	7	7	1	1	6	6	0	1	 	 	 	1	525	0	17	10	26	8	10	 	0	0	 	0	 	0	 	8	2	4	 	 	 	 	 	 
IN010019	0	1	8	0	1	1	5	0	3	1	 	 	 	2	6000	0	17	11	23	11	8	1	0	0	 	0	 	0	 	11	1	4	 	 	 	 	 	 
IN010019	1	2	62	6	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010019	2	1	42	1	1	 	 	 	 	 	 	 	 	 	 	0	10	12	25	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010019	3	2	35	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010019	4	2	12	7	1	1	6	0	5	1	 	 	 	2	6500	0	17	11	23	11	8	 	0	0	 	0	 	0	 	11	1	4	 	 	 	 	 	 
IN010020	0	1	8	0	1	1	5	9	2	1	 	 	 	2	6000	0	17	11	23	11	8	1	0	0	 	0	 	0	 	11	0	5	 	 	 	 	 	 
IN010020	1	1	 	5	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010020	2	2	65	5	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010020	3	1	37	1	1	 	 	 	 	 	 	 	 	 	 	0	9	12	25	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010020	4	2	28	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010020	5	2	16	7	1	1	6	0	9	1	 	 	 	2	8000	0	17	11	23	12	8	 	0	0	 	0	 	0	 	11	0	5	 	 	 	 	 	 
IN010020	6	1	10	7	1	1	6	0	3	1	 	 	 	2	6000	0	17	11	23	11	7	 	0	0	 	0	 	0	 	12	2	3	 	 	 	 	 	 
IN010021	0	2	8	0	1	1	5	6	2	1	 	 	 	2	0	0	17	10	26	8	9	1	1	1	0	0	 	0	 	7	4	2	 	 	 	 	 	 
IN010021	1	1	31	1	1	 	 	 	 	 	 	 	 	 	 	0	12	9	15	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010021	2	2	27	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010021	3	1	7	7	1	1	5	6	0	1	 	 	 	3	0	0	17	10	24	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010021	4	1	3	7	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	9	 	0	0	 	0	 	0	 	7	2	6	 	 	 	 	 	 
IN010023	0	1	8	0	1	1	5	1	3	1	 	 	 	2	6000	0	17	11	23	12	8	0	0	0	 	0	 	0	 	12	0	4	 	 	 	 	 	 
IN010023	1	2	57	6	1	 	 	 	 	 	 	 	 	 	 	0	15	12	20	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010023	2	1	32	1	1	 	 	 	 	 	 	 	 	 	 	0	1	10	20	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010023	3	2	31	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010023	4	2	4	7	1	 	 	 	 	 	 	 	 	 	 	0	17	10	20	7	9	 	0	0	 	0	 	0	 	7	1	7	 	 	 	 	 	 
IN010024	0	2	8	0	1	1	5	0	3	1	 	 	 	2	0	0	17	10	25	7	8	1	0	0	 	0	 	0	 	7	1	8	 	 	 	 	 	 
IN010024	1	2	31	1	1	 	 	 	 	 	 	 	 	 	 	0	12	6	20	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010024	2	1	10	7	1	1	5	0	3	1	 	 	 	2	 	0	17	10	25	7	8	 	0	0	 	0	 	0	 	7	1	8	 	 	 	 	 	 
IN010025	0	1	8	0	1	1	5	0	3	1	 	 	 	2	6000	0	17	10	24	7	7	1	0	0	 	0	 	0	 	7	1	9	 	 	 	 	 	 
IN010025	1	2	74	6	1	 	 	 	 	 	 	 	 	 	 	4	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010025	2	1	49	1	1	 	 	 	 	 	 	 	 	 	 	0	10	12	26	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010025	3	2	45	13	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010025	4	2	42	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010025	5	1	26	13	1	 	 	 	 	 	 	 	 	 	 	0	10	12	26	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010025	6	2	27	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010026	0	2	8	0	1	1	5	0	2	1	 	 	 	2	6000	0	17	10	26	8	9	1	1	0	 	0	 	0	 	8	3	3	 	 	 	 	 	 
IN010026	1	2	59	6	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010026	2	1	34	1	1	 	 	 	 	 	 	 	 	 	 	0	10	12	24	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010026	3	1	30	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010026	4	2	27	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	9	 	0	0	 	0	 	0	 	8	3	4	 	 	 	 	 	 
IN010026	5	2	6	7	1	1	5	0	0	1	 	 	 	2	6200	0	17	10	26	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010027	0	2	8	0	1	1	4	6	2	1	 	 	 	2	500	0	17	10	26	8	10	1	0	0	 	0	 	0	 	8	3	3	 	 	 	 	 	 
IN010027	1	1	36	1	1	 	 	 	 	 	 	 	 	 	 	0	13	12	26	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010027	2	2	31	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010027	3	2	12	7	1	1	3	6	6	1	 	 	 	2	550	0	17	10	26	8	10	 	1	0	 	0	 	0	 	8	3	2	 	 	 	 	 	 
IN010028	0	1	8	0	1	1	6	0	2	1	 	 	 	2	5500	0	17	11	22	8	8	1	0	0	 	0	 	0	 	8	3	5	 	 	 	 	 	 
IN010028	1	1	70	6	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010028	2	2	68	6	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010028	3	1	40	1	1	 	 	 	 	 	 	 	 	 	 	0	9	12	24	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010028	4	2	38	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010028	5	2	13	13	1	1	6	0	7	1	 	 	 	2	6700	0	17	11	23	11	8	 	0	0	 	0	 	0	 	11	1	4	 	 	 	 	 	 
IN010028	28	2	11	7	1	1	6	0	5	1	 	 	 	2	6200	0	17	11	23	10	8	 	0	0	 	0	 	0	 	10	3	3	 	 	 	 	 	 
IN010029	0	2	7	0	1	1	5	0	2	1	 	 	 	4	1500	0	17	10	24	7	9	1	1	0	 	0	 	0	 	7	3	4	 	 	 	 	 	 
IN010029	1	1	36	1	1	 	 	 	 	 	 	 	 	 	 	0	13	12	24	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010029	2	2	32	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010029	3	1	5	7	1	1	5	0	0	1	 	 	 	4	1000	0	17	10	24	7	9	 	0	0	 	0	 	0	 	7	3	5	 	 	 	 	 	 
IN010029	4	2	64	6	2	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010030	0	1	8	0	1	1	6	8	1	1	 	 	 	2	2300	0	17	10	23	7	8	1	0	0	 	0	 	0	 	7	5	4	 	 	 	 	 	 
IN010030	1	2	57	6	1	 	 	 	 	 	 	 	 	 	 	0	15	12	20	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010030	2	1	34	1	1	 	 	 	 	 	 	 	 	 	 	0	10	12	22	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010030	3	2	33	1	1	 	 	 	 	 	 	 	 	 	 	0	10	12	22	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010030	4	2	5	7	1	1	5	0	0	1	 	 	 	2	2000	0	17	10	23	7	9	 	0	0	 	0	 	0	 	7	4	4	 	 	 	 	 	 
IN010031	0	2	8	0	1	1	6	0	2	1	 	 	 	2	5000	0	17	10	24	8	10	1	1	0	 	0	 	0	 	8	2	3	 	 	 	 	 	 
IN010031	1	1	39	1	1	 	 	 	 	 	 	 	 	 	 	0	10	12	24	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010031	2	2	32	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010031	3	2	6	7	1	1	5	0	0	1	 	 	 	2	3500	0	17	10	24	8	10	 	0	0	 	0	 	0	 	8	2	4	 	 	 	 	 	 
IN010031	4	1	35	13	1	 	 	 	 	 	 	 	 	 	 	0	10	12	24	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010031	5	2	28	13	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010031	6	2	0	14	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010032	0	1	8	0	1	1	5	4	3	1	 	 	 	2	5000	0	17	10	24	8	8	1	0	0	 	0	 	0	 	8	3	5	 	 	 	 	 	 
IN010032	1	1	37	1	1	 	 	 	 	 	 	 	 	 	 	0	10	12	24	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010032	2	2	30	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010032	3	1	12	7	1	1	5	0	6	1	 	 	 	1	7500	0	17	10	24	8	8	 	0	1	 	0	 	0	 	8	3	4	 	 	 	 	 	 
IN010033	0	2	8	0	1	1	6	4	1	1	 	 	 	2	20	0	17	10	24	6	10	1	0	0	 	0	 	0	 	6	4	4	 	 	 	 	 	 
