CHILDID	WORKID	ACTR3	ACTOWNR3	ACTMNYR3	ACTHPYR3
IN160090	2	24	1	0	4
IN160091	1	24	1	0	3
IN160093	1	24	1	0	4
IN160095	1	1	1	0	4
IN160096	1	24	1	0	2
IN160097	1	24	1	0	4
IN160097	2	1	1	0	4
IN160098	1	20	1	1	5
IN160099	1	22	1	0	5
IN170001	1	20	1	1	4
IN170001	2	22	1	1	5
IN170003	1	20	1	1	3
IN170003	2	22	1	1	3
IN170004	1	22	1	1	4
IN170005	1	7	1	0	4
IN170008	1	1	1	0	4
IN170009	1	22	1	1	4
IN170012	1	1	1	0	4
IN170012	2	24	1	0	4
IN170015	1	1	1	0	3
IN170015	2	20	1	0	3
IN170019	1	20	1	1	5
IN170020	1	20	1	1	3
IN170023	1	20	1	0	3
IN170024	1	20	1	1	2
IN170025	1	24	1	0	3
IN170026	1	20	1	1	3
IN170027	1	1	1	0	4
IN170028	1	20	1	0	2
IN170029	1	20	1	1	3
IN170030	1	1	1	1	1
IN170031	1	22	1	1	3
IN170032	1	20	1	1	5
IN170033	1	24	1	0	5
IN170033	2	22	1	1	4
IN170036	1	20	1	0	3
IN170037	1	1	1	0	4
IN170038	1	20	1	0	4
IN170042	1	20	1	0	4
IN170043	1	1	1	0	3
IN170047	1	20	1	1	3
IN170048	1	20	1	0	3
IN170049	1	20	1	1	4
IN170050	1	22	1	1	3
IN170051	1	1	1	1	3
IN170052	1	20	1	1	3
IN170054	1	1	1	0	5
IN170056	1	20	1	0	4
IN170057	1	1	1	0	5
IN170059	1	24	1	1	3
IN170062	1	1	1	0	2
IN170064	1	20	1	0	4
IN170065	1	20	1	1	3
IN170065	2	1	1	1	3
IN170066	1	20	1	1	4
IN170066	2	2	2	1	4
IN170068	1	20	1	1	3
IN170069	1	1	1	0	5
IN170072	1	24	1	0	3
IN170073	1	24	1	0	3
IN170073	2	22	1	1	4
IN170076	1	24	1	0	3
IN170077	1	20	1	0	3
IN170077	2	24	1	0	3
IN170079	1	23	1	1	3
IN170080	1	20	1	1	3
IN170080	2	22	1	1	4
IN170081	1	22	1	1	3
IN170082	1	20	1	1	4
IN170083	1	22	1	1	3
IN170086	1	1	1	0	5
IN170087	1	24	1	0	4
IN170087	2	22	1	1	3
IN170088	1	24	1	1	4
IN170091	1	1	1	0	5
