CHILDID	PASSID	NUMASTR3	ASSETR3	ASTACTR3	NUMOWNR3	VALASTR3
IN050099	1	2	30	7	2	80
IN050099	2	1	4	11	1	500
IN050099	3	2	1	11	2	120
IN050100	1	1	7	11	0	-88
IN050100	2	1	6	11	0	-88
IN050100	3	2	1	11	2	120
IN060001	1	4	1	11	4	400
IN060002	1	8	1	11	8	1000
IN060003	1	8	1	11	8	1000
IN060003	2	5	1	11	1	10000
IN060004	1	4	1	11	4	600
IN060005	1	4	1	11	4	600
IN060006	1	6	1	11	6	600
IN060007	1	3	1	11	3	300
IN060008	1	5	1	11	5	250
IN060008	2	5	12	7	5	700
IN060009	1	5	1	11	5	400
IN060011	1	4	4	11	2	1000
IN060011	2	6	2	11	6	300
IN060013	1	3	23	23	3	2000
IN060014	1	5	1	11	5	500
IN060015	1	6	1	11	6	700
IN060015	2	2	4	11	2	800
IN060016	1	2	4	11	2	1000
IN060016	2	4	8	11	4	500
IN060016	3	4	2	11	4	300
IN060017	1	4	1	11	4	500
IN060018	1	5	30	26	5	1000
IN060018	2	2	1	11	2	120
IN060019	1	2	1	11	2	300
IN060020	1	3	1	11	3	160
IN060021	1	4	1	11	4	500
IN060022	1	6	1	11	6	800
IN060023	1	3	1	11	1	300
IN060023	2	2	4	11	2	500
IN060024	1	2	4	11	2	1000
IN060024	2	4	2	11	4	300
IN060024	3	2	8	11	2	100
IN060025	1	5	1	11	4	400
IN060025	2	1	4	11	1	700
IN060025	3	1	3	11	1	400
IN060026	1	4	1	11	4	400
IN060027	1	2	1	11	2	150
IN060027	2	2	8	11	2	100
IN060028	1	5	1	11	5	600
IN060029	1	4	1	11	4	500
IN060030	1	2	1	11	2	200
IN060031	1	4	1	11	4	500
IN060032	1	2	1	11	2	100
IN060032	2	2	8	11	2	100
IN060033	1	5	1	11	5	700
IN060037	1	8	1	11	8	650
IN060037	2	2	4	11	4	800
IN060037	3	1	2	11	1	3000
IN060038	1	3	1	11	3	200
IN060039	1	1	25	24	1	70000
IN060041	1	1	1	5	1	50
IN060041	2	2	8	5	2	100
IN060042	1	1	4	11	1	500
IN060042	2	5	1	11	5	600
IN060043	1	2	4	11	2	1000
IN060043	2	4	1	11	4	500
IN060043	3	1	2	11	1	12000
IN060045	1	5	1	5	5	600
IN060046	1	3	1	11	3	300
IN060046	2	1	4	11	1	500
IN060047	1	4	4	11	1	1000
IN060049	1	5	1	11	5	400
IN060051	1	5	13	7	5	350
IN060051	2	3	1	11	3	300
IN060054	1	6	1	11	1	500
IN060054	2	1	7	11	0	0
IN060055	1	1	1	11	1	400
IN060055	2	1	7	11	0	-88
IN060056	1	1	12	32	1	600
IN060057	1	4	1	11	4	300
IN060057	2	1	7	11	0	-88
IN060058	1	5	1	11	5	200
IN060059	1	4	1	11	4	500
IN060060	1	5	1	11	5	300
IN060061	1	3	1	11	3	400
