CHILDID	SUPPRGID	SUPKNDR3	SUPWHOR3	SUPSRTR3	SUPENDR3	SUPFRQR3	SUPRIDR3	SUPEXPR3	SUPIMR301	SUPIMR302
IN030067	1	5	45	2009	2009	6	3	4	5	6
IN030068	1	5	36	2004	99	8	80	4	1	2
IN030068	2	12	36	2005	99	1	0	4	1	2
IN030069	1	5	45	2009	2009	6	2	4	5	2
IN030071	1	12	36	2007	99	1	0	1	1	6
IN030072	1	5	45	2008	2008	6	2	4	5	6
IN030073	1	16	45	2008	2008	4	2	4	4	1
IN030075	1	12	45	2009	2009	6	3	4	6	4
IN030079	1	5	36	2007	99	8	2	4	77	88
IN030080	1	5	36	2009	99	8	3	4	5	88
IN030082	1	5	36	2005	99	8	3	4	3	5
IN030083	1	5	36	2009	2009	8	2	1	5	2
IN030085	1	16	36	2007	99	1	0	4	1	4
IN030087	1	12	36	2008	99	8	80	1	4	1
IN030091	1	5	36	2005	99	6	2	4	1	5
IN030094	1	5	36	2006	99	8	4	4	77	88
IN030095	1	5	45	2009	2009	6	2	5	5	1
IN030096	1	16	36	2007	99	8	2	4	3	4
IN030098	1	5	36	2008	99	8	2	1	1	4
IN030098	2	12	36	2006	99	1	28	1	6	4
IN030099	1	5	36	2004	99	8	3	1	1	4
IN040001	1	3	36	2007	99	4	80	5	2	4
IN040001	2	16	36	2006	99	1	0	4	2	4
IN040001	3	19	36	2006	99	3	80	5	2	4
IN040001	4	16	44	2006	99	1	5	4	2	4
IN040002	1	5	45	2006	99	8	3	4	4	5
IN040002	2	3	36	2007	99	5	80	4	1	5
IN040002	3	16	44	2006	99	1	5	4	2	4
IN040002	4	12	36	2006	99	1	0	4	2	4
IN040003	1	3	36	2007	99	4	80	4	1	5
IN040003	2	16	36	2007	99	1	0	3	1	4
IN040003	3	16	44	2008	99	6	5	4	1	4
IN040003	4	5	36	2006	99	8	4	4	5	88
IN040004	1	5	36	2006	99	6	3	4	2	3
IN040004	2	16	44	2009	99	1	0	5	3	1
IN040004	3	19	43	2009	99	1	5	4	2	1
IN040005	1	3	36	2007	99	4	80	5	2	1
IN040005	2	16	36	2007	99	1	6	5	2	4
IN040005	3	5	45	2008	99	8	2	4	2	4
IN040005	4	16	44	2006	99	1	5	4	2	4
IN040006	1	3	36	2008	99	4	80	3	1	5
IN040006	2	12	46	2008	99	6	0	4	1	4
IN040006	3	16	44	2008	99	6	5	4	1	4
IN040006	4	5	45	2006	99	8	3	4	5	3
IN040007	1	3	36	2007	99	4	80	5	2	5
IN040007	2	5	45	2007	99	8	2	5	2	3
IN040007	3	16	36	2008	99	1	0	5	2	4
IN040007	4	16	44	2006	99	1	4	4	2	4
IN040008	1	5	36	1998	99	6	2	4	3	1
IN040008	2	16	36	2008	99	6	0	4	4	88
IN040008	3	12	46	2008	99	1	0	5	1	2
IN040008	4	3	36	2007	99	2	1	4	2	5
IN040008	5	16	44	2006	99	1	3	4	2	4
IN040009	1	16	44	2006	99	1	0	5	1	4
IN040009	2	5	45	2006	99	8	2	4	2	5
IN040009	3	3	36	2007	99	5	80	4	5	2
IN040010	1	16	44	2006	99	6	0	4	6	4
IN040010	2	5	45	1989	99	8	1	4	5	4
IN040010	3	16	44	2009	99	6	5	4	6	4
IN040010	4	3	36	2007	99	5	80	4	1	5
IN040011	1	16	36	2008	99	1	5	4	1	4
IN040011	2	3	36	2007	99	4	80	4	1	2
IN040011	3	5	36	2006	99	8	4	4	5	3
IN040012	1	16	36	2006	99	1	0	4	2	4
IN040012	2	3	36	2007	99	3	80	4	2	5
IN040012	3	5	45	2006	99	6	2	3	2	6
IN040012	4	16	44	2006	99	1	8	4	1	4
IN040013	1	5	45	2006	99	6	2	4	3	5
IN040013	2	3	36	2007	99	5	1	4	2	5
IN040013	3	16	36	2006	99	1	0	4	2	4
IN040013	4	16	44	2006	99	1	3	4	2	4
IN040014	1	5	36	2006	99	6	3	4	1	2
IN040014	2	3	36	2007	99	2	80	5	3	5
IN040014	3	16	44	2006	99	1	0	5	5	6
IN040014	4	19	43	2007	99	1	7	5	1	88
IN040015	1	5	36	2006	99	6	3	4	1	3
IN040015	2	12	46	99	99	1	0	3	1	2
IN040015	3	16	36	2008	99	6	0	4	4	6
IN040015	4	3	36	2007	99	2	2	5	1	2
IN040016	1	16	46	2006	99	1	0	5	4	6
IN040016	2	5	45	2004	99	6	2	3	2	5
IN040016	3	3	36	2007	99	3	5	4	2	88
IN040017	1	3	36	2007	99	4	80	4	1	88
