CHILDID	ID	DISABR3	ACTR3	MONTHSR3	DAYSR3	HOURSR3
IN020024	3	0	17	10	24	7
IN020024	4	0	15	12	30	2
IN020025	0	0	17	10	25	8
IN020025	1	0	2	8	20	6
IN020025	2	0	5	8	15	6
IN020025	3	0	17	10	25	8
IN020026	0	0	17	10	24	6
IN020026	5	0	5	9	15	7
IN020026	6	0	5	5	10	7
IN020026	7	0	12	12	24	8
IN020026	8	0	5	6	15	7
IN020026	9	0	5	7	15	7
IN020026	10	0	4	4	16	6
IN020026	11	0	11	3	15	6
IN020027	0	0	17	9	24	7
IN020027	2	0	5	3	26	9
IN020027	28	0	17	10	28	8
IN020028	0	0	17	10	23	8
IN020028	3	0	5	6	15	8
IN020028	4	0	12	6	12	9
IN020028	6	0	5	3	6	9
IN020029	0	0	17	10	23	6
IN020029	1	0	5	10	15	8
IN020029	2	0	5	10	15	8
IN020029	3	0	17	88	88	88
IN020030	0	0	17	10	24	9
IN020030	1	0	5	5	20	8
IN020030	2	0	12	5	20	8
IN020030	3	0	17	10	24	9
IN020031	0	0	17	10	24	9
IN020031	2	0	1	6	15	6
IN020031	3	0	12	7	18	8
IN020031	5	0	17	10	26	10
IN020031	6	0	17	10	24	9
IN020032	0	0	17	88	88	88
IN020032	1	1	11	9	20	9
IN020032	2	0	11	9	20	9
IN020032	3	0	5	4	5	8
IN020033	0	0	17	10	23	5
IN020033	2	0	5	5	15	8
IN020033	3	0	13	12	30	8
IN020033	4	0	5	6	15	8
IN020033	5	0	15	12	30	3
IN020033	6	0	17	88	88	88
IN020034	0	0	17	10	23	7
IN020034	1	0	10	12	20	10
IN020034	2	0	15	12	30	4
IN020034	3	0	17	10	23	7
IN020035	0	0	17	10	26	8
IN020035	1	0	1	10	25	8
IN020035	2	0	5	6	25	8
IN020035	28	0	17	10	26	8
IN020036	0	0	17	10	24	8
IN020036	1	0	9	12	27	10
IN020036	2	0	15	12	30	4
IN020036	3	0	17	10	24	8
IN020037	0	0	17	10	25	8
IN020037	1	0	5	12	30	9
IN020037	2	0	5	12	30	9
IN020037	3	0	17	10	25	8
IN020037	4	0	17	10	25	9
IN020037	5	0	17	10	25	8
IN020038	0	0	17	10	21	7
IN020038	2	0	10	12	30	10
IN020038	3	0	10	12	30	10
IN020038	4	0	17	10	88	88
IN020038	5	0	17	10	21	7
IN020039	0	0	17	10	26	8
IN020039	1	0	5	4	7	9
IN020039	2	0	5	8	20	9
IN020039	3	0	5	4	10	9
IN020039	4	0	5	8	23	9
IN020039	5	0	17	10	26	8
IN020040	0	0	17	10	24	8
IN020040	1	0	5	7	20	9
IN020040	2	0	12	6	15	9
IN020040	3	0	17	10	26	8
IN020041	0	0	17	10	23	7
IN020041	1	0	1	10	20	8
IN020041	2	0	15	12	30	3
IN020041	3	0	17	10	23	7
IN020042	0	0	17	10	24	8
IN020042	1	0	4	11	28	10
IN020042	2	0	5	5	10	6
IN020042	3	0	17	10	24	8
IN020043	0	0	17	10	26	9
IN020043	3	0	15	12	10	2
IN020043	4	0	13	12	30	8
IN020043	5	0	1	12	25	6
IN020043	6	0	1	12	25	6
IN020043	8	0	15	12	30	3
IN020043	9	0	15	12	30	2
IN020043	10	0	17	10	25	8
IN020043	11	0	15	12	30	2
IN020043	12	0	88	88	88	88
IN020044	0	0	17	10	26	8
IN020044	1	0	1	3	23	8
IN020044	2	0	5	9	30	8
IN020044	3	0	12	6	20	9
IN020044	5	0	17	10	26	8
IN020044	6	0	17	10	26	8
IN020045	0	0	17	10	24	7
IN020045	1	0	5	5	20	5
IN020045	2	0	5	5	15	5
IN020045	28	0	17	10	24	7
IN020046	0	0	17	10	24	7
IN020046	1	0	5	8	20	6
IN020046	2	0	5	8	20	6
IN020046	3	0	17	 	20	 
IN020047	0	0	17	10	24	8
IN020047	1	0	13	12	30	11
IN020047	2	0	5	12	20	8
IN020047	3	0	17	10	24	8
IN020048	0	0	17	10	22	8
IN020048	1	0	5	10	18	9
IN020048	2	0	15	12	30	4
IN020048	3	0	17	10	22	9
IN020048	4	0	17	88	88	88
IN020049	0	0	17	10	25	8
IN020049	1	0	1	7	30	9
IN020049	2	0	15	12	30	4
IN020049	28	0	17	10	25	8
IN020050	0	0	17	10	24	8
IN020050	1	0	1	6	20	7
IN020050	2	0	5	7	18	8
IN020050	3	0	17	10	24	9
IN020051	0	0	17	10	24	8
IN020051	1	0	15	8	20	2
IN020051	2	0	12	6	18	7
IN020051	3	0	5	6	15	7
IN020051	4	0	17	88	88	88
IN020052	0	0	17	10	24	7
IN020052	1	0	5	10	20	6
IN020052	2	0	15	12	30	9
IN020052	4	0	13	12	24	7
IN020052	5	0	17	10	20	7
IN020052	6	0	17	10	24	8
IN020052	7	0	1	8	20	6
IN020053	0	0	17	10	24	8
IN020053	1	0	5	9	26	9
IN020053	2	0	6	12	26	9
IN020053	3	0	17	10	24	9
IN020054	0	0	17	10	26	8
IN020054	1	0	5	11	26	9
IN020054	2	0	5	11	26	9
IN020054	3	0	17	10	26	8
IN020055	0	0	17	10	18	6
IN020055	3	0	88	88	88	88
IN020055	4	0	5	9	20	8
IN020055	7	0	17	88	88	88
IN020056	0	0	17	10	23	7
IN020056	2	0	5	9	18	9
IN020056	3	0	17	10	23	8
IN020056	4	0	17	10	23	8
IN020057	0	0	17	10	23	8
IN020057	1	0	4	9	20	10
IN020057	2	0	5	4	10	8
IN020057	3	0	1	6	15	9
IN020057	4	0	12	6	15	9
IN020057	28	0	17	10	23	8
IN020058	0	0	17	10	24	7
IN020058	2	0	5	5	20	6
IN020058	3	0	13	12	25	8
IN020058	28	0	17	10	25	8
IN020059	0	0	17	10	24	8
IN020059	1	0	5	9	20	8
IN020059	2	0	5	9	24	8
IN020059	3	0	17	10	24	8
IN020060	0	0	17	9	20	6
IN020060	1	0	13	12	30	10
IN020060	2	0	13	12	30	10
IN020060	3	0	17	88	88	88
IN020060	4	0	5	8	18	8
IN020061	0	0	17	10	24	9
IN020061	2	0	88	88	88	88
IN020061	3	0	5	5	20	9
IN020061	4	0	12	12	20	5
IN020061	5	0	17	10	24	9
IN020062	0	0	17	10	24	8
IN020062	1	0	12	12	30	8
IN020062	2	0	5	12	20	8
IN020062	28	0	17	10	24	8
IN020063	0	0	17	10	25	9
IN020063	1	0	5	7	25	7
IN020063	2	0	5	7	25	7
IN020063	3	0	5	5	25	7
IN020063	28	0	17	10	25	9
IN020064	0	0	17	10	26	8
IN020064	2	0	1	6	23	9
IN020064	3	0	5	12	23	9
IN020064	28	0	17	10	24	8
IN020065	0	0	17	10	24	8
IN020065	1	0	1	8	25	6
IN020065	2	0	15	12	30	4
IN020065	3	0	17	10	24	8
IN020066	0	0	17	10	26	9
IN020066	1	0	9	12	26	13
IN020066	2	0	5	6	26	8
IN020066	3	0	17	10	26	9
IN020066	4	0	17	10	26	9
IN020067	0	0	17	10	24	7
IN020067	1	0	5	3	4	8
IN020067	2	0	9	12	10	8
IN020067	28	0	17	10	24	7
IN020068	0	0	17	9	26	8
IN020068	1	0	5	7	24	9
IN020068	2	0	5	7	20	9
IN020068	28	0	17	10	26	8
IN020069	0	0	17	10	24	7
IN020069	2	0	5	6	20	7
IN020069	3	0	17	10	24	7
IN020070	0	0	17	10	26	8
IN020070	1	0	4	7	23	8
IN020070	2	0	5	7	27	9
IN020070	3	0	88	88	88	88
