childid	id	age	memsex	relate	livhse	dthunexp	adultedc	grade	hsstrtr3	strtyrr3	strmthr3	grader3	stillr3	whynotr3	agegrdr3	perfr3	feesr3	disabr3	actr3	monthsr3	daysr3	hoursr3	sleepr3	chcarer3	hhchrer3	npywrkr3	paywrkr3	schoolr3	studyr3	playr3	hrewrkr3	nohrer3	wrkprjr3	numdysr3	rsnfewr3	tywrkr31	tywrkr32	tywrkr33	wgercdr3
ET161015	2	48	2	1	1	 	 	28	 	 	 	 	 	 	 	 	 	0	15	12	7	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161015	3	31	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161015	4	23	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161015	5	21	2	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161015	6	19	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	5	3	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161015	7	15	1	7	1	 	 	 	1	1997	1	5	1	 	 	2	125	0	15	5	2	4	7	2	3	2	0	6	2	2	 	 	 	 	 	 	 	 	 
ET161016	0	14	1	0	1	 	 	 	1	1999	1	2	1	 	 	3	50	0	15	12	6	4	7	1	4	0	0	7	2	3	 	 	 	 	 	 	 	 	 
ET161016	1	54	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161016	2	45	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	7	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161016	3	25	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	13	12	6	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161016	4	22	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161016	5	20	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	6	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161016	6	16	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161016	15	6	1	7	1	 	 	 	0	 	 	 	 	29	 	 	88	0	15	12	7	3	7	1	2	0	0	5	4	5	 	 	 	 	 	 	 	 	 
ET161016	16	21	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161016	17	18	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161016	18	10	1	7	1	 	 	 	1	2000	1	1	1	 	 	2	20	0	15	12	6	5	7	0	3	0	0	7	4	3	 	 	 	 	 	 	 	 	 
ET161017	0	14	1	0	1	 	 	 	1	2000	2	2	1	 	 	2	.3	0	15	12	7	3	9	2	2	1	0	4	1	5	 	 	 	 	 	 	 	 	 
ET161017	1	35	1	1	1	 	 	4	 	 	 	 	 	 	 	 	 	0	1	12	6	7	 	 	 	 	 	 	 	 	1	 	1	26	 	1	2	9	8
ET161017	2	32	2	1	1	 	 	29	 	 	 	 	 	 	 	 	 	0	15	12	7	6	 	 	 	 	 	 	 	 	0	6	 	88	 	 	 	 	88
ET161017	15	10	2	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161017	16	6	2	7	1	 	 	 	0	 	 	 	 	29	 	 	88	0	15	12	7	3	9	2	2	1	0	0	0	10	 	 	 	 	 	 	 	 	 
ET161017	17	4	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161018	0	14	1	0	1	 	 	 	1	1997	2	5	1	 	 	2	100	0	15	12	7	5	9	1	2	2	0	7	1	2	 	 	 	 	 	 	 	 	 
ET161018	1	42	1	1	1	 	 	9	 	 	 	 	 	 	 	 	 	0	1	10	6	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161018	2	32	2	1	1	 	 	5	 	 	 	 	 	 	 	 	 	0	15	12	7	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161018	3	20	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161018	4	17	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161018	5	4	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161019	0	15	1	0	1	 	 	 	1	1997	1	5	1	 	 	1	100	0	15	12	7	4	7	0	2	3	0	6	3	3	 	 	 	 	 	 	 	 	 
ET161019	1	60	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	1	12	6	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161019	2	53	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	7	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161019	3	29	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161019	4	26	2	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161019	5	24	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161019	6	21	2	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161019	7	19	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161019	8	16	2	7	1	 	 	 	1	1997	1	5	1	 	 	3	100	0	15	12	7	9	7	0	2	1	0	6	2	6	 	 	 	 	 	 	 	 	 
ET161020	0	15	2	0	1	 	 	 	1	1997	1	3	0	21	15	 	88	0	15	0	0	3	10	2	3	0	0	0	0	9	 	 	 	 	 	 	 	 	 
ET161020	1	37	1	1	1	 	 	4	 	 	 	 	 	 	 	 	 	0	1	12	6	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161020	2	34	2	1	1	 	 	3	 	 	 	 	 	 	 	 	 	0	15	12	7	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
