CHILDID	ACTIDR3	ACTR3	ACTOWNR3	ACTMTHR3	ACTDAYHR3	ACTHRSR3	PYMRECR3
ET071016	3	2	1	12	5	3	1
ET071017	1	7	1	12	5	5	0
ET071017	2	2	1	12	5	2	0
ET071018	1	2	1	10	5	3	0
ET071018	2	3	1	10	5	1	0
ET071019	1	2	1	10	5	3	0
ET071019	2	4	1	12	5	3	0
ET071020	1	7	1	12	5	5	0
ET071020	2	2	1	12	5	1	0
ET071021	1	7	1	10	3	3	0
ET071022	1	3	1	12	5	2	0
ET071022	2	5	1	12	5	5	1
ET071022	3	2	1	12	5	3	0
ET071024	1	1	1	12	3	4	0
ET071024	2	2	1	12	2	2	0
ET071024	3	3	1	12	5	1	0
ET071025	1	7	1	12	5	5	0
ET071025	2	2	1	5	3	1	0
ET071025	3	3	1	4	2	1	0
ET071026	1	1	1	12	5	3	0
ET071026	2	2	1	12	5	3	0
ET071027	1	7	1	10	5	4	0
ET071028	1	7	1	10	4	4	0
ET071029	1	7	1	12	5	4	0
ET071030	1	6	1	10	5	4	1
ET071030	2	2	1	12	5	2	0
ET071030	3	3	1	12	5	2	0
ET071031	1	2	1	12	5	4	0
ET071031	2	3	1	12	4	2	0
ET071032	1	2	1	12	5	1	0
ET071032	2	7	1	12	7	5	0
ET071033	1	2	1	12	5	3	0
ET071033	2	3	1	12	5	3	0
ET071033	3	1	1	1	2	1	0
ET071034	1	2	2	12	5	2	0
ET071035	1	7	1	10	5	5	0
ET071035	2	2	1	3	3	1	0
ET071036	1	7	1	10	5	3	0
ET071036	2	2	1	3	4	2	0
ET071037	1	2	1	12	5	4	0
ET071038	1	1	1	12	5	3	0
ET071038	2	2	1	12	3	2	0
ET071038	3	3	1	12	5	2	0
ET071039	1	6	2	10	4	4	1
ET071039	2	2	1	10	4	1	0
ET071039	3	3	1	10	3	1	0
ET071040	1	6	2	10	3	5	1
ET071040	2	2	1	12	7	1	2
ET071041	1	2	1	10	2	4	0
ET071041	2	6	1	10	4	3	3
ET071041	3	3	1	12	5	1	0
ET071041	4	7	1	12	7	2	0
ET071042	1	7	1	12	7	2	0
ET071043	1	2	1	12	3	2	0
ET071044	1	2	1	12	5	5	0
ET071044	2	3	1	12	5	3	0
ET071045	1	2	1	12	5	5	0
ET071046	1	7	1	10	5	5	0
ET071047	1	1	1	5	3	3	0
ET071047	2	7	1	3	7	3	0
ET071047	3	2	1	12	4	2	0
ET071047	4	3	1	12	2	1	0
ET071048	1	2	1	10	3	1	0
ET071048	2	3	1	12	3	3	0
ET071049	1	2	1	12	7	4	0
ET071049	2	3	1	10	5	2	0
ET071050	1	6	2	12	5	5	1
ET071050	2	2	1	12	5	2	0
ET081001	1	2	1	12	7	5	0
ET081002	1	1	2	1	2	5	1
ET081002	2	2	1	12	7	4	0
ET081003	1	1	1	6	7	6	0
ET081003	2	2	1	12	2	5	0
ET081003	3	7	1	12	7	4	1
ET081004	1	2	1	12	7	3	0
ET081005	1	2	1	12	5	4	0
ET081005	2	1	2	3	2	4	1
ET081006	0	2	1	6	5	5	0
ET081006	2	1	1	2	5	4	1
ET081007	1	1	1	8	6	6	0
ET081007	2	7	1	4	5	8	0
ET081008	1	3	1	12	7	3	0
ET081008	2	2	1	6	2	1	0
ET081009	1	2	1	12	7	4	0
ET081009	2	1	2	2	5	10	1
ET081010	1	2	1	12	7	4	0
ET081011	1	2	1	12	7	8	0
ET081011	2	1	1	4	4	2	0
ET081012	1	2	1	12	7	4	0
ET081012	2	3	1	12	3	2	0
ET081012	3	1	2	4	1	9	1
ET081013	1	1	2	1	7	8	1
ET081013	2	2	1	12	7	2	0
ET081014	1	1	1	8	5	2	0
ET081015	1	1	1	6	7	3	0
ET081015	2	2	1	7	7	1	0
ET081016	1	2	1	12	7	4	0
ET081016	2	3	1	12	7	2	0
ET081017	1	7	1	10	7	6	0
ET081017	2	2	1	12	3	1	0
ET081017	3	7	1	2	7	8	0
ET081017	4	1	1	2	5	4	0
ET081018	1	1	1	7	7	5	0
ET081018	2	2	1	12	5	3	0
ET081019	1	1	1	5	7	2	0
ET081019	2	2	1	4	3	1	0
ET081020	1	1	1	8	5	4	0
ET081021	1	1	2	2	2	8	1
ET081021	2	2	1	12	7	2	0
ET081022	1	2	1	12	7	4	0
ET081023	1	1	1	8	3	5	0
ET081023	2	2	1	2	4	2	0
ET081024	1	4	1	6	4	3	0
ET081024	2	2	1	5	2	1	0
ET081025	1	1	1	3	3	4	0
ET081025	2	2	1	4	2	1	0
ET081026	1	1	1	6	7	3	0
ET081026	2	6	2	2	2	2	1
ET081026	3	7	2	6	2	3	1
ET081027	1	1	1	9	4	5	0
ET081027	2	2	1	10	4	1	0
ET081028	1	2	1	9	7	3	0
ET081028	2	3	1	4	3	1	0
ET081029	1	7	3	12	5	10	3
ET081029	2	2	1	12	3	1	0
ET081029	3	1	1	4	5	4	0
ET081029	4	1	3	1	7	12	1
ET081030	1	1	1	6	5	5	0
ET081030	2	7	1	12	3	3	0
ET081030	3	2	1	3	2	2	0
ET081031	1	1	1	11	7	5	0
ET081031	2	1	2	1	7	11	1
ET081032	1	2	1	12	7	3	0
ET081032	2	1	2	6	2	6	1
ET081033	1	2	1	10	6	4	0
ET081033	2	1	1	10	5	2	0
ET081034	1	2	1	12	5	3	0
ET081034	2	3	1	4	2	1	0
ET081035	1	2	1	12	5	4	0
ET081035	2	1	2	3	2	8	2
ET081036	1	1	1	6	3	3	0
ET081036	2	2	1	5	3	1	0
ET081037	1	6	1	4	1	10	1
ET081037	2	1	1	6	3	2	0
ET081037	3	7	1	8	2	3	1
ET081037	4	2	1	9	4	4	0
ET081038	1	1	1	5	4	4	0
ET081038	2	2	1	7	3	3	0
ET081039	1	1	1	2	2	6	0
ET081039	2	2	1	2	3	2	0
ET081039	3	4	1	2	5	5	1
ET081040	1	2	1	12	3	1	0
ET081040	2	1	1	6	5	4	0
ET081040	3	7	2	1	4	6	1
ET081040	4	7	3	10	6	6	3
ET081041	1	2	1	5	2	2	0
ET081041	2	7	2	10	2	3	1
ET081042	1	1	1	6	3	3	0
ET081042	2	2	1	12	7	1	0
ET081043	1	1	1	3	4	4	0
ET081043	2	2	1	4	4	1	0
ET081043	3	3	1	3	3	1	0
ET081044	1	2	1	12	7	4	0
ET081044	2	1	2	1	2	4	1
ET081045	1	1	1	3	2	2	0
ET081045	2	2	1	1	3	2	0
ET081045	3	7	2	2	3	2	1
ET081046	1	2	1	12	6	3	0
ET081046	2	1	1	6	2	3	1
ET081047	1	2	1	12	7	4	0
ET081047	2	3	1	12	7	1	0
ET081048	1	1	1	6	5	3	0
ET081048	2	2	1	5	2	4	0
ET081048	3	7	2	1	4	4	1
ET081049	1	2	1	12	7	2	0
ET081049	2	1	2	4	2	8	2
ET081050	1	2	1	10	6	3	0
ET081050	2	1	1	4	3	2	0
ET081050	3	7	2	8	2	8	1
ET091001	1	1	1	5	5	2	0
ET091001	2	2	1	4	3	1	0
ET091001	3	3	1	2	2	1	0
ET091002	1	2	1	12	7	3	0
ET091003	1	2	1	12	7	3	0
ET091004	1	2	1	12	7	4	0
ET091005	1	2	1	12	7	3	0
ET091006	1	2	1	12	7	3	0
ET091007	1	1	1	5	4	8	0
ET091007	2	3	1	8	2	1	0
ET091007	3	2	1	12	3	2	0
ET091008	1	1	2	3	2	4	1
ET091008	2	2	1	12	7	4	0
ET091010	1	7	1	5	7	6	0
ET091010	2	2	1	4	3	2	0
ET091011	1	2	1	12	7	4	0
ET091012	1	2	1	12	6	3	0
ET091013	1	4	1	12	3	2	0
ET091013	2	2	1	8	5	1	0
ET091014	1	1	1	6	5	5	0
ET091014	2	2	1	8	6	4	0
ET091014	3	7	1	10	6	2	0
ET091015	1	1	1	4	3	3	0
ET091015	2	2	1	12	4	1	0
ET091016	1	2	1	12	7	3	0
ET091016	2	1	2	1	2	8	1
ET091017	1	2	1	12	7	3	0
ET091018	1	7	1	12	7	6	0
ET091018	2	2	1	12	5	2	0
ET091019	1	2	1	12	7	2	0
ET091019	2	1	1	1	5	6	0
ET091020	1	2	1	12	7	7	0
ET091021	1	1	1	7	7	4	0
ET091021	2	2	1	12	2	1	0
ET091022	1	1	1	6	2	4	0
ET091022	2	2	1	12	2	1	0
ET091023	1	2	1	12	7	3	0
ET091023	2	3	1	12	7	1	0
ET091023	3	1	2	1	2	8	1
ET091024	1	2	1	12	7	6	0
ET091025	1	1	1	4	2	3	0
ET091025	2	2	1	12	3	1	0
ET091026	1	1	1	3	5	3	0
